Product Name,Current Price,Original Price,Image URL,Stock,item_id
BIDEN Jam Tangan Wanita Anggun Otomatis Date Bisnis Tahan Air Kuarsa - Merah Muda,Rp130.000,Rp580.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/3/7/4fc2e81f-1479-40ce-aa04-62049c5e1808.png.webp?ect=4g,207,1
SKMEI B53S | jam tangan pintar | heart rate tracker | jam tangan wanita pria | kalkulator | fashion  Bluetooth Smartwatch - Black,Rp289.000,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/26490741942e427c8bf83d5d3d34eae3~.jpeg.webp?ect=4g,"57,8 rb",2
HANNAH MARTIN Jam Tangan pria  Analog Kuarsa Kronograf Tahan Air men watch  17551 Stainless kedap air blue Men's Watches - 17551-H2,Rp139.000,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/b68c5e33ce1640b388e558dfc3ee3547~.jpeg.webp?ect=4g,969,3
Jam Tangan Wanita Digital Tali Stainless SKMEI 1252 | 1901 - Silver,Rp86.900,Rp180.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/5be12dccfc364dc0bb70c930f17a557e~.jpeg.webp?ect=4g,145,4
"Samsung Galaxy Watch 7 ( 40mm / 44mm ) Smartwatch Garansi Resmi Sein Tam - 40mm Biege, No.Bonus",Rp3.148.900,Rp3.149.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/01c717d772b749afbce1a2a4baf771fc~.jpeg.webp?ect=4g,30,5
OLEVS Jam Tangan Wanita Set Kalung Gelang Original Asli Untuk Tahan Air Rose Gold Lady Girl Watch 5869 Arloji Kaca - Putih Set,Rp327.750,Rp650.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/56959e46a2c8455a8061b726c7cdb383~.jpeg.webp?ect=4g,278,6
itel Smartwatch O43 Max  watch 1.43 inch AMOLED Touch Screen IP68 water proof Jam Tangan Pria fitness tracking Official smart band - biru,Rp369.000,Rp599.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/a11d75b58ae048bdbc394865b2c03b42~.jpeg.webp?ect=4g,2.710,7
Anting Emas Asli Model Mrican Polos (Bisa buat baby newborn) J5 Ismoyo - 0.200 gr,Rp212.000,-,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/1d45bb1b8fca408dbb8cfd7b62c351e8~.jpeg.webp?ect=4g,241,8
Cincin Emas Anak Baby Colour Little Unicorn Gold 10K Semar Nusantara,Rp977.600,-,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/1/25/c626bec2-2cd9-4390-a675-074ac82076a7.jpg.webp?ect=4g,56,9
cincin kartun lampu LED / mainan anak murah / cincin karakter gambar - 1 pcs RANDOM,Rp2.900,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/5/10/d4f860ab-98a8-4434-b18a-41af270a8f52.jpg.webp?ect=4g,153,10
"Cincin Bayi / Anak Cat Aksesoris Perhiasan Baby Fashion C34# - Stroberi, Pink",Rp7.505,Rp9.500,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/441aa045c7944b09a2f16aede0441575~.jpeg.webp?ect=4g,151,11
"CINCIN ANAK KARAKTER KARTUN Fashion Kids Costume - A, bisa disesuaikan",Rp11.000,Rp18.200,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/0422e4fbda48448ea9fd61254021011b~.jpeg.webp?ect=4g,9.912,12
"Gelang Tali Pengaman Anak Child Anti Lost Strap 1.5m 2.5m Anti Hilang tali Tali Pengaman Gandeng Anak Bayi Child Safety  LIVE Biru Bunda - biru, 2.5M",Rp39.900,-,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/964f665fae524272b727c0600e4e6998~.jpeg.webp?ect=4g,9.974,13
GELANG ANAK MANIK MANIK LUCU KARAKTER SANRIO CUTE - CINNAMOROL C,Rp4.800,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/6/21/f4daf069-ad6f-4e92-a977-94edb4a8535a.jpg.webp?ect=4g,80,14
Gelang Manik bangle Bunga Kristal Korean Aesthetic - Biru,Rp6.500,Rp13.765,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/9fb4bf7f6489470ca63176a03b43b465~.jpeg.webp?ect=4g,1.712,15
