review,rating,date
"Bagus, bahan tebal, gesper kuat, awet. Peyalanan cepat. Rekomended seller",bintang 5,7 bulan lalu
"oke lah berfungsi sebagai mana mestinya, tapi tetep ada harga ada barang tapi segini udah lumayan dulu pake tipe yang begitu tapi gabisa makenya",bintang 5,6 bulan lalu
"Paket Telah Mendarat Dengan Aman Dan Selamat, Barang Sesuai Dengan Gambar, Barang Sesuai Dengan Orderan, Barang Berfungsi Dengan Baik, Packing Rapi, Pengiriman Lumayan Ce...",bintang 5,
"awalnya ragu, tapi ternyata modelnya bagus, harga murah, tapi keren. elastis, dan tebal. tidak nyesel beli disini.",bintang 5,7 bulan lalu
"Model keren, bahannya bagus nyaman dipakai",bintang 5,7 bulan lalu
"Kualitas ok, bahannya juga lumayan, cuma di saya kepanjangan jdi harus saya potong dulu. Terimaasi",bintang 5,9 bulan lalu
"udah dipakai. sabuknya nyaman. keren, lentur. dan juga kuat. barang bagus walaupun murah",bintang 5,6 bulan lalu
"barang oke kok, namun pengirimannya sangat mepet dengan batas waktu pengiriman, jika membutuhkan untuk waktu cepat mungkin itu bisa jadi pertimbangan",bintang 5,3 bulan lalu
"Brg-nya sesuai dg deskripsi, model bagus2, bahan-nya bagus, semoga enak dipake & awet tahan lama, pengiriman tepat waktu, sy kasih bintang 5, tq Gan.🙏🙏🙏",bintang 5,
"modelnya keren, barangnya bagus, pengiriman cepat, admin sat set, tingkatkan terus ya. mantap sekali",bintang 5,5 bulan lalu
"bahan bagus. ukuran pas. untuk harga segini, okelah. pengiriman cepat. mantaplah pokoknya",bintang 5,7 bulan lalu
"barang bagus, recommended, full hitam jadi cocok ke semua baju",bintang 5,5 bulan lalu
"barang sesuai harga, dapat harga murah, kualitas bagus",bintang 5,9 bulan lalu
"bahan ok, sesuai pesanan dan nyaman dipakai...rekomendasilah yang satu ini",bintang 5,6 bulan lalu
"seller gercep, ban pinggangnya keren,rapih, kulit sintesisnya lembut. ga ada cacat. packing baik n aman.",bintang 5,6 bulan lalu
"produk sesusai dengan pesanan dan deskripsi ,, packing aman dan rapih ,, terima kasih ..",bintang 5,8 bulan lalu
"Barang sesuai gambar, pengiriman cepat, cocok dipakai kerja dan sekolah",bintang 5,5 bulan lalu
Bagus lentur sesuai harga sih. Ga expect too much. Lumayan buat pake 6 bulanan trus ganti baru. Syukur2 bisa setaun pake tiap hr.,bintang 5,5 hari lalu
"😎🤙keren modelnya simpel, dan sangat kuat rel pengikat gespernya setelah di pakai. mantap la ni buat ke kantor 😎👍",bintang 5,6 bulan lalu
Barang datang sesuai dengan deskripsi. produk cukup bagus terimakasih kepada seller dan kurir,bintang 5,4 bulan lalu
pengiriman cepat kualitas barang OK. rekomended pisan lah,bintang 5,5 bulan lalu
"ini pembelian kedua, murah tapi bagus. pokoknya keren. cocok untuk aku",bintang 5,7 bulan lalu
"modelnya keren, pas dibadan gak longgar produk thebest dan jangan lupa beli barangnya disini yh guysss",bintang 5,4 bulan lalu
"Paket cepat sampai, produk sesuai dengan pesanan.
Trima kasih ya, tokonya amanah & smoga tokonya makin jaya",bintang 5,7 bulan lalu
Sesuai pesanan dan harus dipotong 20cm karena badan slim ... hehehe,bintang 5,4 bulan lalu
"Barang telah diterima utuh, bahan sesuai, kepala besi tapi ringan, panjang cukup, bagus",bintang 5,8 bulan lalu
"Okelah untuk harga 20an rb. lebih suka yg polosan, tapi yg versi ini ada glitternya... wkwkwk ga apalah, supaya tambah nyentik... meskipun ada juga yg bakal bilang norak...",bintang 5,3 minggu lalu
oke lah dengan harga segini warnanya juga oke,bintang 5,4 bulan lalu
Keren model berkualitas dan model updated keren,bintang 5,3 bulan lalu
"worth it harga segituuuu
packing aman
pelayanan baik
pengiriman cepet",bintang 5,6 bulan lalu
"model sesuai dengan diskripsi barang, sudah dipakai dan bahannya lemas dan ga kaku",bintang 5,6 bulan lalu
"Beltnya tebal, no.12 ini gespernya blink2 gitu yaa. Packing rapi, seller cpt respon. 
Makasiih..",bintang 5,
keren n sesuai dengan gambar jg bagus jg tebal,bintang 5,3 minggu lalu
"Pengiriman cepat namun sayang respon penjual agak lambat ya. 

Mhn ditingkatkan lagi.",bintang 4,11 bulan lalu
"Pengiriman cepat namun sayang respon penjual agak lambat ya. 

Mhn ditingkatkan lagi.",bintang 4,11 bulan lalu
Barang cepat sampai dan kualitas nya bagus sesuai harga lah pokoknya ayo dipesan,bintang 5,
"Model nya keren, bahan standar, pelayanan memuaskan. Semoga awet",bintang 5,9 bulan lalu
"bagus, anak saya suka, cocok banget buat jadi kado anak laki laki, kwalitas nya keliatan mahal tapi murmer",bintang 5,
