review,rating,date
"Semoga dengan ini bisa di perbaiki lagi untuk pengecekan nya , biar tidak salah kirim produk lagi.",bintang 5,7 bulan lalu
"Saya kecewa ,psennya 2 ko dtng cuma satu, TPI saya byr nya ,seharga 2 cincin",bintang 1,1 bulan lalu
"Bagus bgt cmn agak kendor dikit
Kualitas pengerjaan: good
Warna: Seperti mas asli",bintang 5,5 bulan lalu
Cakep poko'a sesuai pesanan...,bintang 5,8 bulan lalu
"Harga murah, tapi tidak murahan. Lucu bgt barang nya",bintang 5,2 bulan lalu
"Bagus dan lucu cocok untuk bayi
Semoga awet dan tidak cepet luntur",bintang 5,4 bulan lalu
Tidak sesuai aq pesenya yg Doraemon tapi datengnya Miky mouse alhasil anakku nangis....,bintang 3,1 bulan lalu
Cincin anak nya bagus seperti emas asli,bintang 5,2 bulan lalu
"Kurang bagus cepet luntur ,,UK juga gak susuai padahal udah di chat",bintang 1,5 bulan lalu
"Kualitas pengerjaan: Lumayan lama ya
Warna: Emas
Bagus banget tapi sukaaaaaaa",bintang 5,7 bulan lalu
Cincin nya warnanya cepet pudar,bintang 3,5 bulan lalu
"Suka bgt cincin 😍 beli satu Gratis, Gratis satu .Terimakasih ka 🙏",bintang 5,
bagus banget cincin nya anak saya suka  banget kurir nya udah langgananan makasih seler makasih tiktok sop,bintang 5,4 bulan lalu
Sesuai dengan deskripsi 👍🥰,bintang 5,11 bulan lalu
"Allhamdulillah paket udah datang.. 
Lucu lucu cicin anak.. Oke pokonyamah🥰🥰",bintang 5,4 bulan lalu
Bagus bangeutttttt pokonnmh 🥰🥰🥰,bintang 5,11 bulan lalu
cincin nya bagus pas di jari anakku,bintang 2,4 bulan lalu
Sesuai psenan tp msh kegedean,bintang 5,1 bulan lalu
Tidak sesuai dengan yg di gambar,bintang 2,4 bulan lalu
Cincin nya pas bagus lagi☺,bintang 5,11 bulan lalu
ukuran pas sesuai,bintang 5,2 minggu lalu
Lumayan bagus cincinnya,bintang 4,
Bagus sesuai ama gambar kak,bintang 5,
Bagus bnget,bintang 5,5 bulan lalu
Luar biyasa,bintang 5,1 bulan lalu
Bagus cincin nya,bintang 5,2 bulan lalu
Bagus cincin nya,bintang 5,4 bulan lalu
pas,bintang 5,2 minggu lalu
P,bintang 4,1 bulan lalu
Unik,bintang 5,1 bulan lalu
Bagus,bintang 5,1 bulan lalu
Bagus,bintang 5,1 bulan lalu
Bagus,bintang 5,2 bulan lalu
Bagus,bintang 5,2 bulan lalu
Bagus,bintang 5,6 bulan lalu
bagus,bintang 5,12 bulan lalu
baik,bintang 5,
baik,bintang 5,
Mantap pokok nmh 👍🥰,bintang 5,11 bulan lalu
Biar bintang yg berbicara 😊😊,bintang 5,4 bulan lalu
Cantik,bintang 5,1 bulan lalu
Ok,bintang 5,11 bulan lalu
ok,bintang 5,9 bulan lalu
Trm ksh,bintang 5,1 hari lalu
Cakeeeepp,bintang 5,
Lumayan buat harga sgtu,bintang 4,10 bulan lalu
Lumayan,bintang 2,10 bulan lalu
