review,rating,date
"pengiriman cepat, kualitas produk sangat baik",bintang 5,6 bulan lalu
"packing rapi, barang sesuai, cepet sampe, makasih.",bintang 5,3 bulan lalu
"modelnya klasik banget, dulu pernah punya tapi entah kemana, akhirnya beli lagi",bintang 5,4 bulan lalu
"keren, pengiriman cepat
ori ada kartu garansi",bintang 5,4 bulan lalu
"Yang bilang ini jam KW mainnya kurang jauh, memang jam legend ini banyak KW nya dipa saran, tapi yg ini orinya dari Casio. Dulu pernah punya jam ini dari tahun 1993 s/d 2...",bintang 5,
"Jam legend, ukuran tipis jadi enak saat pakai baju lengan panjang, fitur cukup, lampu agak kurang, tapi sudah expected dengan jam ini, kalau mau ngoleksi wajib ada",bintang 5,10 bulan lalu
"produk sesuai, qualitas baik, respon cepat, packing rapih, dapat bonus lagi, semoga berkah",bintang 5,5 bulan lalu
penasaran sama jam yang katanya legend. so comfy to wear. seru juga ngerasain jam kecil yang ga keliatan aneh karena selama ini pakai jam diameter 44mm+,bintang 5,5 bulan lalu
"jam nya bagus,, original,,bonus tas dan key chain,,keren",bintang 5,6 bulan lalu
"Barang mulus. Baterai dan jam nyala. Emboss belakang dan tampilan depan terlihat original. Alarm button kalo di-hold jg ngeluarin kata ‘casio’, ini indikasi programnya as...",bintang 5,8 bulan lalu
Model bagus dan minimalis. Meski kekecilan tapi sangat bagus d tangan,bintang 5,8 bulan lalu
"barang ori tentunya

from Obama to Osama 🗿",bintang 5,
"Barang sampai dengan baik, dibungkus rapat, tidak ada cacat, semuanya lengkap. Terima kasih 😊",bintang 5,
"1. di keterangan estimasi tiba tanggal 14 s/d 16, ternyata tanggal 13 sudah nyampe. 👍👍👍
2. plastik serba double, plastik biasa 2 lapis, bubble wrap juga 2 lapis.
3. bo...",bintang 5,11 bulan lalu
Pengiriman cepat. Sesuai ekspektasi.  Barang sesuai deskripsi.,bintang 5,4 bulan lalu
"barang sampai dengan aman. bagus dan meyakinkan keasliannya.
terimakasih dengan jam ini saya sekarang bisa cosplay jadi Osama",bintang 5,
"gokil, pesen tanggal 22 september, sampe rumah tanggal 23 padahal beda kota beda provinsi. proses pemesanan cepat pokoknya. sekarang bisa sekeren osama n obama 😎",bintang 5,
"ntaps, fit di tangan jadi low profil semoga bisa jadi presiden Amerika Serikat",bintang 5,11 bulan lalu
"sesuka ini... mantap bagus bangeeet... dapat bonus tas, gantungan kunci juga.. fix bakal langganan . terima kasih seller",bintang 5,11 bulan lalu
ringan dan tipis namun daya tahan kuat dan reliable. untuk harganya ini sangat bagus. pelayanan admin juga ramah.,bintang 5,
"barang sampai dengan aman dan sesuai. Dapat keychain juga sesuai iklannya, surat-surat beserta kartu garansi lengkap semua. Jangan ragu untuk beli karena barang yang diju...",bintang 5,
"ukuran pas, garansi 1 rahun, original,sayang pengiriman lama sempat tertahan di gudang 5 semingguan",bintang 4,4 bulan lalu
"Jam original, merk casio gak diragukan lagi kualitas nya, punya tipe yang sama sebelumnya dipake tahunan ampe pecah bezelnya 
Dapet bonus tas n ganci",bintang 5,9 bulan lalu
"istimewa penjualnya, karena sempat fungsi tombol bermasalah. tapi penjual nya tanggap dan ramah, sekarang sudah berfungsi dengan baik semua. pasti repeat order",bintang 5,
"barang sesuai deskripsi, original 💯%.
pengiriman sangat kilat, thank you for all the gifts 🙏. sukses selalu untuk seller",bintang 5,6 bulan lalu
"seller responsif, pengiriman cepat, barang sesuai dengan foto. 100% asli. terima kasih.",bintang 5,
"Modelnya keren, sesuai deskripsi dan ekspektasi. Packingan mantap. Barang cepat sampai. Dapat kartu garansi. Recommended.",bintang 5,
"Paketnya lumayan rapi, modelnya sesuai dengan gambar, agak kaget sih pas dipakai lbh kecil dari perkiraan, tapi gapapa, karena yg dicari fungsi nya 😁",bintang 5,
"barang bagus, ori beneran. mana dapat bonus tas sama gantungan kunci 😅 tipis ringan, walau di tangan gw emang kekecilan (tangan gw yg lumayan gede) tapi pas dan cocok co...",bintang 5,6 bulan lalu
"Kecewa hadiah ga sesuai gambar, untuk barang berfungsi normal",bintang 4,5 bulan lalu
"Good kualitas bagus dan ringan juga, kaget aga kecil hahs",bintang 5,10 bulan lalu
Respond seller sangat cepat dan packing barang rapih serta secured untuk pengiriman jarak jauh.,bintang 5,
"bagus sekali, sudah dengan garansi. ngga nyangka kalo kecill overall bagus bgt",bintang 5,4 bulan lalu
"barang oke dan yg pasti ori,packing bisa lebih di perhatikan kembali,soalnya box sedikit peyok tapi barang aman👍🏼",bintang 5,
"Terima kasih barang cepat sampai 🔥
Model simple,kualitas original",bintang 5,11 bulan lalu
mpdel keren. barang original. berfungsi normal,bintang 5,8 bulan lalu
"modelnya keren cuyy, ori pulaa...tp asli jam nya imut.di tangan ane yg kecil aja ini msh kelihatan imut.tp mantap, dpt bonus tas, gantungan kunci.moga awett, casio bos",bintang 5,7 bulan lalu
"Modelnya pas di tangan, ada lampunya. Ukurannya compact, dapat bonus juga.",bintang 5,10 bulan lalu
"Good packaging, original warranty, and some nice merch tho! :)",bintang 5,5 bulan lalu
Barang yang dikirim sesuai dan cepat. Barang work dengan normal. 👍 untuk seller,bintang 5,5 bulan lalu
"mantaap, proses cepat dan yg pasti original",bintang 5,10 bulan lalu
kualitas barang bagus sesuai pesanan pakcking rapih dan aman ..seller ramah,bintang 5,
"Respon seller cepat , barang sampai dengan cepat dan sesuai ekspektasi",bintang 5,3 bulan lalu
Barang sudah diterima ORi Casio.. bagus sesuai harapan,bintang 5,6 bulan lalu
"barang sesuai,ukuran pas dan yg terpenting ORI 😁

semoga ada rezeki buat bisa beli jam analog nya",bintang 5,
"orisinil, pengiriman cepat, respon penjual juga oke, sepertinya akan repeat order untuk model yang lain.. terimakasih atas layanannya dan juga bonusnya..👍👍👍",bintang 5,
"beli jam ini karena dipakai orang terkenal, jamnya bagus dan murah",bintang 5,4 bulan lalu
"bagus. 
cuma sayangnya packingnya gak pake kardus, jadi penyok.",bintang 4,11 bulan lalu
sesuai dengan pesanan. admin juga fast respon. sekalipun sedikit luka di kacanya.,bintang 5,
"jam nya original, pas ditangan...mudah2an awet jam nya buat kerja .terima kasih 😊",bintang 5,
mantap sesuai pesanan dan pastinya original..... terima kasih,bintang 5,7 bulan lalu
jam nya bagus pas di tangan saya dan dapet bonus juga,bintang 5,11 bulan lalu
"Barang bagusss, sesuai dengan gambar, pengiriman cepat dan adminnya sangat membantu selama proses pemesanan 👍🏽",bintang 5,11 bulan lalu
mantap bagus bngt ini cewek cowok cocok kaya nyah aku suka. maksih bngt respon nyah cepat barng nyah cepat nyampe pula ih benr deh GK ngecewain makasih makasih seler,bintang 5,4 bulan lalu
"sesuaii, ringan jdi enak dipakai sehari-hari👍",bintang 5,"sesuaii, ringan jdi enak dipakai sehari-hari👍"
"Assalamualaikum wr.wb 

Sukses dan berkah selalu untuk sellernya
Barang diterima dengan baik
Pengiriman normal
Packing bagus
Original

Rgds",bintang 5,6 bulan lalu
"sippp, pengemasan dan pengiriman cepat sekali. Seller responsif. Next ambil disini LG👍🏿👍🏿",bintang 5,9 bulan lalu
"mantap, suka banget. respon seller juga juara. bener bener worth it. thabk you seller!!!",bintang 5,
"jam nya bagus, lengkap sesuai pesanan, terima kasi Tokped dan seller",bintang 5,6 bulan lalu
moga moga oriiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,bintang 5,9 bulan lalu
"jam sesuai, hanya saja bonusnya ga sesuai di gambar sebelumnya, padahal pgn dapet yg tas kecil coklat itu",bintang 3,4 bulan lalu
"Barang sesuai, proses dan pengiriman cepat. Trusted! 👍🏼",bintang 5,
"sampai dengan selamat dan cepat, barangnya okay banget",bintang 5,5 bulan lalu
Small but precious. Itulah sukanya dengan model ini. Eternal model nih hehehehe,bintang 5,9 bulan lalu
beuh puas banget... pelayanan nya cepet. next kayanya beli disini lagi,bintang 5,7 bulan lalu
nice sekarang bisa cosplay jadi obama & osama 🗿🗿🗿,bintang 5,7 bulan lalu
"sudah 3x berbelanja disini, selalu menyenangkan berbelanja di Toko ini",bintang 5,8 bulan lalu
"wahhhh sikecil mungil, banyak hadiah perintilnyaaaa",bintang 5,4 bulan lalu
"muantap, enteng banget, jam legend wajib punya",bintang 5,9 bulan lalu
"barang selamat sampai tujuan meskipun terlambat 1 hari dari estimasi pengiriman, kelengkapan barang cukup lengkap, mantap",bintang 5,8 bulan lalu
"Jamnya unik, tidak ada huruf U di bawah tulisan RESIST nya. Saran untuk refund dari buyer tidak bisa diterima seller. Klaim seller barangnya ori, jika punya bukti barangn...",bintang 1,
Recomended Seller.. Barang bagus..,bintang 5,10 bulan lalu
"mantap, sudah setara dengan Bin Laden dan Obama😅",bintang 4,
capelan sama istri.good lah,bintang 5,5 bulan lalu
Terimakasih Tokopedia dan G-Shock Watch Indonesia untuk harga Rp. 11.000 nya.. 💚💚💚,bintang 5,6 bulan lalu
"bagus qualitas confy works well
terimakasih",bintang 5,9 bulan lalu
"terimaksih sudah datang paket nya,bagus dan cucok di tangan",bintang 5,9 bulan lalu
"sesuai pesanan & kulalitas bagus, top deh!",bintang 5,4 bulan lalu
pas banget ditangan kecil kek gw wkwk,bintang 5,
"vintage, keren, pengiriman cepat, thanks sdh disetel juga",bintang 5,1 minggu lalu
"joss pisan euy, dikirim kurang dari 1 hari dah smpe bintang 10",bintang 5,1 minggu lalu
"ambatukammmmmmmm
bas bas bas bas
ambatukam",bintang 5,7 bulan lalu
"mendarat dengan kilat, affordable watch dengan history menarik",bintang 5,10 bulan lalu
"jam nya ori, simple tapi bagus. Talinya hampir tidak muat, ternyata bukan untuk ukuran saya 😂",bintang 5,6 bulan lalu
Insyaallah ori. Dari feel build quality sama desainnya udah kerasa. Berfungsi dg baik. Versi ini emg lampunya redup tapi cukup untuk melihat jam di kondisi gelap gulita....,bintang 5,
packing bubble warp tebel parahh jadi aman banget + admin sangat responsif dan sangat ramah 💯💯,bintang 5,
"Jam bagus dan original
Respon cepat
Pengiriman cepat
👍",bintang 5,8 bulan lalu
"barang diterima dengan baik..beli buat anak..jam ini cocok untuk anak2 atau orang yg kurus.,karena kecil...jam original ada kartu garansi..semoga awet",bintang 5,5 bulan lalu
👌 cepat pengirimannya dan barang jg ori,bintang 5,
"barang original, kualitas terbaik. good seller🙌",bintang 5,
"aman sih ya, kalo dimatiin ada tulisan casio, lampu hijau menyala bisa buat liat dikegelapan",bintang 5,3 bulan lalu
"barang bagus, nyaman dipakai. dapat bonus pouch juga . mantap",bintang 5,5 bulan lalu
Sangat fit dan ringan selama digunakan. Terima kasih banyak.,bintang 5,7 bulan lalu
"keren banget, sesuai dan kesan Vintage oke banget, mana dapat Tas lagi, use full banget sih",bintang 5,8 bulan lalu
"Jam sudah disesuaikan tepat waktu, packing aman dan rapi. Diberikan bonus gantungan kunci juga. Terima kasih, sukses selalu",bintang 5,
"Brg bagus, ringan sekali, beli krn rekomendasi artikel. Design old school tp keren.. kiriman cepat. oiya, dpt bonus tas pinggang, trims seller..",bintang 5,8 bulan lalu
"packing rapi, jam sdh disetting. jam berfungsi normal semoga awet",bintang 5,
barang oke banget dan proses pengiriman cepat 👍👍👍,bintang 5,
"Barang sampai sesuai estimasi, kualitas bagus",bintang 5,
bagus simple keren vintage.. diterima dengan sangat baik dapat bonus gantungan kunci dan pouch. pengiriman sangat cepat hari ini order besok sore sudah sampai. good bange...,bintang 5,3 bulan lalu
kecil jamnya kyk jam anak2 hahaha tpi gpp,bintang 4,6 bulan lalu
"bagus, tapi jam nya kekecilan",bintang 4,6 bulan lalu
keren banget jam tangannya osama bin laden,bintang 5,
"sangat bagus kak, cocok di tangan saya. semoga bisnis lancar terus 😃",bintang 5,7 bulan lalu
produknya bagus banget dapet harga 11ribu doang mantap,bintang 5,6 bulan lalu
produk sesuai dan mendarat dengan selamat. terimakasih,bintang 5,8 bulan lalu
Mantap original,bintang 5,11 bulan lalu
proses n pengiriman cepat,bintang 5,6 bulan lalu
"F-91W
For everyone
From Terrorist to President",bintang 5,
"cocok, good, keren, mantab",bintang 5,
seller responsif dan servicenya top,bintang 5,
"pertama kali beli F-91, semoga cocok dan awet.",bintang 5,4 bulan lalu
"pengiriman cepat, barang bagus",bintang 5,6 bulan lalu
barang sampai dengan selamat aman tanpa masalah,bintang 5,6 bulan lalu
gagah seperti bin laden,bintang 5,
keren nih jam teroris🗿,bintang 5,
"Rapih, tepat waktu dan sesuai pesanan",bintang 5,
"Keren , pengiriman cepat 👍",bintang 5,3 bulan lalu
belum lama gak sengaja liat orang make jam legend ini dan jadi teringat impian memiliki. akhirnya hari itu tiba... sebuah jam tangan old school keren ... thanks gaan,bintang 5,belum lama gak sengaja liat orang make jam legend ini dan jadi teringat impian memiliki. akhirnya hari itu tiba... sebuah jam tangan old school keren ... thanks gaan
"keren barang nya ,pas ditangan",bintang 5,11 bulan lalu
"packing aman, paket di terima dengan baik.tq",bintang 5,
sesuai dengan barang 🙏,bintang 5,
"Wow, ori banget",bintang 5,5 bulan lalu
sesuai pesanan. joooos. pengiriman cepat.,bintang 5,5 bulan lalu
terlalu kecil,bintang 5,7 bulan lalu
fun looking watch,bintang 5,
barang original,bintang 5,2 bulan lalu
"model bagus, pas di tangan",bintang 5,3 bulan lalu
"kecil 
cocok untuk anak",bintang 5,8 bulan lalu
terimakasih barang sudah sampai,bintang 5,
"trima kasih, sudah sampai, semoga senang nanti yang minta di belikan,,,,",bintang 5,1 minggu lalu
Barang sesuai. Respon cepat.,bintang 5,
Mantab bet.... ORI,bintang 5,1 bulan lalu
sesuai,bintang 5,4 bulan lalu
Jam menyala,bintang 5,
Bagus,bintang 5,6 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,
sesuai harapan🤩,bintang 5,4 bulan lalu
"sesuai deskripsi, mantap",bintang 5,
"classic, timeless.",bintang 5,5 bulan lalu
"pas...mantab
cepat sampai",bintang 5,5 bulan lalu
Barang sampai dengan selamat,bintang 5,4 bulan lalu
So coool,bintang 5,
mantap,bintang 5,11 bulan lalu
mantap,bintang 5,
"bagus jam nya, imut....",bintang 5,7 bulan lalu
good,bintang 5,
classic,bintang 5,
sesuai. dan dapat bag juga.,bintang 5,4 bulan lalu
cepat rusak,bintang 1,7 bulan lalu
Mantap👍👍👍👍,bintang 5,
cocok sesuai pesanan,bintang 5,8 bulan lalu
mantap!,bintang 5,6 bulan lalu
keren banget gan,bintang 5,9 bulan lalu
Simpel dan Keren,bintang 5,3 minggu lalu
Excellent,bintang 5,5 bulan lalu
legend ... mantap👍👍,bintang 5,1 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,7 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,7 bulan lalu
,bintang 5,8 bulan lalu
,bintang 5,8 bulan lalu
,bintang 5,9 bulan lalu
,bintang 5,8 bulan lalu
,bintang 5,11 bulan lalu
,bintang 5,
,bintang 5,
,bintang 5,
,bintang 5,
oriii,bintang 5,4 bulan lalu
Sumpah bagus bgt,bintang 5,5 bulan lalu
barang sesuai,bintang 5,7 bulan lalu
"👍👍👍👍
mantab",bintang 5,
ok,bintang 5,8 bulan lalu
cepet kren n okeeee,bintang 5,
Mantap banyak bonusnya Terima kasih,bintang 5,4 bulan lalu
sesuai ekspetasi,bintang 5,9 bulan lalu
sangat cepat,bintang 5,
keren cuyy,bintang 5,5 bulan lalu
cepat,bintang 4,10 bulan lalu
mantap,bintang 5,
Mantap,bintang 5,
keren banget,bintang 5,
barang datang sesuai order,bintang 5,
ntap,bintang 5,
sesuai perkiraan. semoga awet,bintang 5,11 bulan lalu
josss,bintang 5,
barang diterima dengan baik,bintang 5,6 bulan lalu
Mantap!,bintang 5,4 bulan lalu
ntaps,bintang 5,
MANTAAAPP,bintang 5,5 bulan lalu
Keren,bintang 5,
ok joss,bintang 5,5 bulan lalu
XOXO,bintang 4,6 bulan lalu
,bintang 3,
Mantappppppppppppppppp,bintang 5,
,bintang 2,
