review,rating,date
"mantap, jamnya bagus banget terasa ringan dipake",bintang 5,2 bulan lalu
"jelas ori. pengiriman cepet pake gosend instan. kualitas jam oke, buat pecinta jam vintage. berasa kaya sting pokoknya",bintang 5,2 bulan lalu
"pembelian sangat ter-worth it di tahun 2025 ini. fast respon seller, original product, pengiriman cepat.. a very iconic timeless piece from casio 🔥",bintang 5,4 bulan lalu
kecil banget cocok buat anak SD SMP produk ori packing aman terima kasih,bintang 5,10 bulan lalu
Coba saja sendiri biar tau gimana rasanya. sejauh ini aman kena air (percikan). Ukuran dan berat enak soalnya ga besar dan ringan yg mana buat ga pegel di lengan. Lampu e...,bintang 5,
"Barang sampai dengan selamat. Packing rapih dan aman. Keaslian barang? Jelas terjamin, jadi gaperlu khawatir dapat barang kw, dokumen dan kartu garansi lengkap. Kualitas...",bintang 5,11 bulan lalu
"berjalan normal.
lampu hijau.
garansi 1 tahun
fungai lain juga berjalan baix",bintang 5,
"barang dtg dlm keadaan aman, packing tebal. jam tangan udh disetting waktunya, model timeless🫶🏻",bintang 5,9 bulan lalu
"Jam sama yang dipakai Osama Bin Laden, nyaman di tangan👍",bintang 5,4 hari lalu
"utk ank umur 12th keatas. krna trlalu kecil. bukn ukuran lengannya. tp barang original. 
untuk ukuran jamnya memng salah beli. tp gpp buat keponakan.",bintang 5,5 bulan lalu
"model retro yang keren, ringan, dan cocok dengan segala style. bisa dipakai formal maupun kasual.",bintang 5,1 bulan lalu
"Ukuran pas meskipun agam kecil, bahannya cocok untuk harga segini, modelnya klasik",bintang 5,10 bulan lalu
"ekspektasinya gak sekecil ini, karena lihat foto2 review yang pakai terlihat pas di tangan. emang salah sendiri sih, kenapa gak ngukur dulu.
tapi diluar itu ini jam legen...",bintang 4,1 bulan lalu
"barang sesuai iklan, packing rapih, barang bagus. kalo menurut saya cocok untuk anak SD atau mungkin yang lengannya kecil. thx ya",bintang 5,
"produk original , pelayanan memuaskan , gara2 nonton film Netflix , jadi beli jam ginian",bintang 5,1 minggu lalu
Jamnya bagus dan cocok utk orang dgn pergelangan tangan yg kecil. Bisa dipakai buat cosplay jd Obama atau Osama bin Laden 👍,bintang 5,
Pelayanannya ramah. Barangnya ori. Cocok dipakai buat anak 6 tahun. Mantap 🔥🔥🔥,bintang 5,4 bulan lalu
"mantap ori ,,, syank kecil banget,  ini cocok buat anak sekolah pas ,  jooossss",bintang 5,9 bulan lalu
"Barang original, kualitas bagus. Pengiriman cepat. Terima kasih",bintang 5,
Model timeless sehingga cocok dipake di outfit formal atau casual,bintang 5,10 bulan lalu
"Timeless classic 👍 
Ringan, solid, berfungsi baik 💪 
Pelayanan dan pengiriman cepat 🙏",bintang 5,2 bulan lalu
"oke sih, keren. barang ori. series di tag sama di jam nya juga singkron. ori gak ragu ragu",bintang 5,1 bulan lalu
"original Casio F91W, jam enak dipakai, simple dan berfungsi dgn baik. Tq",bintang 5,
Harga murah dan barang bagus. Sesuai untuk pergelangan tangan saya yang kecil. Packing juga baik.,bintang 5,
paket aman datang dengan selamat. meskipun kardus luar penyok tapi packing aman. barang sesuai. hanya saja ukurannya ternyata lebih kecil dari yg saya kira,bintang 5,1 bulan lalu
baguss keren ukuran nya pas untuk pergelangan tangan yang kecil 👍,bintang 5,
mayan dah... kecil ringan tapi build quality ok,bintang 5,1 bulan lalu
"Barangnya bagus, tapi ternyata ukurannya sekecil itu ya... hehe. kalau saya kecil besar ok aja",bintang 5,
"model nya klasik, bahan bagus banget.. keren banget pokonya..",bintang 5,
"jamnya bagus ada harga ada kualitas, untuk harga segini lumayan",bintang 5,9 bulan lalu
"ori sesuai deskripsi, anak senang dengan jam nya.",bintang 5,
"Respon & pengiriman cepat, barang sesuai mantap semoga awet.",bintang 5,10 bulan lalu
Modelnya keren. Pas di tangan dan  nyaman. Smakin lancar jaya Casio Gallery Indonesia,bintang 5,
"sesuai deskripsi, cepat diproses, cepat sampai",bintang 5,3 minggu lalu
dijamin asli. udah di cek barcodenya di barcode spider . karna udah terbukti jadi mau beliin lagi buat istri tersayang,bintang 5,
"lebih kecil dari yg saya kira, tapi ini beneran bagus ..",bintang 5,
Pengiriman cepat. Model vintage namun timeless. Semoga awet.,bintang 5,1 hari lalu
"Alhamdulillah sampe. jamnya kecil,  tapi keren...",bintang 5,10 bulan lalu
"Modelnya compact, bagus buat daily driver.",bintang 5,4 bulan lalu
"kalo ada 6 bintang udah tak klik itu, sumpah istimewa banget sih barang dan toko ini. juga kurirnya. istimewaaa",bintang 5,
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercita...",bintang 5,
"mantap, sesuai req, admin terbaik",bintang 5,9 bulan lalu
