review,rating,date
"oke, barangnya, bening tidak baret, barang tidak ada yg patah, cpet samp",bintang 5,7 bulan lalu
"Mantap produknya, packingnya aman dan pengirimannya sesuai pesanan... Thanks seller",bintang 5,
harga murah banget. kwalitas ga tahan gores sesuai harga. moga² awet,bintang 5,
"Barang tidak lengkap, tp penjual gak mau menerangkan. 
Maaf kalo bintang 1",bintang 1,
"barang sesuai deskripsi, harga murah meriah, kualitas oke, proses pengiriman cepat, packing aman, recommended seller",bintang 5,4 bulan lalu
"Lensa jernih, ringan, ringkih, harus hati hati, jaga jangan sampai patah.. top. packingnya rapi dan pengiriman cepat",bintang 5,
"ukuran +2,50 pas, sehingga bisa membaca huruf yang kecil-kecil, semoga awet gagangnya tidak mudah patah seperti yang kemaren2",bintang 5,
respon cepat barang sesuai deskripsi produk packing rapi,bintang 5,
"sesuai pesanan, bagus, dipakai baca jelas, harga murah kualitas mahal. makasih.",bintang 5,10 bulan lalu
Modelnya ok. Barang berfungsi sebagaimana deskripsi. Bagus di kelas harganya. Mantab 👍,bintang 5,
"kedua kali nya beli kacamata baca di toko ini, layanan toko baik, pengantaran cepat dan baik juga...kacamatanya belum di cek satu persatu, tapi terlihat baik2 saja...semo...",bintang 5,
Mantap. Respon dan pengiriman cepat. Packing aman dan rapi. Barang sesuai permintaan dan deskripsi,bintang 5,
"Barang pesanan sesuai pesanan. Barang sesuai harga dan kwalitas bagus. Terima kasih Tokopedia, pelapak dan biro jasa pengiriman barang. saya merasa puas.",bintang 5,
"murah..bagus model..meriah dan sangat berguna..cocok untuk smua manula..
uda g kehitung sy bli ini..trimakasih seler",bintang 5,1 bulan lalu
"modelnya keren,walopuun murah...pas dipake jelas banget dan barang tiba sesuai estimasi",bintang 5,
mantap. sesuai deskripsi. ga nyesel. maksi ya pak.. atas respon dan playanannya.. sukses sehat slalu buat pemilik toko dan penjual serta kurir nya.. aminnnn,bintang 5,
produk sesuai...seller fast respons....rekomended seller...sukses slalu...,bintang 5,
"Toko fast respon...ukuran sesuai pesanan..
Kurir qickt act...
Belanja di toko ini sangat Recomendedr",bintang 5,1 minggu lalu
"terima kasih, barang sudah sampai sellernya fast respon walaupun hr libur chat tetap dibalas 👍",bintang 5,11 bulan lalu
murmer tpi ttp nyaman di pake.enyak babe suka bnget..ktnya enteng dan recomend..next order lagi,bintang 5,
"Super sekali 👍👍👍👍👍.
Packing super aman. Bublewrap tebal. Proses & pengiriman super cepat. Pesanan sesuai. Super RECOMMENDED ⭐⭐⭐⭐⭐.",bintang 5,
"Modelnya keren harga sangat murah, pengiriman cepat sesuai ekspektasi",bintang 5,11 bulan lalu
"PRODUK sesuai dengan yang DIHARAPKAN 😁👍👍👍👍👍, Packing SAFETY 😁👍👍👍👍👍, pengiriman LUAR BIASA 🚀🚀🚀🚀🚀, RECOMMENDED SELLER 😁👍🌟🌟🌟🌟🌟, Terimakasih banyak 😁...",bintang 5,
barang sampai dengan selamat pengiriman cepat,bintang 5,
cepet bener pengirimannya...barangnya bagus dah cocok buat mata saya,bintang 5,
model keren harga ramah di kantong niy pesanan tx min mas rir dn TOKPED 🤗,bintang 5,4 bulan lalu
"emx bner lapak ini ada masalah lsg teratasii DONE 🌟🌟🌟🌟🌟 model nya sell fashionable  sukakk bagned 🥰
tx min mas kurir dn team TOKPED 
🤗❤🥰",bintang 5,
"performanya sih bagus tapi pas dipake ringkih banget 
ya wajarlah dengan harga murah meriah 
tapi salut dengan respon cepatnya 
bahkan walaupun memakai kurir rekomendasi...",bintang 5,
"ukuran pas, nyaman di pake, murah tapi berkualitas
packing rapi dan aman
recomended seller",bintang 5,
"Murah tapi ga murahan, ukurannya pas, enak utk baca. 
Reapon ordernya cepat, packing bungkus bubble wrap.",bintang 5,3 bulan lalu
"Pembelian yg ke5 barang udh nyampe sesuai deskripsi 
thanks seller",bintang 5,11 bulan lalu
Barang sesuai deskripsi cmn 1 luamaaa di pengiriman selebih nya oke lah  bubble wrap nya aman  🌟🌟🌟🌟🌟 thx kaa dn TOKPPED 🤗❤😘,bintang 5,
"Keren nih kacamata, saya pesan +3 untuk baca saja, ternyata bisa dipake utk melihat jauh juga. Harga murah meriah, kualitas wah. Mantaplah. Respon seller hebat, pengirima...",bintang 5,11 bulan lalu
"maaf saya kasih bintang 4, ada 1 yg patah karena packing hanya pakai plastik dan bubble wrap. 
dengan harga segini, sudah bagus, walau ada 2 pcs yg sepertinya salah ukura...",bintang 4,9 bulan lalu
"Tdk Profesional dlm bekerja atau berusaha , di kemas tanpa box atau kerdus hanya di masukin ke dlm kantong plastik kresek",bintang 1,5 hari lalu
"peckingny bagus bnget, kacamatany ringan, harga sulit dipercaya lgsung saya beli 3 buat cadangan d mobil, kntor & di tas, gagang berasa agak ngejepit kepala klo dpake...",bintang 5,
sesuai dengan deskripsi,bintang 5,6 hari lalu
"maklum harga murah, jadi dipakai kurang fokus & bikin pusing.
mending beli yang agak mahalan dikit. 

Toko Very Rekomended.
respon cepat bgt. order langsung kirim",bintang 4,
"Manteb deh.. barangnya bagus, halus engga seperti murahan.. jernih dipakai, ringan.. enak pokoknya.. packing ok banget engga ada yang cedera karena pakai bubble wrap mant...",bintang 5,7 bulan lalu
"Bagi saya yg sering teledor dgn kacamata yang sering banget patah, toko ini memberi harga yg sangat meringankan. saya beli 6 dan satu sayangnya ga bisa dipakai karena pen...",bintang 4,
"mantap sangat sesuai orderan.
toko sangat responsif.
recommended seller banget ini mah.
topp",bintang 5,
"MURAH BANGET TAPI GA MURAHAN DENGAN HIGH QUALITY
REKOMEN BANGET
HARUS PUNYAAAAAAA",bintang 5,4 minggu lalu
kaca mata yg dikirim saya beli 8 yg gagangnya pata 3 biji...kemasan oke rapi dan aman tapi kok aneh yg patah ada 3,bintang 1,
Mantap pengiriman cepat sehari sampai barang bagus harga murah tapi ga murahan,bintang 5,11 bulan lalu
"Saya suka dengan kacamatanya, namun sayang packing kurang aman, shingga beli 3, yg satu patah..",bintang 4,2 bulan lalu
"sampai dgn lengkap, pengiriman agak terhambat, tapi dimaklumi karena msh masa lebaran...packingnya jg lumayan tebal, jadi aman, moga2 ga ada yg rusak",bintang 5,
respon baik mutu bagus dan murah modelnya ok banget dan ukurannya pass Packing aman,bintang 5,
"sesuai ekepektasi,proses pelapak cepat,pengiriman cepat,kualitas sesuai harga..drpd gk bisa baca 🤣,terimakasih semuanya",bintang 5,7 bulan lalu
"lumayan bisa untuk kerja di depan komputer,  tapi tidak bisa kalau untuk gaya,  ada rupa ada harga.  sukses gan terima kasih",bintang 5,
"ukuran pas, model sesuai gambar, packing rapi, pengiriman cepat",bintang 5,
"pembelian kedua, pengiriman cepat, barang bagus dan murah. Cocok untuk dropshipper",bintang 5,
"proses cepat, fast respon, barang sesuai, thanks",bintang 5,2 bulan lalu
seller cepat tanggap dan mengirim kekurangan barang.,bintang 5,
