review,rating,date
"Barang inceran saya nih, Alhamdulillah dapet harga diskon juga akhirnya.
beli kamis dini hari jam 1:30, nyampe Jumat jam 11:00, kurirnya mantap..
Terimakasih Eiger dan To...",bintang 5,6 bulan lalu
"Alhamdulillah pesanannya sudah sampai packing aman walau box kaleng agak penyok dikit,jam ke 3 Eiger,bahan dan kualitas juga fitur lumayan mantap,dapat harga flash sale,s...",bintang 5,
"mantab..
model keren
fungsi normal semua ga ada cacat
yg paling mantab lagi dpt harga 134rb flas sale",bintang 5,1 bulan lalu
"jamnya bagus, exklusif, enak dipakai, berfungsi dgn baik, pengiriman cepat n safety, thanks seller 🙏",bintang 5,9 bulan lalu
"Terimakasi eiger PayDay 40% nanti kalo temen gw nanya beli berapa itu gw bilang ahh,,, 1,3 bagus kaaann...",bintang 5,11 bulan lalu
bagus pas. kondisi sepintas ngga ada cacat,bintang 5,2 bulan lalu
Merk lokal kualitas protrek...gasss pokoknya brand bermutu pasti barang berkualitas...low budget high quality klo Eiger mah,bintang 5,7 bulan lalu
sampai dengan selamat. keren banget. baru pernah punya jam yg lengkap ada kompas dan pengukur ketinggian dan suhu juga. cocok banget buat saya yg hobi hiking dan touring....,bintang 5,2 bulan lalu
"sampai dengan selamat paketnya, kualitas tidak di ragukan lagi, endurance jangan di tanya, terbaik eigerrkuu

thanks courier and thanks seller",bintang 5,8 bulan lalu
"Mantap, dpt diharga special 12.12.
cocok buat diajak mancing 😁",bintang 5,5 bulan lalu
"Model keren, pas di tangan, fitur”nya bagus",bintang 5,7 bulan lalu
"jamnya keren, sesuai deskripsi, barang sampai dengan selamat",bintang 5,
"pesanan mendarat dengan selamat, sesuai dengan deskripsi .. pas buat anak saya",bintang 5,7 bulan lalu
barang diterima dengan aman...model keren cocok utk outdoor...,bintang 5,
"Seller amanah, gercep, kurir juga amanah, barang sampai dengan selamat, dan semua berfungsi dengan baik alhamdulillaah. Ini recomended seller ya guys, tidak diragukan lag...",bintang 5,8 bulan lalu
Produk berkwalitas dan puas belanja di toko ini,bintang 5,2 bulan lalu
"barang ny original,,, recomend bnget,,, next bkln order lgi,,,",bintang 5,
Terimakasih admin dan eiger store ....,bintang 5,
josss...mantapss diskon juga msntapsss 👍🏻👍🏻👍🏻👍🏻,bintang 5,10 bulan lalu
jpssss promonya mantapssss bikin kalap belanja...josss,bintang 5,10 bulan lalu
jam ke 4 eiger yg saya beli..nambah koleksi..kualitas jangan diragukan.,bintang 5,1 bulan lalu
"bagus,semua berfungsi dengan baik 👍",bintang 5,
jossss....diskonnya juga jossss..mabtaosss,bintang 5,10 bulan lalu
"Ekspedisinya kurang, box kalengnya sampe bengok",bintang 3,
model dan kualitas full beautiful,bintang 5,10 bulan lalu
josss keren abiss mantapss order diskonan,bintang 5,
"Mantap......gercep banget, recomended deh pokoknya",bintang 5,3 bulan lalu
mantaps...promonya juga mantapss,bintang 5,11 bulan lalu
barang bagus 👍👍👍👍,bintang 5,5 bulan lalu
jossss diskon terus ya boss,bintang 5,11 bulan lalu
"bagus, thanks eiger",bintang 5,11 bulan lalu
josssss,bintang 5,11 bulan lalu
keren mantap kangbro,bintang 5,2 bulan lalu
jossss promonya juga jossds,bintang 5,11 bulan lalu
josss promonya mantapss,bintang 5,11 bulan lalu
,bintang 5,
,bintang 5,
ok,bintang 5,10 bulan lalu
goood..👍👍👍,bintang 5,10 bulan lalu
Mantap Min,bintang 5,
jossssss,bintang 5,11 bulan lalu
mantap,bintang 5,6 bulan lalu
