review,rating,date
"Aku suka merah mudanya bagus tapi GK sesuai sama pesanan ,knp bisa beda juga pesanannya di  tulisan paket resinya pink sama biru ,itupun yg sampe pink sama merah muda, se...",bintang 3,2 bulan lalu
"GK sesuai sama pesanan ,knp bisa beda juga pesanannya di  tulisan paket resinya pink sama biru ,itupun yg sampe pink sama merah muda, sedangkan aku pesen di aplikasi tikt...",bintang 1,2 bulan lalu
"Gelangnya bagus, imuut, keren, cantiq.. pengiriman cepat, makasih kk.. berkah trs ya jualannya..",bintang 5,8 bulan lalu
"Bagus gelangnya.. detail banget garapannya.. aku suka.. pengiriman cepat, memuaskan pokoknya.. makasih seller",bintang 5,8 bulan lalu
Baru sampai paketnya...bagus banget gelangnya sy suka...terimakasih y,bintang 5,5 bulan lalu
"MasyaAllah orderan pertama saya 20 pcs suda sampai 👍 barangx aslix bagus bahan gelangx bagus, enak buat jual lagi, Monggo yg mau order jgn ragu 🙏🙏",bintang 5,6 bulan lalu
"MasyaAllah orderan pertama saya 20 pcs suda sampai 👍 barangx aslix bagus bahan gelangx bagus, enak buat jual lagi, Monggo yg mau order jgn ragu 🙏🙏",bintang 5,6 bulan lalu
"MasyaAllah orderan pertama saya 20 pcs suda sampai 👍 barangx aslix bagus bahan gelangx bagus, enak buat jual lagi, Monggo yg mau order jgn ragu 🙏🙏",bintang 5,6 bulan lalu
"MasyaAllah orderan pertama saya 20 pcs suda sampai 👍 barangx aslix bagus bahan gelangx bagus, enak buat jual lagi, Monggo yg mau order jgn ragu 🙏🙏",bintang 5,6 bulan lalu
"MasyaAllah orderan pertama saya 20 pcs suda sampai 👍 barangx aslix bagus bahan gelangx bagus, enak buat jual lagi, Monggo yg mau order jgn ragu 🙏🙏",bintang 5,6 bulan lalu
"MasyaAllah orderan pertama saya 20 pcs suda sampai 👍 barangx aslix bagus bahan gelangx bagus, enak buat jual lagi, Monggo yg mau order jgn ragu 🙏🙏",bintang 5,6 bulan lalu
"MasyaAllah orderan pertama saya 20 pcs suda sampai 👍 barangx aslix bagus bahan gelangx bagus, enak buat jual lagi, Monggo yg mau order jgn ragu 🙏🙏",bintang 5,6 bulan lalu
"MasyaAllah orderan pertama saya 20 pcs suda sampai 👍 barangx aslix bagus bahan gelangx bagus, enak buat jual lagi, Monggo yg mau order jgn ragu 🙏🙏",bintang 5,6 bulan lalu
"MasyaAllah orderan pertama saya 20 pcs suda sampai 👍 barangx aslix bagus bahan gelangx bagus, enak buat jual lagi, Monggo yg mau order jgn ragu 🙏🙏",bintang 5,6 bulan lalu
"MasyaAllah orderan pertama saya 20 pcs suda sampai 👍 barangx aslix bagus bahan gelangx bagus, enak buat jual lagi, Monggo yg mau order jgn ragu 🙏🙏",bintang 5,6 bulan lalu
Bagus tapi sampe sini pecah pecah,bintang 5,8 bulan lalu
"Bagus sekali, lucu lucu lagi. Terimakasih🥰",bintang 5,4 bulan lalu
Masya Allah gelangnya bagus banget dak kecewa cek out di sini kapan kapan cek out lagi insyaallah dan barangnya sesuai seperti yg ada di foto ☺️😊,bintang 5,8 bulan lalu
Udah bagus padahal tapi ada yg pecah mutiaranya,bintang 5,1 minggu lalu
Udah bagus padahal tapi ada yg pecah mutiaranya,bintang 5,1 minggu lalu
Tidak di bunguain satu satu tp gpp lah,bintang 5,3 bulan lalu
Gelangnya cantik banget love sesuai gambar bagus pokoknya suka love banyaaakkkk,bintang 5,5 bulan lalu
Yg dikirim brg apaan yah? Kok GK ada isinya cuma pembungkus bubble wrap aja,bintang 1,5 bulan lalu
Makasih paketan nya sudah DTG makasih ini sama yg di gambar makasih ya seler nya yg sudah amanah 👍👍👍,bintang 5,5 bulan lalu
Bagus sesuai gambar anaku suka..sukses slalu,bintang 5,8 bulan lalu
Sangat memuaskan bagus banget gelangnya,bintang 5,5 bulan lalu
Bagus sih . Tapi sayang banyak pecah ..,bintang 3,8 bulan lalu
"Bagus bgt nih, dapet 7000an gratis ongkir",bintang 5,8 bulan lalu
Sayang banget packingnya kurang kuat jadi pecah 2 gelang harusnya dikasih kardus lagi biar lebih safety,bintang 5,4 bulan lalu
"Ternyata bukan batu ya, pantes bisa pecah",bintang 5,5 bulan lalu
Gelang nya sesuai pesanan bagus lg hrga murah tp kwalitas g murahan,bintang 5,4 bulan lalu
Paket sdh smpai barng bagus sesuai pesanan mf baru ksh ulasan skrg,bintang 5,7 bulan lalu
"Barang bagus ,sesuai iklan, pengiriman  cepat, kurir ramah 🫰🫰🫰",bintang 4,4 bulan lalu
"Barang bagus ,sesuai iklan, pengiriman cepat kurir ramah, , 🫰🫰",bintang 4,4 bulan lalu
Beli disini rekomendasi banget barang pengiriman cepat dan realpict banget secinta ituu,bintang 5,5 bulan lalu
"Gelangnya lumayan bagus tp warnanya kurang cerah hijaunya .
Ya sesuailah sama harganya yg murah",bintang 5,6 bulan lalu
Recommended beli di toko ini. Harga murah kualitas oke,bintang 5,7 bulan lalu
"Gelangnya warna putihnya kurang cerah.
Lumayanlah sesuai dgn harganya yg murah.
Makasih seller , makasih mas kuriernya dan makasih tik tok",bintang 5,6 bulan lalu
"Warna: biru lake
Bagus banget, sukaa deh",bintang 5,8 bulan lalu
"udh dtg paketnya, tp warna yg warna pink rose, ungu yg datang tp nggak apa2, bagus kok.",bintang 5,5 bulan lalu
Kirain warna gelangnpinknya cerah tp GK apa2 lah sesuai dgn harganya yg murah.,bintang 5,6 bulan lalu
Bagus dan Lumayan tp pada pecah,bintang 5,5 bulan lalu
Lumayan sih gelangnya sesuai sama harganya yg murah,bintang 5,6 bulan lalu
Udh sampai kk trimakasih sukses sllu aamiin ...gelang a cantik s x,bintang 5,8 bulan lalu
Barang sudah datang ya lumayan lah sesuai dgn harganya yh murah.,bintang 5,6 bulan lalu
"Gelangnya bagus banget makasih ya,kurirnya juga ramah",bintang 5,5 bulan lalu
Bagus cuman agak kegedean  aja.....,bintang 5,8 bulan lalu
Ok smua ny,bintang 5,8 bulan lalu
Unyu bingitz bs buat dzikir juga,bintang 5,4 bulan lalu
Bagus dan lumayan sesuai harganya,bintang 5,5 bulan lalu
Ok smua ny....,bintang 5,8 bulan lalu
Ok smua ny....,bintang 5,8 bulan lalu
Cantik sekali gelangnya. Terimakasih🥰,bintang 5,4 bulan lalu
Barang ny udah sampe bagus bikin puas,bintang 5,9 bulan lalu
Ok smua,bintang 5,8 bulan lalu
Barang kurang  1,bintang 1,1 bulan lalu
"Bagus sih, lucu cantik 😘",bintang 5,5 bulan lalu
bagus banget,bintang 5,4 bulan lalu
"Baguas, tp pada pecah",bintang 5,5 bulan lalu
"Bagus, tapi ga ada plastiknya",bintang 5,2 minggu lalu
Bagus tp Pada hancur sebagian,bintang 5,5 bulan lalu
suka banget deh gelnagnya,bintang 5,5 bulan lalu
Realpick,bintang 5,6 bulan lalu
Barang rusak putus di kirim,bintang 1,8 bulan lalu
Sesuai gambar. Cantik cantik...,bintang 5,2 bulan lalu
Sesuai gambar. Cantik cantik...,bintang 5,2 bulan lalu
Putus kretnya,bintang 1,2 bulan lalu
Sangat bagus harus order lagi,bintang 5,6 bulan lalu
mantulll banget gelang nya cantik,bintang 5,6 bulan lalu
Warna gelangnya kurang cerah.,bintang 5,6 bulan lalu
Cakep banget,bintang 5,6 bulan lalu
Bagus sesuai pesanan,bintang 5,5 bulan lalu
Bagus sesuai pesanan,bintang 5,5 bulan lalu
Bagus sesuai pesanan,bintang 5,5 bulan lalu
Bagus sesuai pesanan,bintang 5,5 bulan lalu
Bagus sesuai pesanan,bintang 5,5 bulan lalu
Bagus sesuai pesanan,bintang 5,5 bulan lalu
Bagus sesuai pesanan,bintang 5,5 bulan lalu
