review,rating,date
"walaupun awalnya gelang tidak di kirim tapi seller sangat ramah dan bertanggung jawab akhirnya dana pun di kembalikan, terimakasih seller 🥰",bintang 5,2 bulan lalu
,bintang 4,2 bulan lalu
"Recommended 
Sangat memuaskan, bagus dan kokoh",bintang 5,1 minggu lalu
"Barang sesuai gambar
Desain: Modern
Bahan: Anti air",bintang 4,8 bulan lalu
Keren..kualitasnya seprtinya kuat..okelah..terlihat meyakinkan.,bintang 5,2 bulan lalu
"Sesuai pesanan, pengiriman cepat... kemasannya rapi.. ukurannya pas ditangan, warnanya cakep
thanks all🙏🥰💜",bintang 5,2 bulan lalu
"Pesannya Hijau,pink masing""2,5 Meter yg dtng pink semua baru ukurannya 1,5 meter satu,harusnya ada konfirmasi klw barang gak ada harus teliti lagi lihat pesanan orang...",bintang 4,2 bulan lalu
"Bagus banget,,puass dech.. makasih ya,,semoga toko nya sukses selalu",bintang 5,2 bulan lalu
"Brg sudah diterima, bermanfaat buat bepergian bagi yg punya bocil aktif bgt",bintang 5,8 bulan lalu
"Bagus kualitasnya, nyaman dipakai",bintang 5,2 bulan lalu
"Pesannya hijau yg datang biru. Pnjang nya juga gk sesuai,, pesannya yg 2.5 mtr, yg dtg gk smpai 2 mtr.",bintang 3,2 bulan lalu
"Bahan: empuk nyaman
Desain: bagus
Durabilitas: bagus",bintang 5,8 bulan lalu
Mantap bahan nyaa bagus cuman anak ku blm ngerti jadi nya nanges padahal bagus bgt dibawa kemana2 🥲,bintang 5,8 bulan lalu
Barang bagus pengiriman cepat n sellernya oke,bintang 5,5 bulan lalu
,bintang 4,2 bulan lalu
"Barang nya realpict, membantu untuk menjaga anak² yang aktif",bintang 5,6 bulan lalu
"Mantap, berguna nih buat jalan2 di mall yg anaknya kaga bisa diem",bintang 5,2 bulan lalu
"Terika kasih... barang sesuai, Packing rapih, pengiriman cepat",bintang 5,8 bulan lalu
Alhamdulillah paket nya sudah saya terima tokok nya amanah dan Abang kurirnya dah langganan,bintang 5,2 bulan lalu
"Pesannya Hijau,pink masing""2,5 Meter yg dtng pink semua baru ukurannya 1,5 meter satu,harusnya ada konfirmasi klw barang gak ada harus teliti lagi lihat pesanan orang...",bintang 4,2 bulan lalu
"Pengiriman lambat tiap di inbok selalu bilang akan datang sekalinya 8hari baru nyampe, jadi krmin mgu gak jadi jalan nungguin tali ini ngga datang2.",bintang 4,6 bulan lalu
Sesuai pesanan anak aku jadi lebih gampang dijaga kalo kmna2,bintang 5,2 bulan lalu
"Saya order 2,5m yg dikirim 1,5m
Not Rekomend beli disini",bintang 1,9 bulan lalu
"Terima kasih barangnya udah tiba 
Bagus bisa mengontrol kmn perginya bocil",bintang 5,7 bulan lalu
Bagus sih cuma lama ajh 2minggu lebih mungkin PO cuma aku nya yg GK ngeuh.... terimakasih bang kurir yg selalu langganan baik&ramah,bintang 5,1 bulan lalu
"Paketx sudah smpai…
Alhamdulillah…g cemas lagi bawa bocil sholat jamaah…",bintang 5,2 bulan lalu
"Datang sesuai pesanan , warnanya suka bgd....",bintang 5,3 bulan lalu
Nice bngd . Sy fikir tdak ada loc nya eh rupanya ada . Semakin sukaaa,bintang 5,2 bulan lalu
"Alhamdulillah sampai tepat waktu , sesuai dengan pesanan ,mantap mksh byk 🙏🙏",bintang 5,2 minggu lalu
"Cara hadapi balita aktif. Wkwkwk
Makasih ya",bintang 5,6 bulan lalu
Bagus👍👍👍👍 kualitas ok punya,bintang 5,9 bulan lalu
bagus banget sesuai gmbar,bintang 5,8 bulan lalu
Lucuuu pengiriman cepat berguna buat di keramaian,bintang 5,8 bulan lalu
"Beli yg 2,5m tpi dikasih 1,5m
Parah gak amanah bgt",bintang 1,2 bulan lalu
"bagus, nama saya suka 

( info balikan sm mantan pls, ar kangen:((()",bintang 5,2 bulan lalu
Sangat bagus sekali tidak mengecewakan,bintang 5,2 bulan lalu
"Alhamdulillah paketnya Uda sampe 
Belum d coba mudah2an bagus dan awet",bintang 5,2 bulan lalu
"Sesuai sama gambar,alhamdullillah pesanan udah mendarat,,",bintang 5,2 bulan lalu
Barang bagus terimakasih pengriiman cepat,bintang 5,7 bulan lalu
Barang sudah datang sesuai deskripsi,bintang 5,8 bulan lalu
Manto persiapan taraweh bawa anak,bintang 5,5 bulan lalu
"Barang udh Sampai, sesuai pesanan terimakasih 🙏",bintang 5,3 minggu lalu
"Pesan warna hijau, yg datang warna pink. Lah anak saya cowo begimana😔",bintang 1,3 minggu lalu
Bagus sangt bermanfaat di saat ke mall,bintang 5,7 bulan lalu
Real pick,bintang 5,2 bulan lalu
Ini jg pendek,bintang 4,2 bulan lalu
Bagus bgt,bintang 5,2 bulan lalu
Ini bagus panjang,bintang 5,2 bulan lalu
"Kecewa yg d pesan 2,5m yg d kirim 1,5m.",bintang 2,2 bulan lalu
Keren sekali mantap,bintang 5,2 bulan lalu
"Alhamdulillah sdh sampai uk 2,5m",bintang 5,2 bulan lalu
Bgus good,bintang 5,2 bulan lalu
Cocok sesuai,bintang 5,6 bulan lalu
"Yang sampai pink, bukan hijau",bintang 5,2 bulan lalu
Bagus sesuai pesanan,bintang 5,2 bulan lalu
,bintang 5,2 minggu lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,3 bulan lalu
Ini pendek,bintang 4,2 bulan lalu
Desain: Cantik banget,bintang 5,2 bulan lalu
Desain: Bagus,bintang 5,2 bulan lalu
Semogga bermanfaat,bintang 5,2 bulan lalu
Bagus semuanya,bintang 5,2 bulan lalu
Bagus banget 👍👍👍,bintang 5,9 bulan lalu
Barang okey tapi lama kirim,bintang 5,7 bulan lalu
Trimakasih kak 🙏🙏🙏 paket q udah datang bagus bangeeeet anak q suka trimakasih 🙏🙏🙏 bang kurir,bintang 5,2 bulan lalu
Sesuai,bintang 4,9 bulan lalu
Bagus,bintang 5,2 bulan lalu
Bagus,bintang 4,2 bulan lalu
Bagus,bintang 5,5 bulan lalu
Bagus,bintang 5,5 bulan lalu
Bagus,bintang 5,7 bulan lalu
baik,bintang 5,7 bulan lalu
Nice one,bintang 5,3 bulan lalu
Useful,bintang 5,3 bulan lalu
Bagus,bintang 3,9 bulan lalu
Mantap,bintang 4,7 bulan lalu
Good,bintang 4,2 bulan lalu
Good,bintang 5,2 bulan lalu
Semoga anakku ga ngereog 😀,bintang 4,2 bulan lalu
Bgus bngt,bintang 5,3 bulan lalu
amazing,bintang 5,2 bulan lalu
Bagus tp blm coba realnya,bintang 5,8 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 4,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
Ok,bintang 5,2 bulan lalu
Ok,bintang 5,2 bulan lalu
ok,bintang 5,7 bulan lalu
Bgus,bintang 5,2 bulan lalu
Bagus semoga awet,bintang 5,2 bulan lalu
Bagus semoga awet,bintang 5,9 bulan lalu
Ok⭐⭐⭐⭐⭐👍👍👍,bintang 5,7 bulan lalu
👍🏻👍🏻,bintang 5,7 bulan lalu
sudah diterima,bintang 5,3 minggu lalu
