review,rating,date
"bagus kok barangnya, dan kualitas rapi. worthit dengan harga segitu",bintang 5,1 bulan lalu
"Ikat tebal, looks premium, cocok buat formal atau casual",bintang 5,
"Barang bagus dan sesuai.
Hanya saja, barang dikirim ke alamat lain sehingga menjadi pertanyaan.",bintang 5,6 bulan lalu
"Tebel, kualitas oke, tp ntah kenapa barang tdk sesuai dengan foto deskripsi",bintang 4,6 bulan lalu
"70% kulit, panjang tapi dipotong agar supaya lubangnya muat
sabuk sederhana tapi bikin mbois",bintang 5,7 bulan lalu
"barang sudah di terima, bagus ternyata keren, mudah2han awet",bintang 5,7 bulan lalu
"Sesuai pesanan. 
Pengiriman cepat. 
Kemasan aman.
Mantap",bintang 5,6 bulan lalu
"agak beda sama foto pertama, tidak ada aksen warna merah putihnya",bintang 4,1 bulan lalu
"Modelnye keren, seller gercep, kurir satset",bintang 5,1 bulan lalu
mantap bgt untuk harganya yang miring,bintang 5,
"JANGAN DIBELI, BARANG YANG DATENG BEDA SAMA YANG DIPAJANG",bintang 1,6 bulan lalu
"pengiriman tepat waktu, packing rapi, kualitas cukup bagus. rekomendasi buat yang lagi nyari barang yg terjangkau dengan kualitas yg cukup baik. semoga awet",bintang 5,
tidak sama dengan foto. di foto seperti merk TH ada kotak merah dan putih. kenyataannya tidak ada,bintang 4,1 minggu lalu
Barangnya bagus dan sesuai pesanan. Ikat pinggangnya juga berbobot dan solid. Tapi gede banget buat saya.,bintang 5,6 bulan lalu
bagus dan layak untuk dipakai formal dan santai,bintang 5,3 minggu lalu
"harga murah, barang so good, size nya cocok",bintang 5,6 bulan lalu
"leather goodsnya guten inc ga pernah mengecewakan, sayang banget udah stop produksi belt, kuras smua deh buat stock",bintang 5,
"model na hade mang, tengkyu pisan............",bintang 5,6 bulan lalu
"lumayan, tapi ga ada logo t*mmy hilfiger",bintang 4,6 bulan lalu
Nyaman di pakai bagus sesuai harga,bintang 3,1 hari lalu
sesuai deskripsi,bintang 5,6 bulan lalu
bagus tidak mengecewakan barangnya,bintang 5,6 bulan lalu
"kereeeen!! sesuai ekspektasi!
semoga awett",bintang 5,6 bulan lalu
Keren modelnya harga murah mantap,bintang 5,4 bulan lalu
bagus,bintang 5,2 bulan lalu
