review,rating,date
"Pengiriman cepat, packing aman, dusnya ada penyok2 dikit, untuk produknya masih tetap berfungsi",bintang 5,
"seller responsif.
packing bubble tebal, walau kotak sedikit penyok.
kurir cepat dan ramah.
produk bagus, ukurann panjang dan bisa disesuaikan.
semoga awet.
rekomendasi. �...",bintang 5,
"kualitas sesuai dengan harganya. bahannya jelas beda. kulitnya asli, lembut, tidak berbau",bintang 5,
Kualitas barang sangat baik dan nyaman digunakan,bintang 5,
"sesuai dengan deskripsi, talinya panjang, bahan tali ada 2 lapis.",bintang 5,
model nya keren. sesuai ekspektasi. seller responsif. pengiriman cepat & packing aman.,bintang 5,
Modelnya simpel & elegant. Kualitas bahannya bener2 bagus. Puas banget 🤗,bintang 5,
"barang oke sesuai spek, harga sesuai kualitas",bintang 5,
Bgus. Kulit asli. Packgajing juga bagus. Sesuai sama harganya. Thanks,bintang 5,
"Wah baru pesan kemarin Selasa, di hari Rabu barangnya sudah sampai. Cepat sekali haha. Semoga awet dan tahan lama. Terima Kasih",bintang 5,3 bulan lalu
"Barang sesuai deskripsi. Penjual kooperatif. Chat berbalas demi kebaikan bersama. Akhirnya setelah barang saya terima, harus di potong -+10cm....😅
Tapi yg penting saya p...",bintang 5,
Alhamdulillah Barang cepet sampai' pas kota bekasi lagi di kepung Banjir' salut sama Kurir ID Ekpres' Kwalitas sesuai dengan harga ' proses pengiriman sup...,bintang 5,2 bulan lalu
"Sesuai order, bagus, hanya kurang panjang bagian relnya. Semoga awet.",bintang 5,
"barang baru bagus, kulit bagus, gasper bagus
saya punya spt.ini lumayan awet
harga normal krg lbh sama dg beli di mall
ukuran utk sy celana 34 harus potong
tali kulit aga...",bintang 4,
"Barang sudah diterima, sesuai pesanan jumlah & spec, seller bagus responsif, hanya untuk kurir saja yang super lelet.",bintang 5,7 bulan lalu
"Produk original, pengirimannya juga cepet, puas bgt🥰",bintang 5,
"paking rapi dan aman, kwalitas bagus dan sesuai di photo. proses cepat jozz",bintang 5,
Barangnya sesuai pesanan dan berfungsi dengan baik semoga awet,bintang 5,
"bahannya sesuai dengan harganya, mudah2an awet, deliverinya cepat.",bintang 5,
"Terima kasih, paket sudah saya terima dengan kondisi baik, dan pengirimannya juga sesuai harapan 🙏",bintang 5,
"Barang nya bagus, sesuai pesanan dan cepat tiba pengirimannya, tks",bintang 5,
"terima kasih barang nya sdh datang. mudah2an sesuai dg keterangan d wall nya, kualitas bagus dan cocok krn ini utk kado. packagingnya yg pasti aman dg bubble wrap inside,...",bintang 5,
"barang ok, sudah deterima, memuaskan, sesuai aplikasi dan pengiriman cepat",bintang 5,
"Mantabh keren, respon kilat, packing rapi, barang memuaskan. thanks ya",bintang 5,
"Pesanan sampai tepat waktu.
Kualitas barang persis sama dg yg diinginkan dan tidak mengecewakan...",bintang 4,
"modelnya keren, pas di badan, pengiriman cepat,",bintang 5,8 bulan lalu
"lumayan keren ikat pinggangnya, bahannyabagus",bintang 4,6 bulan lalu
"Setelah dicoba, keren dan kuat juga 👍",bintang 5,
Ikat pinggang sesuai deskripsi,bintang 5,
"kualitas produk oke banget. kulit sabuk tebal, kepala gesper tidak berisik. sabuk cukup panjang, cocok dg celana ukuran 38-40",bintang 5,
"Paket sdh diterima. Modelnya keren, kualitas bagus, nyaman dipake. Pengiriman cepat, respon seller ramah. Terimakasih.",bintang 5,8 bulan lalu
"Model & kualitas oke, kulit asli, best value for money. barang ori.",bintang 5,6 bulan lalu
"brg sesuai pesanan, warna dan panjang sabuk sesuai permintaan, seller ramah dan fast respon, pengemasan rapi dan bagus",bintang 5,
"kalaupun dari kulit sepertinya bukan kualitas terbaik. Packing Rapi, pakai Box dan Bubble Wrap.",bintang 4,
"kulit asli, pelayanan ramah, pengiriman cepat",bintang 5,
"bahan bagus, suami suka.. semoga awet bener kulit jadi ga gampang ngelupas",bintang 5,
"Packing aman, delivery cepat, barang berkualitas",bintang 5,
"Barang kualitasnya bagus worth it dg harga, respon seller dan pengiriman brg cpt. thanks",bintang 5,
"Pengiriman cepat, packing aman, produknya sesuai ekspektasi, bagus, eksklusif.. makasih ya..",bintang 5,
"Produk bagus, rapi, rekomen. Prosesnya jg cepat, delivery aja yg agak lama",bintang 5,
"barang recommended, kualitas gaperlu diragukan lagi.",bintang 5,
"Barang sesuai pesanan, respon cepat, terima kasih",bintang 5,
"“Sempurnakanlah takaran dan janganlah kamu termasuk orang-orang yang merugikan, dan timbanglah dengan timbangan yang lurus. Dan janganlah kamu merugikan manusia pada hak-...",bintang 3,
"Pengirimannya cepat banget, ikat pinggangnya juga bagus, terbaik 👍",bintang 5,2 bulan lalu
"Barang sampai dengan selamat, packing lumayan rapih. Semoga awet. Pemakaian 2 Minggu masih belom ada kendala",bintang 5,
"modelnya keren,  ukurannya sesuai  trimkasih seller.",bintang 5,
Barang sesuai tp pengiriman agak sedikit terlambat,bintang 4,
"bagus. kualitas nya, semoga awet. luxury bgt",bintang 5,
"mantaap

ada harga ada kualitas",bintang 5,
barang oke..pengiriman sat set,bintang 5,
"Cepat sampai, sesuai harapan, tks",bintang 5,5 bulan lalu
Barang oke dan pengiriman cepat. Tks,bintang 5,
Lain kali diperjelas dong ukuran yg dikirim itu apa,bintang 5,
"terima kasih, sudah sampao dengan selamat",bintang 5,
sesuai gambar,bintang 5,
Lumayan Bagus. pengiriman cepat,bintang 4,
mantap kali bahhh.. kirimnya pun kilatt,bintang 5,
keren bahan premium,bintang 5,
oke nyaman banget,bintang 5,11 bulan lalu
mantaplah,bintang 5,
The best untuk sabuknya..🤝,bintang 5,
,bintang 5,
Model mantap keren,bintang 5,5 bulan lalu
feelnya biasa aja. semoga awet,bintang 4,
Mantap 👍,bintang 5,4 bulan lalu
Sesuai yg di harapakan,bintang 5,
