review,rating,date
"bagus, berfungsi dengan baik semua itemnya, hanya lingkar tangannya ternyata kebesaran untuk tangan saya.",bintang 5,
Jamnya kualitasnya B aja dari segi material (maklum ada harga ada kualitas). Tapi kompas dan thermometer nya berfungsi bukan cuma hiasan. Dan buat big size masih nyaman (...,bintang 5,
"barang sesuai harga ya, bingung jg ini kegedean talinya, ga tau gimana biar bisa dikecilin",bintang 5,
"Barang tidak ada QC sama sekali ini, flint sudah tergerus bahkan patah, jam tidak menyala, kompas tidak akurat",bintang 1,
"Jos
Tp sayang ngga plus baterainya
Trs sama saya agak kedodoran (bb saya 60), kayaknya sama saya ga buat dipake di tangan",bintang 4,
"Harga murah tapi kualitas bagus, keren, semua fiturnya fungsi sesuai deskripsi",bintang 5,
"jam tangan mantabs, tinggal pasang baterai serta disesuaikan sedikit dgn pergelangan. Trims IbagStore & toped",bintang 5,
⭐️⭐️⭐️⭐️⭐️ perlu ganti batre 👍,bintang 5,
"overall bagus, cuma harus dikostum lagi jadi sempet belajar cara bikin cobra knot",bintang 5,11 bulan lalu
Barang sampai dengan selamat. Barang sesuai dengan gambar dan deskripsi,bintang 5,8 bulan lalu
sesuai gambar dan berfungsi dengan baik,bintang 5,
jam nya tidak sesuai dengan gambar.... dan juga jamnya mati,bintang 1,
barang sesuai pesanan.. mantaf,bintang 5,
"modelnya keren, semua komponen berfungsi dengan baik, ada jam, peluit, pelacak suhu udara, kompas dan flint and steel (fire starter). Pas di tangan dan cocok buat berkegi...",bintang 5,
"semua fiturnya works, tapi ini ngisi batre jam nya gimana ya?",bintang 5,
"Jam kegedean & kirain udah ada batrenya, jadi masih belum dipake",bintang 5,7 bulan lalu
"jam nyala, packing rapih
cuma bingung ini kegedean ditangan",bintang 5,
"Repon sellernya juara pesan malam pun langsung kirim,, barang sesuai, suksesselalu gan",bintang 5,
Jam yang bagus dan dapat diandalkan kalau sedang berjalan,bintang 5,3 minggu lalu
"best, fast, cool seller",bintang 5,
"hanya tali paracord tanpa jam
refund berhasil",bintang 4,
coba dicek soalnya dapet unit yg batrenya abis,bintang 3,
G bisa di atur besar gelangnya ternyata,bintang 4,
Barang bagus respon toko cepat,bintang 5,
mantap rekomended banget buat yg hobi Sulviver,bintang 5,
baaguss..tapi jaamm nya ga idup ka,bintang 5,4 hari lalu
"semuanya berfungsi, kecuali jamnya.",bintang 2,
"bagus jam nya, semoga bermanfata",bintang 5,
good,bintang 5,
jamnya bagus.amanah.,bintang 5,
mari berpetualang ke Gunung ....,bintang 5,
bagus sesuai pesanan,bintang 5,3 bulan lalu
,bintang 5,
jarumnya goyang,bintang 2,
ok,bintang 5,
Sudah diterima dengan baik,bintang 5,7 bulan lalu
,bintang 3,
,bintang 3,
salah kirim warna,bintang 3,
,bintang 1,
,bintang 2,
Barang dikemas bagus sesuai pesanan mantab,bintang 5,
Minta merah dikirim hitam,bintang 2,
Jam tangan survival tapi ga anti air dan strap jam tangannya ga bisa diatur panjang pendek nya .,bintang 1,
👍,bintang 4,
"Cepat,aman,mulus..cuma kaya nya gaada batre deh..hehehe",bintang 5,
"Barang sudah mendarat tanpa cacat cuman kegedean, gpp lah sdah di kecilin",bintang 4,
"Sesuai deskripsi, terima kasih",bintang 5,
"Tidak ada pemutar jarum jam, tidak bisa nyala",bintang 1,
Tali nya ke longgaran tapi gpp sih,bintang 5,
barang sudah sampai terima kasih,bintang 5,
"Mantap, sudah sampai Dan sudah saya coba, good",bintang 5,
Jam ga nyala dan kegedean,bintang 3,
"Tidak Ada jamnya kecewaaa saya
Ukurannya juga besar bngt. 
Gagal paham Sama penjual Kaya gini.
Dosa dah",bintang 1,
Keren,bintang 5,
"Jamnya bagus, warnanya bagus, cuma agak kebesaran, tapi ttep suka",bintang 5,
Barang sudah diterima dan sesuai...terima kasih,bintang 5,
Barang OK.....,bintang 5,
"Saya suka, packaging rapi, sesuai dengan deskripsi

Hanya saja akan jauh lebih baik bila sudah dipasangi baterai di dalamnya, gak semua orang bisa memasangkan sendiri bat...",bintang 4,
"Barang bagus.
Hanya sedikit kebesaran. Jadi agak longgar. Dan memang gak bisa di kecilkan.",bintang 5,
Packaging nya kurang bagus,bintang 5,
Mantap senang sekali sama jam ini cocok makasih,bintang 5,
oke,bintang 5,
Sampai dengan selamat.....,bintang 5,
Ga bisa disetel panjang pendeknya... Ga sesuai ekspektasi,bintang 1,
pengiriman nya lambat sekali,bintang 5,
"kualitas cukup memuaskan, ukuran pas di tangan",bintang 5,
"Alhamdulillah terimakasih, mantap dan proses cepat, semoga sukses  selalu",bintang 5,
,bintang 5,
Bagus sih sesuai harga tapi ko jamya matiya g bs dipake deh beli batrai dl,bintang 4,
Bagus rekomended....tks.,bintang 4,
"Niceeeee, 👍👍👍👍👍👍👍👍👍👍👍",bintang 5,
Ukurunya gak bisa dikecilin?,bintang 4,
Mantap.. recommended seller,bintang 5,
"Siiipp,, cuma agak kecewa dipengiriman yang tertunda",bintang 5,
Terima kasih bos barang sudah tiba sma sya,bintang 5,
Mantap... Alhamdulillah...,bintang 4,
Kurang puas,bintang 5,
,bintang 2,
"Produk sesuai ekspektasi, baru dicoba sebentar. Pengiriman cepat, padahal ke Malang.",bintang 5,
"Jamnya bagus,, cm tangan ane kecil, jd perlu dirombak jam nya.. hhe",bintang 5,
Mantap  Gan .sesuai gambar dan depripsi nya ..barang oke kemasan oke .harga oke.. yg beli juGa ok..😁,bintang 5,
Jarumnya gak bs muter bila disetel,bintang 2,
barang lumayan bagus berfungsi,bintang 4,
Mantap. Packing rapi. Pengiriman cepat. Good,bintang 4,
"barang udah nyampe brng nya rapi aman bgt
tpi kebesaran gimna motong nya y",bintang 4,
