review,rating,date
"Jamnya unik, kualitas bahan okelah sesuai harga. Bungkusannya super aman dengan buble tebal jd ga bakalan rusak dalam perjalanan",bintang 5,1 bulan lalu
"Sesuai deskripsi. Pengemasan bagus banget tebel bubblenya. Rekomended buat yang tangannya gak gede"" banget. Seller fast respon juga. Mantapp!",bintang 5,2 bulan lalu
"Kualitas pengerjaan: Cukup, saran saya besok-besok klo brand besar, packing nya pake dus/kotak jam semacamnya lah, jangan cuma plastik dikasih bubblewrap aja. Jangan kaya...",bintang 5,3 hari lalu
Pengiriman cepat. Packing sangat Aman Dan minus negatif box ya aja. Tapi secara keseluruhan barang Bagus original harga murah,bintang 5,3 minggu lalu
"terima kasih untuk penjual, dikemas dengan baik ada bubble tambahan, tanpa kardus, namun isi paket aman, dan sesuai yg saya pesan, jam tangan arloji, bekerja dengan baik,...",bintang 4,3 minggu lalu
"Pengiriman aman dan cepat, barang datang sesuai namun sayang tidak ada dus nya",bintang 5,1 bulan lalu
"Bagus, nyaman di tangan. Overated untuk harga segini affordable👍",bintang 5,1 bulan lalu
Vintage dan kalcer...original. Mantap!!! Pengiriman juga cepat,bintang 5,
"Paket diterima dengan baik, produk sesuai keranjang kuning nya, packing rapi dan doble pengaman, kurir sudah langganan",bintang 5,2 bulan lalu
Pesanan sesuai dan pengiriman super cepet,bintang 5,1 bulan lalu
"Sebelum mengirim barang harap dicek dulu, ini kok malah barang minus malah dikirim seperti ini contohnya tombol tidak bisa digunakan kok bisa dikirim yakali tombole terse...",bintang 1,1 bulan lalu
"Tombol untuk starnya macet kak gak mau di pejet.
Tapi untuktampilan bagus dong",bintang 4,2 bulan lalu
Luar biasa mantap! Tepat waktu dan barang juga pas!,bintang 5,1 bulan lalu
"Barang bagus , paket nya cepet datang nya",bintang 5,2 bulan lalu
"jamnya bagus
bahannya bagus banget
rekomendasi",bintang 5,1 bulan lalu
"Worth it, build quality oke, daripada beli kw mending yg begini aja.",bintang 5,1 bulan lalu
Jam nya mantap keren sesuai.. cuma kalau bagi yang tangan gede nampak jadi kecil.. tapi over all oke x.. mantap..,bintang 5,1 bulan lalu
Barang datang sesuai dengan pesanan dan tidak ada kendala pada produk serta pengiriman,bintang 5,1 bulan lalu
"Sampai sesuai pesanan, sempat kaget pas pegang paketnya kaya balon, pas dibuka ternyata bungkusnya, dan jam sesuai pesanan",bintang 5,1 bulan lalu
"Sippp , kirain bakalan besar diameter jamnya",bintang 5,2 bulan lalu
jam nya sudah sampai dan bagus kurang lebih kaya di foto moga awet😁,bintang 5,1 minggu lalu
"Keren, cuma kecil aja diameternya",bintang 5,2 bulan lalu
Jam gua baru dateng tapi eror tombolnya gk di bisa di pencet dah lah cuma jadi bangke doang,bintang 1,2 bulan lalu
Alhamdulillah sesuai jam tangannya bagus skali😎,bintang 5,1 bulan lalu
"mantap Joss gandos, pengiriman sesuai dengan jasa, barang sesuai iklan..mantap",bintang 5,2 bulan lalu
Kemasan bagus tapi ko ga ada dus nya,bintang 4,4 hari lalu
jam murah dengan kualitas baik,bintang 5,1 bulan lalu
Produk tidak sesuai.. dikirim ukuran untuk anak2 harga mahal !.. di return gabisa udah COD.. kacau,bintang 1,2 bulan lalu
Keren anjirr!! Pengen warna ini nunggu sebulaann waktu tunggu gue kebayar sama kerennya barang ini! Gokil. Tengkyu siapapun yg udh rekomendasiin jam ini! Gokil!!,bintang 5,1 minggu lalu
barang sesuai pengiriman cepat,bintang 5,5 bulan lalu
Kirain jam nya radak gede dikit trnyata malah kecil,bintang 4,5 bulan lalu
Back to retro style. Like it 👍,bintang 5,3 bulan lalu
Baguss sesuai sama yang di gambar,bintang 5,2 bulan lalu
barang dan model bagus. respon penjual bagus. kurir gercep,bintang 5,1 bulan lalu
"Bagus dan berkualitas
Kualitas pengerjaan: Baik",bintang 5,1 bulan lalu
Barang cepat tiba dan produk sesuai gambar,bintang 5,2 minggu lalu
Produknya sangat bagus dan menarik saat dipakai,bintang 4,5 bulan lalu
tombol rusak,bintang 1,1 bulan lalu
harga sesuai kualitas Overall Ok 👍🏻,bintang 5,2 minggu lalu
"keren sesuai iklan, cakep bgt jam ini cocok buat harian atau nongkrong",bintang 5,4 minggu lalu
Masukk mantap keren dan aman terkendali,bintang 5,2 bulan lalu
"Use friendly, nice colour, easy to set up",bintang 5,1 minggu lalu
Barang sesuai dengan postingan,bintang 5,1 bulan lalu
"Keren prodaknya
Akurasi: Mantap",bintang 4,1 minggu lalu
"Barangnya datang dengan aman, modelnya  bagus, cuma pengiriman nya lebih lama 2hari dari estimasi",bintang 5,2 minggu lalu
RUGI kalau nggak punya,bintang 5,1 bulan lalu
Ukuran kecil mungil,bintang 5,6 bulan lalu
Product bagus. Cuma gmna ya. Udah? Gini aja? Tanpa box nih? Jam tangan sama buku panduan aja?,bintang 5,1 bulan lalu
Baru beli pas di buka di rmh jam gak nyala mati🥲,bintang 1,2 bulan lalu
"Sesuai foto, keren aslinya",bintang 5,1 bulan lalu
Pengiriman terlalu lama karna tertahan di kepebeanan batam... Dan tidak informasi kenapa tertahan,bintang 3,1 bulan lalu
Bagus banget sesuai dengan difhotonya ga nyesel deh beli ditoko ini,bintang 5,2 bulan lalu
Tjakeeepppisan kiyeeee euyyyyy,bintang 5,4 bulan lalu
Allhamdulilah sampe dengan aman,bintang 5,5 bulan lalu
Jam nya bagus gak nyesel....,bintang 5,1 minggu lalu
Barang bagus puas banget,bintang 5,1 minggu lalu
Kualitas pengerjaan: Cepat dan bagus,bintang 5,1 bulan lalu
Terimakasih barangnya sesuai pesanan..semoga awett,bintang 5,2 minggu lalu
"Jamnya bagus,,kelihatan Clasik",bintang 5,1 bulan lalu
sesuai .cocok buat tempur,bintang 5,3 bulan lalu
"Bagus, pengiriman cepat",bintang 5,1 bulan lalu
"Keren jam nya, recommended seller",bintang 5,4 bulan lalu
"Murah, akurat, mantap.",bintang 5,2 bulan lalu
mantabbbbb bos jam nya kayak jam mahal,bintang 5,4 bulan lalu
Kualitas mantap,bintang 5,1 minggu lalu
"barang bagus datang dengan selamat, packing keren aman.",bintang 5,2 minggu lalu
Okem,bintang 5,1 bulan lalu
Mayan lah jam dipke sehari2,bintang 2,5 bulan lalu
Sesuai barang nya,bintang 5,1 bulan lalu
Mantap barang nya dan. Epat sampainya,bintang 5,1 minggu lalu
"Sangat puas dengan jam ini,trimakasih SKEiMEl",bintang 5,2 minggu lalu
Bagus murah,bintang 5,2 bulan lalu
Barang bagus,bintang 5,2 bulan lalu
Bara sesuai di foto..kurir amanah,bintang 5,1 bulan lalu
"Mantap, sesuai",bintang 5,1 bulan lalu
worth it untuk harga segini,bintang 5,4 minggu lalu
Retro looks nya dapet,bintang 5,3 minggu lalu
Alhamdulillah akhirnya dpt warna ini,bintang 5,3 minggu lalu
TJAKEP POKONYA,bintang 5,4 bulan lalu
cakep,bintang 5,1 bulan lalu
bagusss,bintang 5,4 bulan lalu
"Barang bagus sesuai,,,mantaf",bintang 4,3 minggu lalu
Keren dan elegan,bintang 5,1 bulan lalu
Bagus,bintang 5,1 bulan lalu
Bagus,bintang 5,3 bulan lalu
"barang ok, dan bagus",bintang 4,6 bulan lalu
"Good product,no problem",bintang 5,4 bulan lalu
Cepat kilat barang bagus,bintang 5,1 bulan lalu
Mantap barang bagus harga oke,bintang 5,2 bulan lalu
Mantaappp,bintang 5,5 hari lalu
Kualitas pengerjaan: Bagus,bintang 5,1 bulan lalu
Mantap,bintang 4,1 bulan lalu
Sangat sangat keren,bintang 5,1 bulan lalu
"Ok, bagus banget",bintang 5,2 bulan lalu
Mantappp,bintang 5,2 bulan lalu
Good buat harga segitu,bintang 5,1 bulan lalu
Bagus top,bintang 5,2 bulan lalu
nice,bintang 5,3 bulan lalu
Bagus bgt camo ☺️☺️☺️☺️,bintang 5,1 bulan lalu
Amanhh selalu... Bsrokallah,bintang 5,2 bulan lalu
"Mantap, packing aman",bintang 5,1 bulan lalu
Barang sesuai pesanan terimakasih kak,bintang 5,1 bulan lalu
joss,bintang 5,1 bulan lalu
keren,bintang 5,1 minggu lalu
,bintang 5,2 bulan lalu
,bintang 5,2 minggu lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,2 bulan lalu
jos jis,bintang 5,1 minggu lalu
Oke good sesuai,bintang 5,2 bulan lalu
okesip,bintang 5,3 bulan lalu
bagus buat jam lucu2an,bintang 5,2 bulan lalu
Bagus sekali,bintang 5,2 bulan lalu
Keren kualitasnya,bintang 5,3 minggu lalu
Pengiriman cepat,bintang 5,2 bulan lalu
Semogaa aweettt,bintang 5,3 minggu lalu
Sangat bagus,bintang 4,1 minggu lalu
Mantab sesuai gambar,bintang 5,4 minggu lalu
simple sporty,bintang 5,2 minggu lalu
GOOD BANGET,bintang 5,1 bulan lalu
Sesuai,bintang 5,3 bulan lalu
"Manntab..
Bagus 
jam nya",bintang 5,1 bulan lalu
bagus,bintang 4,1 bulan lalu
Bagus,bintang 5,1 bulan lalu
Bagus,bintang 4,1 bulan lalu
Bagus,bintang 5,3 bulan lalu
Bagus,bintang 5,3 bulan lalu
Bagus,bintang 5,4 bulan lalu
Bagus,bintang 5,6 bulan lalu
Oke,bintang 5,3 bulan lalu
Tap,bintang 5,4 bulan lalu
Oke.,bintang 5,3 bulan lalu
Baik,bintang 5,2 bulan lalu
X,bintang 5,1 bulan lalu
Pengiriman a lama,bintang 3,1 bulan lalu
Mantap,bintang 5,2 minggu lalu
Mantap,bintang 5,2 bulan lalu
Mantap,bintang 5,5 bulan lalu
Mantap,bintang 5,3 bulan lalu
Mantap,bintang 5,5 bulan lalu
Good,bintang 4,1 bulan lalu
Good job,bintang 5,4 bulan lalu
Good,bintang 5,4 bulan lalu
Yes,bintang 5,4 bulan lalu
Terbaik,bintang 5,2 minggu lalu
Mantaabb,bintang 5,1 bulan lalu
Ya,bintang 5,4 bulan lalu
Ntaps,bintang 5,3 bulan lalu
Josjis,bintang 5,4 bulan lalu
o7,bintang 5,3 minggu lalu
"Sesuai pesanan 
Jjjooosss",bintang 5,2 bulan lalu
Keren,bintang 5,3 hari lalu
Keren,bintang 5,5 bulan lalu
TOP 👍,bintang 5,1 bulan lalu
Keren,bintang 5,1 bulan lalu
Keren,bintang 5,2 bulan lalu
Keren 👍,bintang 5,4 bulan lalu
Jasa expedisinya lamaaaaaaa......,bintang 4,1 bulan lalu
Lumayan okey sih,bintang 4,5 bulan lalu
Ok,bintang 5,1 minggu lalu
Ok,bintang 5,5 bulan lalu
ok,bintang 5,5 bulan lalu
Sip,bintang 5,2 bulan lalu
👍,bintang 5,1 minggu lalu
👍,bintang 5,1 bulan lalu
🫡,bintang 5,3 bulan lalu
🤙,bintang 5,5 bulan lalu
Terbaik. Terima Kasih,bintang 5,4 bulan lalu
.,bintang 5,5 bulan lalu
.,bintang 5,3 bulan lalu
👍🏻👍🏻,bintang 5,3 bulan lalu
🔥🔥🔥🔥🔥🔥🔥,bintang 5,1 bulan lalu
okeh punyaaaa,bintang 4,3 minggu lalu
Kerennnnnnnn gilaaaaa,bintang 5,1 minggu lalu
Mantaaap,bintang 5,5 bulan lalu
