review,rating,date
"jamnya seperti yg dibayangkan keren bgt, desainnya keren, warnanya keren, walaupun gw biasa pake ukuran yg lebih besar tp oke lah, masih pas, kekurangannya cuma tidak glo...",bintang 5,6 bulan lalu
"Pengiriman nya cepat, barang nya sesuai yaa over all oke laah dan semoga awet jam nya..🙏
Ya gak nyesal lah belanja d toko ini amanah, tetap pertahan kualitas nya💪",bintang 4,6 bulan lalu
"Yang ini Best si gak nyesel belinya…
Hitamnya garang & Wibawa sekaliiihh 🥰
Akurasi: Bagus
Kualitas pengerjaan: Good",bintang 5,6 bulan lalu
"Original..keren,hitam elegan 
Cuma ukurannya kebesaran jadi harus motong dikit,tpi gpapa lah yg penting berfungsi dg baik..dan semoga awet
Terimakasih 🙏",bintang 5,2 bulan lalu
Bagus banget. Nampak mewahnya. Semoga awet.,bintang 5,
"Alhamdulillah amanah...Mewah bangett🤩🤩 kesan nya seperti emas hantaran.. rekomendasi banget
Thanks seller.. otw order lagi😘",bintang 5,10 bulan lalu
Barangnya bagus sesuai deskripsi👍,bintang 5,7 bulan lalu
"Jam tangannya keren dan mewah, semoga awet dipakai",bintang 5,3 bulan lalu
"Overall good condition, keren sesui deskripsi
POnya cepet bgt kirain mau smpe sebulan ternyata seminggu pun ngga
packing aman pake bubble warp",bintang 5,"Overall good condition, keren sesui deskripsi
POnya cepet bgt kirain mau smpe sebulan ternyata seminggu pun ngga
packing aman pake bubble warp"
"Awalnya cuma mau coba2 beli sapa tau bagus jamnya, setelah diterima unit nya melebihi ekspetasi awal,, bagus jam nya, ukurannya sesuai dng keinginan, tidak terlalu besar,...",bintang 5,
"seminggu pemakaian. kualitas bagus, bahan istimewa, jam nya berat, terasa kokoh, akurasinya jam nya pas, power mechanic nya bisa tahan 24 jam kalo gak dipakai. kekurangan...",bintang 5,
"Kalo buat jam nya bagus banget ngga ada yang cacat
Tapi kotak nya kayak kotak bekas, udah lecet",bintang 4,
"JAM NYA BAGUS, CANTIK , DAN SANGAT SANGAT G KALAH SAING DENGAN BRAND BRAND MEWAH LAINNYA 🔥",bintang 5,8 bulan lalu
Allhamdulillah sampe sih walaupun 3x pengiriman yang pertama seusai pesanan ke 2 yang bonus ke 3 baru yang po sempet dek dekan juga sih tapi respon admin bagus,bintang 5,
dark 🖤 . berfungsi dengan baik . kalo soal awet belum tau . semoga awet,bintang 5,
"Jam nya mahal, berat dan bagus modelnya. Dapat tambahan parfum yang wangi banget lagi thanks.",bintang 5,5 bulan lalu
"Akurasi: baik
Kualitas pengerjaan: baik
mgkn lebih baik lagi jika ada tambahan tali jam nya lagi",bintang 4,
"Respon cepat, barang sesuai pesanan, terima kasih",bintang 5,
