review,rating,date
"Jam nya bagus simple  cuman ada sedikit bintik"" putih",bintang 4,
"Berhubung merk tetangga ga punya rosegold. Jadinya beli skmei aja. Dan yaa. Selalu bikin cantikk tangan..
Thankyouuuuuu fo oll. Over ol is gud",bintang 5,2 minggu lalu
Aaaa sukak jam nya bagus bgt apalagi warna rosegold gk nyesel deh beli disni,bintang 5,4 hari lalu
"dari tahun kemarin ngincer jam skmei baru ke CO sekarang 😆 
ini jam nya cantikkk bangett akuu sukakkkkk 💗  warnanya juga cantik woyy 😩💗 thnk uu",bintang 5,2 bulan lalu
Aku suka jam nya imut manis ditangan cuma sayang nya gak ada kotak jam nya tapi its ok😍😍,bintang 5,4 bulan lalu
"Hampir kekecilan untuk tali rantainya di tngan aku yg gemoi ini, cuma untuk yg lainnya bagus semua aku suka",bintang 4,3 bulan lalu
"Bagus sesuai aslinya, SMG awet & tahan lama👍",bintang 5,1 bulan lalu
"Barang bagus bangettttttttt
Cocok buat cowo juga wk",bintang 5,2 bulan lalu
"keren bgt jamnya mana dapet diskon sampe 20k lagi, semoga awet ya jamnya😍",bintang 5,1 bulan lalu
"Bagus,elegant, tapi kurang memuaskan bagiku. 
Tempat pergelangan tangan nya itu terlalu longgar, jadi agak jatuh terus jam tangan ku😔",bintang 4,4 bulan lalu
"Tak kira sama gede nya kaya produk yang satu lagi ternyata yang ini lebih kecil ,tapi oke aku suka",bintang 5,1 bulan lalu
"Jamnya bagus banget , kemasannya rapi aman ,tpi gk bisa cara ngaturnya",bintang 5,2 bulan lalu
"bagus sesuai ekspektasi warnanya juga elegan, sizenya cocok buat yang tangannya kecil mungil.",bintang 5,5 bulan lalu
Bagus sih tapi kancingan nya kurang rapet kalau ber aktifitas sukak lepas sendiri,bintang 5,3 minggu lalu
Paketnya sdh sampai dengan aman dan Jam tangannya cantik dan cocok untuk tangan kecil,bintang 5,1 minggu lalu
Barangnya Sampek tapi ada penyokya,bintang 2,1 bulan lalu
"Lucu jam nya kecil mungil ,tapi elegant 
Cepat sampenya dan dalam kondisi Aman saat sampe",bintang 5,3 bulan lalu
Kecil mungil tapi lucu hihii dan pas cocok di pergelangan tanganku yg kecil dan semoga awett,bintang 5,3 hari lalu
Alhamdulillah jam sampai dgn selamat tanpa ad cacat sdkitpun.. Cakep ditanganku yg kecil ini.. Thanks,bintang 5,1 minggu lalu
"Luar biasa bagusnya pol cocok bgt di tangan yg kecil,mewah dan elegan...",bintang 5,2 bulan lalu
Bagus cakep tp gda batu serep nya wkwk mana gk di dus in,bintang 5,1 bulan lalu
Paket udah sampai jamnya bagus tp d kirim tanpa boks cumn pake bablwarp doang tp alhamdulilahnya aman makasih seler semoga jm tangn ny benern anti air ya,bintang 5,2 bulan lalu
MasyaAllah paketnya sdh diterima bagus bnget jam ny makasih ya kak,bintang 5,1 bulan lalu
"Bagus sih, cuma skrg wrna rose gold nya agak beda",bintang 5,2 bulan lalu
"Kukura yg biasa di pakai ternyata ukuran kebih kecil,but okee lucu gapapa
Pengiriman lama hampir semingguan respon penjual gercepl",bintang 4,2 bulan lalu
"bagus kecil mungil, gampang di adjust, gampang settingnya, packingnya aman, cuma kayanya harus dikasih box buat jamnya jadi lebih mewah, jamnya udh bagus kualitasnya bagu...",bintang 5,3 hari lalu
"pengemasannya aman bgt, barangnya bagus cakep banget dipake keliatan elegan",bintang 5,4 bulan lalu
bagus banget jamnya buat tangan kecil + sawo mateng pas cocok,bintang 5,2 minggu lalu
"Barangnya bagus,cuma kecil.
Saya kira diameternya besar🤭",bintang 4,2 bulan lalu
"Cantik sih,..tp kecil banget ternyata,..
Jamnya SDH disetting tp kok ga jalan ya waktunya,..",bintang 4,3 bulan lalu
"Jam nya bagus mungil cocok ditangan aku yang kecil, semoga awet ya jam nya
Terimakasih 🤗",bintang 5,3 bulan lalu
"Jam tangan pesanan sy udah nyampe kk bru sempat kasih ulasannya, ternyata jam nya kecil 😁
Gimana cara mengatur jam nya kk.",bintang 4,2 bulan lalu
sebenarnya bagus makanya sya beli tp trnyta kecil bgt ky jam anak kecil ..aku kira agak lebar dipake..klo yg suka kecil y gpp...cm aku ngiranya lebar,bintang 4,2 minggu lalu
"Original
Kualitas pengerjaan: Rapi",bintang 5,4 bulan lalu
Pengirimannya cepat . Sesuai pesanan lucu jam nya kecil2 imut,bintang 5,2 bulan lalu
Overall semua aman tapi pas bagian untuk besar kecil nya warna udah pudar takut rantai nya karat juga sih,bintang 3,3 bulan lalu
"Model nya Ga sesuai dengan pesanan sih, tapi warnanya sesuai. Kalau yang dikirim sama persis dengan pesanan yg pertama. Hanya saja kalau yang pertama warna hitam. Emang b...",bintang 4,4 minggu lalu
Sangatt sangattttt bagus jm nya kecil pas di tangan aku yang kecil.. seneng banget jm nya cantikkkkkkkk 🥰🥰🥰,bintang 5,3 bulan lalu
Barangnya bagus mudah2an awet biasa pke yg analog jarumnya copot mulu,bintang 5,4 bulan lalu
"Ngga rekomendasi banget masak paket sampai kerumah tapi di dalam paketnya ngga, ada isi jam tangan yang di pesan",bintang 1,3 bulan lalu
"Makasih jam nya udah nyampe jam nya keren, saya suka. Kira kira model.seperti ininada yang lebih besar lagi ga ya soalnya saya orangnya tinggi besar, kalo ada yang lebih...",bintang 5,2 bulan lalu
Bagussssssssssse bangetttt🎉🎉,bintang 5,2 hari lalu
"BAGUS BNGT SESUAI YG AKU BAYANGIN,ad harga ada kualitas",bintang 5,2 bulan lalu
"Bagus jam nya cman sayang agak kcwa ama abang kurir nya yg kurang ramah.. Padahal udh di tungguin eh dateng"" Mlah nge gas duluan dia... Kejar target sih kejar target...",bintang 4,2 bulan lalu
Bagus sih tp ternyata jam nya kecill. Tp bagus,bintang 5,2 bulan lalu
"terima kasih....
barang sudah sampai, sesuai produk etalase...
barang original...",bintang 5,2 bulan lalu
"terima kasih....
barang sudah sampai, sesuai produk etalase...
barang original...",bintang 5,2 bulan lalu
Huhuu akhirnya beli lagi karna punya ku hilangg memang sebaguss ituuh,bintang 5,4 bulan lalu
"Kecewqaaa Tp tetaap aku ksh Bintang 4
Krm Jam nya Ternyataa Tetlalu kecil ...keseel siih tp ihklas lah ksh bintang 4",bintang 4,1 bulan lalu
"Aku tetaap ksh bintang 4 walau sangaatt kecewaaa ... dgn Harga Segitu , krn tdk sesuai Gambaar talii Rantai nyaa sangaaatt Kecil dan Tipisss .. huftt",bintang 4,1 bulan lalu
Bagus bngt jam'nya buat yang punya tangan mungil,bintang 5,
"Kenapa tombol yg kanan atas tidak berfungsi padahal baru saja datang, udh liat tutornya tp tombol nya tidak bisa ke ganti angkanya, setiap di tekan tidak berubah angkanya",bintang 1,2 bulan lalu
baguss bgt cocok dgn tangan mungilku ☺️,bintang 5,3 bulan lalu
Bagus sesuai dengan harga juga mantapp pokoknya keliatan elegan👍👍👍👍,bintang 5,2 bulan lalu
Suka deh kelihata elegan dan cantik di tangan,bintang 5,3 bulan lalu
"Lucu,mungil pas di tangan aku dan skintone akuu sangat gemoyyy😍😍",bintang 5,3 bulan lalu
Saya kira besar ternyata kecil tp bagus,bintang 5,3 minggu lalu
"Jamnya bagus sesuai ekpektasi 
Semoga awet seperti jam skmei ku sebelumnya",bintang 5,2 minggu lalu
"Cuaakeeeppp pollll, tpi blm ngerti cara setting waktunya, imutt gituu jamnya lucuu bnngtt sumpill sukaakk😍😍",bintang 5,5 hari lalu
"Bagus, engga dapet box, tapi full bubble",bintang 4,2 bulan lalu
"Penipuan ini mah ,yg jualan amanah dong masa dkirim jam bekas sialan",bintang 1,1 minggu lalu
"Udah pengiriman lama banget, ehhh dibuka malah gak sesuai dengan gambar maksudnya gimana nihh??",bintang 2,4 bulan lalu
Ga tau udah berapq kali beli ttp aja suka .. meski ada model yg baru,bintang 5,2 bulan lalu
"Ahh suka sekali bagus banget jam nya, terimakasih 👍👍",bintang 5,2 bulan lalu
bagus banget jm tangan nya. next bli lagi yg warna lain,bintang 5,2 bulan lalu
"Bagus .gk kecwa deh di toko ini 
Suka deh poko.y",bintang 5,2 bulan lalu
"Kok warna gold nya bedaaa sama yang lama🥲
Berat nya juga beda beratan yang lama 
tali krepyaknya lebih kokoh yang lama juga
Akurasi: Oke
Kualitas pengerjaan: Oke",bintang 3,2 bulan lalu
Bagus jam nya pengiriman amann pengen co lagi 😁,bintang 5,1 bulan lalu
Terima kasih seller bargnya bagus banget,bintang 5,3 minggu lalu
Produk gk bsa d kunci tali nya,bintang 1,2 minggu lalu
cakep jamnya,bintang 5,2 minggu lalu
Sesuai dengan diskripsi produk,bintang 5,2 bulan lalu
"Baguss banget, mana murah lagi 🥲",bintang 5,3 minggu lalu
"Baguus, sudh pesan ke 2 klinya",bintang 5,4 bulan lalu
"Jamnya Normal jaya keren 
Ukuran kecil
Cocok buat yang tangan nya kecil atau suka ama jam kecil ga terlalu besar
Respon agan nya cepet
Sat set
Makasih ya gan",bintang 5,3 minggu lalu
"kecil ternyata tapi bagus,cocok buat ganti2",bintang 4,1 minggu lalu
cakrp banget jamnya tapi bahannya agak tajem gitu but better kok jamnya,bintang 5,3 minggu lalu
Pembelian kedua kali bagus,bintang 4,2 minggu lalu
Wooow cakep banget mungil 😍😍,bintang 5,3 bulan lalu
Cakep imut cocok untuk yang pergelangan tangannya kecil,bintang 5,2 bulan lalu
Jam nya kecil mungil imut pas d tanganku yg kecil,bintang 5,1 bulan lalu
"Sesuai ekspetasi, cocok banget buat ciwi2 yg tangan nya kecil karena bisa di adjust. Warna nya juga cantikk",bintang 5,2 bulan lalu
"cantik, pas ditangan. cocok dipake waktu acara atau hangout. semoga awet ya barangnya",bintang 5,2 bulan lalu
Kecil mungil mantap,bintang 5,2 bulan lalu
Sangat bagus..tapi kirain ukurannya besar ternyata mungil tapi cantik sih..,bintang 5,3 minggu lalu
Bagus jamnya. Berfungsi dengan baik. Semoga awet.,bintang 5,5 bulan lalu
Barang sudah keterima dan barang bagus respon penjual cepat tanggap saat sy terkendala menyeting jamnya. Terima kasih,bintang 5,1 bulan lalu
Barang nya sesuai next time order lg,bintang 5,5 bulan lalu
Elegan cocok buat yg sawo mateng,bintang 5,4 bulan lalu
Untuk kwalitas standar ya tapi pengirimannya cepat kok tq kak,bintang 4,4 bulan lalu
"jam tangannya cantik,cocok di aku yg pergelangan tangan kecil",bintang 5,3 bulan lalu
"Smangat2 cantik, dan aku suka banget, gambar,x sesuai dngan asli,x",bintang 5,4 bulan lalu
"Pas paket datang, ekspektasi ku ketinggian, ku kira packagingnya pake box, ternyata engga🤭 tp gpp sih barang aman dan selamat, thank u!🫶🏻",bintang 5,3 bulan lalu
"Barang nya realpick sama dengan di live ,beli yg ke 4 kalinya nggak pernah gagal atau kecewa next order buat nambah koleksi nya",bintang 5,2 bulan lalu
"Bgus bget pakejingnya jg aman,pngiriman jg cpt",bintang 5,2 bulan lalu
"Barang nya bagus bgt, cepat sampai nya, kurir nya ramah",bintang 5,1 bulan lalu
Bagus banget di tangan 🤍,bintang 5,3 minggu lalu
"Jam nya bagus, tapi. Sayang engga ada kardus jam nya jd cuma bungkus plastik aja",bintang 5,2 bulan lalu
Kecil mungil ternyata,bintang 5,1 minggu lalu
"Jam nya lucu,mungil hanya kebesaran,,,mudah2 bisa d kecilkan yah",bintang 5,4 bulan lalu
Suka sekali sesuai  pesanannya🥰🥰🥰,bintang 5,1 bulan lalu
Tidak sesuai pesanan silver kirimnya warna yg lain kan anehhhh,bintang 1,2 bulan lalu
"Aku sukaaaa jam nya , mungil estetik simpel 
Buat yg lengan kecil kaya aku cocok banget",bintang 5,2 bulan lalu
"Sesuai pesanan,bagusssssss banget🥰",bintang 5,2 bulan lalu
"Bagus bgt sesuai janji y, Poko y tidak mengecewakan pembeli dh, ini aku mau pesan LG buat adik ku❤️❤️maaf tidak ad foto y, soalnya di pake ma adik🙏❤️❤️",bintang 5,1 bulan lalu
Imut jam tngan ny keren bhan stainlis ny tebel,bintang 5,1 bulan lalu
"Bagus banget sesuai lucu,pekingnya aman banget makasih,,,nexs order lagi",bintang 5,1 minggu lalu
"Trnyata jam dh dimasukan dlm box,AQ pikir sellernya lupa🤣jam nya imut bnget..suka deh kedua x beli jam Skmei mang kualitasnya bgus bngt..",bintang 5,3 bulan lalu
Bagus tp kandungannya g kuat. Baru d pake 3 hr udah ilang 😭😭😭 kancingannya,bintang 5,2 bulan lalu
Baguss tapi masa harga segitu ga di kasih batrai ganti sama box nya,bintang 3,4 bulan lalu
Barang sesuai dgn yg di harapkan,bintang 5,2 bulan lalu
Cakep parah sihh jam tangan a bde ini udah yg ke 3x nya aku beli jam di sini,bintang 5,2 minggu lalu
"Lucuu , kualitas baguss , real pict sukaaa",bintang 5,3 minggu lalu
Bagus elegan pokoknya top is the best mantap 😍,bintang 5,4 bulan lalu
"Sesuai ekspektasi... 
⚪🔴🔥",bintang 5,1 bulan lalu
Jam Tangannya bagus dan sangat Elegan mewah 🥰😍,bintang 5,3 bulan lalu
Bagus tapi kekecilan,bintang 4,1 bulan lalu
"Barang nya,, sesuai dengan yang di spilkan etalase..👍👍👍",bintang 5,4 bulan lalu
Jam nya bagus cuman untuk harga segitu sayang sekali ga pakai kotak & tambahan batre baru cuma jam nya doang langsung di packing hmmmm,bintang 2,1 bulan lalu
Bagus c cmn aq kira aga gede tau y kecil,bintang 5,1 minggu lalu
Cantik tp kekecilan di tangan saya wkwkwk,bintang 5,3 bulan lalu
Jam nya imut imut berkualitas,bintang 5,4 bulan lalu
"Cepet bgt sampe y 1 hari,,ni keren, imut jam y",bintang 5,4 bulan lalu
"Jam ny bagus tp blm d aktifkan jam ny, gak paham",bintang 4,2 bulan lalu
Bagus babget sesuai expetasi deh pokoknya rekomended😉,bintang 5,2 minggu lalu
"Beli mahal.tapi gak bisa buat jam, bisanya cuma buat alaram sama stopwatch",bintang 1,4 bulan lalu
Kecil banget,bintang 3,2 bulan lalu
Ckp,bintang 5,1 bulan lalu
Ini kali ke 3 belii jam nya..Terbaikkk pokoknya,bintang 5,1 bulan lalu
bagus min 😍,bintang 5,2 bulan lalu
Bagus bgt ternyataa,bintang 5,3 bulan lalu
"𝘈𝘭𝘩𝘢𝘮𝘥𝘶𝘭𝘪𝘭𝘭𝘢𝘩 𝘱𝘢𝘬𝘦𝘵 𝘫𝘢𝘮 𝘯𝘺𝘢 𝘥𝘢𝘩 𝘴𝘢𝘮𝘱𝘢𝘪 𝘥𝘨𝘯 𝘢𝘮𝘢𝘯, 𝘫𝘢𝘮 𝘯𝘺𝘢 𝘣𝘢𝘨𝘶𝘴 𝘣𝘢𝘯𝘨𝘦𝘵 𝘴𝘪𝘮𝘱𝘭𝘦",bintang 5,2 hari lalu
Pengiriman sangat cepat barang sesuai,bintang 5,1 bulan lalu
Baguss bngttt bngtttt bangeeeeettttt,bintang 5,1 bulan lalu
Kecil juga diameterny,bintang 2,2 bulan lalu
"Bagus banget, semoga awet 😍",bintang 5,2 bulan lalu
"bagusss bgtt, buat cowo masi cocok",bintang 5,1 bulan lalu
Jam nya cantik..pengiriman cepet..smg awet...,bintang 5,4 bulan lalu
"Mantap sekali jamnya... Gk nyesel beli ditoko skmei,,, packingnya sefti. Mantap""",bintang 5,3 bulan lalu
Bagus bangetttttyy,bintang 5,2 bulan lalu
Jam nya bagus sesuai dengan pesanan,bintang 5,1 hari lalu
"Bagusssa sekali semoga awet, terimakasih untu kurirnya sudah langganan",bintang 5,3 bulan lalu
bagus pengiriman cepat,bintang 5,2 bulan lalu
Cakep bgt jamnya..sukaa😍,bintang 5,2 bulan lalu
Bagus banget kurir ramah,bintang 5,2 bulan lalu
Bagus sesuai pesanan,bintang 5,2 bulan lalu
Masyaallah cantik bangetttt😍😍😍,bintang 5,2 bulan lalu
keren jam nya imutt...,bintang 5,2 bulan lalu
Terimakasih ⭐️⭐️⭐️⭐️⭐️,bintang 5,4 bulan lalu
Baguss 😍,bintang 5,2 bulan lalu
bagus banget sukaa🥰,bintang 5,6 hari lalu
Mantuulllllll warna rosegoldnya. Mewah tanpa harga yg wahh,bintang 5,3 hari lalu
Bagus,bintang 5,3 minggu lalu
Bagus,bintang 5,3 minggu lalu
Cantik sekali😍,bintang 5,2 minggu lalu
bagus banget,bintang 5,4 minggu lalu
Bagus banget 😭,bintang 5,2 bulan lalu
Cakep pol,bintang 5,3 hari lalu
Jamanya bagus banget😍😍,bintang 5,4 bulan lalu
Bagus Sekali🤗🤗,bintang 5,3 bulan lalu
Makasih paket sudah d terima🥰🙏,bintang 4,3 bulan lalu
bagus sekali 🥰🥰,bintang 5,2 minggu lalu
Bagus banget lah yah,bintang 5,2 minggu lalu
"Barang sudah sampe dgn selamat 
trimakasih",bintang 5,2 minggu lalu
"Lucu, kecil mungil elegan",bintang 5,2 bulan lalu
cakepp banget😍,bintang 5,1 bulan lalu
"Bagus,tapi ternyata kecil yaa",bintang 5,4 hari lalu
Mantul bagus banget,bintang 5,3 minggu lalu
biar bintang yg menjelaskan🫵,bintang 5,2 bulan lalu
Bagus nunggu ready yg wrna coffe,bintang 5,1 bulan lalu
Sesuai,bintang 5,1 bulan lalu
Alhamdulillah paket sudah sampe dgn aman..pengiriman cepet smg awet,bintang 5,1 bulan lalu
Mantul👍,bintang 5,3 bulan lalu
susah STEL waktunya😭,bintang 4,4 bulan lalu
Selalu puas belanja disini udah order ke 2..jamnya cantik bgt dan awet,bintang 5,2 bulan lalu
Semoga awet jam nya,bintang 4,3 bulan lalu
Cantik mungil💞,bintang 5,2 bulan lalu
Sesuai harga,bintang 5,1 bulan lalu
Cara atur jamnya gimana?,bintang 5,1 bulan lalu
Sukaaa.... Semoga jamnya awet.,bintang 5,2 bulan lalu
Bagus bnget syukaa sekaliii😍😍😍,bintang 5,2 bulan lalu
Cantik bnget🥰,bintang 5,2 bulan lalu
Bagus,bintang 4,2 hari lalu
bagus,bintang 5,2 bulan lalu
bagus,bintang 5,2 bulan lalu
Bagus,bintang 5,3 bulan lalu
baguss 🥰🥰,bintang 5,2 minggu lalu
jam sudah sampai sesuai pesanan,bintang 5,1 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
Cantik banget sesuai foto,bintang 5,3 bulan lalu
bagus bangettt,bintang 5,3 bulan lalu
Cekepp,bintang 5,4 bulan lalu
Lucu suka trimksih mantap,bintang 5,3 bulan lalu
Kecil ternyata,bintang 1,1 bulan lalu
Bagus cocok buat ngantor,bintang 5,3 bulan lalu
Jam nya bagus banget,bintang 5,1 bulan lalu
Mantap,bintang 5,2 bulan lalu
"Sangat bagus,barang reelfic",bintang 5,4 bulan lalu
Jos,bintang 5,2 bulan lalu
"Udah langganan dari dulu brand ini emang bener"" Awet jamnya",bintang 5,3 bulan lalu
"Terimakasih kak, jamnya bagus semoga awet ya.",bintang 5,4 bulan lalu
Jangan deh daripada nyesel 🤣,bintang 1,2 bulan lalu
Sangat bagussssss,bintang 5,2 bulan lalu
Cantik bgt,bintang 5,4 bulan lalu
"Keren,cantik",bintang 5,2 bulan lalu
Sudah order yg ke 3x nyaa,bintang 5,3 minggu lalu
Cakep banget 😭,bintang 5,2 minggu lalu
Terima kasih paketnya sudah di terima dengan baik,bintang 5,4 bulan lalu
,bintang 5,1 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 4,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
,bintang 4,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
suka banget sama jam imut,bintang 5,2 minggu lalu
Bagussss bgt,bintang 5,2 bulan lalu
Bgus,bintang 4,2 bulan lalu
Barang bagus 👍,bintang 5,2 bulan lalu
Jam nya elegan dan saya suka,bintang 5,1 bulan lalu
Alhamdulillah bagus bangettt...,bintang 5,2 bulan lalu
"Kerenn abiss, recommended",bintang 5,3 minggu lalu
Barang ok bgttttt,bintang 5,1 bulan lalu
Bagus banget,bintang 5,3 bulan lalu
Bagusss dah,bintang 5,1 bulan lalu
Real pict baguss cantik,bintang 5,2 minggu lalu
bngusss bngttttttttt🤍🤍🤍🤍🤍🤍🤍🤍🤍,bintang 5,4 bulan lalu
Bagus sekali,bintang 5,4 bulan lalu
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,bintang 5,3 bulan lalu
