review,rating,date
"jam nya berfungsi dengan baik🙌
jam bagus dan cocok untuk orang yang memiliki pergelangan tangan yang kecil✌",bintang 5,
"ukurannya pas di tangan, bahan nya bagus, bagus banget, warnanya cantik, modelnya bagus.",bintang 5,6 bulan lalu
"ukurannya bisa di sesuaikan, harganya murah tapi desainnya bagus, semoga awet",bintang 5,6 bulan lalu
"pengiriman cepat, pesanan sesuai, dapat harga murah dan ORI .... suka ❤️
thanks seller",bintang 5,
"Jamnya bagus banget, cuma di belt jam nya ada sedikit bompel.. selebihnya mantap lah",bintang 5,
"Ukuran Sesuai Banget sama Tangan Aku, Cuakep Di Tangan , Warna Hitamnya Mewwah",bintang 5,5 bulan lalu
bagus sekali guys.. ukuran talinya juga pas.. biasa susah dapat yg kecil jd harus buat bolongan sendiri.. ini mantep,bintang 5,11 bulan lalu
"Jam nya bagus, mewah, best la 🥰🥰🥰
Mudah""n awet..",bintang 5,1 hari lalu
"pengirimannya cepat sekaki, barang sampai dengan aman, barang sesuai dengan pesanan, ini jamnya bagus banget cocok buat formal maupun nonformal",bintang 5,3 minggu lalu
"kualitas premium tak diragukan lagi, mevvah pokoknya",bintang 5,
Ukuran pas. Ternyata warna hitam memberikan kesan mewah pada jam 60 ribu ini hahahahaha,bintang 5,
barang nya bagus dan sesuai dengan digambar ... top,bintang 5,5 bulan lalu
"paking sangag aman, pengiriman cepat datang sesuai pesanan, trimakasih",bintang 5,7 bulan lalu
"Sesuai pesanan dan sesuai deskripsi produk. Seller fast respon, packaging dan pengiriman aman. Terima kasih.",bintang 5,
barang nya bagus banget penjual nya jg ramah selalu melayani customer nya secara baik walaupun ini ada sedikit terkendala di masalah pengiriman yg macet tp aku salut sama...,bintang 5,
packing aman n rapih pake bubble wrap tebal gratis lg ada tulisan fragille jadi barang sampe kondisi mulus sesuai Request. jam berfungsi baik . modelnya simple dan elegan...,bintang 5,
"ukurannya oke ditangan yg rada oversize masih masuk, trus sesuai sama foto yg tertera, sayangnya stoknya suka habis yahh rekomen bgt bagi cewe yg butuh jam tangan yg eleg...",bintang 5,7 bulan lalu
"Jam tangannya cakep bangettt. Sempet ragu karena dapet harga diskon, tapi pas dateng puas banget dong karena barangnya sesuai deskripsi. Sayangnya, gak free baterai cadan...",bintang 5,11 bulan lalu
"barng oke sesuai deskripsi,,,ori lagi...warna hitam ternyata cute dan pas ditangan...my honey suka banget...",bintang 5,
Dimensi jam dan barang sesuai deskripsi dan katalog. bahan strap jamnya tebal.,bintang 5,
"Bagus, niat banget packagingnya tapi sayang ada minus di bagian jam nya :(",bintang 4,
Packing ter ter ter. Berasa jam mahal bet dah isi nya luxury bgt. Cocok bgt buat hadiah. Ada segel nya sbenernya tp sy buka krna penasaran dlm nya. Pdahal klo ngasi masi...,bintang 5,
"barang berfungsi dengan baik, udah dipake sebulanan",bintang 5,"barang berfungsi dengan baik, udah dipake sebulanan"
"luar biasa...dapat jam bagus dan ori dengan harga sale dibuktikan dengan sertifikat yang ada.
Terima kasih seller dan kurirnya.
anak saya suka sekali dan langsung dipakai",bintang 5,
Model jamnya simple dan aslinya keliatan elegant. Bagus. Packing aman. Pengiriman cepet,bintang 5,
"pengiriman cepat dan aman
produk sesuai deskripsi dan mewah
seller amanh",bintang 5,
"Packing aman, pengiriman cepat, kurir cerdas diletakkan di tempat aman. Warna jam cantik banget, masih tersegel. Alhamdulillah jam berfungsi dengan baik.",bintang 5,11 bulan lalu
Warnanya sesuai dan cantik. Bahan tali jamnya lembut 👍🏻 Packing sangat rapih.,bintang 5,
"bagus bgt jamnya.♥️
kirain nggak bisa ternyata yg buat ngatur nyalanya belum aku nyalain..😂🤭",bintang 5,
"respon penjual cpt, brg yg dipesan sesuai, jamnya bagus, Terima kasih..",bintang 5,
"mantap jamnya, pelayanan ok bgt
 fast respon adminya
thank u",bintang 5,2 minggu lalu
barang sesuai deskripsi. packing aman dan pengiriman cepat.,bintang 5,
"alhamdulillah,berfungsi dg baik,,,bagus bgt,,terima kasih yach,,,😊😊😊",bintang 5,
"Recommended,udahlah cantik barang juga cepet nyampenya,puas belanja di sini, terimakasih 😍",bintang 5,
"Awalnya boss saya kaget ngeliat saya beli jam mewah. Mukanya jadi begitu udah siap-siap mau nyakar saya. Dia kikira saya nanti ga mampu beli Whiskas lagi. Ternyata tidak,...",bintang 5,
"jam terkeren dan termurah yg saya beli ,pengiriman cepat dan penjual gercep...hanya dua kata ...PU...AS",bintang 5,
"Alhamdulillah tiba dgn selamat,pas bgt di tangan istri,terlihat sangat elegan dan suka pastinya👍",bintang 5,5 bulan lalu
"puas banget,, packagingnya rapih dan barang sesuai",bintang 5,
bagus sesuai ekspektasi tp sayang pengirimannya lama bangetttt,bintang 5,
"jahitan rapi, jam tangan bagus, sukaaaa bangettt🥰 semoga awet yaaa...",bintang 5,
"Keren banget, material dan bahas buagus, warna sesuai dengan yang di post, model cakep",bintang 5,
"Bagus sesuai dengan harganya lah ya, semoga awet.",bintang 5,
"barang bagus dan original, lengkap dengan kartu ucapan dari jims honey. untuk respon penjual cepat dan pengiriman juga cepat",bintang 5,7 bulan lalu
"ukurannya pas, desain dan bahannya bagus, warna eye cathing jadi nilai plus, semoga bisa awet juga. Jadi ga bingung beli hadiah buat istri harus kemana 👍",bintang 5,5 bulan lalu
"Bagus banget jamnya, respon penjual juga cepet dan ramah banget. jamnya berfungsi dengan baik, tidak ada cacat, dan dibungkus sangat safety sekali. puas banget beli disin...",bintang 5,
"Barang Sesuai, warna sesuai, aman semuanya",bintang 5,
