review,rating,date
"Sebetulnya mau coba dulu dlm 1 bln.. buat liat keawetan nya😁,, ini sdh 2mgg masih bagus sih.. semoga awet warna nya egk pudar.. pengiriman cepat pengemasan juga baik.. n...",bintang 4,7 bulan lalu
Bagus barangnya semangat awet di pakei nya...,bintang 5,2 bulan lalu
"Bagus pwoll😍😍
Bisa diatur panjang pendek
Tapi di anakku 21 bulan masih sedikit kepanjangan",bintang 5,2 bulan lalu
"𝙈𝙖'𝙖𝙛 𝙢𝙖𝙪 𝙠𝙖𝙨𝙞 𝙪𝙡𝙖𝙨𝙖𝙣,, 𝙆𝙖𝙡𝙪𝙣𝙜𝙣𝙮𝙖 𝙠𝙖𝙠𝙪 𝙙𝙖𝙣 𝙨𝙙𝙝 𝙥𝙪𝙙𝙖𝙧,, 𝙩𝙞𝙙𝙖𝙠 𝙨𝙚𝙨𝙪𝙖𝙞 𝙙𝙞 𝙂𝙖𝙢𝙗𝙖𝙧",bintang 5,2 bulan lalu
"Model bagus, tapi maaf baru seminggu Udh luntur berubah warna...",bintang 3,1 bulan lalu
"Bagus bgt, kuningnya juga seperti emas cuman rantainya aga kaku tp masih aman",bintang 5,2 bulan lalu
"Alhamdulillah barang sdh diterima dlm keadaan baik & sesuai pesanan mks ya ka, & mks jg buat mas kurirnya yg sdh mengantarkan barang dgn baik & penuh ramah",bintang 5,2 minggu lalu
"Untuk warna udah beberapa hari masih awet ya, tapi barang yang dipesan kepanjangan, chat seller dan alhamdulillah seller mau bertanggung jawab. Terimakasih",bintang 5,3 bulan lalu
Bagus hampir mirip dengan aslinya sama seperti milik anak aku,bintang 5,8 bulan lalu
Terimakasih sesuai pesananan respon dan pengirimannya sangat cepat,bintang 5,2 bulan lalu
bagus bnget klung nya kevil kya emas asli,bintang 5,2 bulan lalu
Sesuai dengan pesanan tp trnyata gak ada suratnya ak kira ada,bintang 5,1 minggu lalu
"Pengiriman cepat
Kualitas pengerjaan: Cepat
Warna: Cerah",bintang 5,1 bulan lalu
"Udah dateng paket nya.,sumpah aslinya bagus banget lucu real pict 👌",bintang 5,2 bulan lalu
"Barangnya bagus, pengirimannya rapi dan cepat, trimakasih",bintang 5,3 minggu lalu
Semoga warnanya awet & nggak bikin iritasi kulit.,bintang 5,6 bulan lalu
Bagus banget sesuai gambar pas di anakku moga awet ga luntur,bintang 5,4 bulan lalu
"Seperti emas asli, anak saya suka semoga awet nggk luntur, datangnya c4 bngt, thanks seller",bintang 5,2 bulan lalu
"Kalungnya bagus lucu dianakku agak kepanjangan hehe salah pilih size,untuk sehari hari",bintang 4,3 bulan lalu
"Kalungnya mirip emas asli, dibonusi sepasang anting.. Thx seller anakku suka",bintang 5,1 minggu lalu
Kalung nya bagus banget 😊👍🏻👍🏻👍🏻👍🏻👍🏻,bintang 5,3 bulan lalu
"Barang sdh sampai dan sesuai dengan gambar,,,, kurir juga ramah",bintang 5,5 bulan lalu
