review,rating,date
"Pliss ini terlalu bagus, harusnya ga dibawah 100 an harganya. Aku kira bakalan kegedean ditangan kecil ternyata bagus bgttttt aslinyaaa",bintang 5,1 bulan lalu
"Pengemasan cpt, pengiriman jg cpt. Packaging aman dan bagus bngt krn ada boxnya plus free gift cermin hello kitty. Ini wrn rose gold cantik bngt di kulit sawo matangku. T...",bintang 4,1 bulan lalu
"CANTIKKKKK, dikasih gift 1 batre dan kaca kecil, cmn strapnya kepanjangan jadinya nanti aku potongin lagi, tp buat lainnya udh oke bangettt, packingnya aman, aku req pgn...",bintang 5,1 bulan lalu
"Bagus banget sumpah, pas di pake di tangan baguus😩😍🫶🏻 jgn ragu beli jam ini gaes. Jam tgn nya buwagus😍🫶🏻",bintang 5,2 bulan lalu
bagus bget gak nampak jam murah keracunan alifhia ini hehhe makasih seller,bintang 5,3 minggu lalu
"Bagus, pengantarannya juga cepat.
enak juga di pake, gak bikin sakit",bintang 5,3 minggu lalu
Bagus banget rekomended dg harga sgini😍 reall pict juga📌,bintang 5,2 bulan lalu
Buagus poll aku dikecilin lagi di abang abang punggir jaln 10k,bintang 5,2 bulan lalu
"Bagus bgtt,aku pesan semalam dan sekarang sudah sampai bener² cepat pengiriman nya. Dan yg aku suka dari jam ini padahal under 100rb tapi bagus bgt simple but elegan kaya...",bintang 5,1 minggu lalu
"ada sedikit lecet yah 🫤, makasi gift nya",bintang 4,1 bulan lalu
"sesuai gambar hanya saja warna yg di mau TDK ada padahal dipilihan ada, next kontrol stok di online and di toko ready quantty nya sama atau tdk",bintang 4,1 bulan lalu
"Bagus sesuai gambar, datang” jamnya sudah nyala ….. tinggal dipotong Soalny kegedean di aku.",bintang 4,2 bulan lalu
"cantik banget product nya, packaging nya juga oke bangett. cuman di tanganku yang kecil kebesaran banget",bintang 5,3 minggu lalu
"Jamnya bagus, cuman punyaku dalemnya kaya ada goresannya",bintang 5,1 bulan lalu
mayan bagus cuma warnanya kurang tajem gtu di bagian jam nya bukan di tali rantainya,bintang 4,2 minggu lalu
"cantik bgtttt, cuma untuk ukuran tangan cwe indo kayanya gede bgtt, sampe potong lumayan banyak tadi",bintang 5,4 hari lalu
TOLONG KALO JUALAN YG JUJUR JGN JAM RUSAK DI JUAL saya kalo jam yg datang GK RUSAK GK bakalan komplen ini dr awal paket datang pun jam udh rusak dr kmren wa GK ada respon...,bintang 1,2 minggu lalu
"cantik jam nya, dpt kotak, batre, sama bonus kaca lucu bgt",bintang 5,2 minggu lalu
"bagussss, suka bgtt🤍🤍 tp terlalu kebesaran ditangan aku yg kecil, jd ini after aku potong jam nyaa
sisa nya cantikk semuaa",bintang 5,3 minggu lalu
"bagus bgttt, real pict, pengiriman juga sangat cepat sukaaa 🤩💗✨🔥",bintang 5,2 hari lalu
"Sudah terima, ok lh, cuman kotak bau bangeettt kardus apaan tuh sebau itu🤮 dah aku buang kotaknya",bintang 4,1 minggu lalu
"luzuuuuuu syekaliiiiii, kepanjangan poll tapi bisa dipotong🤟🤟🤟",bintang 5,2 bulan lalu
"cantik bgtt, terus materialnya kokoh harganya ramah dikantong lagii.. tpi harus potong dikit but okeee",bintang 5,3 minggu lalu
Baguss saya suka... jamnya cantik,bintang 5,4 hari lalu
"baguuss bgt dpt kaca yg lucu dan baterai, topp deh",bintang 5,1 bulan lalu
"pas baru dateng dia kegedeann, jadi dikecilin deh 😁🤏🏻 alhamdulillah pas suka bangettt 💗💗💗",bintang 5,3 bulan lalu
"jam nya bagus cuma telat sejam, pas mau di setting tombolnya ga berfungsi",bintang 2,2 minggu lalu
baguss baguss bangett ! kayak jam mahal,bintang 5,1 bulan lalu
"Barang sesuai dengan foto, talinya juga panjang jadi tinggal dikecilin",bintang 5,2 minggu lalu
"Gila sih ini bangus bgt woiiii, dengan harga under 100rban bisa dapet jam sebagus ini😭
berat dan bentuknya kurleb sama jam Inisial F yg aku punya, cuman beda warna aja....",bintang 5,2 minggu lalu
"Bagus bgt jam y tp syg kegedean d aku JD motong deh..🥹
Keren lah semoga awet ya..sukses sllu toko y 🤲",bintang 5,2 minggu lalu
"Jam macam apa ini g sesuai sama harga… harusnya gak 80 ribu ini mah 
400an ribu baru cocok Next pesan model lain lagi
Bagus banget rapi",bintang 5,2 bulan lalu
Jam nya cakep tapi box nya kureng,bintang 4,4 hari lalu
Pengiriman cepat kualitas barang bangus mantap polll,bintang 5,3 minggu lalu
SUMPAH INI KLO ADA BINTANG 100 PASTI AKU KASIHH. GILAA BAGUSS BANGETTT JANGAN RAGUU BUAT BELIII GUYSS,bintang 5,1 bulan lalu
Cantiik banget gk kayak barang murah sukaa 🫶,bintang 5,2 bulan lalu
"bagus bgt real pict, semoga awet, tp ttp harus dikecilin bgt ini, makasii seller🫰",bintang 5,2 bulan lalu
"lucuu sekaliii, kalo dipake serasa mirip sama jam yg expensive hihi",bintang 4,3 minggu lalu
"bagus bagt ko worth it to buy buat hrga segtu🥰, cmn di tangan aku masi kegedean hrs di kecilin selebih nyaa okee🫰",bintang 5,1 bulan lalu
"Bagus kok imut"".tpi agak lecek dikit.",bintang 5,1 bulan lalu
"Barangnya udah tiba pengirimannya dan pengantarannya cepat, jamnya bagus bangat 😍🥰",bintang 5,2 minggu lalu
Bagus jamnya tp beret dkit pinggirnya kaya ngelopek,bintang 4,1 bulan lalu
cantikk bangetttt demi allahh mgga nyangka bakal sebaguss ituuu tapi sayangnya kebesaran,bintang 5,3 minggu lalu
Suka banget sesuai pokok ny bagus poll,bintang 5,2 hari lalu
"Yg di pesen apa yg datang apa, agak laen.. admin jg slow respon bgt!!",bintang 3,1 bulan lalu
