review,rating,date
"Oke lumayan bagus untuk produknya dan sesuai dengan request saya. 
saya kasih bintang 5.

tapi saya kecewa dengan pengiriman yang terlambat tidak sesuai estimasi",bintang 5,
"Bagus, kelihatan mewah dan cocok untuk laki laki/ perempuan, gak terlalu besar jg bentuk lensanya",bintang 4,5 bulan lalu
"bahannya bagus, kombinasi plastik dan logam, modelnya bagus,...harga sesuai....
siippp.....thx  toped & seller.....",bintang 5,10 bulan lalu
"modelnya bagus, nyaman juga. tapi bahan kerasa agak ringkih. dapet free case dan cleanernya.",bintang 5,10 bulan lalu
"Kacamatanya bagus, cocok dipakai pria atau wanita, gagang frame lentur dan nyaman dipakai",bintang 5,
"bahan bagus, penglihatan jernih,warna sesuai,design bagus, Termasuk cepat ya semua sudah sesuai pesanan.terimakasih",bintang 5,
"packing oke kualitas kacamata nya juga oke, yang paling memuaskan pengirimannya sangat cepad",bintang 5,2 bulan lalu
"Modelnya bagus,dipakai nyaman,untuk lensa belum sy tanya ke anak soal nyaman tidaknya. Mudah2an aman dan awet",bintang 5,
"dibawah 500k dpt kacamata sekeren ini??
lagipula waktu pengerjaan nya cepet cuma 3 harian, biasanya klo pesen di offline store bisa sampai 5 harian bahkan seminggu.
dan y...",bintang 4,8 bulan lalu
"Seller responsif dan pengiriman tepat waktu. Saya suka desain kaca matanya, cocok dengan muka saya yang lebar. Tapi, framenya lebih tipis dari perkiraan, jadi terkesannya...",bintang 5,
"barang sampai dengan selamat, packaging nya bagus. sesuai dengan pesanan nyaman dipake juga",bintang 5,5 bulan lalu
"modelnya bagus, bahannya bagus, pengiriman cepat",bintang 5,9 bulan lalu
"product sesuai gambar, sesuai deskripsi... pengiriman Aman, order Malam Hari minggu, senin Siang sudah sampe. recommended seller recommended product...  terimakasih",bintang 5,6 bulan lalu
Toko bertnggung jawab dikirim ulang,bintang 5,
"Modelnya keren enak dipakai saat menggunakan hp atw menghadapi radiasi komputer.
Semoga awet ya",bintang 5,
"Untuk kualitas barang tidak ada masalah utk pembelian barang ketiga kali ini. Cuma memang kurang memuaskan aja karena niat beli 2 selain karena butuh, juga karena tercant...",bintang 3,
"Bagus kacamatanya, harga terjangkau, semoga awet, terima kasih",bintang 5,
"the best..
udh 2x pesen kacamata disni, awet, nyaman",bintang 5,
"Barang Mendarat Dengan Aman
Kejernihan lensa: Cukup Jernih",bintang 5,1 bulan lalu
"Thank you so much! Kacamatanya smp dgn selamat. Servicenya ok, admin jg ramah.",bintang 5,
"Alhamdulillah, pas dimata sesuai dengan resep. 
Dan pas dikantong, kebeneran lg diskon.",bintang 5,
Asli kacamatanya ngepas banget di muka ku dan enteng banget ngga kayak kacamata metal ku sebelumnya. Cuma masih pusing aja karena awalnya pakai kacamata normal sekarang p...,bintang 5,
"Modelnya bagus, ringan juga, adminya juga baik fast respon. Dapet tempat kacamata juga dan bagus",bintang 5,
"Respon n kirim cepat, seller komunikatif, pesanan sesuai, kemasan cakep, packing aman walau ga pake bubble, kacamata nya kece, makasih",bintang 5,
secara kualitas barang oke. packing jg memuaskan. tp masalah kaca sebelah kanan yg buram atau salah dalam produksi dilihat oleh mata normal pun jg burem. yg sebelah kiri...,bintang 2,
"Kualitas sesuai harga. Proses cepat. Untuk masukan : Mohon di infokan Spek Lensa Secara Detail, apakah pakai Lensa Kaca atau Mika. Lalu Grade berapa....Karena ketika dipa...",bintang 4,
"barang bagus, tapi packing nya kurang rapi.
penyok2 box nya. khawatir patah/pecah",bintang 4,
"keren pisan bahannya bagus, keliatan kuat",bintang 5,
"berbeda dengan di gambar, harusnya tidak kotak, di gambar agak bulat dan frame bawah tidak rata",bintang 1,4 bulan lalu
"frame nya tidak simetris seperti bekas tertindis barang lain saat di perjalanan atau dari toko saya tidak tau, kalau boleh saran tolong kasih bubble wrap dalam nya agar a...",bintang 5,12 bulan lalu
"real pict cuma framenya aga kebesaran sedikit buat muka aku yg ga terlalu besar, tapi over all barangnya bagus sesuai di foto dapet box + kain lap juga🥰🥰",bintang 5,
"Kualitas barang baik, pengiriman jg cepat
Seller responsive
Terima kasih semuanya.",bintang 5,
"pas di muka , desain nya kalem , bagus buat menghindari debu atau ketika menggunakan monitor pc",bintang 4,4 bulan lalu
"sampai tepat waktu, frame nya bagus dan lentur.. sayangnya ada bercak sedikit di lensa nya yg tidak bisa hilang.. thats ok",bintang 4,3 bulan lalu
modelnya bagus. cepet sampainya. kacamatamya ringan tapi kuat,bintang 5,6 bulan lalu
"Niatnya beli ini buat kacamata cadangan aja sih krn yg lama patah, eh ternyata bagus bgt kacamatanya 💕 ga nyangka secocok itu sama skin tone aku sampai kayak pake kacama...",bintang 5,
kacamatanya sangat cocok dah hasilnya sangat memuaskan dan nyaman di gunakan,bintang 5,
"Barang sesuai deskripsi, packing aman dan ontime. Liat build qualitynya ok sih, tinggal efek anti bluraynya saja Mudah2an bukan kaleng2.",bintang 5,
Model kacamatanya sesuai dan nyaman digunakan,bintang 5,11 bulan lalu
"nice, gw suka sama modelnya. cocok buat keeja di depan laptop kyk ogut",bintang 5,6 bulan lalu
"Order yg ke dua kali nya, harga murah tapi kualitas tidak diragukan, sesuai deskripsi dan bagus",bintang 5,3 bulan lalu
kacamatanya nyaman dipakai.. kualitasnya juga bagus,bintang 5,
"Model bagus, enak dipakai. Sesuai deskripsi",bintang 5,9 bulan lalu
"barang datang sesuai ekspektasi, semoga awet dan tahan lama hehe. terimakasih penjual juga responsif packing aman",bintang 5,2 minggu lalu
"paket sudah sampai, respon seller baik sekali, dan pengiriman cepat",bintang 5,
model bagus dan pas. hardcase ok. cuma kain lapnya ke skip,bintang 4,5 bulan lalu
"Model bagus, fitur blue ray dan photochromic nya berfungsi dgn baik",bintang 5,
"kacamata nya ok, cuman kain lap nya gk ada di kotaknya sesuai deskripsi barangnya. Ya sudah lah saya ada kain lap milik saya",bintang 4,4 bulan lalu
barang bagus. respon cepat. pengiriman cepat.,bintang 5,
"Gilaa kacamata baguss poll, gak expect seh, kerenn pokok e 🫡👍🤩",bintang 5,4 bulan lalu
"Barang sesuai pesanan., kualitas Bagus. 
Pengiriman tepat waktu",bintang 5,5 hari lalu
"Keren, ringan, harga pas, bagus, pengiriman cepat",bintang 5,5 bulan lalu
"baguss , next cari bentuk lensa yg lebih kecil hehe",bintang 5,
"model nya bagus, dipakai juga sangat nyaman, mantappp 🤩🤩🤩🤩",bintang 5,4 bulan lalu
"sesuai harapan ya,, trus bgus model.ny dan kualitasnya ok 😁",bintang 5,
"barang sesuai di gambar, packing aman, ongkir murah.. good quality..",bintang 5,7 bulan lalu
Barangnya sesuai. Nyaman dipakai. Terima kasih banyak untuk bonusnya.,bintang 5,
"Keren banget ukurannya pas buat di wajah menambah gaya fungsional dan stylish, packing nya juga rapi gak nyesel deh beli di lapak ini moga lariss yaa",bintang 5,2 bulan lalu
"barang sudah sampai, kacamatanya bagus.. ringan dan enak dipakai, semoga awet🙏🏻",bintang 5,11 bulan lalu
barang sesuai pesanan. pengemasan rapi dan sangat aman.,bintang 5,10 bulan lalu
Sesuai pesenan.... bahan bagus... recommended,bintang 5,10 bulan lalu
"modelnya keren, nyaman dipakai",bintang 5,
"ini keren si,barang sesuai 
buat harian enak banget",bintang 5,"ini keren si,barang sesuai 
buat harian enak banget"
"Modelnya keren dan pas..
Kualitas oke",bintang 5,9 bulan lalu
"pas di muka saya, dan adminnya cepet banget respons nya, barangnya keren banget 🔥😍 rating bintang 5 deh",bintang 5,
"pas bgt ukurannya sama kacamata yg rusak..
mantaapp..",bintang 5,
sesuai pesanan dan kualitas bagus . terimakasih,bintang 5,
"kacamata cukup bagus. framenya memamg kelihatan biasa, tapi lensanya bagus",bintang 5,7 bulan lalu
jumlah barang tdk sesuai dgn invoice.pesen 2 kirim 1 buah,bintang 5,
"Model nya pas sesuai dengan face saya , mantap pokoknya 👍",bintang 5,7 bulan lalu
maaf baru ulas lagi sibuk ada kurang dari kurir yng nganter barangnya di lempar udah KY sampah pokok ny kurir ny kurang ajar untung gak pecah,bintang 3,5 bulan lalu
"Barang bagus, nyaman dipake frame kokoh",bintang 5,
pengiriaman sesuai waktu dan packing rapihh,bintang 4,11 bulan lalu
cepat sampai sesuai pesanan bahan bagus,bintang 5,5 bulan lalu
pesan black grey malah dtg hitam semua penjualnya asal ngirim kualitas buruk,bintang 1,
bagus bangat puas udh kesekian pesen barangnya bagus bngat,bintang 5,10 bulan lalu
"Keren dan cantik, aesthetic~ Harganya sepadan.",bintang 5,4 bulan lalu
"okelah nambah kegantengan 0,0001%",bintang 5,5 bulan lalu
mantap gercep. terimakasih banyak admin dan tim,bintang 5,4 bulan lalu
SESUAI PESANAN CEPAT SAMPAI PRODUK BAGUS,bintang 5,
Bagussssssssssss. Mau yg frame hitam tp habis huhuhu,bintang 5,6 bulan lalu
"barang sesuai pesanan, dan packing amann",bintang 5,9 bulan lalu
ok lah barang sesuai deskripsi,bintang 5,
"packing OK
unit Ok
smg aman .awet selalu",bintang 5,
Sesuai pesanan bahan kokoh trimakasih,bintang 5,4 minggu lalu
"produk oke, kualitas bagus, seller responsif, pengiriman cepat.",bintang 5,
"barang bgs, sesuai permintaan thx",bintang 5,9 bulan lalu
"kacamata nya bagus, sesuai deskripsi dan iklan. cuma kaca nya kurang fit ya ke frame, jd goyang2 gitu. tp gpp, gak ganggu juga cuma kalo lagi dibersihin baru berasa.
fram...",bintang 5,5 bulan lalu
"kaca mata nya bagus sekali,pas banget di wajah sy,cuma agak pusing kepala sy 🙏",bintang 5,
"packagingnya bagus. dapet tempat kacamata dan lap yang oke. kacamata sesuai pesanan, tapi agak kebesaran. mungkin karena biasa pake yang maks 50mm, nambah 1mm aja berasa...",bintang 5,
Kacamatanya bagus. Pengiriman cepat. Seller juga responsif. Recommended,bintang 5,8 bulan lalu
"Sampai dengan selamat dan cepat, beneran cepat.

Kacamata nya OKE, berfungsi sesuai dengan deskripsi",bintang 5,
"barang sesuai, penjual fast respon dan membantu",bintang 5,
"keren banget, admin balasnya cepat barang sesuai ekspektasi, dan sesuai harga syukurnya diskon sih hehehe makasii semoga laris manis yaaa",bintang 5,
"model bagus, pengiriman cepat, komunikasi penjual juga ramah, cepat.",bintang 5,5 bulan lalu
"model & bahannya bagus, price worthy. ternyata cocok untuk bentuk muka kotak jg. makasih yaa",bintang 5,10 bulan lalu
material/bahan dan lensa bagus. cocok.....,bintang 5,3 bulan lalu
"semalam br sy pakai 30 menit ddpn laptop, mata sy tambah sakit dan blur pdhl mata sy normal, sy kr2 efekny bnr2 anti radiasi komputer",bintang 4,
"mantap, sesuai request, semoga awet kacamatanya, kualitas oke, murah tetapi bukan murahan🫡",bintang 5,1 minggu lalu
"pelayanan dan respon nya bagus, cepat dan barang sesuai harapan.",bintang 5,
"Bagus, sesuai pesanan, pengiriman cepat, seller responsive",bintang 5,9 bulan lalu
sesuai gmbar recommend bgttttt,bintang 5,
"framenya tipis di bagian lensa,terlihat agak riskan patah..
semoga awet",bintang 3,3 bulan lalu
"Ketiduran patah, tidak bisa diperbaiki, solusi ganti frame, kacamata licin merosot terus",bintang 3,11 bulan lalu
"packing rapi dan aman, kualitas brg bagus.",bintang 5,1 bulan lalu
"modelnya keren, kualitas baik",bintang 5,
respon penjual sangat baik dan bertanggung jawab,bintang 5,7 bulan lalu
"Kacamatanya bagus,ukuran pas,pengiriman cepat,packing rapi tq",bintang 5,
"gimana ya, bagus kok barangnya, tapi pengiriman nya gatau kenapa lama banget 🤫",bintang 4,
