review,rating,date
"Alhamdulillah barang sudah saya terima dengan baik dan sempurna, packingnya juga bagus, namun saran kedepannya mohon diberikan buble warp untuk lebih memproteksi. terima...",bintang 5,7 bulan lalu
"barang cepat sampai, respon seller baik, barang bagus sesuai.terimakasih",bintang 5,9 bulan lalu
Barang sudah sampai dan di try. Ternyata buat panjang arm di saya agak kepanjangan mungkin saya mah 135an kurang lebih. Tapi ok lah. Terimakasih.,bintang 5,
"Bagus barangnnya 
Namun dkasih box nya hello kitty dong hahha pdhl buat cowo",bintang 5,10 bulan lalu
"agak sedikit goyang aja di bagian kacanya
yg penting aman barangnya 👍👍👍👍",bintang 5,
"Tidak bagus, sudah di batalkan barang tetap di kirim seperti tidak target",bintang 1,5 bulan lalu
"kualitas lensa dan frame sangat baik dan memuaskan.pengiriman dan packing sangat memuaskan..seller sangat responsif,,terima kasih buat semua penjelasan nya. next time mau...",bintang 5,
"Proses kirim cepat (pakai jne regular), pelayanan baik, pertanyaan cepat dijawab. Untuk pesanan kacamatanya sesuai order dan request. Untuk lensa cenderung kecoklatan saa...",bintang 5,
"cepat sampai, cuma agak kekecilan, barang bagus tidak ada cacat",bintang 4,
"Kualitas Barang : Sangat Bagus, Puas
Pelayanan Seler : Ramah, Sabar, Sangat Ok
Pengiriman : Sangat Buruk",bintang 5,
"oke bangettttt, pas tapi dateng dengan kondisi agak penyok dan sobek",bintang 5,4 bulan lalu
"Packing rapi..produk bagus,kokoh..pengiriman cukup cepat dari estimasi sampai..semoga awet",bintang 5,
"Untuk kualitas barang tidak ada masalah utk pembelian barang ketiga kali ini. Cuma memang kurang memuaskan aja karena niat beli 2 selain karena butuh, juga karena tercant...",bintang 3,
barang sesuai pesanan..packing tanpa bubble wrap.. tp masih aman walopun ditaruh geletak gt aja ato dilempar ma kang kurir karena double kardus dan hardcase..,bintang 5,8 bulan lalu
Barangnya sesuai dengan yang dipilih. Packingnya simpel. Moga awet kaca matanya,bintang 5,6 bulan lalu
"Kacamata nya bagus,  dan pengiriman cepat.",bintang 5,7 bulan lalu
"Bagus
Pengiriman cepat
Ori
Barang berfungsi dengan baik",bintang 5,6 bulan lalu
