review,rating,date
"Buset, ini harga murah tapi kualitasnya premium euy,, dari box kacamatanya aja kerasa banget kalo ini bukan barang murahan, gila gila, the best emang, recommended seller...",bintang 5,
"modelnya bagus, ukurannya pas di wajah dan nyaman di pakai 👍",bintang 5,8 bulan lalu
"overall barang bagus lah cuma speknya aja yang rada rancu, PHTC singkatan photocromic kah? kalo iya kenapa gak photocromic lensanya seperti di iklannya, seperti lensa bia...",bintang 2,8 bulan lalu
"bagus kacamata nyaaa...
krna beli pas promo 9.9 q JD dpt diskon 95% dari harga normal, JD hrga 590rpiah. terima kasih 🙏 maaf foto gak sesuai,tp emang aslinya bgus,gak me...",bintang 5,8 bulan lalu
"bagus sesuai pesanan, saran sih untuk yang cowok pesan yang memang ukuran untuk pria aja wkwk",bintang 5,8 bulan lalu
"produk bagus, pengiriman cepat.
makasih ya",bintang 4,
"Paket di terima dengan baik dan lengkap, tapi ada goresan di kacanya",bintang 3,
Kacamatanya keren sama gagangnya kelihatan gagah jg,bintang 5,9 bulan lalu
ok kacamata enak dipakai lmyn lama mantap pokoknya,bintang 5,
"makasih paket dah sampai, model keren nyaman dipakai semoga awet",bintang 4,
kacamata nya bagus dan ringan..,bintang 5,
"barang diterima dengan packing, dus, dll juga dalam keadaan baik. untuk barang nya sendiri udah pas, pemakaian juga nyaman, cuma sayang yg seri silver kosong",bintang 5,2 bulan lalu
berfungsi dengan baik kualitas cukup baik dengan harga relatif murah,bintang 5,
"bahannya. bagus 





bahan frimenya bagus dan kuat",bintang 4,8 bulan lalu
barang diterima dengan baik. seller responsif. untuk harga segitu udh cukup bagus. terimakasih.,bintang 5,10 bulan lalu
lumayan bikin mata gk sakit pas liat layar berjam jam,bintang 5,8 bulan lalu
"mantap kaca nya berfungsi dengan baik ,😎",bintang 5,
"Sesuai deskripsi, tapi apes dapet kurir malah dilempar paketnya, untung ga rusak",bintang 5,
"beli proses kirim sampai, cepat. barang bagus model keren uy. hemat dr pda di toko hho. thx",bintang 5,
"barang bagus sih tp sepertinya bukan blueray fotocromic, sesuai lah dengan harga segitu",bintang 4,
"Sesuai deskripsi, harga murah, pengiriman cepat 🤙🏻🙏",bintang 5,
kacamata bagus sesuai yg di tawarkan penjual respon dengan baik,bintang 5,
"produk bagus, anaknya senang banget, namun kurirnya asem bingit, pesanan mesti diambil sendiri ke agen..",bintang 5,
Bagus dan packing jg aman terima kasih bisa langganan disini ☺️🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟,bintang 5,
udah 2x bli kacamata di sini kali ini bintang gak full😞 moga aja ini bukan noda darah zombie trus kacamatanya koq miring. untung blinya belum tambahin lensa minus bisa n...,bintang 3,
berfungsi dengan baik dan packing rapih,bintang 5,3 bulan lalu
"benar2 anti radiasi, tidak tembus",bintang 5,
fast response,bintang 5,
Lucu,bintang 5,
"modelnya keren, elegant mantap pokoknya",bintang 5,9 bulan lalu
mantab,bintang 5,2 bulan lalu
,bintang 5,
"sesuai pesanan..
tq",bintang 5,
ok,bintang 5,
,bintang 1,8 bulan lalu
Layak harga segini.. Cepet prosesnya lagi. Recoment seller,bintang 5,
