review,rating,date
"kacamata sudah diterima sesuai dengan display namun kondisinya kurang baik karena gagang kurang kuat sehingga pada saat dipakai tidak kokoh diwajah, barang sesuai dengan...",bintang 4,7 bulan lalu
"Barang sesuai pesanan, model ok, ringan, cepat banget diproses dan cepat x juga sampainya,,
recomended seller lah pokoknya",bintang 5,6 bulan lalu
barang sudah sampai sesuai pesanan ukurannya pas bahan ok warna model kualitas ok,bintang 5,
"toko amanah, respon cepat barang bagus dan keren. kurirnya pun ramah terima kasih. senoga bermanfaat.",bintang 5,9 bulan lalu
"Pesanan sesuai. Produk bagus, proses dan kirim cepat. Terima kasih.",bintang 5,
"sesuai pesanan, paking rapih, pengiriman cepat sekali, semoga awet.

makasih. banyak.",bintang 5,10 bulan lalu
"Tiba sebelum tgl nya. Lebih cepat Kemasan bagus, barah sesuai ekspetasi",bintang 5,
"modelnya keren, sesuai pesanan, sesuai harga.rekomended seller.


makasi banyaak....",bintang 5,10 bulan lalu
"Respon dan Pengiriman cepat
Ukuran lensa +2.00, sesuai.
Frame -nya ringkih
Tapi untuk harga segini, ya bolehlah",bintang 5,7 bulan lalu
mantap.. cepat barang bagus sesuai dengan deskripsi,bintang 5,3 bulan lalu
bagus dan murah. pengiriman juga sangat cepat. keren lah,bintang 5,11 bulan lalu
"packing aman proses cepat, barang sesuai deskripsi, thx 🙏",bintang 5,11 bulan lalu
"Terimakasih barang sudah sampai sesuai deskripsi, respon dan delivery mantap 👍🙏",bintang 5,11 bulan lalu
modelnya keren... nyaman dipakainya... gagangnya lentur ga bikin pusing... sellernya responded dan kurirnya amanah...,bintang 5,6 bulan lalu
"mantap, cepat sampai, sesuai foto",bintang 5,11 bulan lalu
"keren kacamatanya, kemasan rapi
toko merespon pesanan dgn cepat",bintang 5,
terimakasih produk sesuai dengan deskripsi.,bintang 5,11 bulan lalu
OK Kaca matanya enak dipakai ukurannya pas,bintang 5,
sesuainlah dengan harga..thanx TOPED,bintang 5,9 bulan lalu
Harga terjangkau..pas lg dipake utk membaca..thanks gan,bintang 5,6 bulan lalu
"lumayan enak di pakai, sesuai dengan harganya. cocok buat cadangan",bintang 5,8 bulan lalu
"agak tipis plastik gagang nya saat pakai melorot terus kacamata nya. 
kedepan bagusan agak tebal mahal dikit gpp kaca nya oke sih...",bintang 3,4 bulan lalu
"Modelnya keren, pengiriman cepat recommended seller",bintang 5,3 bulan lalu
modelnya bgus pengirimannya jga sgt cepat,bintang 5,8 bulan lalu
Model keren. Sesuai pesanan.,bintang 5,
"ok mantap, keren ❤️🙏 trm ksh buat tokonya dan Tokopedia semoga semakin sukses.. jaya.. jaya.. jaya..",bintang 5,9 bulan lalu
enak untuk baca sesuai dengan keinginan,bintang 5,7 bulan lalu
gagang tdk bs dibuka dgn sempurna,bintang 1,7 bulan lalu
mantap n tepat waktu...... bravo selalu tokopedia,bintang 5,10 bulan lalu
Biasa saja seperti produk 20rban,bintang 3,3 bulan lalu
paket sdh diterima dengan baik.  terima kasih,bintang 5,7 bulan lalu
"paket sesuai pesanan, mantab.",bintang 5,
mantap,bintang 5,9 bulan lalu
cepat parking Aman makasih gan,bintang 5,
kualitas melebihi harga,bintang 5,2 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,10 bulan lalu
,bintang 5,11 bulan lalu
Keren deh. Terimakasih,bintang 5,
atuk suke,bintang 5,1 bulan lalu
sesuai harga,bintang 5,8 bulan lalu
🙏🏻🤟🏼,bintang 4,
,bintang 1,2 bulan lalu
,bintang 1,9 bulan lalu
