review,rating,date
"model yang simple, built quality yang bagus pula sangat detail",bintang 5,1 bulan lalu
"pertama dateng kaget, jarumnya copot. minta return di acc, ga lama kemudian pesen lagi. dan ga kecewa sama sekali, bagus banget. sedikit saran, strap(non-jahit) nya mungk...",bintang 5,3 bulan lalu
"Cakepp jam nya,packagingnya juga rapih dan tebel jadi aman",bintang 4,11 bulan lalu
"Kentep(keren mantep) banget ni jam tangan, pengiriman juga cepat. Thanks min semoga awett🫶🏼👍🏼",bintang 5,4 bulan lalu
waah kerenn cuyy jamnya. cocok buat ngadoin orang terdekat apalagi ngadoin ayang. classic tapi classy banget ini jam,bintang 5,3 bulan lalu
"Barangnya bagus cakep elegan minimalis,sengaja minta di tambahin Lubang strap di official store nya biar rapi, tapi sayang Lubangnya Kurang rapi (gak lurus)",bintang 4,11 bulan lalu
"paket datang tnpa rusak,cepat, sudah dicoba pakai tapi agak kekecilan untuk tangan",bintang 4,2 bulan lalu
Bagus banget maashaAllah trimakasih kak sudah amanah sipp. Di tiktok harganya lebih murah jauh dibanding toko oren,bintang 5,
"jam nya mantap, kaya mahal lumayan buat kasih ke cowo ku hwhwhw tapi strapnya kaya murahan tp gapapah mantap",bintang 5,1 bulan lalu
"tengkyu,keren jamnya walaupun nunggu agak lama hehe",bintang 5,9 bulan lalu
jam nya keren dan kekinian . murah tp elegan dipakai kemana aj,bintang 5,1 bulan lalu
sayang ukuran buletan jam nya kecil bgt ga cocok di pria yg tangannya aga besar,bintang 1,10 bulan lalu
Original dan keren sesuai deskripsi 👍,bintang 5,
bagusss bgt pas buat tangan pacar aku ahhaha,bintang 5,1 bulan lalu
Talinya kecil banget kayak jam cewe jadinya,bintang 3,9 bulan lalu
"jam tangan simple, bagus, dengan ini wanita akan mendekat kepadaku huahahaha",bintang 5,3 bulan lalu
"Bagus kaya biasa, 2 kali beli disini bagus semua",bintang 5,2 bulan lalu
,bintang 5,10 bulan lalu
elegant! love it <3,bintang 5,5 bulan lalu
pengiriman lumayan lama. Tapi keren sih jamnya,bintang 5,7 bulan lalu
BAGUSS BANGET 🔥🔥🔥,bintang 5,5 bulan lalu
Mantap original,bintang 5,3 bulan lalu
baguss😍,bintang 5,8 bulan lalu
Baguss bgttt 😍😍,bintang 5,
,bintang 5,2 bulan lalu
B ajah,bintang 4,2 bulan lalu
Bagus,bintang 5,2 bulan lalu
cakepp bangett,bintang 5,5 bulan lalu
❤‍🔥❤‍🔥❤‍🔥,bintang 5,11 bulan lalu
mantap,bintang 5,1 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,7 bulan lalu
,bintang 5,8 bulan lalu
,bintang 4,8 bulan lalu
,bintang 5,
,bintang 5,9 bulan lalu
,bintang 5,9 bulan lalu
,bintang 5,10 bulan lalu
,bintang 5,10 bulan lalu
,bintang 5,11 bulan lalu
,bintang 5,11 bulan lalu
,bintang 5,11 bulan lalu
,bintang 5,
,bintang 5,
,bintang 5,
,bintang 5,
,bintang 5,
mantapp,bintang 5,7 bulan lalu
