review,rating,date
Brg sesuai packing ok dan cepat sampenya,bintang 5,1 bulan lalu
"paket aman dipacking dengan buble wrap, fast response and recommended seller",bintang 5,
"Barang datang tepat waktu dan cocok dipasang di frame, nyaman krn jarak dg pipi tdk terlalu mepet, thanks Gan 👍🏻",bintang 5,10 bulan lalu
Seller gerak cepat sekali. Barang bagus dengan harga terjangkau.,bintang 5,
keren pas mantab sesuai ukuran presisi compatible,bintang 5,
"Alhamdulillah paket smp dng cepat 🥰
Dan alhamdulillah jg, ada yg jual nosepad spt itu ... jujur, sy sedih krn kcmt kesukaan, patah di nosepad'a ... Semoga nosepad&#3...",bintang 5,7 bulan lalu
"pengiriman cepat, meskipun tangkainya ternyata kurang cocok dgn kacamata saya, namun karepnya masih bisa dipakai dan cocok dgn tangkai yg lama.",bintang 5,
"bahan lembut dan ukuran pas, namun sayang ga sepaket sama bautnya.",bintang 4,10 bulan lalu
"Produk sesuai deskripsi, respon seller cepat",bintang 5,
"Barang bagus, cepat sampai, recommended seller",bintang 5,9 bulan lalu
cocok dan sesuai ukuran,bintang 5,
respect dengan toko nya . menghargai pembeli walau tak seberapa harganya .,bintang 5,
mantaap.. ini kereen.. empuk.. nyaman..,bintang 5,
,bintang 5,
barangnya sesuai dan bagus,bintang 5,
semoga pas dgn rangka framenya,bintang 4,
lumayan,bintang 5,
,bintang 5,5 bulan lalu
,bintang 5,7 bulan lalu
,bintang 5,12 bulan lalu
,bintang 5,
,bintang 5,
recommended seller thanks,bintang 5,
kurang OK,bintang 3,11 bulan lalu
good good good,bintang 5,
ok,bintang 5,6 bulan lalu
👍👍👍👍👍,bintang 5,
mantuuul,bintang 5,
