review,rating,date
Sangat memuaskan nex kita pesan lagi,bintang 5,1 minggu lalu
"Barangnya bagus sangat rekomedasi buat hadiah, sukses selalu😇 trimakasih paketnya mendarat sampai tujuan dan aman 🙏🙏🙏",bintang 4,3 bulan lalu
Terimakasih banyak sesuai digambar ..cuma katanya bonus cincin ini bonus gelang😭,bintang 5,3 bulan lalu
"sampai dengan selamat, dan masih mulus cuma penyok dikit bagian ujung kotaknya tapi masih oke lah, cuman ko ini dapet bacaan cashback tapi ko ga masuk² di gopay coins ata...",bintang 1,2 minggu lalu
"Bagus bangettt, packingannya juga bagus, suka bgt sama semuanya 🥰🥰🥰, cocok banget buat ngasih kado, mewahnya ga main mainn",bintang 5,3 bulan lalu
"Barangnya baguus,dan cepat juga sampainyaa,sesuai dengan gambar dan vote orang” yg udh belii,terimakasih atas kepercayaannya",bintang 5,2 minggu lalu
"Makasih banyak atas barangnya oke banget dan dikasih bonus kacamata hitam. Sukses selalu buat owner , karyawan dan toko nya ya. Aamin",bintang 5,
"Alhamdulillah bagus banget, packing aman.",bintang 5,3 bulan lalu
Gokilll sihh harganya dengan prodak see wouuu dan elegan itu... Pasangan jadi salting khahahah,bintang 5,2 bulan lalu
"Kotaknya agak penyok2, tapi its okaylah, good price good quality",bintang 4,1 bulan lalu
"Barangnya sesuai dengan gmbar, walaupun untuk bonus gelangnya tdak masuk krna mngkin ada sesuatu dn lain hal, namun secara barang utama sdh sangat bgus pengemasan rapi dn...",bintang 5,3 bulan lalu
"Sesuai foto dan semua berfungsi, semoga awet",bintang 5,3 bulan lalu
Keren banget jam nya mkasih kak pketnya udah dtang😊😊,bintang 5,3 bulan lalu
bagusss😍,bintang 5,2 bulan lalu
"Bagusᕙ⁠(⁠⁠¤⁠⁠〰⁠⁠¤⁠⁠)⁠ᕗ, tapi malah jadi kado perpisahan",bintang 5,3 minggu lalu
"Barang bagus, pengemasan juga rapi",bintang 5,4 bulan lalu
"mntap, tinggal di ksih ke orang nya",bintang 5,2 bulan lalu
Barangnya mantap sesuai gambar pokoknya bintang aja yg berbicara👍👍,bintang 5,1 bulan lalu
Mantap sesuai pesanan kurir ramah 😅,bintang 5,2 bulan lalu
Lebih bagus dari yang di bayangkan,bintang 5,3 bulan lalu
Cakep,bintang 5,2 bulan lalu
barangg nya baguss mantap👍👍,bintang 5,3 bulan lalu
bagus banget mamah aku sukaa aaaaa,bintang 5,3 bulan lalu
Bagus mantap,bintang 4,1 bulan lalu
gelangnya emng lonjong y? wkwk,bintang 5,3 bulan lalu
Cantik sekali🥰,bintang 5,2 bulan lalu
Lumayan bagus sesuai dengan permintaan,bintang 5,1 minggu lalu
"Baguss, istri saya suka 💖",bintang 5,2 bulan lalu
Nice,bintang 5,1 bulan lalu
Bagus cocok,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
Sampai dgn selamat sesuai pict puas,bintang 5,3 bulan lalu
Bagus banget deh,bintang 5,2 minggu lalu
Bagus dan pacar ku suka,bintang 4,1 bulan lalu
Alhamdulillah barang bagus,bintang 5,4 bulan lalu
cakep,bintang 5,1 bulan lalu
Rekomendasi,bintang 5,2 minggu lalu
"bagus, istri suka",bintang 5,3 hari lalu
Bagus,bintang 5,3 hari lalu
Oke,bintang 4,3 bulan lalu
Keren sih cantik barangnya,bintang 5,1 bulan lalu
Mantap,bintang 5,2 bulan lalu
good,bintang 5,3 bulan lalu
Mantap 👍👍👍👍,bintang 5,2 bulan lalu
Mantap sih,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 4,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 4,3 bulan lalu
,bintang 4,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 4,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
pengiriman lama bgt,bintang 1,1 bulan lalu
👍👍,bintang 4,1 bulan lalu
