review,rating,date
"bahan bagus, tapi hrs dipotong krn terlalu panjang pengaitnya",bintang 5,1 bulan lalu
"nice, produk sesuai dengan gambar dan deskripsi...
semoga awet",bintang 5,12 bulan lalu
"lobang agak kecil
ya mgkn kebetupan gagang kcmt sy gede jd kcl deh
lalu smg aja awet
thank you",bintang 5,
"Karet lembut, saking lembutnya mungkin ngga akan lama masa pakai nya. Tapi emang enak dipakai,tidak terasa ganjal. Semoga awet aja deh. Pengiriman cepat, barang sesuai. S...",bintang 4,11 bulan lalu
barang sesuai pesanan. response seller baik,bintang 5,
barang sudah sampai dan sesuai dengan deskripsi produk,bintang 5,
Alhamdulillah. sudah sampai dan berfungsi dengan baik..,bintang 5,
"Dapet murah bgt, qty barang pas. Mantabbb, terima kasih seller",bintang 5,9 bulan lalu
benar2 keren gk bikin kcmata merosot lg wlpun harga murah tp sgt brmanfaat🥰🥰🥰🥰,bintang 5,2 bulan lalu
"jos enak pokoke, buat hidung pesek manteb banget, diskonnya gede bgt, full servis, pesanan lgsg dikirim meski hari libur, thanks seller, sy doakan kaya dan sukses, aamiin...",bintang 5,
ok lah ok lah ok lah ok lah ok ok lah ok lah ok lah ok lah ok,bintang 5,
paket dah sampe...sesuai pesanan...bermanfaat sekali buat hidung yg ngga mancung...makasih,bintang 5,
"Produk Oke, sesuai deskripsi,.",bintang 5,
Barang sesuai foto & deskripsi,bintang 5,10 bulan lalu
Kacamata tidak mudah jatuh lagi,bintang 5,3 bulan lalu
"barang sesuai, sangat berguna biar gak lepas lepas",bintang 5,
"Recommended Seller, Barang sesuai pesanan dan cepat sampai, seller ramah dan responsive... TOP SELLER",bintang 5,
"modelnya bagus, dipakainya enak, gak berasa ngganjel. Bahannya bagus",bintang 5,
"bagus, materialnya empuk tapi bisa ngait di kuping.
kuping gak sakit",bintang 5,
"barang bagus tp sayang banget dikirim cm 2 set, padahal pesan 6 set. penjual respon baik. next lebih teliti lg untuk seller",bintang 4,9 bulan lalu
"keren stelah dipasangkan ke frame kacamata,mantap ,terima kasih untuk tokped dan jasa pengiriman.tingkatkan  terus kualitas pelayanannya...mantap",bintang 4,
Pas sesuai Dan nyaman,bintang 5,
model udah bagus tapi bagi ku kurang panjang aja sih,bintang 4,10 bulan lalu
Ukurannya kecil. Sepertiny untuk kacamata anak2. Tidak pas untuk kacamata dewasa.,bintang 3,11 bulan lalu
Sudah diterima dg baik. Sesuai deskripsi. Packing aman. Mudah2an awet. Makasih.,bintang 5,
Bahan bagus. Sayangnya size kecil,bintang 5,
"bhn silicon,jadi tdk bisa menahan frame nya",bintang 3,1 minggu lalu
"bahan  OK ,kwalitas OK sesuai deakripsi",bintang 5,
"mantaap pesanan barang nya saya sangat puas,trima kasih",bintang 5,1 bulan lalu
nyaman dipakai..,bintang 5,
"Sesuai pesanan
🔥🔥🔥
👍🏻💯",bintang 5,
"barang sesuai deskripsi, mantab",bintang 5,
"barang dah sampai , sesuai dengan pesanan saya ok trima kasih.",bintang 5,8 bulan lalu
Barang sdh diterima sesuai dengan pesanan,bintang 5,3 minggu lalu
pengiriman cepat,bintang 5,1 bulan lalu
recommended seller,bintang 5,6 bulan lalu
Terbaik,bintang 4,
ok good,bintang 5,2 bulan lalu
mudah2an gak melorot,bintang 5,
,bintang 4,7 bulan lalu
😊😊😊😊😊😊😊😊😊😊😊😊😊,bintang 5,
wow,bintang 5,
warna sesuai,bintang 5,
puas,bintang 5,2 minggu lalu
okey .sesuai keinginan,bintang 5,
mantappp,bintang 5,
oke bos,bintang 5,1 bulan lalu
Ok bgt,bintang 5,1 bulan lalu
"ok di pakainya,terimakasih",bintang 5,1 bulan lalu
"Lumayan bagus, semoga awet",bintang 5,2 minggu lalu
sesuai pesanan thx,bintang 5,7 bulan lalu
terimakasih,bintang 5,1 bulan lalu
,bintang 3,1 bulan lalu
,bintang 3,2 bulan lalu
,bintang 3,
mantep toppppppppppp,bintang 5,
,bintang 2,9 bulan lalu
baguss. mudah²an awet. tq ya?!!..,bintang 5,
barang bagus. cepet nyampenya,bintang 5,
"brng SDH di terima ,sesuai..pesnenan...kurirnya mantullllll....",bintang 5,
penolong dikala kacamata melorot terus krn pake masker. terima kasih kaa,bintang 5,
realpict blm dicoba pengiriman cepat ......🙏🙏🙏,bintang 5,
baikk,bintang 4,
Bahannya kuat tapi tidak kaku,bintang 5,
Bagus bgt....,bintang 5,
"Sesuai pesanan, brg cepat sampai",bintang 5,
Bermanfaat. Terimakasih ya,bintang 4,
"gak bisa kepake karetnya terlalu lentur 
susah masuk",bintang 1,
sesuai,bintang 5,
sesuai pesanan,bintang 5,
"bagus banget,brgnya Mantuil semoga awet,tks",bintang 5,
