review,rating,date
Barang bagus original ada bonus baterainya tapi sayangnya paket yg aku terima dalam keadaan plastik sudah ada robekan kardus juga penyok sedikit pojokannya,bintang 5,6 bulan lalu
"Akurasi: Pas
Kualitas pengerjaan: Bagus
Harga nya sesuai katong IRT bu gya2 gitu
Paling waw itu packingnya sih pas paket datang dikasih bubble wrap lagi di dalamnya
Jd am...",bintang 5,2 bulan lalu
"Mantap barang ori, sesuai dengan hargany",bintang 5,1 bulan lalu
"Kualitas barang bagus, pengiriman cepat sampai",bintang 5,8 bulan lalu
bagus bgt gak keliatan harga 50rb an,bintang 5,5 bulan lalu
"Bagus, Sampe dengan selamat... Lucu imut2 jam nya...nyampe tepat waktu...hari kamis sampai Jum'at Bisa di pakai...",bintang 5,7 bulan lalu
"barangnyaa baguss banget, sesuai sm pesanan,dapat gratis stiker, batrei, sm garansi jugaa, ngga expect jam nyaa cantik bangett",bintang 5,2 bulan lalu
"Produknya bagus banged... Rapi,pas untuk tangn sy yg kecil. Wenny jg keren. Cepat sampainya.",bintang 5,2 bulan lalu
"Barang sudah dateng yaa, bagus elegan, tali nya juga cocok di tangan saya yang kecil. 
Terimakasih",bintang 5,2 bulan lalu
"pengiriman cepat
kuliatas bagus",bintang 5,2 bulan lalu
Pengemasan ok punya. Barang bagus ship pokoknya,bintang 5,7 bulan lalu
"Jamnya lucu manis, tapi ku kira agak besaran dikit ternyata lebih kecil dari espektasi, tapi ngga papa",bintang 5,1 bulan lalu
"Bagus
Request lubang tambahan pun dikasih
Suka bangett banget",bintang 5,6 bulan lalu
baguss jam nya dapet plus baterai juga semoga awet tahan lama,bintang 5,2 bulan lalu
Belum 2 hari tp pengait di tali jamnya udah putus. Terpaksa di lem,bintang 4,7 bulan lalu
"Jamnya bagus banget sesuai di gambar tapi dibagian itu kurang banget, hampir copot lagi harus dilem lagi itu🥹, produknya juga gak sesuai deskripsi perlengkapannya, padah...",bintang 3,2 bulan lalu
"Packing sangat aman, pengiriman cepat, dapat free baterai makasih",bintang 5,2 bulan lalu
"Bagus banget, warna juga cocok sm tanganku jam Oke lahh rekomen banget lain kali beli lagi disini",bintang 5,8 bulan lalu
Baik bagus sesuai cocok buat sehari hari😘😘next order lagi,bintang 5,8 bulan lalu
"Barangnya sesuai dengan foto di iklannya
Bagus
Semoga tahan lama ya",bintang 5,6 bulan lalu
Meskipun harga murah tp kualitas produk sangat memuaskan terima kasih ❤️🥰🫶🏻,bintang 5,7 bulan lalu
"Cantik cocok buat wanita menambah kecantikan
Kualitas pengerjaan: Rapi
Akurasi: Pas",bintang 5,7 bulan lalu
"Tidak d ragukan lagi, bagus deh👍🏻👍🏻👍🏻 maksih juga ternyata dapet GA, jam tangan anak bagusss👍🏻💚",bintang 5,7 bulan lalu
Jam nya sampai dgn baik g ada rusak..😍,bintang 5,2 bulan lalu
Bagus banget dengan harga segtu dpt free batrenya lagi pokoknya mantullkl👍👍💕👍,bintang 5,2 bulan lalu
"Bagus banget kak jamnya, jamnya nyampe dgvkondisi bagus, cocok  untk  kado  jga , makasih kak",bintang 4,7 bulan lalu
"Bagus cocok dah, semoga cewekku suka
Kualitas pengerjaan: Sudah bagus
Akurasi: Bagus",bintang 5,7 bulan lalu
"Barang nya sudah sampai, dan realpict sesuai pesanan terimakasih",bintang 5,2 bulan lalu
Bagus bangeeeet... +dapat free jam anak lagi😍😍makasih kaka semoga lancar terus usahanya ☺,bintang 5,1 bulan lalu
Minta hitam dikirim coklat.. ga teliti bgt..order wrna apa dikirim coklat..tnpa konfirmasi dulu lgi..baru pertama nyoba jam ini malah kecewa,bintang 3,2 bulan lalu
Bagus sekali,bintang 5,1 bulan lalu
"Suka, bagus banget
Di kirim dua😍",bintang 5,6 bulan lalu
"Jam tangan bagus
Sesuai gambar
Dapat baterai cadangan juga
Sangat elegan
Harganya terjangkau
Semoga awet
Kualitas pengerjaan: Bagus
Akurasi: Bagus",bintang 5,2 bulan lalu
Masyaallah barangnya bagus banget,bintang 5,8 bulan lalu
Bagus banget jam tangannya sukaaaaaa❤❤,bintang 4,7 bulan lalu
Keren bgt jam tangan nya ori murah tpi ga murahan,bintang 5,2 bulan lalu
Bagus tp sabuk jamnya kurang agak panjang,bintang 4,4 bulan lalu
Thxuuuu dikasih bonusannya yg beruntung hihii xixi,bintang 5,7 bulan lalu
Produk bagus. Pengemasan rapi dan aman. Pengiriman juga cepat.,bintang 5,7 bulan lalu
Jam tangan nya sesuai ekspektasi bagus bangett suka udh punya banyak jam tangan merk ini🥰♥️,bintang 5,2 bulan lalu
"Real pict banget, pokoknya rekomen banget sih buat yang mau order buat kado ayang, rekomen banget pokoknya. Best seller juga🥰🥰🥰🥰",bintang 5,4 bulan lalu
"ukurannnn nya pass, cmn ada - sedikit, yaitu di tali jam nya seperti ada bintik² hitam",bintang 5,1 bulan lalu
"bagus banget jam tanganyaa, dan terimakasih kak untuk giveawanya 🙏",bintang 5,1 bulan lalu
Paket nya sudah sampe.jam tangan nya bagus sesuai gambar.saya suka trimakasih buat toko nya,bintang 5,2 bulan lalu
"Jamnya kecil, imut imut blm apa2 udah lepas kait nya 1",bintang 3,6 bulan lalu
"Jamnya cantik, cocok untuk pacar saya yang juga cantik",bintang 5,3 bulan lalu
buat ngeiket jam nya gampang putus,bintang 4,6 bulan lalu
"Barang realpick, warna ada detail titik-titik hitam",bintang 5,6 bulan lalu
Keren pokoknya barangnya baguss,bintang 5,6 bulan lalu
"baguss ihh, bintang lima 
⭐️⭐️⭐️⭐️⭐️",bintang 5,2 bulan lalu
Okee banget kalau dipake bepergian,bintang 5,7 bulan lalu
Kualitas bagus,bintang 5,7 bulan lalu
"BAGUS,COCOK mudh""n batre awet",bintang 5,1 bulan lalu
Produk kualitas 👍👍👍👍,bintang 5,7 bulan lalu
Bagus..cantik..cakep...manis bgt stlh dipakenya..wrn sesuai dg deskripsi. Tks,bintang 5,8 bulan lalu
"Bagus, pas",bintang 5,1 bulan lalu
"jam nya bagus bngt real pict,sukakkk😍",bintang 5,2 bulan lalu
jm nya bagus bangettttt rekomend beli disini,bintang 5,7 bulan lalu
"Pesanan saya sudah sampai terimakasih kak 
Barang nya bagus memuaskan deh pokok nya😊🥰
sukses selalu🥰🥰",bintang 5,6 bulan lalu
Lucuuuuuuunyaaaa rekomendasi buattt ciwiciwi,bintang 5,7 bulan lalu
Aaa Cakep Banget🤩,bintang 5,8 bulan lalu
"Jamnya bagus, makasih",bintang 5,2 bulan lalu
"Bagus, warna cocok, semoga awet",bintang 5,3 bulan lalu
Bagussss sekali pokoknya... terimakasih 🙏 maaf br kasih ulasannya,bintang 5,6 bulan lalu
bisa box tidak sesuai,bintang 5,2 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,2 bulan lalu
Oke,bintang 4,2 bulan lalu
aaaaa sukaa sama jamnya😍,bintang 4,6 bulan lalu
Bagus bgttt,bintang 5,6 bulan lalu
"Jam nya bagus, stylish",bintang 5,2 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,3 bulan lalu
Bagus..sesuai dgn harga..,bintang 5,7 bulan lalu
aku suka aku suka,bintang 5,3 bulan lalu
Barangnya bagus,bintang 5,2 bulan lalu
Bagus banget,bintang 5,7 bulan lalu
"good, classy, affordable",bintang 5,7 bulan lalu
Barang realpick,bintang 5,1 bulan lalu
Cpt sampai,bintang 5,7 bulan lalu
Barang sudah sampai bagus,bintang 4,2 bulan lalu
Ok bagus,bintang 5,2 bulan lalu
Bagusss bangettt selamat sampai tujuan,bintang 5,2 bulan lalu
Brangny bgus kk,bintang 5,3 bulan lalu
Baguss bgt,bintang 4,1 bulan lalu
Bagusssss bangetttttt,bintang 5,2 bulan lalu
Bagus,bintang 5,2 bulan lalu
Bagus,bintang 5,6 bulan lalu
Bagus,bintang 5,7 bulan lalu
Accuracy: Well,bintang 5,6 bulan lalu
Lumayan baguuuuuuuuuuuuuuusssssss,bintang 4,7 bulan lalu
Akurasi: oke,bintang 4,4 bulan lalu
baik,bintang 5,7 bulan lalu
good,bintang 5,8 bulan lalu
Bagusssss,bintang 5,2 bulan lalu
nice,bintang 5,8 bulan lalu
Lumayan,bintang 4,8 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
,bintang 4,2 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
