review,rating,date
"Suka, pas ukurannya, nyaman dipakai. Harga asli muraaah. Bagus untuk dipakai sehari-hari.",bintang 5,1 bulan lalu
"bahannya bagus, murah, jahitan rapi. tapi sayang banget, saya pesan 2 yang datang cuma 1 😭 pas dateng plastik packingnya sobek. ini gimana ya? apa karena ekspedisinya??",bintang 4,1 bulan lalu
"Pesanan sudah sampai,bagus topinya,kokoh sepertinya 👍",bintang 5,5 bulan lalu
"pengiriman cepat, mantap, bagus, semoga awet",bintang 5,1 bulan lalu
"fast respon, kwalitas sesuai harga. pas di kepala....",bintang 5,3 minggu lalu
barangnya sudah datang dan berfungsi dengan baik,bintang 5,1 bulan lalu
"Sangat bagus sesuai exspetasi,pengiriman tepat waktu.Terimakasih",bintang 5,5 bulan lalu
Adem bahan empuk enak dikepala,bintang 5,3 minggu lalu
"Bagus barangnya, dan dapet diskonan pula",bintang 5,3 minggu lalu
Ukuran pas sesuai deskripsi. Bahan juga bagus tebal,bintang 5,1 minggu lalu
"Bagus bahannya tebal
Bentuk dan ukuran: Pas
Warna: Hitam",bintang 5,2 bulan lalu
"sdh diterima dlm kondisi paket sudah sobek dan isi paket terlihat, ekspedisi secepatnya parah nih.. baru kali ini ngalamin , pengiriman diluar waktu estimasi",bintang 5,2 minggu lalu
"Sesuai harga..adem dipake, sng ga cpt pudar warnanya..",bintang 5,3 bulan lalu
"Bagus, cuman jahitannya kurang rapih aja ya. Tapi wajar kok untuk topi dengan harga segini",bintang 4,2 bulan lalu
"Kualitas sesuai dengan harga, namun pengemasan dan penyiapan barang terlalu lama",bintang 4,4 bulan lalu
"ada harga ada barang, jangan berharap tinggi-tinggi dengan harga segini, nanti yg ada malah sakit hati.😀",bintang 4,2 bulan lalu
Bentuk dan ukuran: Jahitan rapi,bintang 5,3 bulan lalu
Sesuai keinginan adminnya juga ramah,bintang 4,2 bulan lalu
"topinyaa sudah samwpk.. Bagus , semoga awet",bintang 5,3 bulan lalu
Ok mantap sdah smpai pesanan sesuai,bintang 5,3 bulan lalu
"Bentuk dan ukuran: Nice
Warna: Nice",bintang 5,3 bulan lalu
bagus keren banget... ku suka🥰,bintang 5,2 bulan lalu
bagus,bintang 5,2 minggu lalu
"bagus, semoga awet
Color: hitam sesuai pesanan",bintang 5,3 bulan lalu
Topi nya kwren,bintang 5,2 bulan lalu
Warna: Sesuai dengan di gambar,bintang 5,3 bulan lalu
"Barangnya bagus, suka banget",bintang 5,3 hari lalu
"Bentuk dan ukuran: good
good",bintang 5,2 bulan lalu
Kualitas bagus,bintang 5,4 bulan lalu
Mantap,bintang 5,3 minggu lalu
Bagus banget barangnya,bintang 5,2 minggu lalu
Barang nyh bagus😎👍🤩,bintang 5,2 bulan lalu
barang diterima dengan baik,bintang 5,3 bulan lalu
"Pilihan Warna : 2 warna, dikirim hanya 1 warna",bintang 3,2 minggu lalu
Barang nya bagus 👍😎🤩,bintang 5,2 minggu lalu
,bintang 5,6 hari lalu
,bintang 5,1 minggu lalu
"lumayan, pengiriman cepat",bintang 5,1 minggu lalu
All good,bintang 5,3 bulan lalu
Sesuai dengan gambar,bintang 4,3 bulan lalu
Sesuai dengan gambar,bintang 5,3 bulan lalu
Alhamdulillah topi nya sudah sampai,bintang 5,5 bulan lalu
Sesuai,bintang 5,4 bulan lalu
bagus,bintang 5,3 bulan lalu
Bagus,bintang 5,2 bulan lalu
Bagus,bintang 5,2 bulan lalu
Bagus,bintang 5,2 bulan lalu
bagus,bintang 5,4 bulan lalu
Bagus,bintang 5,2 bulan lalu
Bagus,bintang 5,4 bulan lalu
Sangat mantap,bintang 5,4 bulan lalu
baguss sesuaii,bintang 5,2 bulan lalu
Boleh juga,bintang 5,4 bulan lalu
Pesanan sesuatu,bintang 5,4 bulan lalu
mantap,bintang 5,3 bulan lalu
Mantap,bintang 5,3 bulan lalu
Good,bintang 5,4 bulan lalu
Sesuai harga lah smga awet,bintang 5,4 bulan lalu
O,bintang 5,6 bulan lalu
Bgs,bintang 5,4 bulan lalu
Bagussss,bintang 5,1 bulan lalu
Top,bintang 5,4 bulan lalu
Keren!,bintang 5,2 bulan lalu
Ok,bintang 5,3 bulan lalu
ok,bintang 5,3 bulan lalu
lumyan,bintang 4,2 minggu lalu
terimakasih..,bintang 5,2 hari lalu
👍,bintang 5,1 bulan lalu
👍👍,bintang 5,2 bulan lalu
👍,bintang 5,2 bulan lalu
.,bintang 5,3 bulan lalu
👍👍👍👍👍,bintang 5,3 minggu lalu
