review,rating,date
barang sesuai dan pengiriman aman. karetnya kualitas bagus. semoga awet,bintang 5,9 bulan lalu
"Produk berkualitas, layanan memuaskan, pengiriman aman, recommended seller.",bintang 5,9 bulan lalu
"Karena kaca sering jatuh saat berkeringat. Pengait jadi berguna.
Walau agak susah dalam pemasangannya.",bintang 5,12 bulan lalu
"Pas awal masukkin agak susah, karena lubangnya sempit, tapi akhirnya bisa masuk. Harus hati2 masukkinnya, takut gagang kacamatanya patah.

Dikirim 3 pasang.",bintang 5,11 bulan lalu
"Ukuran untung bisa masuk ke gagang kacamata, pelan-pelan dipaksakan masuk. Bahannya fleksibel. Warna hitam OKlah. Kualitas mudah mudahan kuat awet. Pengiriman molor 2 har...",bintang 5,
"Sesuai deksripsi seller, earhooknya berguna banget, cocok untuk gagang 10mm. Kacamata jd tidak melorot lg 😆",bintang 5,
ma kasih bikin kacamata makin mantap waktu dipake.,bintang 5,8 bulan lalu
"Modelnya bagus, nyamaan di pakai, kacamatapun tidak jatuh2 lagi",bintang 5,7 bulan lalu
"Pas di kacamata, nyaman di kuping",bintang 5,
"Barang sudah di terima, dan sesuai deskripsi seller.",bintang 5,10 bulan lalu
Pengiriman OK. Kemasan OK. Produk OK. Rekomen👍🏻👍🏻👍🏻,bintang 5,2 hari lalu
"Harga murmer, kualitas oky punya",bintang 5,8 bulan lalu
Pengiriman cepat. Barang sesuai. Semoga awet,bintang 4,
"bahan lembut, elastis dan semoga awet",bintang 5,10 bulan lalu
"brgnya cukup bagus, berfungsi baik walaupun menurut saya agak terlalu lentur tapi overall cukup bagus. Dikirim dgn cepat",bintang 5,
kualitas bagus. sampai juga cepat dan aman,bintang 5,8 bulan lalu
udah pakai bbrp waktu. nyaman dipakai,bintang 5,
pengiriman cepat sampai barang sesuai,bintang 5,9 bulan lalu
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,bintang 5,10 bulan lalu
sesuai pesanan,bintang 5,
barang datang sesuai pesanan👍,bintang 5,1 minggu lalu
Barang sesuai gambar,bintang 5,
ya,bintang 4,
ok,bintang 5,
pesanan nya sesuai trims,bintang 5,9 bulan lalu
OK,bintang 5,
