review,rating,date
"Alhamdulillah produk sampai sesuai pesanan, kelengkapan produk aman, produk berfungsi dengan baik, & proses barang & pengiriman cepat & tepat.",bintang 5,3 bulan lalu
"Barang Sampai dengan selamat kualitas bagus, dan warnanya pesanannya sesuai yang saya inginkan :]",bintang 5,3 bulan lalu
"Performa: Bagus
Kualitas pengerjaan: Mantap
Performa sistem: Sesuai bintang",bintang 5,1 bulan lalu
"Alhamdulillah barang nya cepat bngat Dateng nya
 Sampe nya jga sesuai sama yang di gambar
  Next bakalan order lagi untuk warna yang lain",bintang 5,2 minggu lalu
"Jam tangan elegan dan berfungsi dengan baik. Finishing produk rapi, strap nyaman dipakai seharian. Seller responsif dan pengiriman aman. Recommended!",bintang 5,3 minggu lalu
"Barang sesuai, berfungsi dengan baik, proses cepet, admin responnua cepet",bintang 5,3 minggu lalu
Kronologi. Sya sedng cari anti air hujan/saat wudhu. Di video deskripsi ipx7 anti air dan di celupin air. Namun beda dngn deskripsi detail produk dan omongan dari seller...,bintang 2,2 bulan lalu
mantap. . harga terjangkau kualitas premium,bintang 5,3 bulan lalu
"Produknya sampai tujuan mantap sekali
 Barangnya sesuai sama gambar di market",bintang 5,2 bulan lalu
"ini Smart Watch perdana saya dan saya sangat puas
Performa: luar biasa
Kualitas pengerjaan: profesional
Performa sistem: mantap",bintang 5,2 minggu lalu
"Keren banget jamnya, pas di pake temen suami malah salfok n pengen",bintang 5,3 bulan lalu
Kece abiss .. udah nyampe sesuai estimasi tapi bru diambil dehh. Pkokny keren. Abaikan suaranya yh 🤭,bintang 5,3 minggu lalu
Bagus sih tapi GK ada Pace running ny,bintang 5,1 bulan lalu
Pengiriman cepat senang belanja d seller ini mudah2an awet,bintang 5,2 bulan lalu
"barang bagus, semua menu berfungsi dengan baik (walaupun awalnya notif kadang ada kadang hilang, tapi setelah 1 minggu pemakain normal), batre lumayan awet 5 hari setenga...",bintang 5,2 bulan lalu
"barang sesuai deskripsi, sejauh ini bagus berfungsi dengan baik
Semoga bisa awet deh
Performa: bagus
Kualitas pengerjaan: bekerja dengan baik
Performa sistem: berjalan se...",bintang 5,2 bulan lalu
"Kualitas produk bagus, harga terhangkau, packing rapi dan aman, respon seller baik dan ramah, dapat panduan, sdh bisa dipake mkasih",bintang 5,3 bulan lalu
"Bagus 
Sesuai deskripsi 
Alhamdulillah barang sampai dengan aman dan selamat 
Cuma strep bawaannya aja yang langsung saya ganti karena terlalu lebar buat lengan saya yang...",bintang 5,2 bulan lalu
"keren jam nya sesuai dengan deskripsi
tahan batre kalo terhubung dengan hp itu cuma kurang 1-2 hari saja
sudah cukup sih mantap

jamnya gak alay, cocok buat kerja atau bu...",bintang 5,4 bulan lalu
"Performa: Bagus
Performa sistem: Sangat bagus
Sangat puas belanja di toko ini,barang sesuai dan kualitas nya bagus,terimakasih pelayanannya jg bagus dan ramah 
Jgn ragu b...",bintang 5,2 minggu lalu
Mantapp admin responsif respon cepat dan perhatian ❤,bintang 5,3 bulan lalu
Barang bagus tidak ada yang cacat (baru). Pelayanan admin nya bagus ramah cepat respon👍🏻👍🏻🔥 sama untuk pengirim cepat 👍🏻👍🏻 sama kurir ramah baik puas kali ini be...,bintang 5,1 bulan lalu
"Packagingnya rapi, cover boxnya premium, secara keseluruhan fiturnya smartwatchnya canggih.",bintang 5,3 bulan lalu
"Performa: bagus
Kualitas pengerjaan: aman
Performa sistem: not bad
barangnya bagus,tidak buruk👍🏻",bintang 5,1 bulan lalu
Alhamdulillah pengiriman cepat produk berfungsi dengan baik,bintang 5,3 minggu lalu
"baguss bangettt+++,udh dapet chargernya,truss juga udah ada buku panduan+boxnya,fitur olahraganya banyakk bisa dihubungin ke strava ,ada 4 permainannya , packagingnya ama...",bintang 5,1 hari lalu
