review,rating,date
"Original, masih segel, sesuai deskripsi dan murah dr lapak yg lain
Pengiriman juga cepat
Berfungsi baik, suka warnanya dan ukuran lebih pas di tangan kecil
Terimakasih",bintang 5,8 bulan lalu
"barang aman sampai di tempat, berfungsi dengan baik. sempat khawatir karena gak dikirim sampe sore, setelah tanya baru dikirim. kirain free strapnya dikasih warna lain ty...",bintang 5,1 bulan lalu
Barang dibungkus bubble warp. Box masih tersegel. Galaxy Watch 7 44mm Original.,bintang 5,6 bulan lalu
"awalnya jujur agak takut belanja di toko yg belum langganan. ternyata SUMPAH sangat memuaskan belanja di toko ini. Pelayanan CEPAT, INFORMATIF, BARANG AUTHENTIC. Janjinya...",bintang 5,5 bulan lalu
"pengiriman cepat
barang tiba dengan selamat
dikemas dengan baik
semoga awet
ukurannya juga cocok 👍",bintang 5,6 bulan lalu
"pengiriman cepat, produk sesuai dengan deskripai, packing mantab 👍🏼",bintang 5,3 minggu lalu
"barang ori, terdaftar di samsung, garansi on hingga 31/10/25👍",bintang 5,5 bulan lalu
"packing aman, barang original, harga oke",bintang 5,5 bulan lalu
"Awalnya ragu soalnya adminnya super slow response banget... Ditanya klo klik varian bonus, masih dapet bonus gaa.. eh malah tanya balik bonus apaan... udah gitu diklik pr...",bintang 5,9 bulan lalu
"Pengiriman cepat, packing aman, barang ori, garansi aktif, noce seller bisa repeat order lagi kayanya",bintang 5,6 bulan lalu
"produk sesuai pesanan, original, tersegel, ada garansi, pengepakan aman, pengiriman cepat ,respon penjualnya top.  Recommended.",bintang 5,9 bulan lalu
"barang bagus original dan segel, pertahankan kemurahanya hehehe biar membantu tim mendang mending untuk tetap bisa beli",bintang 5,9 bulan lalu
mantal Harga paling Murah Kualitas Original packing Bagus  pengiriman cepat seller terbaik,bintang 5,2 bulan lalu
Original dan harga paling bagus diantara semua lapak..n seller paling TOP lah..,bintang 5,9 bulan lalu
"Mantap, langsung dikirim
Watch 7 enak dipakai. cuma baterai 2 hari habis
ya wajar sih pakai wearOS banyak sensor yang dipake
cuma overall enak bs pake banyak app",bintang 5,9 bulan lalu
"barang ori, pelayanan seller juga ramah dan komunikatif",bintang 5,5 bulan lalu
alhamdulillah cepat sampai dan barang dijamin ori garansi resmi SEIN,bintang 5,6 bulan lalu
"seller sangat responsive dan cepat pelayananya, barang original dan backaging superrr amannn.
harga paling oke dari toko2 yang lain.
mantabbb 
sukes selalu pokonya untuk...",bintang 5,7 bulan lalu
"order malam, siang lansung nyampek. barang ori, seller fast respon. the best lah....recomended seller",bintang 5,9 bulan lalu
"Alhamdulillah, paket sudah sampai. packingnya aman sekali dengan buble wrap yang sangat tebal, barang yang diterima masih segel, original, garansi sein.. harga sangat mur...",bintang 5,8 bulan lalu
Barang masih segel dan ori. Cepat sampai nya. mantap pokoknya,bintang 5,5 bulan lalu
"Garansi Resmi, segel, harga terbaik.. Sempat diragukan di awal di mana ulasan nya blm sebanyak skrg.. Plus waktu po nya cukup lama.. Tyt sekitar 4 5 harian dikirim.. Teri...",bintang 5,9 bulan lalu
"Harap harap cemas karena PO dan harga miring, ternyata barang packing aman, original garansi sein, sesuai order warna green 44mm, cakepp... ada fakturnya juga... tengkyu...",bintang 5,9 bulan lalu
"Barang ORI, sudah dicoba pakai beberapa hari untuk pairingnya langsung connect dengan Samsung GF4… dan fitur2 nya sangat banyak
Untuk admin tokonya ramah bgt dan sabar me...",bintang 5,3 minggu lalu
"barang segel ,sesuai deskripsi bonus strap mantap.seller rekomendasi. infonya PO tapi barang ready langsung di kirim puas banget deh,harga beda lumayan  ☺️☺️☺️☺️🙏🙏",bintang 5,9 bulan lalu
"Barang ciamik. Ori, harga lg diskon, tapi pelayanan tetap mantap. Pesan hr minggu tetap dikirim",bintang 5,6 bulan lalu
"Barang di terima masih disegel dan lengkap
Ramah pelayanan nya
Pengiriman cepat",bintang 5,7 bulan lalu
"awalnya deg2an, soalnya harganya jauh lebih murah di bawah pasaran tp diklaim ori bnib, ternyata benar, barang memang ori, segel, bnib & bergaransi resmi sein, hepi b...",bintang 5,7 bulan lalu
"Awalnya sempat ragu sih,,,Krn hrg sangat² d bawah store,,,
Alhamdulillah,,,Smart watch 7 nya Original,,,Packaging safety sekali,,,Recommended OlShop,,,
Thx Seller,,,😍",bintang 5,6 bulan lalu
"good , barang original resmi sein..
semoga awet aja",bintang 5,2 bulan lalu
"Barang ori, datang dengan mulus, sesuai ekspsktasi dan harga yang kompetitif.",bintang 5,2 bulan lalu
