review,rating,date
"Ukurannya pas, tapi bisa dikecilin dan dibesarin koq. Bahanya adem dan warnanya sesuai dengan pesanan. Nyaman dipakainya",bintang 5,8 bulan lalu
cocok untuk ibu saya yang sedang suka jalan pagi setelah mengantar cucu,bintang 5,5 bulan lalu
"topinya bagus, ringan. warnanya bagus2. recommended",bintang 5,9 bulan lalu
"Ukuran pas, lebar topi cocok utk melindungi wajah,  bahan bagus, ringan",bintang 5,
"Sangat bagus,bahan nyaman,sangat mudah di pakai dan bisa di bawa ke mana2",bintang 5,6 bulan lalu
"jahitan rapi, bahan bagus, respon seller cepat",bintang 5,3 bulan lalu
"Real pick,,berkah ya 
mksh banyak tadinya Ragu
begitu barang dateng puas banget sesuai yg di mau",bintang 5,10 bulan lalu
"bagus, enak dipakai besar kecil bisa diatur mau pesan lg wrn lain",bintang 5,
Barang ok cuman sayang Saya nanya adminnya sombong jawabnya.. Saya doain semoga yg beli ga ribuan lagi cuman 1 aja biar ke cek,bintang 4,
Biasa aja sih….. bahannya spt parasit gt licin…. Ga sekokoh di gambar…. Tp ok lah,bintang 5,
"Pengiriman cepat, barang bagus, sesuai espektasi 👍👍",bintang 5,7 bulan lalu
"bahan bagus, respon n pengiriman cepat",bintang 5,
"Cakeeb....., enak dipakai, unique👍🏿👍🏿👍🏿",bintang 5,5 bulan lalu
topi nya bagus banget... ga nyesel bgt beli 2,bintang 5,6 bulan lalu
"barang sesuai bagus, kain lembut",bintang 5,7 bulan lalu
"barang  sesuai   dan bagus  ,👍",bintang 5,7 bulan lalu
"bentuk dan warna topinya keren, barang sesuai deskripsi, pengiriman lumayan cepat baik tujuan Jakarta atau Sumatra, dapat bonus satu set alat tulis pensil, terima kasih y...",bintang 5,4 minggu lalu
"Keren topinya, warna beigenya juga ok cakep. Nggak takut kena panas lagi Bahannya aku suka, nggak murahan. Seller gercep.",bintang 5,7 bulan lalu
"secara keseluruhan bagus
hanya kualitas jahitan perlu ditingkatkan",bintang 4,4 bulan lalu
"produk nya bagus, ukuran pas, nyaman dipakai..pengiriman cepat",bintang 5,8 bulan lalu
Dari segi desain topinya bagus..Tapi Kurang tebaltidak cocok dipakai siang hari..,bintang 5,7 bulan lalu
"Baru pertama beli, bahan bagus dan model sesuai dengan yg d foto, mav tidak sempet fto",bintang 5,1 minggu lalu
"Topinya bagus, tepianya lebar aman dr matahari",bintang 5,"Topinya bagus, tepianya lebar aman dr matahari"
"Topi kain, ringan..lebar depan utk menutupi wajah dr sinar matahari. Mantap👍🏻",bintang 5,"Topi kain, ringan..lebar depan utk menutupi wajah dr sinar matahari. Mantap👍🏻"
"bagus, sesuai deskripsi, seller komunikatif, thanks",bintang 5,
"Pembelian ke 3 kali, karna topinya ringan, bentuknya lumayan bisa nutupin muka dr sinar matahari. Sukses & lancar sll. Tq All🙏🏻",bintang 5,1 minggu lalu
bahannya tipis,bintang 2,8 bulan lalu
"barang sesuai deskripsi, warna dan ukuran pas bagus..",bintang 5,
"Sdh dicoba sama istri, barang sesuai deskripsi, warna cocok, enak dipskainya. Pengiriman cepat. Good seller",bintang 5,8 bulan lalu
"topi nya bagus cuma agak krg lebar yaaa, tp warnanya bagus siih",bintang 5,8 bulan lalu
keren..ternyata ada resleting utk kepala terbuka...,bintang 5,
"Barangnya bagus sesuai yang diharapkan, pengirimannya cepat.",bintang 5,11 bulan lalu
barang bagus.packing rapi.pengiriman cepat,bintang 5,
"kwalitas bagus sesuai yg ditawarkan, warna sesuai pilihan, bs diorder lagi nich 👍👍",bintang 5,6 bulan lalu
"Pesanan sesuai dengan deskripsi..., pemrosesan segera dan pengiriman juga cepat.",bintang 5,
"sesuai gambar, berkualitas dengan harga yg mirah",bintang 5,
"maaf gambar tdk tersedia, barang sesuai pesanan mdh2an awet. makasih buat seller. lancar rezekinya 👍👍👍👍👍👍👍👍👍👍👍",bintang 5,8 bulan lalu
"Bagus. Cepet sampenya. Tksh Mimin, Seller & Kurirnya🙏🏻",bintang 5,1 bulan lalu
bagus banget banget mau beli lagi warna lain,bintang 5,
bagus banget. cocok dan harganya murah.,bintang 5,5 bulan lalu
"cakep topi nya, Tq seller",bintang 5,3 bulan lalu
Agak beda sama difoto ya aslinya,bintang 5,
barangnya bagus...enak dipakai,bintang 5,
Sesuai deskripsi. Topinya bagusss anak sy syukaaa😍,bintang 5,
