review,rating,date
"Sampai dengan selamat, barangnya bagus"" semua, dan udh pesan dua kali nya ini, thankyou Min",bintang 5,1 bulan lalu
"Dapet harga 5k dong ,kualitas gausah diraguin lagi bahannya tebel besinya juga bagus",bintang 5,3 bulan lalu
"Barangnya bagus,sesuai ekspektasi buat harga segitu worth it bgt sii",bintang 5,4 bulan lalu
Murah tapi ga murahan😍,bintang 5,3 bulan lalu
"Barang yg dikirim kurang, beli 2 yg diantar 1.
Kesalahan fatal ya ini. Mungkin kalo hanya sekedar barang lecet ya wajar harga murah jg. Tp ini yg dikirim kurang/tidk sesu...",bintang 1,4 bulan lalu
"Buagus polllllllll, cuttingan sama jaitannya rapih, bahannya juga bukan kaku bgt tapi lentur dapet gesper harga seharga goceng kapan lagi kan",bintang 5,4 bulan lalu
Kecewa karena Tidak sesuai yg dtng malah kaca mata,bintang 1,3 minggu lalu
Masyaalloh seller amanah harga segitu barang bagus nyesel cuma beli satu berkah selalu,bintang 5,4 bulan lalu
Sangat bagus untuk harga yang sangat murah,bintang 5,
Baguss bgt barang nyaa dengan harga segitu puas bgt pokoknya,bintang 5,4 bulan lalu
"bagusssss.. dengan harga yg murmer only 5k itu sih wortit pake banget dengan bahan yg ga murahan menurut ku..😍👍👌
wajib di co deh buat kalian yg blm beli !!!",bintang 5,4 bulan lalu
"Bakalan pesan di toko ini lagi
Warna: Sesuai",bintang 5,2 bulan lalu
"barang nya sudah datang, terimakasih bagus dan sesuai",bintang 5,3 bulan lalu
Harga murah meriah tapi bagus 😃,bintang 5,4 bulan lalu
"ku kira bakalan tipis karna murah ternyata nggaa, harga murah tapi kualitas ga murahan😍😍",bintang 5,4 bulan lalu
Bagus banget sabuknya untuk harga gopek bahannya tebel packaging aman,bintang 5,4 bulan lalu
"Kereen bagus, murah.. Terimakasih seller",bintang 5,4 bulan lalu
"Warna: hitam
Bentuk dan ukuran: bentuk nya bagus tebel lagi UK nya juga lumayan panjang pokonya best deh",bintang 4,4 bulan lalu
"Parah ni toko 
Gk nyari duit cari amal x
Kirain yg sampe tipis ternyata barang ny wow banget 
Jd senyum sendiri pas buka 
Mantap btap😍😍😍",bintang 5,4 bulan lalu
Gill laaaa masa ikat pinggang harga 5k bagussss bangetttt,bintang 5,4 bulan lalu
"dengan harga segitu cakep bahan ga letoy kaya lekong,tq min udh jual produk ini❤️‍🔥tadinya mau kasi foto tapi kedelete duluan wkwk",bintang 5,3 bulan lalu
"Beli 2, bonus 1😍
Murah, tapi kualitasnya parah bagus banget! Terus dibonusin lagi🤚🏻",bintang 5,3 bulan lalu
Bagus tebel tapi sayang kemaren ongkir ny mahal 2 kali lipat di bandingkan harga ny..tapi karna butuh ya udah lah...tapi barang ny bagus,bintang 4,3 bulan lalu
"Bagus banget teballl, harga murah tp kualitas gak murahan 🔥🔥🔥",bintang 5,3 bulan lalu
