review,rating,date
"pembelian kedua, kualitas oke, harganya juga terjangkau",bintang 5,3 bulan lalu
"Top layer sepertinya ada finish yang terbuat dari  coating plastic, Jadi leleh sewaktu kena api. Tapi bawahnya benar kulit asli dan juga belakangnya. Sepertinya yang hita...",bintang 5,5 bulan lalu
"seller responsif
pengiriman cepat
packaging mantap, aman..
barang sesuai deskripsi iklan.
bagus, semoga bisa berfungsi dgn baik dan awet.

thanks admin seller.. 👍👍
than...",bintang 5,6 bulan lalu
"Sesuai deskripsi,
Pemgiriman sesuai estimasi,
Penjual ramah",bintang 5,3 bulan lalu
Tali ikat pinggang untuk menggantikan tali yg lama yg sudah kelupas. Baham sesuai deskripsi. Semoga awet,bintang 5,7 bulan lalu
"sesuai ekspektasi, sayang sekali kemasan tidak aman, terlalu tipis, harap diperbaiki agar kemasan aman dan rapi.",bintang 4,3 bulan lalu
"Barang bagus sesuai harapan, kemasan aman rapi, ini adalah pembelian ke dua, kiriman cepat, good product good seller, tks",bintang 5,3 bulan lalu
"sesuai pesanan ya, lebar sesuai standar pada umumnya, panjang juga sama, bahan belakangnya seperti memang kulit, dan depannya juga hitam ada sikit motif, semoga awet ya",bintang 5,2 bulan lalu
"Puas.
Layanan toko baik & cepat.
Pengantaran aman & cepat.
Kemasan rapi & aman.
Produk bagus, real leather, semoga awet.",bintang 5,5 bulan lalu
Mantab kulit asli. Pas banget ketika kepala dari sabuk yg lama saya pasang disini. Penjual juga cepat sat set sat set...,bintang 5,
pengiriman cepat.. lebar dan panjang sesuai informasi.. jadi paling di gunting sendiri jika mau lebih pendek.. Terima kasih gan,bintang 5,4 bulan lalu
"Pengiriman cepat, kualitas barang nya bagus kulit asli. Recommended seller",bintang 5,4 bulan lalu
ukuran pas.. kepala gespernya masuk ukuran 3.5 cm lebar tali pinggangnya,bintang 5,3 bulan lalu
"bagus, murah.. packing juga aman.. seller ramah.. fast respone..
semoga awet..",bintang 5,
"pengiriman cepat, packing baik, barang sesuai, recomended seller",bintang 5,
barang sesuai descripsi..material bahan kulit..warna keren..joss mantab..,bintang 5,
"Order/Paket sdh smpai diterima dgn baik.
Sesuai deskripsi barang.
Reaspon seller baik & cepat, pengiriman jg cepat., amanah jujur.
barang real pack jg ASLI KULIT
Reco...",bintang 5,
"pesanan tiba tepat waktu, barang sesuai pesanan, hanya saja kemasan sobek, tapi ga masalah krn barang yg dipesan sesuai. terima kasih dan mohon ditinjau ulang bagian kema...",bintang 3,
"Barang sampai, kemasan rusak dan barang agak baret",bintang 3,11 bulan lalu
Barangnya bagus dan pengirimannya sangat cepat. Sudah dipasangkan kepalanya dan bekerja dengan baik. Terima Kasih.,bintang 5,4 bulan lalu
pengiriman cepat.. lebar dan panjang sesuai informasi.. jadi paling di gunting sendiri jika mau lebih pendek.. Terima kasih gan,bintang 5,4 bulan lalu
"Pengiriman cepat, kualitas barang nya bagus kulit asli. Recommended seller",bintang 5,4 bulan lalu
ukuran pas.. kepala gespernya masuk ukuran 3.5 cm lebar tali pinggangnya,bintang 5,3 bulan lalu
"bagus, murah.. packing juga aman.. seller ramah.. fast respone..
semoga awet..",bintang 5,
"pengiriman cepat, packing baik, barang sesuai, recomended seller",bintang 5,
barang sesuai descripsi..material bahan kulit..warna keren..joss mantab..,bintang 5,
"Order/Paket sdh smpai diterima dgn baik.
Sesuai deskripsi barang.
Reaspon seller baik & cepat, pengiriman jg cepat., amanah jujur.
barang real pack jg ASLI KULIT
Reco...",bintang 5,
"pesanan tiba tepat waktu, barang sesuai pesanan, hanya saja kemasan sobek, tapi ga masalah krn barang yg dipesan sesuai. terima kasih dan mohon ditinjau ulang bagian kema...",bintang 3,
"Barang sampai, kemasan rusak dan barang agak baret",bintang 3,11 bulan lalu
Barangnya bagus dan pengirimannya sangat cepat. Sudah dipasangkan kepalanya dan bekerja dengan baik. Terima Kasih.,bintang 5,4 bulan lalu
pengiriman cepat.. lebar dan panjang sesuai informasi.. jadi paling di gunting sendiri jika mau lebih pendek.. Terima kasih gan,bintang 5,4 bulan lalu
"Pengiriman cepat, kualitas barang nya bagus kulit asli. Recommended seller",bintang 5,4 bulan lalu
ukuran pas.. kepala gespernya masuk ukuran 3.5 cm lebar tali pinggangnya,bintang 5,3 bulan lalu
"bagus, murah.. packing juga aman.. seller ramah.. fast respone..
semoga awet..",bintang 5,
"pengiriman cepat, packing baik, barang sesuai, recomended seller",bintang 5,
barang sesuai descripsi..material bahan kulit..warna keren..joss mantab..,bintang 5,
"Order/Paket sdh smpai diterima dgn baik.
Sesuai deskripsi barang.
Reaspon seller baik & cepat, pengiriman jg cepat., amanah jujur.
barang real pack jg ASLI KULIT
Reco...",bintang 5,
"pesanan tiba tepat waktu, barang sesuai pesanan, hanya saja kemasan sobek, tapi ga masalah krn barang yg dipesan sesuai. terima kasih dan mohon ditinjau ulang bagian kema...",bintang 3,
"Barang sampai, kemasan rusak dan barang agak baret",bintang 3,11 bulan lalu
