review,rating,date
Berat barang tidak sesuai. Sebelum order sudah minta seller untuk cek input beratnya karena beli 4 barang kecil2 kena berat 1.65 kg. Begitu paket sampe totalnya ga sampe...,bintang 2,8 bulan lalu
"bahan nya elastis
produk bagus 👍🏻",bintang 5,
"model keren, bahan & material bagus. sedikit lentur, jadi pas dipinggang. mantablah.",bintang 5,
"Alhamdulillah Barang Sampai, Dari Segi Bahan Nya Bagus, Simpel Pas Di Pinggang, Untuk Kepala Nya Juga Bagus Kokoh Juga",bintang 5,
"bahannya bagus... kualitas ok.... sesuai deskripsi ukurannya... original rhodey pastinya..
recommended seller",bintang 5,
"bahannya bagus, tpi di besinya kalau tergores cukup keras bisa mengelupas cat nya",bintang 5,
Barang sampai cepet. Bahan bagus bisa melar,bintang 5,4 minggu lalu
"bahannya bagus seseuai ekspetasi, terlihat kokoh juga, dan elastis. semoga awet.",bintang 5,11 bulan lalu
"Model keren, pas dan berfungsi dengan baik.",bintang 5,
"Material Bagus, Bahan Bagus, Fungsi juga bagus.",bintang 5,
"barang dan kualitas sesuai deskripsi, harga sangat terjangkau dan pengiriman cepat",bintang 5,8 bulan lalu
"Modelnya keren, ukurannya pas dan bahannya kuat",bintang 5,
oke ... bahan bisa melar dikit jadi bikin nyaman ga sesak,bintang 5,
"mantap, dikira bahannya kaku, ternyata bisa melar, ok punya",bintang 5,
"wah parah sih kualitasnya ini, harga cuma 30k tak kira barang seadanya, ini klo ditempel brand lain dijual 100 ribuan juga oke oke aja, besinnya solid bangus, bahan kainn...",bintang 5,10 bulan lalu
"eespon cepat bahan bagus,melar,,, nyaman dipakai",bintang 5,9 bulan lalu
"Modelnya keren, bahannya bagus dan agak melar jadi makin enak dipakai, mantab pokoknya. Semoga aja awet.",bintang 5,
"QC nya kurang banget, barang cacat bs terkirim. Gesper yg saya terima benang nilonnya ada yang sudah terurai. Ya sih hargabarangnya ga seberapa, tp kan bukan berarti kual...",bintang 2,
"Barangnya mantap, bahan bagus, nyaman & mudah digunakan. Semoga awet
Terimakasih 😁",bintang 5,2 bulan lalu
"Produk sesuai dengan deskripsi, kualitas barang dan material bagus.",bintang 5,
pesanan sesuai harga murah tp lumayan bagus panjang juga ternyata sabuknya,bintang 5,
"Bahan canvas tnyt ELASTIS, ya... cengkramannya tidak sekuat yg bahan kain/webbing, tapi sepertinya masih oke utk aktifitas kantoran. Jahitan terlihat rapih, jd msh boleh...",bintang 5,
"pembelian ke-2, bahan nya kuat dan kokoh. terimakasih seller dan tokopedia👍👍👍👍",bintang 5,8 bulan lalu
"bahan bagus, keren,seller ramah, pengiriman cepat 👍🏻👍🏻👍🏻",bintang 5,
"modelnya keren, bagus banget, nyaman dipakai",bintang 5,9 bulan lalu
"barangnya sampai tujuan dengan selamat tanpa cacat sedikitpun, mantap",bintang 5,
"Barang bagus sesuai deskripsi, packing rapi, pengiriman cepat.. TOP dah ne toko",bintang 5,
"barang sudah sampai sesuai deskripsi,
respon cepat, pengiriman super cepat.
terima kasih seller, kurir & tokopedia",bintang 5,5 bulan lalu
"barang sesuai dengan deskripsi. kualitas memuaskan untuk diharganya, keren .......",bintang 5,8 bulan lalu
"terima kasih, barang sesuai pesanan. pengiriman relatif cepat. kualitas ikat pinggang bagus. harga terjangkau. keren!",bintang 5,5 bulan lalu
"bahan bagus,material lumayan semoga awett",bintang 5,
bagus sih. ya sesuai harga 29rb an lah ya. cuma masukan buat brand. andai Logo tulisan Rhodey ga ada. bakal aku blg 100% sempurna. kalo logo kecil OK. tp kalo tulisan jug...,bintang 5,9 bulan lalu
"iket pinggang ini paling enak, bisa melar, tq gan",bintang 5,10 bulan lalu
mantap cepat hebat enak dan gurih. walau ada harga ada rupa. but thanks dan worth it,bintang 5,
"modelnya keren, pengiriman cepat, kualitas baik",bintang 4,
Langsung dicoba dan enak banget dong. Pas juga buat orang yg gemuk kayak saya.,bintang 5,
"sudah di terima sesuai pesanan,sabuknya bagus,semoga awet,harga terjangkau,terimakasih...",bintang 5,
"Sabuk karet ini, jadi molor"" kaalu dipake jadi sama saja seperti tidak pakai sabuk. ngak ssma sekali produknya",bintang 3,10 bulan lalu
"cepat sampai, ukuran pas, material ok lah, tebal kepalanya...mantapppp",bintang 5,
