review,rating,date
"Barang terkirim dengan aman. Setelah dipakai muat, bahan halus cuma agak lemas saja sesuai harga sih. Lumayan buat ganti² untuk jemput Anak. Terima kasih",bintang 5,1 bulan lalu
"Produk cepat sampai, cukup bagus, jahitan rapi, tapi terlalu lemes banget bahannya, semoga bisa awet dipakai",bintang 4,1 hari lalu
"Bahan nya bagus,pengait belakang nya mudah copot, ukuran depan nya kurang gede",bintang 4,2 bulan lalu
"Produk sampai cepat, topinya realpict, bahannya trnyata tipis, tp bagus lah sesuai harga",bintang 5,3 minggu lalu
"Paket aku udah nyampe sesuai pesanan ada kait masker dan tali dagu,nyaman banget pas d pake,ringan dan teduh, cocok untuk d pakai saat jemput anak sekolah yg cuacanya pan...",bintang 5,3 minggu lalu
Seller gercep ngirimnya. Overall ok cm mgkn kepala sy yg agak kecil apa emg karet belakangnya (gesper) kelebaran kali ya. Tp it's ok masih bisa dipake ko. Mgkn kalo p...,bintang 5,5 hari lalu
Paket topi Korea nya da sampe makasih banyak cakep enak dipakai pas nemplok 😁😁 🤭😂 bahan juga bagus,bintang 5,1 minggu lalu
Real pict..warna sesuai pesanan..bahannya parasut..jahitan rapih.. menutupin kepala..bagus..👍🏼,bintang 5,3 minggu lalu
"Alhamdulillah jazakallahu pembelian pertama di toko ini memuaskan 
Barang datang sesuai dengan pesanan harga bersahabat 
Seneng banget dapet harga sale 
Karena co pas liv...",bintang 5,2 hari lalu
Bahan tipis tali tipis pita kecil  ..kurir ramah ..,bintang 4,2 bulan lalu
Bahan halus bagus enak dipake. Toko dan kurir as manah,bintang 5,4 bulan lalu
"Suka sekali.. Kerenn 
Belinya pas live ada diskon😍",bintang 5,4 hari lalu
"Bentuk dan ukuran: Half gesper bulat
Warna: Beige",bintang 4,2 minggu lalu
"Pengiriman cepat,kurir ramah topi bahan nya tipis ya Kya parasit TPI ya udah lah ngak apa2 tetap q pakai",bintang 4,2 bulan lalu
"Suka sekali.. Kerenn mantapp
Belinya pas live dpt diskon😍",bintang 5,4 hari lalu
Nyaman dipake. Bhn halus. Toko dan kurir amanah,bintang 5,4 bulan lalu
Bagus sih topinya waterproof cuman saya kan co yg ada pengait maskernya yg datang gak ada 1 pengaitnya sedikit kecewa apakah sebelum d kirim d cek dulu atau tidak dan top...,bintang 3,3 bulan lalu
"Biasa aja, gambarnya atau iklannya aja yg bagus, overoll kurang bagus, mungkin harga segitu ya wajar aja klu ng ok...",bintang 3,2 minggu lalu
"Alhamdulillah paket sudah smpai dan di Terima dengan baik 👍😇
Cuman topi nya licin sekali klau pakai 😩😩",bintang 5,4 bulan lalu
"Alhamdulillah paket sudah smpai dan di Terima dengan baik 👍😇
Cuman topi nya licin sekali klau pakai 😩😩",bintang 5,4 bulan lalu
"Alhamdulillah pketx udah dtang, Topix enak di pk pelindung dr sinar UV",bintang 5,3 minggu lalu
"Warna khaki yah lumayan agak sesuai
Color: Khaki
Shape and size: All size",bintang 4,4 bulan lalu
"Alhamdulillah.. 
Paket tiba dengan selamat, tampah ada yg kurang. Dan ini belanja saya yg ke sekian. 
Pertama coba2 co 2 topi, kancing celana dan gantungan hp. Trus pesan...",bintang 5,3 bulan lalu
"Alhamdulillah.. 
Paket tiba dengan selamat, tampah ada yg kurang. Dan ini belanja saya yg ke sekian. 
Pertama coba2 co 2 topi, kancing celana dan gantungan hp. Trus pesan...",bintang 5,3 bulan lalu
Alhamdulillah.bagus topi nya . pengiriman nya juga cepet 😘,bintang 5,3 bulan lalu
Sudah sampe topinya sesuai dengan foto pengiriman juga cepat banget thanks ya 👍,bintang 5,3 minggu lalu
"Paket sudah sampai kapan hari,baru sempet beri ulasan,

Warna,bahan,sesuai ekspektasi,terimakasih👍",bintang 5,2 minggu lalu
Paketnya sdh diterima dgn aman. Cakep topi ny,bintang 5,2 minggu lalu
Bahan dan model nya bagus. Terima kasih,bintang 5,3 minggu lalu
"Cocok buat anter jemput anak sekolah, lumayan harga segitu",bintang 5,1 bulan lalu
"Gmna ini y yg jual produk toko ini ngirim barang ko asal2an g di teliti dlu apa y,kancing kan segtu gedenya keliatan dong ada g nya semua...caranya bgni mah atuh gamanah....",bintang 1,3 bulan lalu
"Topi nya saya Terima.. 
Satu hari sampe 
Barang nya bagus saya suka.. 
Terimakasih selleer semoga amanah terus dan tambah berkah..",bintang 5,4 bulan lalu
Paketnya sudah sampai dengan aman dan sesuai dengan pesanan,bintang 5,1 bulan lalu
Gak sesuai ama foto aslinya..bahannya tipis ..pake topi ini serasa gak ada batok kepalanya🤣..talinya pun putus,bintang 4,3 bulan lalu
"Bentuk dan ukuran: Sangat pas, tidak terlalu besar dan juga tidak terlalu kecil
Warna: Sesuai pesanan",bintang 5,1 bulan lalu
"Paket dah sampai sesuai pesanan,topinya bagus.ok makasih",bintang 5,1 bulan lalu
"Di kira tebel ternyata tipis,talinya putus lagi",bintang 4,2 minggu lalu
"barang yg dikirim sesuai dgn pesanan.
terimakasih seller.",bintang 5,2 hari lalu
"Warnanya bagus
Ukurannya pas
Nyaman dipakai 
Bikin tambah cantik dan gaya",bintang 5,1 hari lalu
"Bagus topinya
Cepat pelayanannya
Barangnya cocok dengan harganya
Lumayan buat jogging
Bisa juga buat jalan-jalan, rekreasi ke pantai
Sudah dilengkapi dengan kait masker j...",bintang 5,1 minggu lalu
tipis bahannya.. sesuai harga..mayan buat naek motor gak panas krn model depannya lebar,bintang 4,2 minggu lalu
"barangnya ringan, bukan topi dengan bahan yang tebal, dapat menutupi dari paparan sinar matahari",bintang 5,1 bulan lalu
"Model serut kurang kencang, ini harus sya tambahin karet lagi di bagian lingkar kepalanya.",bintang 4,3 bulan lalu
"Cakep banget,respon penjual cepat begitu barang yang dipesan tidak ada langsung chat penjual untuk ganti warna,jangan ragu beli disini yaa",bintang 5,2 hari lalu
"Ringan, mudah dibawa traveling, tapi saking ringannya takut ketiup angin pas lagi dipake soalnya ga ada tali cantolannya gt kan hehe, tapi semoga aja awet dan ga gampang...",bintang 5,2 bulan lalu
Pesan 4 yg datang hanya 3. Dan sayangnya mau buat video unboxing malah paketnya udah dirobek duluan sm anaku. Yg paling bagus dan nyaman dipakai menurutku yg HALF GESPER...,bintang 4,2 minggu lalu
