review,rating,date
menjaga kualitas layar lebih baik di tambah temper glass sendiri. kualitas produk sangat baik. mudah di hubungkan dengan aplikasi,bintang 5,2 minggu lalu
"Produknya mantap (Original), Packaging aman, pengiriman cukup cepat, seller fast respon, POnya cmn 2 hari langsung dikirim warna hijo gercep, harga bersahabat 

Terimakas...",bintang 5,5 bulan lalu
"Gaya keren, ukuran pas dgn tangan gk gede gk kecil, kalo warna aslinya lebih suka biru tpi entah knapa kali ini pilih yg hijau karna cocok aja sama gaya jamnya. 
Baguslah...",bintang 5,6 bulan lalu
"Sudah sampai, fungsi fungsi belum coba bagian perfomanya",bintang 5,4 bulan lalu
"alhamdulillah akhirnya yang di tunggu tunggu hampir seminggu baru datang,alhamdullillah barang sampai dengan selamat,dan admin jne nya fast respond ketika ada kendala,ter...",bintang 5,2 bulan lalu
"Barang bagus.... asli..... bukan kaleng kaleng....
Performa: Juara
Kualitas pengerjaan: Berkelas
Performa sistem: Mantul",bintang 5,5 bulan lalu
"Baguss banget....
Packagingnya rapi dan aman
Fiturnya lengkap
Performa sistemnya keren
Pokoknya mantap",bintang 5,4 bulan lalu
"Barang bagus,pengemasan bagus,berfungsi baik,toko ramah,kurir ramah ,makasi",bintang 5,5 bulan lalu
Paket sudah sampai.. Packing rapih.. Aman sampe tujuan.. Produk sangat bagus.. Sesuai dengan gambar..,bintang 5,1 bulan lalu
"Alhamdulillah yang ditunggu tiba, PO 30 hari ternyata cuma 16 harian.
Barang bagus dengan harga segitu dan fiturnya serta bahan yang paling berkualitas di kelasnya",bintang 5,6 bulan lalu
keren si itel ini paket sampai dengan aman cepet pengiriman po cuma 3 hari barangnya keren pool...mantap deh pokoknya,bintang 5,2 bulan lalu
"Jujur aku cukup spechless dengan layar amolednya, awalnya underestimate karena harganya yg hanya 300rban, tapi pd saat barangnya smpai lgsung terbungkam, dan yg bikin mem...",bintang 5,2 bulan lalu
Lumayan. Notif aja yg bisa dibuka. Telpon wa ga ketahuan. Getar ga ada. Khusus jam kesehatan aja,bintang 5,5 bulan lalu
"produk baru 1 bulan gak lebih udah matot. padahal gak pernah jatuh, kepentok, atau gimana. pas bangun di hari kejadian smartwatch emang udah mati. dicoba di charge gak me...",bintang 1,2 minggu lalu
"masih segel, berfungsi dengan baik, auto bintang ⭐️⭐️⭐️⭐️⭐️ mudah mudahan bisa beli lagi di toko ini",bintang 5,2 minggu lalu
Murah tapi gak murahan tahan banting,bintang 5,6 bulan lalu
"So far so good..
Barang beneran dipacking rapi + safety
Barang belum di coba..
Berharap sesuai dengan yang di iklan kan 👍🏼",bintang 5,6 bulan lalu
"Halo temen temen , mohon perhatian yang ini saya beli baru 2 hari udah kedip"" Padahal cuma buat wudhu aja,, lah trus aku komplen dong di cs, respon cs cuma gini""...",bintang 1,3 minggu lalu
"Bagus bangett ❤️❤️❤️
Layar Amoled mewahh
Sensitivitas lancar jaya",bintang 5,7 bulan lalu
"Bagus barangnya sesuai dg Iklan, barang bersegel",bintang 5,4 bulan lalu
"mantap jamnya sesuai deskripsi, puas pakainya",bintang 5,7 bulan lalu
"baru 2 minggu udah mati, katanya ip68 buat wudlu udah mati
seller nya di chat slow respon 
maaf bintang 1",bintang 1,5 bulan lalu
"Akhirnyaaa dapet yang warna silver hijau, baguuus bangeeet ini mah seperti smartwatch harga 1 jutaan.",bintang 5,5 bulan lalu
"Barang bagus berfungsi normal, dapat bonus strap juga, dan kualitas melebihi harga",bintang 5,3 bulan lalu
"Jamnya bagus melebihi ekspetasi sy, layarnya responsif, jernih bisa pilih facewatch gratis sangat banyak dan bagus2. Pengiriman cepat lebih cepat dari estimasi jadwal.👌�...",bintang 5,5 bulan lalu
"Kereeen bgt sih, semua berfungsi dengan baik, recommended bgt untuk dibeli, cuman harus ganti strap biar bisa masuk k semua warna outfit 😁",bintang 5,6 bulan lalu
"Ada cacat pada tali jam nya, cacat seperti di foto",bintang 4,6 bulan lalu
Terimakasih barang sudah nyampe produk berkualitas desain bagus dan stylish cocok untuk segala jenis kegiatan baik outdoor maupun di pakai sehari-sehari semoga jam nya aw...,bintang 5,5 bulan lalu
"Paket diterima dengan baik. Barang sesuai, rekomended. Berfungsi dengan baik, langsung bisa dipakai.",bintang 5,2 bulan lalu
"Alhamdulillah sudah sampai, kualitas sangat bagus, bahan bagus, pengiriman sangat gercep,top dah",bintang 5,6 bulan lalu
"Sesuai deskripsi, jamnya bagus banget dan berfungsi dengan baik",bintang 5,7 bulan lalu
"produk bagus, solid, kemasan flawless, terlalu murah untuk spek yang dikasih",bintang 5,5 bulan lalu
"Suka banget, fiturnya banyak, keren ambis lah pokoknya jam nya,, nyaman di pakai, tali nya juga sangat bagus",bintang 5,6 bulan lalu
Mantap lah jangan ragu..layar amoled jernih..,bintang 5,1 bulan lalu
"Kualitas pengerjaan: Rapi, kuat n tahan lama..
Mantapp luar dlm",bintang 5,5 bulan lalu
"Mantap jam nya , kualitas ok , model mewah serasa jam harga mahal . Fitur lengkap . Mantap lah",bintang 5,6 bulan lalu
"Crenn nih jam, tp masih bingung buat setting koneksi ke HP nya,, tks item bagus jam nya",bintang 5,1 bulan lalu
"Mskipun nunggu lama krn PO, tpi puas sma kualitasnya😍. 
Ukuran pas ditangan",bintang 5,6 bulan lalu
"dapet bonus strap, pegniriman aman, box luar agak penyok sedikit tapi sisanya aman",bintang 5,3 bulan lalu
"Bagus sangat puas
Barang bagus dan sangat murah sekali",bintang 5,7 bulan lalu
Jam nya udh sampe dan berfungsi dengan normal,bintang 5,2 bulan lalu
Terima kasih Paket sudah di terima dengan baik walaupun pengiriman rada lama tapi secara keseluruhan smartwatch sesuai dengan yang di pesan dan berfungsi dengan baik semo...,bintang 5,1 bulan lalu
"gayanya sangat² elegan, warna sangat bagus cocok juga, pokoknya keren sekali berasa ada nilai lebihnya pas pake, bagus buat investasi kesehatan tentunya 😁😍",bintang 5,5 bulan lalu
"barang ori..
Performa: mudhan"" bagus belum di coba..",bintang 5,6 bulan lalu
"suka sama fitur lengkap, olah raga, GPS, notif bisa kelihatan bisa ganti musik lewat smartwatch ini.
keren lah dengan harga 300 ribuan udah lengkap 🥰🥰",bintang 5,4 bulan lalu
"Barang murah tapi bagus , berjayalah untuk itil🔥🙏🏻 , udh murah.. bagus lg,, serius dah !!",bintang 5,4 bulan lalu
Produknya melebihi ekspektasi hrg 300rban tp fitur setara hrg 1jtan...hrg 300an lainnya gak bakal bisa seperti ini.... Gak heran bisa sampe PO lama klo pengen produk ini....,bintang 5,6 bulan lalu
"salah milih warna harusnya yang ijo aja karna jamnya warna abu2 match diganti sama tali warna apa aja, tp untung birunya gelap jd masih nyambung lah ama item, buat ganti2...",bintang 5,2 bulan lalu
Lumayan bagus jam nya sesuai kwalitas dengan harga nya.,bintang 5,1 bulan lalu
"Jam sesuai pesanan.
Warna sesuai pesanan.
Kualitas TOP.
Aman packing.
Cepat pengirimannya.
CO tgl 15 sekaranf sudah datang.
Gak sampek 1 bln sudah dikirim.
Amanah....",bintang 5,7 bulan lalu
"Sesuai dengan harganya, murah tapi gak murahan 👍👍👍 fairingnya juga mudah ke ip 😁",bintang 5,2 bulan lalu
"joss harga segini bisa dapet quality diluar ekspektasi, thank you itel…",bintang 5,1 bulan lalu
"paketan sangat bagus dan sangat aman...
pengiriman cepat dan barang sangat bagus",bintang 5,1 minggu lalu
"Sudah mendarat, packing luar biasa aman Bible wrap ya tebal, kualitas barang premium, mantap. Terimakasih",bintang 5,1 bulan lalu
"Sudah lama nunggu po 1 bulan, akhirnya datang juga produknya... Kualitasnya mantap, jam nya kereeeeen. Makasih",bintang 5,6 bulan lalu
"Kualitas pengerjaan: sangat puas
Performa sistem: sesuai keaslianya",bintang 5,1 bulan lalu
"Finally... Penantian setelah 1 bulan,,, gilaaaa ini pesanan terlama yg pernah aku cekout... Untung sya ga jdi pulkam.. 
Tp produknya bagus lah, mudah²an awet..",bintang 5,6 bulan lalu
"barang sesuai mantapp, cuman pengiriman agak lama",bintang 5,1 bulan lalu
"bagus banget guys sumpah kalian harus beli Whortied bgt dngan harga segitu, PO ta kirain beneran 1 bulan, ehhh seminggu udah nyampe
Performa: top banget dahh",bintang 5,6 bulan lalu
"Performa: Sangat Bagus, sesuai dengan pesanan rekomendet lah pokonya 🫶🏻",bintang 5,6 bulan lalu
"Barang sudah sampai dengan cepat realpic,, barang bagus sesuai pesanan mantap👍👍👍",bintang 5,5 bulan lalu
"Memuaskan dengan hasil ya ,yg mau beli jarang mikir” lagi gas tros",bintang 5,6 bulan lalu
Paket Mendarat Dengan Selamat Sesuai Dengan Harga nya Cuma Gak Ada Strep Cadangan aja .. tapi Memang Bagus Model Nya,bintang 5,1 bulan lalu
"pengiriman cepat, barang berfungsi sempurna. kualitas bagus banget newah dan berkelas",bintang 5,3 bulan lalu
"Barang ori
Low price but good quality",bintang 5,6 bulan lalu
"Jam nya tidak berfungsi dengan baik, bergerak sendiri tanpa di sentuh. Pengajuan retur tidak di terima. Sangat mengecewakan",bintang 1,6 bulan lalu
"Mending pakai produk lain yg terjamin seperti redmi atau samsung.
Ini jam baru di buka kertas udh ada yg sobek dan udah kotor jamnya sepertinya ini jam sisa servis trus d...",bintang 1,3 bulan lalu
"Bagus,
System performance: Smooth banget
Quality of work: Bagus sip
Performance: Lancar n cepat
Semoga awet min 3 th. Brarti layak di beli
Enak dipakai
Gedenya pas
Pengir...",bintang 5,7 bulan lalu
"mantap udah 13 hari dr awal beli baterai msh ada setengah ya walaupun saya pakai sehari paling 5 jam tapi ini beneran awet, semua fitur berfungsi, sayangnya karena kecero...",bintang 5,1 bulan lalu
"Mantap betul, suka banget sama AOD nya beda sama smartwatch lainnya",bintang 5,3 bulan lalu
Real pict tapi Karetnya gampang lepas,bintang 5,1 bulan lalu
"Pengiriman barang agak lama, tapi respon penjual bagus dan ramah, Barangnya bagus sesuai harga kualitas terbaik untuk itel osw 043",bintang 5,1 bulan lalu
"Barang baru di pakai 2 minggu udh engak bisa di sentuh layarnya, jangan di beli penipuan IP68 dan waterprofnya itu cuma bohongan cuma embel² nama aja engak real kena ujan...",bintang 1,5 bulan lalu
"Bagus enak dipakai
Performa: Sangat baik
Kualitas pengerjaan: Rapi
Performa sistem: Lumayan bagus",bintang 5,7 bulan lalu
"barang ori,pengiriman lbh cepat krn Po sebulan,maju 1 minggu dr tgl pengiriman mantap, berfungsi dg baik,packing aman next tunggu yg itel ISW 011",bintang 5,6 bulan lalu
