review,rating,date
bahannya sesuai dengan yg diinfokan. ukurannya juga pas. Packaging juga bagus dan rapih.,bintang 5,
produk bagus kualitas diatas harganya seller responsif,bintang 5,
Produk bagus harga masuk akal kemasan aman happy ya dengan seller ini,bintang 5,3 bulan lalu
"mutu produk ok sesuai deskripsi. 
respon cepat, dikemas dgn baik.",bintang 5,7 bulan lalu
"recommended seller 👍🏻tali sabuk betul² kulit (jenis kulit jeruk👍🏻), packing barang bagus, kurirnya ramah dan sopan 👌🏻👍🏻🙏🏻",bintang 5,
"mantap,cocok dengan kepala sabuk yang lama,terima kasih semuanya....",bintang 5,
"seller sat set, barang sesuai deskripsi  terima kasih seller dan kurir yg sdh kirim",bintang 5,11 bulan lalu
"lembut , jahitan rapih , asli kulit   (saya coba bakar.  )   seller ramah.",bintang 5,
"Barang sesuai pesanan, paket datang sesuai jadwal, dan packing aman.",bintang 5,
"Bagus , puas sesuai janji dan iklan . Beli yg 120 cm , pangkal nya  bisa mudah dgunting , dipotong disesuaikan dg kebutuhan 👍👍",bintang 5,
"Waktu Pengiriman: 5
Design/Model: 5
Harga: 5
Kualitas Bahan: 3 - warna hitam agak kusam, tipis dan dibandingkan dengan kulit asli terlihat sekali bedanya (lihat foto, yg...",bintang 4,
"Barang sesuai deskripsi, respon seller dan pengirimannya cepat, langsung di pakai, recommended seller",bintang 5,4 bulan lalu
"Tali ikat pinggang terasa banget kulit aslinya. Sudah dipasang kepala/buckle punya sendiri, pas ukurannya dan keren.",bintang 5,5 bulan lalu
parcel sudah diterima dengan baik sesuai pesanan sabuknya bagus,bintang 5,
"Bahannya kulit asli sesuai display, harga murah, barangnya bagus dan lembut, ok banget, pengiriman sangat cepat",bintang 5,10 bulan lalu
"Sangat memuaskan...bahan asli kulit, ringan, kuat, rapi, cukup representatif kl diberi Pending yg bagus.",bintang 5,8 bulan lalu
lumayanlah sesuai dengan haraga cuma agak tipis dan bahannya lemes.,bintang 5,8 bulan lalu
"Sama dengan pembelian yang sebelumnya, produk dikemas cukup rapi dengan menggunakan bubble wrapping dan kardus serta tidak ada kerusakan dalam proses pengiriman.
Tali ika...",bintang 5,9 bulan lalu
"Sama dengan pembelian sebelumnya, produk dikemas cukup rapi menggunakan bubble wrapping serta kardus dan tidak ada kerusakan dalam proses pengiriman.
Tali ikat pinggang k...",bintang 5,9 bulan lalu
"Produk dikemas cukup rapi menggunakan bubble wrapping serta kardus dan tidak ada kerusakan dalam proses pengiriman.
Tali ikat pinggang kulit asli lebar 3 cm yang diterima...",bintang 5,9 bulan lalu
"Modelnya casual, bahan kulit, finishing rapi. pas ukuran.",bintang 5,9 bulan lalu
