review,rating,date
"Barang bagus, tapi lebar kurang, Proses cepet, Pengiriman Akurat",bintang 5,8 bulan lalu
"bahas bagus
empuk
nyaman
keren 
recommended seller",bintang 5,7 bulan lalu
"bagus,empuk dan enteng . pengiriman sangat cepat . 1 hari nyampe . terimakasih 🙏👍👍",bintang 5,3 bulan lalu
"empuk lentur pengiriman cepat kemasan tolong jangan transparan warna armi menarik, ukuran yh biasa 42 ya 42 aja ini saya up 43 kegedean dikit",bintang 5,3 bulan lalu
"baguss, enteng bgt yaa, keknya kalo dijahit lagi lebih kuattt pinggirnya",bintang 5,1 hari lalu
"Alhamdulillah brg ny sudah sampai, emang produk aero ga pernah ngecewain😍 lokal tak gentar🥰",bintang 5,5 bulan lalu
"Sandalnya bagus, warna sesuai dengan foto yang ditampilkan, pengiriman juga tepat waktu. Kalau masalah kualitas dan daya tahan belum tahu, karena baru pertama kali coba m...",bintang 5,4 bulan lalu
"Alhamdulillah sudah sampai dan sesuai pesanan. hanya saja bagian depanya pas dibawah kuku jadi agak sakit jalan, mungkin krn bentuk kaki. overall oke lah",bintang 5,5 bulan lalu
"Bagus, bawah nya ga licin 
Tebel juga dan nyaman di pakai, good poko nya",bintang 5,3 bulan lalu
"Pembelian yg keempat. Saran untuk sendalnya, diameter lingkaran bisa ditambah lagi, soalnya untuk ukuran kaki saya yang kurus saja sudah sangat mepet. Jadinya tidak nyama...",bintang 4,5 bulan lalu
"bahan ok, cuma di punggung kaki agak kurang besar, selainya sesuai ekspektasi",bintang 5,3 bulan lalu
"keren uk.44 pas di kaki, bahan tebal, jahitan kuat",bintang 5,8 bulan lalu
"Modelnya bagus, bahannya juga bagus, namun brand Indonesia tidak memperhatikan lebar kaki, ukuran panjangnya sudah pas lebar kakinya kecil.",bintang 5,9 bulan lalu
"terimakasih min barang sudah sampai di rumah dengan kondisi yang aman, sendal nya tebel empuk nyaman dipakai model nya keren pokoknya the best terimakasih min",bintang 5,7 bulan lalu
Modelnya keren! pas di kaki & nyaman waktu dipake BERAKtivitas 🤭,bintang 5,6 bulan lalu
"pas dan nyaman dipakai anak saya suka 
pelayanan memuaskan pengiriman tepat pada waktunya",bintang 5,5 bulan lalu
"Box sobek, untuk sendalnya aman dan pas. Sudah dua kali beli di sini selalu puas",bintang 5,2 bulan lalu
"modelnya cakep, jaitannya rapih, semoga awet",bintang 5,1 bulan lalu
"Panjang kaki 24-24,5cm ambil size 39 pas bgt mantap!",bintang 4,4 bulan lalu
Dengah harga segitu sih sudah cukup bagus selain dari produknya yang keren pengiriman juga terbilang cepat. Mantap👌🏼,bintang 5,10 bulan lalu
"oke barang udah sampe aman terkendali tanpa bubble warp sih tp aman jaya
makasih selleer maksih abang kurirnya",bintang 5,5 bulan lalu
"modelnya simpel dan keren, nyaman di pakai pokoknya keren dan saya puas👍👍👍",bintang 5,8 bulan lalu
"Barang sesuai gambar, empuk..semoga awet.....pertahan kan kualitas Bos",bintang 5,4 bulan lalu
"Packing rapih dan aman. Proses oleh penjual juga cepat. Sendalnya nyaman digunakan. Ukurannya cukup kecil. Biasanya saya menggunakan alas kaki berukuran 42, tapi 42 di se...",bintang 5,4 bulan lalu
barang sesuai pesanan bahan ORI ringan warna sesuai,bintang 5,8 bulan lalu
"recommended seller,bahan bagus dan nyaman di pakai",bintang 5,5 bulan lalu
"produk bagus,
ukuran pas dipakai juga nyaman",bintang 5,5 bulan lalu
"Sudah 4 kali belanja disini, cuma skrng yang kecewa. Lebar produk masih sempit dan menjepit kaki terlalu erat, sehingga akan terasa kurang nyaman digunakan dalam waktu la...",bintang 2,9 bulan lalu
"bahannya lumayan, nyaman dipakai, modelnya juga bagus",bintang 5,4 bulan lalu
"pas, nyaman, bagus,murah, ukuran better up size 1",bintang 5,8 bulan lalu
"ukurannya pas, modelnya ok, cuma bahannya agak kaku jd kurang nyaman dipakai.",bintang 4,10 bulan lalu
"modelnya keren, harganya murah, kualitas oke. cuma selopnya kurang lebar jd kesannya sempit.",bintang 5,11 bulan lalu
"respon seler cepet, kwalitas bagus untuk harga segini , jahitan & lem rapih",bintang 5,9 bulan lalu
barang oke. cuman ukuran kaki 44 nya agak kecil buat saya,bintang 5,6 bulan lalu
"Modelnya Bagus, Sesuai lah dengan Harga, Hanya Tolong Sesuaikan Antara Panjang dengan Lebar, Sengaja naikin Size biar dpt yg Strap-nya agak lebar, trnyata sama saja seper...",bintang 4,8 bulan lalu
