review,rating,date
"Bagus, memang model yg ku cari. Bahannya juga ok",bintang 5,2 bulan lalu
"bahan lumayan sih, lumayan nyaman di kaki, model nya lumayan keren",bintang 5,2 bulan lalu
"bahan ok,kenyamanan ok,model sip,sol top,ukuran pas",bintang 4,8 bulan lalu
"Pengiriman selalu cepat dan aman, untuk model dan kualitas produk, brodo gausah diragukan lagi.",bintang 5,3 minggu lalu
"Nice 👍 insole nya enak empuk, bahannya ok lah, walaupun masih ada beberapa bekas lem ga rapih di midsole nya",bintang 5,1 bulan lalu
asli enak dipakai berdiri lama as a commuter line rangkasbitung,bintang 5,4 minggu lalu
Sepatu cukup nyaman dipakai. Sayangnya banyak sisaan. Semoga awet aja deh.,bintang 4,3 minggu lalu
Solnya empuk. Cuma agak sempit di bagian kelingking buat saya. Mungkin harusnya pilih ukuran 1 lebuh besar lagi. After all nyaman dipakai,bintang 5,8 bulan lalu
"Nice, mantap, nyaman, local pride josssss",bintang 5,8 bulan lalu
"model nya bagus, bahan juga bagus..

ukuran kaki 26-27 recomen nomor 42 aja..",bintang 5,2 bulan lalu
"Ukuran sepatu pas dari panjangnya, tapi emang kaki lebih lebar dari rata rata makannya agak sempit kesamping. Kualitas oke dan modelnya bagus. Belum dicoba dipake lama ta...",bintang 5,7 bulan lalu
"Salah satu sepatu brand lokal yang enak dipake sih, untung masih dapet pas normal price wkwk, nice banget brodo...👌",bintang 5,8 bulan lalu
"bahannya bagus
datang cepat
pelayanan nya ramah",bintang 5,3 hari lalu
"Udah 3x beli produck brodo bagus2..inceran selanjutnya, Brodo neptune 😍",bintang 5,1 minggu lalu
Sesuai pesenan nyaman,bintang 5,3 minggu lalu
"Design sepatunya keren, nyaman dipakai!! Mudah-mudahan awet!!!",bintang 5,9 bulan lalu
"pas di kaki,keren modelnya,josssss
fast respon tokonya",bintang 5,3 bulan lalu
"Kerennn!!! Langsung pakai🙌🏻
Adminnya sangat membantu
Terima kasih🫡",bintang 5,1 bulan lalu
sesuai dengan pesanan dan size cocok,bintang 5,9 bulan lalu
"Desain klasik dan menarik, tetap cocok digunakan buat acara formal. Sudah 3 bulan penggunaan, insole masih terasa empuk nyaman dipakai untuk mobilitas sehari-hari.",bintang 5,1 minggu lalu
"Adminnya sangat responsif & sangat membantu sampai permasalahan selesai. Pesen ukuran 41 yang ternyata kebesaran, request untuk tuker barang dan dibantu prosesnya sam...",bintang 5,1 bulan lalu
"pakai instan langsung dikirim 2 jam sampe wkwkwk, overall bahan bagus nyaman, breathable dan enteng, maju terus sepatu lokal indo💪🏻",bintang 5,3 minggu lalu
Sepatunya nyaman Bahannya berkualitas Desainnya keren 👍 Penjualnya ramah banget,bintang 5,10 bulan lalu
Sepatunya nyaman Ukuran sesuai Proses pesanan cepat Packaging rapi,bintang 5,9 bulan lalu
"bagus keren berkualitas
box double juga jadi tdk rusak",bintang 5,2 bulan lalu
"bagus... modelkokoh... semoga awet nih. 
cuma sya ukuran kaki 44 secara panjang cukup banget... lebar kakinya agak kurang jadi terasa ncengkram banget... mgkn krn masih b...",bintang 5,8 bulan lalu
Ukurannya pas bgt nyaman dikaki. Tokonya amanah. Suka bgt pelayanannya🙏,bintang 5,1 minggu lalu
di sarankan size up 1 dari size biasa kalian pakai 🙌,bintang 5,2 bulan lalu
barangnya sesuai dan pengantarannya juga sangat cepat 🤍🤍 ace Nova full black,bintang 5,3 minggu lalu
"Mantaaaaab untung konfirmasi ganti ukuran, san admin brodo gercep banget...
sepatu ringan material keren sih untuk harga segitu buat saya ini sepatu mewah banget 😁😁😁😁",bintang 5,8 bulan lalu
barang sesuai dan sangat enak di pakai terimakasih BRODO,bintang 5,9 bulan lalu
"Shape and size: Perfect
Wearability: Very good",bintang 5,3 minggu lalu
"Produk sesuai, tidak ada lecet.",bintang 5,3 minggu lalu
"Desain keren, nyaman dipakai 👍",bintang 5,3 minggu lalu
"Akhirnya dapet brodo size 46, nuhun, semoga awet 😁",bintang 5,3 bulan lalu
barang bagus dan pengiriman cepat.,bintang 5,2 minggu lalu
mantap surantap,bintang 5,1 bulan lalu
ganteng bgttttt,bintang 5,1 bulan lalu
Nyaman dan empukk,bintang 5,1 minggu lalu
gacor bat anjay,bintang 5,3 minggu lalu
Cakep,bintang 5,1 minggu lalu
mantap bet anj,bintang 5,2 minggu lalu
Nice,bintang 5,2 minggu lalu
ntaps,bintang 5,10 bulan lalu
mantapp👍,bintang 5,3 minggu lalu
mantapp,bintang 5,8 bulan lalu
Ok,bintang 5,2 minggu lalu
Thank you bagus,bintang 5,1 minggu lalu
jempollll,bintang 5,3 bulan lalu
terimakasih,bintang 5,3 minggu lalu
👍👍👍👍👍,bintang 5,2 bulan lalu
