review,rating,date
warna dan bahan kayaknya premium sih ini. ukurannya agak sempit dan kaku solnya. untuk kenyamanan saat dipakai belum coba. tapi tetep puas karena desainnya keren.,bintang 5,3 bulan lalu
"Untuk sepatu oke dan warnanya keren!

Masukan aja untuk tim qcnya semoga untuk series kedepanya di perhatikan kembali, walaupun hal sepele tapi bisa berdampak kepada kepu...",bintang 5,9 bulan lalu
"Ukuran kaki saya 25 cm, tapi sayaaa take nyaaa UK42 (27cm) dikarenakan uk43/44 nyaa ada, ko masih kekecilan yaa?
Teruss jugaaa memang seperti ituu lem nyaa min?, overall...",bintang 4,1 minggu lalu
"insyaallah lari biasa biasa aja gak usah kenceng², untuk pamer ini sepatu.. Brodo joss",bintang 5,9 bulan lalu
Sepatu ini tidak bisa lari karena solnya keras banget jadi sakit kaki. dan setelah pakai langsung lobek dan lepas kulit sepatu seperti foto.,bintang 1,1 bulan lalu
"bahannya bagus, warnanya indah,cocok di pake sehari² dan juga untuk olahraga",bintang 5,1 bulan lalu
"Modelnya keren, warna cakep, sol nya empuk, utk body nya tipis tidak ada busanya,jadi kurang nyaman, perlu pakai kaos kaki yg agak tebelan",bintang 5,1 bulan lalu
"nyaman dan empuk saat digunakan
Barang berkualitas",bintang 5,2 bulan lalu
untuk harga 450rb kualitas barang biasa aja.,bintang 3,2 bulan lalu
"Real pick recomended
Bentuk dan ukuran: 41
Daya tahan pakai: Belum di tes
Warna: Oke",bintang 4,5 hari lalu
"baru bngt sampe, cakep banget bro tinggal di tes aja nih 10km wkwkw",bintang 5,9 bulan lalu
"barang diterima dgn kondisi baik. Utk warna saya pikir putih, ternyata lebih ke arah cream. But, it's okay. Semoga awet di bawa lari.
Tks Bro.do",bintang 5,9 bulan lalu
"produk sesuai semoga awet, adm fast respon, tks",bintang 5,3 minggu lalu
"ok sipp besok dicoba kalau mau jalan pagi, smg ndak malas",bintang 5,3 bulan lalu
"Cocok, nyaman bagus lah pokonya!!! Barang exacly seperti di gambar",bintang 5,2 minggu lalu
"Designnya keren,warnanya juga fresh, ukuran pas, pengiriman cepat. Mantap nih buat running, recomend",bintang 5,9 bulan lalu
barang nya oke banget tapi jasa pengiriman nya lumayan lama,bintang 4,9 bulan lalu
"Model Keren bobot ringan sekali....
semoga awet...",bintang 5,2 bulan lalu
sudah mendarat dengan selamat dan waktu yang cepat. recomended seller,bintang 5,9 bulan lalu
model bagus. bahan upper agak kaku. midsole empuk. tongue terlalu ke samping jadi lecet kaki. kurang cocok untuk kaki lebar,bintang 4,2 minggu lalu
"keren, hanya saja agak sempit krn kaki saya agak lebar",bintang 5,9 bulan lalu
"Barang sampai dengan baik, proses cepat dan packing baik (ada extra dus sepatunya) thank you",bintang 5,1 bulan lalu
"barang bagus sesuai dg yang di promo,
pengiriman tepat waktu, packing bagus rapi dan aman
semoga awet dan bermanfaat",bintang 5,3 minggu lalu
"Sesuai dengan gambar, cuman soalnya kok berasa kaku ya, apa mungkin masih baru, belum pernah ditekuk2",bintang 5,9 bulan lalu
"I’m always buying 42 size any sport brand . I don’t know how come 42 of this brand so big for me .
The quality is great but sizes not following world standard",bintang 3,1 minggu lalu
"barang sesuai dgn deskripsi, pengiriman lumayan cepat,... sdh 3 kali belanja produk brodo blm pernah kecewa",bintang 5,2 bulan lalu
"Bagus, bahannya ringan",bintang 5,3 minggu lalu
Sepatunya empuk ringan is the best deh👍👍👍,bintang 5,2 minggu lalu
pengirimannya lama.. sama dari si cepat barang di terima di jne.. mana ga ada kurir dan slow respon ekspedisinya 🥹,bintang 5,9 bulan lalu
"bagus bgt, nyaman, enak",bintang 5,1 bulan lalu
Brgx nyampe dgn aman…nyaman d pke🫶,bintang 5,
Modelnya bagus ternyata.. semoga awet ya,bintang 5,9 bulan lalu
Barang sampai dengan selamat & semoga awet #Amanah,bintang 5,3 minggu lalu
Bagus 😍,bintang 5,9 bulan lalu
thanks.. sepatunya bagus dah ... semoga awet...,bintang 5,2 bulan lalu
"Bagus, kualitas gak murahan",bintang 5,8 bulan lalu
keren ringan...stylish juga,bintang 5,9 bulan lalu
thx u brodo barangnya premium mantap,bintang 5,1 bulan lalu
Keren banget pokoknya ☺,bintang 5,1 bulan lalu
Kereen no debat,bintang 5,2 minggu lalu
"Bagus 
Sesuai deskripsi",bintang 5,3 minggu lalu
bagus sesuai dengan foto,bintang 5,1 hari lalu
Top markotop kece parah,bintang 5,3 minggu lalu
Kece,bintang 5,1 minggu lalu
mantapnyoooo,bintang 5,9 bulan lalu
excellent,bintang 5,3 bulan lalu
Sepatux bagus,bintang 4,1 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,1 bulan lalu
,bintang 5,2 bulan lalu
,bintang 4,3 bulan lalu
terbaik👍👍cepet sampe,bintang 5,3 minggu lalu
Bagus,bintang 5,2 bulan lalu
Sesuai dengan harga,bintang 5,2 minggu lalu
oke bgt,bintang 5,9 bulan lalu
OKE,bintang 5,3 minggu lalu
nicee,bintang 5,4 bulan lalu
,bintang 5,1 bulan lalu
mantull..,bintang 5,7 bulan lalu
,bintang 3,1 minggu lalu
,bintang 3,9 bulan lalu
