review,rating,date
"sepatunya bagus bentuknya, bahannya juga bagus, warnanya lucu",bintang 5,5 bulan lalu
Kegedean 1 gitu pas dipake karna longgar 1 huhu sedih banget. Biasa pake 39 juga kebesaran harusnya turun size berarti🥲🥲🥲 sedih jd gabisa kepake,bintang 3,2 bulan lalu
"Flatshoes nya nyaman banget. Bagus banget😍😍😍 ukurannya juga pas sama ukuran kita biasa, gak perlu up size 👍 
EMPUK PISAN Y GES, anti lecet2 club",bintang 5,1 bulan lalu
Lucu dan cukup nyaman. Semoga cukup tangguh untuk dipakai sehari2,bintang 5,4 bulan lalu
"Ukuran pas. Model tidak kalah dengan Vixxx. Service: Pesan 26 Feb, barang sudah di terima 27 Feb pagi hari. Keep up the good work. 

ps: masih tunggu yg warna merah 😆",bintang 5,2 bulan lalu
"Sesuai ekspektasi. Bahannya bagus, dan nyaman. Tapi ukurannya kegedean dikiit. Saya biasanya 38 tapi ini mau tuker jadi 37. Semoga proses tuker sizenya mudah.",bintang 5,1 bulan lalu
"Udah 3 kali beli dgn size yg beda2, semua nya ga ada yg pas di kaki, sampe bingung sendiri size cart nya gimana. Padahal beli sendal/sepatu ga pernah sebingung ini sama s...",bintang 3,2 bulan lalu
"Sepatu nya nyaman, bagus, dan empuk",bintang 5,2 bulan lalu
Bentuk dan ukuran: Ukuranya pas dan warnanya juga cantik sesuai Ekspektasi,bintang 5,2 bulan lalu
"sepatunya bagus dan enak di pakai, sesuai gambar di foto dan live.",bintang 5,1 bulan lalu
Bagus bgtt dan nyaman dipake semoga awet yaaa,bintang 5,1 bulan lalu
"Buagus buanget, empuk, sayang bgt checkout nya kebanyakan mikir2 pdhl bisa dpt harga lbh murah kemaren2 hehehe",bintang 5,1 bulan lalu
"Bagus banget, dan nyaman dipakai",bintang 5,1 bulan lalu
"bagus bgt, ukurannya juga pas 😍",bintang 5,1 bulan lalu
Cakeepppp..pas size normal,bintang 5,2 bulan lalu
Yang inih kebesaran,bintang 5,2 bulan lalu
Nyaman dan lucu bgt,bintang 5,2 bulan lalu
Kualitas bagus,bintang 5,2 bulan lalu
Enak dipakai,bintang 5,1 bulan lalu
Empuk n enqk dipakai,bintang 5,1 bulan lalu
Cantik sekalii,bintang 5,5 bulan lalu
nyamannn,bintang 5,1 bulan lalu
,bintang 5,5 bulan lalu
Bagus empuk pasti awet sih,bintang 5,1 bulan lalu
nyamannnb,bintang 5,2 bulan lalu
Tukar size,bintang 5,2 bulan lalu
sangat bagus,bintang 5,2 bulan lalu
Bagus,bintang 5,1 bulan lalu
Bagus,bintang 5,1 bulan lalu
bagus sepatunya empuk banget top lah,bintang 5,1 bulan lalu
Mantap,bintang 5,1 bulan lalu
Good,bintang 4,1 bulan lalu
Kereeennn,bintang 5,2 bulan lalu
bagus bgtt,bintang 5,1 bulan lalu
Barang sesuai thx u,bintang 5,2 bulan lalu
Keren,bintang 5,1 bulan lalu
Ok,bintang 5,1 bulan lalu
Ok,bintang 5,2 bulan lalu
Bagusss bangeeeet,bintang 5,1 bulan lalu
💗,bintang 5,1 bulan lalu
Baguuus,bintang 5,1 bulan lalu
👍👍👍,bintang 5,2 bulan lalu
