review,rating,date
"sepatunya nyaman dipake, sempet kaget juga pas datang dicobain kekecilan
trus ditekuk² biar lentur eeh pas dipakenya
sepatunya ada motif bagus juga",bintang 5,7 bulan lalu
Suka banget.. Bahan nya lembut nyaman dipakai. Utk yg ke2x nya bl disini,bintang 5,2 minggu lalu
"pengiriman cepat, packing rapi, sehingga barang sampai dgn baik, produk bagus, ukuran pas, kwalitas bagus, material bagus, warna sesuai, enak dipakai, jahitan rapi",bintang 5,8 bulan lalu
"kirain bakal nomor 41. ternyata masih 40 walopun 25.5

biasanya emang pake 40. tapi gpp nnti ta ganjel depannya. overall bagus. kayak sepatu butik. jahitan rapi, sol teba...",bintang 5,6 bulan lalu
"Alhamdulillah, paket na sudah tiba, baru pertama beli bozka, idah lama lirik n akhir na co juga, sempat ragu size na krn da yg blg naikin 1 size, tung ga dinaikin, ukuran...",bintang 5,6 hari lalu
baru kalii inii belii sepatu di online sebguss inii sumpahhh haruss koleksii yg lain jga sii,bintang 5,1 minggu lalu
ukurannya pas banget dengan ukuran kaki saya. suka banget dengan sepatunya. tidak nyesal beli sepatu Bazka. nyaman dan empuk dipakai.  Ma kasih seller. 🙏🙏,bintang 5,8 bulan lalu
"Bentuk dan ukuran: pas bdw aku 23,5
Aroma: tidak menyengat
Daya tahan pakai: perdana, semoga awet sampai wisuda wkwk
Warna: beige pokoknya sesuai deh",bintang 5,3 minggu lalu
"Barang ok,nyaman di pakai,pingin koleksi warna lainnya....",bintang 5,2 hari lalu
Ini pembelian kedua .syuka sekali dengan desain bozka.bagus mewah elegan cantik dipakai segala suasana.thanks ya,bintang 5,3 minggu lalu
"alhamdulillah gk salah pilih size
biasa pakai 37 tp klo + kaos kaki sangat sesak
pilih 38 passs nyaman.",bintang 4,6 bulan lalu
Sepatu lentur dan enak di pakai,bintang 5,4 minggu lalu
Sesuai dgn pesanan. Sepatu nya bagus pullll,bintang 5,3 minggu lalu
Wah sepatunya bgus bgt... Sesuai deh yg di live. Mantap,bintang 5,2 minggu lalu
"baru pertama kali beli.
bahannya ga kaku.walau untuk ukuran 38 sepertinya bisa pakai ukuran 37 ya.tergantung bentuk kaki juga.",bintang 5,10 bulan lalu
"Cantik sekali model dan warnanya, dipakai nyaman, kalau ukuran turun 1 nomer dibanding ukuran yg biasa dipakai.",bintang 5,8 bulan lalu
"Perfectly fit, normal size.
Enak dipake, empuuk bgt. Bakalan repeat order.. 😍😍",bintang 5,2 minggu lalu
"Ngepas bgt (tanpa kaus kaki). Kalo pake kaus kaki,gak memungkinkan. Krn tanpa kaus kaki aja jatuhnya udh agak sesak.
Kayanya memang perlu ambil 1 nomor diatasnya",bintang 3,1 bulan lalu
"Beli yg ke tiga suka bgt sepatu nya empuk nyaman bgt,, mudah mudahan aku bs langganan",bintang 5,3 minggu lalu
"Sepatunya bagus banget sesuai gambar,next pesan yang warna lain🥰",bintang 5,2 minggu lalu
sesuai ekspektasi yg di harapkan. rekomendasi utk belanja di toko ini. suksess dan berkah selalu utk usahanya,bintang 5,10 bulan lalu
"Bentuk dan ukuran: Bagus
Warna: Bagus",bintang 5,1 minggu lalu
"bagus, jahitan rapi...udah punya 2",bintang 5,7 bulan lalu
size sesuai.fast responds,bintang 5,10 bulan lalu
"sesuai ekspekstasi
puas deh..",bintang 5,7 bulan lalu
Sepatunnya cantik,bintang 5,3 minggu lalu
Oke,bintang 5,3 minggu lalu
Selalu puas dg BOZKA..,bintang 5,6 hari lalu
Sesuai dgn yg saya inginkan,bintang 5,9 bulan lalu
