review,rating,date
"Barang sampai dengan cepat, bungkus luar aman, bungkus dalam tidak aman. kemungkinan karena sedang tinggi pesanannya dan karena saya tidak menggunakan proteksi penuh.  ba...",bintang 5,1 bulan lalu
"bagus sesuai pesanan, cuma terlalu pas di kaki. lain kali harus pesan yg besaran dikit. tp packing nya kurang aman. paling tidak harus dipertebal atau dikasih buble wrap....",bintang 5,1 bulan lalu
"pelayanan baik, produk sesuai, packing aman, kualitas bagus, sepertinya kokoh dan awet nih sendal",bintang 5,1 minggu lalu
"Alhamdulillah.. Barangnya sampai dgn selamat, barangnya bagus, original, sesuai dg fotonya, semoga awet..
terimakasih seller dan kurir nya..",bintang 5,2 bulan lalu
"Terimakasih barang sdh sampai..

Produknya bagus, ukuran pas
Mantaplah pokoknya",bintang 5,2 minggu lalu
"Barang bagus cuma salah ambil ukuran, panjang sol aq artikan panjang telapak kaki😇🤦‍♀️",bintang 5,2 bulan lalu
"Bagus , cakep dan keren
Terimakasih ya kak sudah diantar dengan baik",bintang 5,4 bulan lalu
"Barang sesuai gambar yg ditampilkan, terimakasih sealler, untuk kurir mantab.",bintang 5,6 bulan lalu
Produk ori bagus sandal ny model ny suka bahan jy bagus tebal pengiriman cepat.,bintang 5,5 bulan lalu
Tak akan kecewa klu benar carvil original. Mantap pas di kaki,bintang 5,1 minggu lalu
"Paket sampai aman walau kemasan packingnya penyok, ukuran sesuai ga kekecilan/kebesaran. Semoga awet.",bintang 5,1 bulan lalu
"Barangnya bagus, sesuai pesanan. Dipakainya pas dan nyaman di kaki",bintang 5,1 bulan lalu
"Sendalnya sesuai ekspektasi bagus, ukurannya pas. 👍
Bintang yang menilai",bintang 5,3 bulan lalu
Sendal gunung nya bagus sesuai pesanan..ukuran pas dan nyaman..terima kasih..mantap recomended,bintang 5,5 bulan lalu
"Pengiriman cepat, sandal bagus, harga terjangkau",bintang 5,7 bulan lalu
"barang bagus, Fisik sesuai dengan yg ada di Foto.
materialnya juga enak untuk di pijak",bintang 5,3 minggu lalu
Masyaalloh bagus banget sendal gunung nya bener an asli loh dapet harga murce lgi terimakasih seller dan tiktok nex bakal order lgi mantap 👍,bintang 5,3 bulan lalu
Paket nya sudah saya terima.. sendal nya bagus ukuran nya pun pas ..suami saya suka .nek order lagi,bintang 5,2 bulan lalu
"Warna dan ukuran sesuai pesanan
Sandal sesuai di foto",bintang 5,3 minggu lalu
"Bentuk dan ukuran: Pas
Aroma: Bagus
Daya tahan pakai: Bagus
Warna: Sesuai pesanan
Semua bagus",bintang 5,2 hari lalu
"Bagus, ukurannya pas ,enak dipakai, packing aman, pengiriman cepat",bintang 5,6 bulan lalu
Mantap sesuwey pesanan dan kurir nyah biyasa langganan toko nyah amanah,bintang 5,3 bulan lalu
"Kualitas oke, pelayanan cepat dan ramah 👍",bintang 5,2 minggu lalu
"Sandalnya pas, nyaman dipakai dan aman untuk kaki",bintang 5,3 bulan lalu
"Bentuk dan ukuran: Pas
Daya tahan pakai: Semoga awet",bintang 5,1 minggu lalu
