review,rating,date
"baguss bangett, walaupun agak longgar dikit tapi gapapa materialnya oke bgt kokk worth to buy guyzz",bintang 5,1 bulan lalu
"Paketnya dah nyampek bagus, lumanyan empuk di pakai tpy di aku kebesaran dikit, ngak ada yg rusak jg cuman dus nya aja yg udah penyot",bintang 5,5 bulan lalu
"Bentuk dan ukuran: Ukuran sesuai
Warna: Warna cantik
Daya tahan pakai: Cukup
Sedikit masukan bagian belakang terlalu tinggi jd agak sakit. Over All worth it banget",bintang 5,5 bulan lalu
"hmmm,yaudah gapapa,cukup sih,tp sempit bgttt,bagus sih aslinya",bintang 4,6 bulan lalu
"baguss empukk enak di pakai , tapi agak kebesaran dikit😬",bintang 5,3 bulan lalu
"di ulasan dan di riview katanya alas kakinya empuk tpi ini dapet yg keras, ukuran kaki 23,5 cm beli di ukuran 38 kebesaran padahal biasanya beli di ukuran 38 pas",bintang 2,3 bulan lalu
"Pengiriman cepat sampai ..
Sepatunya juga bagus lucu , nyaman di pakai",bintang 5,2 bulan lalu
Enak dipakai nyaman lembut empuk baguusss wort to buy thanks,bintang 5,5 bulan lalu
kurang muat sama kaki aku pdhl uda bnr banget uk nya 41 tp mala kekecilan sama kaki aku,bintang 4,2 minggu lalu
Masya Allah barang realpict dan nyaman,bintang 5,2 bulan lalu
"Bentuk dan ukuran: Pas
Semuanya bagus gak ada yang gagal🥰, walaupun pas dalam perjalanan ada yang nelpon dan ngaku kurir,dia bilang mau ganti rugi karena pesanan saya ke...",bintang 5,1 bulan lalu
"alhamdulillah paket nya udh sampe dengan selamat bagus banget suka, di kaki pas, bahan nya juga lembut, semoga awet, pengiriman nya juga cepat, ga ada yg rusak samsek, ku...",bintang 5,1 bulan lalu
"Bagus tp sayang ukurannya kecil, aku biasa pakai 39 ini gamuat jadi aku kasih ponakan deh 🙄",bintang 5,3 minggu lalu
Produk bagus cuma kardusnya meleyot untung sepatunya tetep aman,bintang 5,5 bulan lalu
"Untuk harga yg murah flatshoes ini lumayan buat ganti². Masih nyaman dipakai. Ukuranku 39/24,5cm. Ini upsize jd 40",bintang 5,2 bulan lalu
