review,rating,date
very thoughtful kotak aslinya di packing dgn kotak lagi..jadi kotak asli ga penyok.. sepatunya cantik.dipakai nyaman dan empuk,bintang 5,2 minggu lalu
Modelnya bagus dan empuk. Tampilan nya elegan banget 👍,bintang 5,1 minggu lalu
"Ukuranya pas, sptunya sesuai gambar, kurirnya baik",bintang 5,7 bulan lalu
XIXI lucu pol sesuai ekspetasi dan realpict 🥰🥰🫶🏻 makasi ya admin yang fast respon btw nyaman lo di pakek empuk banget 🌟🌟🌟🌟,bintang 5,4 bulan lalu
"suka bangeetttttt,cantik bgt. adminnya fast respon😍🫶🏻JJGN RAGU BELI DSNI PLIS!!🫶🏻",bintang 5,6 bulan lalu
bagus bgt sepatunya tpi ini 37 nya besar bgt di aku🥲😭,bintang 5,3 bulan lalu
Belum pernaah beli sepatu seharga ini dg tampilan super cutie dan enak dipakai😍😍😍. Ini sepatu must must have item deh🩷🩷🩷,bintang 5,4 bulan lalu
"excited sekayii nerima produk dri toko ini, next bakal order lagi si, nyaman banget dipakaiii",bintang 5,2 bulan lalu
"Cantik bgt sepatunya
Bentuk dan ukuran: Pas banget gak sempit gak longgar
Warna: Sesuai ekspektasi
Daya tahan pakai: Harusnya kepake lama si yaa karna lem nya juga sepert...",bintang 5,2 bulan lalu
"Sepatunya sesuai ukuran yang aku mau,trus empuk banget tapi di dalam bagian belakang ny ada kek nusuk² gitu kek ny sisahan benang atau bahan sepatu ny TPI Gpp bisa diakal...",bintang 5,2 bulan lalu
"Bahan nya bagus, nyaman di pakai👍🏻
Bentuk dan ukuran: Pas
Warna: Cantik, sesuai foto",bintang 5,2 bulan lalu
"omg I love it!!💖💖bahan nya halus n empuk juga, nyaman dipake nya😍biasa pake 37/38 eh salah size ke 36, kekecilan haha it's ok. aku mau co lagi size yang bener. sem...",bintang 5,2 bulan lalu
"Sesuai harga, sepatunya cantik, nyaman bgt dibagian alas sepatunya, cuman bagian kedua sisi sepatu yg ada karetnya jahitannya kurang rapi, tp ga apa2... over all puas..",bintang 5,6 bulan lalu
baguss bgt kemarin sempet galau biasanya pake ukuran 39 trus liat di live disuruh turun size pas mau co 38 udah abis akhirnya ke 37 eh ternyata malah pas meskipun agak lo...,bintang 5,6 bulan lalu
Barang bagus real pict nyaman dipakai. Harga murah tapi tidak murahan.,bintang 5,7 bulan lalu
"Barang sesuai gambar. Belum dipakai jalan2 jd blm tau nyaman bgt atau gmn. Tolong dong seller, dus sepatunya dibagusin, penyok2 begitu bkn krn di pengiriman deh. Krn jadi...",bintang 4,5 bulan lalu
barang sudah sampai aman lucuu baguss bahannya juga bagus tidak licin,bintang 5,4 bulan lalu
"aduhh cantik bgt gatauu lagii😩, baguss bgt aslii bahannyaa, warna coklatnya jugaa cantikk bikin kulit cerahh, empuk jugaa pas di pake gaa bikin kaki sakitt, lovee bgt🫰�...",bintang 5,2 minggu lalu
"baguss tapi yg dikirim ga sesuai, pesen ukuran 39 yg dikirim 38 , terlalu pas jdi agak g nyaman",bintang 4,2 bulan lalu
"Harga murah nyaman dipakai, real pict sesuai gambar",bintang 5,6 bulan lalu
"Sepatu nya bagus ,nyaman,cocok dipakai buat daily...saya suka☺️",bintang 5,2 bulan lalu
"Biasa pakai no 38 stelah baca review dan deskripsi aku turunin 1 size, alhamdulillah pas, gk kekecilan.. Suka bgt sma warna coklat, bikin kaki aku cantik.. Semoga awet.....",bintang 5,2 bulan lalu
"Bagus sesuai, suka banget ukuruan pas
Cuma ada rijek sedikit,
Bentuk dan ukuran: 36
Warna: Crem",bintang 5,7 bulan lalu
Sendalnya bagus sesuai gambar cuma aku biasa pake sz 36 pas ini ko ceplas ceplos ya jd susah jalannya🥲🥲,bintang 5,4 bulan lalu
Sepatunya bagus banget harga sangat terjangkau,bintang 5,3 hari lalu
"""POKOKNYA HARUS NURUT BUAT TURUNIN SATU SIZE"" 🙌🏻

biasa pakai 37 tp co 36, pass bgt di kaki. bahan sepatunya empuk dan ga bikin lecet. cantik bgt lagi sepatunya...",bintang 5,4 bulan lalu
"Pengirimannya cepat, realnya lebih cantik, nyaman dipakai",bintang 5,3 bulan lalu
"lucuuu polll, fit bngt dan ukurannya pas. empuk dan nyaman bngt dipakenya🫶",bintang 5,4 bulan lalu
"Kasih kado ke temen aku dan kata dia Cantik bgttt, empuk, dan dibuat jalan enak ditambah kakak nya baik bgtt aku request buat kasih note untuk sahabat aku dan kakak nyaa...",bintang 5,3 bulan lalu
"Cantik sihh
Cmn sangsi aku
 takut nya lem nya GK kuat 🫣
Semoga aja tahan lama .
Trimksh,🙏",bintang 4,4 bulan lalu
"bagus, cuma untuk uk 36 gede kyk size 37 yg kaki biasa pake size 36 ini kelonggaran.",bintang 4,6 bulan lalu
"Bagus bgtt sumpah, saran aku klo kalian mau beli turunin size nya. Karna agak kebesaran sdkit 🥰",bintang 5,2 minggu lalu
BAGUS BANGETTTT DENGAN HARGA SEGITU KWALITAS MANTUL BANGET LAH PKKNYA!!! SMOGA AMANH BERKAH BAROKAH KAK!!!,bintang 5,7 bulan lalu
Ukuran nya pas.. biasa saya 41. Barang nya oke,bintang 4,2 minggu lalu
Bagus cuman ada minus di bagian belakanga ada cobelnya,bintang 5,4 bulan lalu
"Barang real pick,
Ukuran : pas banget karna pas baca deskripsi  disuruh turun 1 size.
Empuk dan juga elastis",bintang 5,2 bulan lalu
"sumpah ya ini bagus bgt!
kotaknya nyampe super aman ga ada penyok (bisa opsi mau kasih hadiah ke temen)
sepatunya cantik pol, empuk juga, pitanya juga bisa kalau mau di t...",bintang 5,3 minggu lalu
Cantik banget aslinya dipake juga nyaman. Murah jdi pgn co wrna lain,bintang 5,7 bulan lalu
"Dengan harga segitu masih bisa dapat yg kualitasny lebih bagus d tiktok hehe , gak rapih alas sepatuny lebih k depan",bintang 4,4 bulan lalu
"Sumpah demi apa sepatunya sebagus it , dgn harga murcek tpi terlihat mewah trs kaki jg klitan lbh cerah pas dipakai",bintang 5,7 bulan lalu
"Terimakasih paketnya sudah sampe barang sesuai pesanan, bagus juga barangnya,desainnya lucuu, nyaman pas di pakai karna solnya juga empuk.
Bentuk dan ukuran: Pas
Warna: S...",bintang 5,2 bulan lalu
"BAGUS POLLL, EMPUK BANGETTT
BAKAL REPURCHASE KESINI TERUSSSS",bintang 5,2 bulan lalu
"Suka banget warnanya, cantik poll. Pengiriman nya juga cepat, ternyata size 36 sedikit longgar untuk aku yg biasa pake size 37. Tapi gpp, Suka bangettttttttttt",bintang 5,2 bulan lalu
"Barang nya Uda sampe maaf baru sempat kasi riview, sepatu bagus real pic nyaman d pake anti slip pokoknyo recommended beli sepatu d sini",bintang 5,2 minggu lalu
Hahaha bagus! Cutie bgt. Tp uda rusak😆😆😆🤣🤣🤣 mungkin krn dipake jalan terus ya. Jd bener2 dua rusak hahaha,bintang 4,4 bulan lalu
"Modelnya cantik sekali, semoga kualitasnya bagus soalnya belum di pake nih.",bintang 5,7 bulan lalu
"Bagus banget 💗
Terkemas dengan sngat rapi!",bintang 5,3 bulan lalu
"Suka sepatunya, semoga awet ya dan gak cepat lekang bawahnya",bintang 5,6 bulan lalu
"beda ukuran sebelah, yg dipesan uk 39 yg datang malah 38,39
tpi ga papa bagus kok",bintang 4,5 bulan lalu
"bagus, sesuai gambar
cocok harga segitu
bagus kali. kedepan bisa beli warna lain lagi",bintang 5,5 bulan lalu
"baguuusss bangeeett, dipake nya enak empuk modelnya keren...semoga awet dan semoga kualitasnya selalu seperti ini bahkan bisa lebih🥰",bintang 5,5 bulan lalu
"Alhadulillah pesanan aku udah sampai seminggu yg lalu maaf ya baru bisa saya review sekarang,bentuknya unik,nyaman,sizenya sesuai,terimakasih ya semoga laris manis 😍🤗",bintang 5,6 bulan lalu
bagus tp size nya 38 kecil bgt harus upsize,bintang 5,
"Cantik bgt pas udah dipake, cuma untuk size 39 di kakiku yg 23.5cm agak ngepas.",bintang 5,2 bulan lalu
"Smwa nya baik & spatunya bagus 👌😊
Pelayanan ny juga sgt2 baik skali 👌😊 tyou🙏",bintang 5,7 bulan lalu
"Bagus sepatu nya, empuk dan tidak licin jga.",bintang 5,3 minggu lalu
"Sumpah lucuuu banget, solnya empuk. Enak dibwa jalan",bintang 5,1 minggu lalu
"Smwa ny baik & spatu nya bagus 👌😊
Pelayanan ny juga sgt2 baik skali 👌😊 tyou🙏",bintang 5,7 bulan lalu
"Bagusss bangetttt!!!! Harus turun satu size ya gess, aku kaki size 38 biasanya tapi turun 1 jadi 37
Bentuk dan ukuran: Passs! Bagus! Kyuttt!
Daya tahan pakai: Nyaman
Warn...",bintang 5,3 minggu lalu
Pertama kali beli ternyata suka flatshoesnya😍,bintang 5,3 minggu lalu
"liat sndri lah lucunya kaya apa😩, turunin 1 angka dri uk biasanya❤️",bintang 5,1 hari lalu
"Saya sedang exchange request karena kekecilan, kaka nya janji untuk dilayani tgl 16 April, jgn lupa ya ka",bintang 5,2 bulan lalu
Alhamdulillah pesanan nya Uda sampe bagus bgt ...,bintang 5,2 bulan lalu
"Bagus, enteng banget, dan empukk.",bintang 5,6 bulan lalu
Mohon maaf saya ini salah kirim kok yang sya pesan model jaring2 yang datang yang ini... Gimana nih malah tidak ada konfirmasi lagi😡😥,bintang 1,7 bulan lalu
Plissss deh sebagus itu cuman 100 robuan mewah banget lagi barangnya harganya juga worrit bangettt kalian wajib harus beli sihhh luvvv dlunaaa!!!!🥰🫶🏻,bintang 5,2 bulan lalu
"Bagus banget mpukk lagi,mantap pkokny",bintang 5,1 minggu lalu
Alhamdulillah barang datang sesuai dengan pemesanan dan tidak mengecewakan ya😍🥰✨,bintang 5,3 bulan lalu
pengerjaan kurang rapi terkesan sembarangan untuk dijual,bintang 3,7 bulan lalu
"Bagus bgt, nyaamaan bgt, ga sakit di kaki + harga muraaaah meriaaah 🥹",bintang 5,7 bulan lalu
baguss lucuu bangeet. adminnya juga ramah sekalii😍😍🤍,bintang 5,2 bulan lalu
Pesen warna cream yg dateng pink.. padahal d pilihannya gak ada pink… hmmm untungnya bagus dan enak dipakenya,bintang 4,7 bulan lalu
"Jangan ragu buat beli, ini bagus nya kebangetan dg harga segitu❤❤❤❤",bintang 5,3 minggu lalu
AAAAA BAGUSS BANGET SEPATU NYA KAK NYAMAN😍😍🫶🫶,bintang 5,2 minggu lalu
Sepatunya lucu… enteng… lumayan buat jalan… semoga awet.,bintang 5,5 bulan lalu
"GEMESS BANGETTTT😭🤏🏻
kakak adminnya juga ramah poll🩷",bintang 5,2 minggu lalu
"CANTIK BANGET SEPATUNYA AKU UDAH PUNYA 2 KOLEKSI FLATSHOES DARI DLUNA, MANA DAPAT HARGA MURAH!!!!😍😍❤️❤️
 tapi sayang kegedean🥺",bintang 5,4 bulan lalu
Bagus... banget... sesuai gambar... empuk lagi,bintang 5,2 bulan lalu
"Salah ukuran sebelah 37, sebelah 38",bintang 2,5 bulan lalu
Bagus banget suka banget pokoknya,bintang 5,3 bulan lalu
Cakep lucuu dan nyaman dipakai,bintang 5,5 bulan lalu
"bagus bgtt, aku ukuran 37 downsize ke 36 pas bgttt😍😍😍😍",bintang 5,6 bulan lalu
"Pesan warna black, tp yg dikirim jdi coklat😫😅maaf yaa aku kasih bintang 4 aja karena kurang teliti hehee selebihnya bagus",bintang 4,2 bulan lalu
"GEWLLAAAAAAAA BAGUS PWOLLLLL, kalian yg mau beli harua downsize yaaa soalnya ini pasti kegedean, dan kalo mau downsize harus konfirm ke adminnya yaaaa yang SUPER DUPEE BA...",bintang 5,3 bulan lalu
"Bgusss pokok ny,,klian wajib order",bintang 5,6 bulan lalu
Bagusnya lebih dari ekspetasi sih emang🫶🏻,bintang 5,3 bulan lalu
Cantik saya suka bgs sekali🥰😍😍😍,bintang 5,3 bulan lalu
Cantiiiik. Kualitas juga okee. Semoga awet. Bakal beli lagiiiii,bintang 5,6 bulan lalu
"Bentuk dan ukuran: Bagus
Aroma: Biasa aja
Daya tahan pakai: Kuat
Warna: Cantik
Tapi agak sakit yaa agak nusuk2 gitu di kulit dari bahan sepatunya",bintang 5,4 bulan lalu
"Bagus banget nyaman dipakenya, paling tempatnya aja kardusnya itu rusak penyok² doang tapi gpp yang penting flatshoesnya bagus",bintang 5,4 bulan lalu
bagus bangetttt bagian bawah bahannya karet anti slip jadi ga licinn,bintang 5,2 bulan lalu
"Bagus bahan empuk,talinya jg lentur karet gitu",bintang 5,3 minggu lalu
Bahan lumayan kuat cantik di kaki dan nyaman,bintang 5,2 bulan lalu
Penjual ramah 🫶🏼 dikasih double kotak pas sampe juga kotaknya gada rusak samsek 🫶🏼 barang bagus sesuai 🫶🏼 terimakasih kak🫶🏼,bintang 5,3 bulan lalu
sepatuny bagus banget tapi size ny kekecilan aku biasa pke 39 mau ambil 39 tapi kata mba nya turunin 1 size ternyata kekecilan pesan aku guys ambil sesuai ukuran aja huhu...,bintang 4,
bagus poll tpi di aku kebesaran padahal ukuran 36 paling kecil,bintang 5,7 bulan lalu
"Flatshoesnya asli bagus bgt, trs nyaman juga dan empuk. Terimakasih kak",bintang 5,2 bulan lalu
"Bentuk dan ukuran: Pas di kaki nyaman di pake nya
Warna: Sesuai di video",bintang 4,2 minggu lalu
sebenernya lucu bgt flatshoesnya tapi buat kaki lebar ini agak sempit :( udah konsul sm adminnya dan nurut tp ngepas bgt sih dan depannya rada sempit sayangnya. takut cep...,bintang 4,2 bulan lalu
Ku pikir tipis ternyata tebel dan bagus bangettttt,bintang 5,3 bulan lalu
"Bagus.cuma bau lemnya nyengat bgt.belum dibuka aja udh kecium bau lemnya
Setelah aku pake UK 38 sempit bgt kek nya harus naik 1 size",bintang 5,2 bulan lalu
"Ok sih, tapi yg sebelah kiri aga kegedean😭yg kanan pas",bintang 5,6 bulan lalu
Menurutku cakep gambar sih mudah mudahan gak cepet lepas yaa ini lem nya karna pas buka kardus nya menyengat lem nya tercium banget gak ngerti lagiii,bintang 5,6 bulan lalu
"baguss bangett , model gak pasaran , warna cream cerahh , packingan jg pke dos rapi. sepatu gak penyot2 . kurir ramah dan pengiriman ke makassar cm 2 hari . sy biasa pke...",bintang 5,7 bulan lalu
Realpict & so cute,bintang 5,1 bulan lalu
bagus tapi pas dipake sakit bgt kya ketusuk🥹,bintang 4,7 bulan lalu
"Cantik dan empuk juga nyaman dipakainya 🫰🫶
Bentuk dan ukuran: Pas sekali
Aroma: Harum",bintang 5,1 minggu lalu
"Sepatu nya bagus,cuma kebesaran di aku. Katanya pake sz normal tp nyata nya kebesaran😔syg banget pdahal bagus",bintang 5,7 bulan lalu
lemx gak rapih jdi takut makex 🥲,bintang 1,4 bulan lalu
"Gemes bgt sumpahhh, luvv deh pokoknya🫶🏻",bintang 5,5 bulan lalu
"Baguss bngt
Bentuk dan ukuran: Pas
Aroma: Wangi
Daya tahan pakai: Belum tau
Warna: Black",bintang 5,3 bulan lalu
"Bentuk dan ukuran: Saran 23,5cm pake yg 37 aja.. di aku ngepas bgt jd krg nyaman tapi bagus sesuai sperti di live dan gambar",bintang 5,4 bulan lalu
Fiks bagus banget dikaki ku yang lebar ini mo nangis ternyata ada yang cocok dikaki ku bakalan order lagi yang lain sih makasih,bintang 4,4 bulan lalu
Bagus bgt dan bnr hrs downnsize....murah tp ga murahan...cantik bgt di kaki...nyaman pas nyoba...blm tau kira2 jalan lama bakal.lecet ato ga..,bintang 5,5 bulan lalu
Enak bgt nih sepatu empuk..semoga dipake jalan lama nyaman juga...nuhun,bintang 5,4 bulan lalu
"Bagus banget, real pinct, pas sesuai ukuran",bintang 5,2 bulan lalu
"Ukuran 36nya kebesaran d aku insolenya ternyata gak 22,5😅 tapi cantik sepatunya nti di akalin biar kepake😊😊",bintang 4,7 bulan lalu
"Baguss 
Cuma agak kegedean Size 36 nya, mungkin bisa dibuat Size. 35",bintang 4,6 bulan lalu
sepatunya bagus pengiriman cepat banget pengemasan rapih & aman,bintang 5,3 bulan lalu
Ada lem yg masi nempel dan kecium bau lem tp bagus modelnya,bintang 3,7 bulan lalu
"Suka😍murah tapi GK murahan, kualitas ok",bintang 4,2 bulan lalu
Saran aku turunin 1 size dari size kalian biasa nya . Soal nya aku biasa pake 38 ini m38 nya malah kegedean😭,bintang 5,2 hari lalu
"Pengemasan super super rapi keren bgt,pengiriman super super cepat juga kemarin sore co tadi pagi pukul 9 smpai terimakasih banyak seller",bintang 5,1 minggu lalu
"Bgus bget dgn bahan ny,,dan kurir ny juga sopan dan ramah",bintang 5,
"Barangnya bagus....tp sayang kotak sepatunya sampe rusak ,mgkin di pengirimannya kali yaa yg kurang safety.",bintang 5,6 bulan lalu
"Alhamdulilah barang sudah sampai dengan selamat dan tidak ada yang mengecewakan semua, barang bagus semua, terimakasih seller semoga berkah",bintang 5,6 bulan lalu
demi apapun ini sepatutnya cantik nyaman bgt d pake nya😍,bintang 5,3 minggu lalu
Bentuk dan ukuran: Ukuran 36 trlalu kebesaran😅 tpi bagus sih modelnya lucukk🥰,bintang 5,5 bulan lalu
Maaf bun lupa foto tampilan nya bagus sekali aku suka,bintang 5,3 minggu lalu
Maaf saya rumah penilaiannya karna saya bru pakai ternyata agak licin ya🙏,bintang 3,6 bulan lalu
bagus banget demi apapun aku pake pas lebaran cakep bangett coy,bintang 5,1 bulan lalu
"baguss lucuu, tapi ukuran sepatuku yg biasanya 39 pas, di ini panjangan dikitt😔 tapi tetep bagusss kokk",bintang 5,2 bulan lalu
Biasa pke size 38 tkut kkecilan ambil 39 trnyta pas..bgus bnget ssuai ekspetasi recomended,bintang 5,7 bulan lalu
"Admin responship bngt bnget super ramah dan amanah 🥹 pesenan lngsung di antar dan sampe 2hari aja  , produk nya gak nyesel bangeettt baguss banget pas dikaki ku 🫶🏻",bintang 5,2 bulan lalu
"Maaf baru smpt kasih ulasan... Krn sy baru pake skrg.. Sy biasanya pake uk 40 , ini sy upside ke 41 spy agak longgar.Tapi trnyata msh agak smpit ya..ngepas gitu. Dan lg,...",bintang 3,5 bulan lalu
Aku suka bgt😍 ini tuh cantik desain yh trs pas jg di kaki aku 41,bintang 5,2 bulan lalu
"bagusssss
Bentuk dan ukuran: cukup baik
Warna: coklat",bintang 4,7 bulan lalu
"bagus bgt empuk, cm di aku kekecilan 😭",bintang 4,2 bulan lalu
"Baru pertama kali beli disini benaran sepatu ini wajib di beli sih ... Memang keren banget, empu, ringan .... Packingnya rapi benaran sih di luar ekspektasi aku beli sepa...",bintang 5,2 bulan lalu
bagus nyaman dipakai,bintang 5,7 bulan lalu
"Sepatunya Bagus banget, mentel dan elegan",bintang 5,6 bulan lalu
Baru datang karetnya udh lepas pas dipasang lepas lagii terus ilang,bintang 1,2 bulan lalu
"Sepatu nya yg untuk penyangga belakang nya pendek banget, jd kalo di bawa jalan kayak lepas2 gitu.. jd gak bisa di pake",bintang 2,2 bulan lalu
"Bagus bgt pls monangisssss,biasa pake uk 37 ini uk 36 jga masuk jd di rekomenin turun size ya",bintang 5,2 minggu lalu
"Gemes banget, packing nya niat dan rapi next pasti order lagi 🫶🏻🫶🏻",bintang 5,3 minggu lalu
"sepatunya empuk pas di pakai, mau beli warna lain miinn",bintang 5,2 bulan lalu
Bagus sesuai harapan,bintang 5,2 bulan lalu
Bagus sesuai harapan,bintang 5,2 bulan lalu
