review,rating,date
"Barangnya cakep banget, walaupun ada kendala karna salah pengiriman barang tapi langsung di proses dan dikirim besoknya, next bakal beli tipe 1461 bex lagii disini…👍🏻",bintang 5,
"Mantap gan, seller responsif, barang mantap, harga bersaing, sukses terus gan",bintang 5,
"pengiriman cepat, barang ori, free kaos kaki",bintang 5,
"ukurannya pass, adminnya sangat helpful dan responsif",bintang 5,5 bulan lalu
"Buagussss 😍 sempet ragu krn takutnya bulky and ga nyaman buat jalan lama, eh ternyata empuk 😆",bintang 5,9 bulan lalu
thank yooouuu!! pas banget kemaren nanya akan restock nomor 38 apa nggak taunya langsung diupdate 🙏🏼,bintang 5,
"Paket rapi dan cepat sampai, produk orignial sesuai deskripsi nya, sizing nya tidak sama dengan sepatu sport ya, mungkin karena sepatu kulit jadi minim padding, berasa se...",bintang 5,6 bulan lalu
Blm di buka tp inshaAllah keren hadiah buat istri,bintang 5,
sip. barang sampai dg cepat.,bintang 5,
Original 👍,bintang 5,
,bintang 5,
terbaiks,bintang 5,
⭐⭐⭐⭐⭐,bintang 5,
produk luar biasa bagus pengiriman cepat. yg punya toko ramab bgt terkmakasih luar biasa seneng nya semoga menjadi langganan,bintang 5,
"Ga mgerti lagi , cakep bangett 👍🏼",bintang 5,
Kereeeeeennnnnn,bintang 5,
"barang bagus, original, pengiriman sangat cepat. seller baik fast respons. terima kasih .....",bintang 5,
"Barang bagus, original, dan proses cepat. Thank you!",bintang 5,
,bintang 5,
Baguusss banget sepatunya. Sukses yaa,bintang 5,
