review,rating,date
"Sesuai foto & deskripsi 
Awalnya ragu tp setelah datang ya bagus
Good produk 
Good seller 
Trims kurir, Tokopedia & Tiktok yg kasih diskon",bintang 5,6 bulan lalu
"Bentuk dan ukuran: untuk bentuk bagus cuman salah pilih ukuran kebesaran
Daya tahan pakai: mudah mudahan awet
Warna: putih",bintang 5,2 bulan lalu
"Bentuk dan ukuran: bentuk oke uk pas
Aroma: bau lem+karet🤤🤤
Warna: irenq
cocok buat mosing dan nendang pala koruptor",bintang 5,2 bulan lalu
"barang mendarat dengan selamat
tidak ada lecet sedikit pun 
bingang lima deh buat E LABEL",bintang 5,3 bulan lalu
"Barang sesuai dengan pesanan, ukuran pas,, tidak mengecewakan..sangat rekomendasi deh toko ini.. terimakasih.. maaf fto gak sesuai, krna langsung dipake",bintang 5,4 bulan lalu
"Ternyata agak tipis, agak jauh dr ekspektasi sebenarnya... Tp gpp ada harga ada kwalitas",bintang 4,5 bulan lalu
"Bagus banget, cuma sy aj yg salah ngira, soalnya sepatu ukuran 41, pas make sendal ini kebesaran ternyata, dikit sih, berarti yg pas tuh antara 39/40(untuk ukuran sy) tap...",bintang 5,2 bulan lalu
sesuai dgn pas ukuran pas...bhn nya ringan dan anti slip.cocok untuk cuaca musim hujan,bintang 5,5 bulan lalu
"bagus bgt buat di pake kemana mana,enak bahan nya jir,dengan harga 40 rebu sih wor it sih",bintang 5,5 bulan lalu
"Shape and size: Pas di kaki
Scent: Nyengat
Wearability: Nyaman
Color: Sesuai",bintang 5,2 bulan lalu
Ini si sangat sepadan lbih bagus dr pda harga nya,bintang 5,6 bulan lalu
"Bahan bagus, ringan, cuma ukuran agak kecil sedikit",bintang 5,1 bulan lalu
"bahan nyaman cuman di kaki saya masih kebesaran,
good job",bintang 5,
keren asli ngga ada minus sama sekali ngga ada kurang sama sekali,bintang 5,1 bulan lalu
kurang rapih dan Masi banyak sisa plastik yg belum terpotong,bintang 3,2 bulan lalu
