review,rating,date
"baguss si tpi ga rekomen buat yg kakinya panjang, atau ga saran aja si minn buat uk 41 soalnya ini aku biasanya size 39 40 ambil uk 40 agak krg panjang dikit (ngepress) t...",bintang 4,2 minggu lalu
"Untuk produknya bagus tp ukurannya ttp kekecilan, padahal udah upsize, biasa pake 39 skrng pesan 40 ttp ngebonceng",bintang 4,5 bulan lalu
"Pengiriman cepat, insolenya empuk, ukurannya pas banget sama kaki tapi ga sempit",bintang 5,2 bulan lalu
"sesuai gambar, ukuran 40nya pas, ga sesek dikaki, enak pakenya, thanks seller",bintang 5,2 bulan lalu
"baguss, empukk sepatunya, dengan harga murah tapi kualitasnha baguss🥰",bintang 5,6 bulan lalu
"Cepat sampai, empuk bgtt, nyaman, warnanya keren sesuai espektasii bgtt💃",bintang 5,4 bulan lalu
bagus pollllll rekomen!!!🖤🖤🖤🖤 *tpi salah pilih ukuran ternyata harusnya 39🙂👍,bintang 5,6 bulan lalu
Bagus sesuai dgn yg di pesan thank seller,bintang 4,2 bulan lalu
"sesuai dengan foto produk dan sesuai juga sama harganya,aku biasa pake size 38/39 tapi nyoba pake 40 untuk depannya pas tapi belakang kurang lebih masih sisa 2 cm",bintang 5,2 bulan lalu
"Sesuai ekspektasi cakepp parahh, bahannya juga bagus terus empukk juga, pokoknya suka walaupun kebesaran dikit karna salah pilih size tp its ok",bintang 5,2 bulan lalu
"Sandalnya bagus ringan, nyaman, desain cantik. Cuman kekurangannya kardusnya aja ga kokoh jadi aku harus steples dulu pinggir2an kardusnya biar ga copot😭",bintang 5,5 bulan lalu
"bagus, sesuai ekspektasi warnanya. tapi di aku 39 kegedean satu nomer,, pdhl ukurannya udah sesuai panjang kaki aku. emang kalo normalnya aku 37/38 sih.. gapapa sihh, mas...",bintang 5,3 bulan lalu
"lucu banget, real pict, bahannya juga bagussss, empuk, gabikin lecet, dan buat kakiku yang lebar, dia gabikin sakit😍",bintang 5,5 bulan lalu
"sepatunya lumayan empuk, hrs upsize 1 size normal krn agak sempit utg muat hehe, beli ini buat lebaran semoga nyaman buat jalan” :).. oiya mau ksh saran min tlg diupgrade...",bintang 4,2 bulan lalu
"Agak kekecilan sih tapi tetep bagus kok
Nyaman dipake, solnya juga empuj",bintang 4,1 bulan lalu
