review,rating,date
"barang keren, enak dipakai nyaman dipakai jalan jauh, cocoklah buat harian",bintang 5,1 bulan lalu
"secara keseluruhan udah oke banget, kualitas eiger emang ga diragukan. bakal awet sampe bertahun-tahun walaupun dipake di segala medan. tap kalo diliatnya sampe detail ba...",bintang 5,
"bahan bagus, nyaman, modelnya keren, , ukuran sesuai dgn permintaan",bintang 5,
modelnya keren dan outsole nya sepertinya grip banget dan bagus untuk tempat licin,bintang 5,
"mantap
barang ORI sesuai pesanan
pengiriman cepat",bintang 5,8 bulan lalu
"Kwalitas... Terbaik, sesuai diskripsi, Sdh dicoba berfungsi dg baik 👍🏻, 5⭐ Model keren, bahan kuat pas nyaman di kaki. Alhamdulillah, pesanan datang dgn selamat, barang...",bintang 5,
"Terimakasih Eiger, Barang Bagus, Kokoh, Mantab, Top Markotop, Jos sesuai diskripsi, saller ramah responship",bintang 5,
Flash sale dpt harga 130k makasi eigerrrrr .. keren banget,bintang 5,
Modelnya keren. Nyaman dipakai aktivitas dimana saja. Bahannya tebal dan pastinya kualitas eiger jangan diragukan lagi🤘🏻,bintang 5,
"saya terkejoed, kaget, kirain kaleng2, ga taunya tebel tp enteng, alus pisan eh. seneng sm eiger",bintang 5,
"modelnya keren, warnanya bagus, bahan bagus dan awet, sol tahan lama, ukuran pas,",bintang 5,10 bulan lalu
Recomended barang ori pengiriman cepat respon seller TOP…,bintang 5,
"Sesuai pesanan, ukuran Pas, bahan bagus, semoga awet dipakai.",bintang 5,1 bulan lalu
Bahan nya empuk original dan lumayan aku dapat harga 116.000 an karena discount 40% dan ada voucer promo😊🥰,bintang 5,
"sendal asli, merek eiger, pengemasan bagus, kondisi sendal juga masih bagus, joss pokoknyaa",bintang 5,
"gambar dan barang aslinya sama, overall puas",bintang 5,
"Nyaman, Empuk, Model Mantep
Diskon lagi hehe",bintang 5,11 bulan lalu
"keren, sesuai pesanan, rekomended pokoknya",bintang 5,9 bulan lalu
"produk baik
packing saja yg kurang exclusive, 
sekelas eiger lebih baik jika ada packing karton

hanya packing plastic, alhasil kantong jala sendal terpotong saat unboxin...",bintang 4,
"pesanan sudah sampai, kualitas ok dn ori terima kasih",bintang 5,
barang sudah datang tepat waktu semoga hasil nya memuas kan...,bintang 5,3 minggu lalu
keren model nya original mantap banget pokoknya vv. nnnkkll,bintang 5,8 bulan lalu
"modelnya keren, Alhamdulillah nyaman dipakai... Terima Kasih",bintang 5,
model mantap... saller nya mantap bener beli sore langsung packing siang nyampe,bintang 5,
"Dari dulu bli di sini, so kekhawatiran sudah tak Ade , barang sesuai pesansn puwasa lahh.. trimksihh barang udah saMpae TOREAN/. LOMBOK😁😁👍👍",bintang 5,3 bulan lalu
barang eiger emang selalu bikin puas,bintang 5,
"Alhamdulillah pas di pakai dan keren,",bintang 5,
"Barang original kualitas Eiger, bahan nyaman dan ergonimis, model dan ukuran sesuai",bintang 5,10 bulan lalu
"Barang sesuai dan original, desain ergonomis, pas di kaki, nyaman digunakan, ukuran pas dan compact",bintang 5,10 bulan lalu
"Seller responsif, harga kompetitif pas diskon, barang ori sesuai deskripsi dan tiba lebih cepat dari estimasi",bintang 5,11 bulan lalu
"Seller fast response, barang original. Empuk dipake.",bintang 5,
"ternyata bahannya emang kokoh seperti yang dibicarakan orang-orang, jadi ngerti kenapa senior di kampus dulu suka banget sama yang midelan kaya gini",bintang 4,
"kwalitas ori emang ga diragukan, model jyga keren, simpel, enak dilihat, enak dipakai.",bintang 5,
"Barang sesuai foto dan deskripsi, ukuran pas karena tanya size chart dulu sebelum beli. Semoga awet dan nyaman 👍",bintang 5,
"ada sedikit cacat di sendal sebelah kanan bagian bawah, semoga tidak mempengaruhi kualitasnya.
Pengiriman super cepat, terima kasih tokped & Eiger.",bintang 4,
"Kwalitas oke, layanan oke, sya pecinta eiger.
Cuman kecewa dengan jasa ekspedisi sicepat, barang ngendap lama kluar dari estimasi tgl",bintang 5,
"Untuk panjang telapak kaki 27 cm dg ukuran no 43 sangat cocok, pas dan bagus.
Respon dan proses pengiriman cepat.",bintang 5,10 bulan lalu
"sudah sejak 2009 pake Eiger sih, tapi baru kali ini beli onlinenya, 
pelayanan cepat, pengemasan bagus, dan varian lebih banyak, karena tiap ke outletnya barang yg dicari...",bintang 5,
"Eiger tidak pernah membuat saya kecewa , Kualitas sudah tidak di ragukan lagi, di buat dari bahan daur ulang yang ramah lingkungan & di kerjakan oleh tenaga profesion...",bintang 5,
"Kualitas barang oke, packaging rapi, overall mantap. Semoga tahan lama barangnya 👍",bintang 5,
"bagian yg langsung ke tanah keras dan solid, tapi kalau dipakai dikeramik yg basah agak licin. bagian yg nyentuh sm kaki lumayan lembut buat telapak kaki. entah emang eig...",bintang 5,
"Bagus, tapaknya empuk, ukuran pas, warna dan modelnya ok di kaki, puaslah pokoknya, dpt harga diskon kilat 1/2 harga lumayanlah, semoga awet",bintang 5,
"cocok.. pass.. semua bagus.. eiger terpercaya

bahan oke, nyaman",bintang 5,
"Modelnya sdh pasti Keren
Bahan Pasti Berkwalitas
Nyaman Dipake",bintang 5,
"ukuran pas, pengiriman nya cepat.. fast respond, nyaman, dan ukurannya pas banget...... thank you very all... recomended banget sih..",bintang 5,
"bagus, seller responsif, pengiriman cepat",bintang 5,
Modelnya keren. Ukurannya real 42 pas di kaki. 100% Original Eiger Adventure.,bintang 5,
kualitas poroduk sangat baik produk original harga prpduk baik respon pnjual baik pengemasan baik pengiriman baik trimksh,bintang 5,
Bahanya lembut dn pemakaian tetap nyaman walaupun dipakai dalam jangka waktu yg lama.,bintang 5,
"paket sudah sampe, pas banget, bahan juga oke, mantaplah pokoknya, recommend banget pokoknya👏👏",bintang 5,
"sandal nya enak dan nyaman dipakai, ukuranya pun pas..",bintang 5,
"proses n pengiriman cepat, barang ori, Harganya hemat 
mantap 👍
bintang 5 deh",bintang 5,
"Mantap modelnya, kualitas original tidak di ragukan, terima kasih.",bintang 5,
"kualitas produk bagus, nyaman dipakai, dah punya warna terracotta, ini dah sampai warna olive, dipacking yg aman, sering³ disc 40% ke ats ya.😄😄😄. trims Eiger & Tok...",bintang 5,
"sedikit kecewa karena kehabisan ukuran 43, jadinya ngepas banget, semoga awet dan berkah",bintang 5,
"produk sesuai, ukuran dan tipe sesuai seperti biasa. good seller.",bintang 5,2 bulan lalu
"Bagus, sol bawah keras tapi sol atas empuk.",bintang 5,
"barang sesuai pesanan dan dapet pas lagi flashsale lagi di harga 160 an haha mantap deh pokoknya. 
semoga awet sama saya 😃",bintang 5,
"enak di pakai, pas di kaki, modelnya bagus",bintang 5,
"Dapat harga pas promo mantap, seperti biasa kualitas eiger mmg top, thanks seller",bintang 5,
"sejak dulu sudah percaya banget sama kualitas eiger.. nyaman dipake, pastinya awet.. 👍🏻👍🏻",bintang 5,
Bahan enak empuk.. kokoh.... desain cakep moga awet.... eiger memang the best ... dpat hrga flash sale lagi... thanks Eiger & tokopedia,bintang 5,
"Barang bagus banget.. 
Original Eiger
Barang sesuai pesanan
Eiger memang paling top
Sudah seringkali beli di Toko Eiger adventure ini
Pokoknya puas banget dah",bintang 5,
bahan kenyamanan model sol ukuran superrr mantull 👍 setelah ini harga kembali normal 😁😂 semoga awet sekian terima kasih,bintang 5,
"Produk sesuai, saya duka dengan warnanya

Dipakai juga cukup myaman, yang penting talinya kokoh. Terima kasih Eiger

Dapat harga diskon pula, Puas dah",bintang 5,
Sandalnya keren sesuai yg saya harap di pakai keren dan yg paling barangnya Original mantaapp👍👍.,bintang 5,
"nyaman di pakai , sore nyampe paginya langsung di bawa naik MT.Prau , cuma dari expedisinya kacau, barang ketahan nyampe 3 hari ngga ada update pemberitahuan tiba2 udah n...",bintang 5,
"sandal eiger nya ori... nyaman di pakai, ngga nyesel deh beli dan udah dari zaman sma selalu pakai eiger  👍👍👍😎🇮🇩🇮🇩🇮🇩",bintang 5,9 bulan lalu
"Mantap, sandalnya keren. Empuk dan nyaman dipakai. Pengiriman juga cepat banget karena berlogo dilayani Tokopedia dan kurir ramah baik hati. Nice 👍🏻👍🏻👍🏻",bintang 5,
"Produk bagus & nyaman dipakai, dipacking yg aman.🙏🏾😊",bintang 5,
"cepet banget sampainya ga ada sehari, ada tasnya juga",bintang 5,4 bulan lalu
"mantap banget modelnya Alhamdulillah paket mendarat dengan selamat paket tiba cepet banget, tiba sebelum waktunya yg harusnya tiba tgl 22 tgl 21 dah sampai,produk juga ok...",bintang 5,11 bulan lalu
"*CINTAILAH PRODUK2 INDONESIA*
Meski agk lama sampe krn ada periode Libur bersama... 
akhir'a datang juga
Trimakasih Eiger.. Tokped.. kurir rekom
mantab",bintang 5,
"pengiriman cepat, sendal nya nyaman n pas di kaki... kereen",bintang 5,
"modelnya keren, strapnya nyaman, ukurannya pas, sukaa",bintang 5,
"akhirnya sampai juga yang di tunggu tunggu, sebagus dn sekokoh itu sandalnya di pakai pun nyaman tidak berat, pokoknya tidak di ragukan lagilah yaaa. Beli pas flash sale...",bintang 5,11 bulan lalu
"barang asli / originals eiger
kualitas terbaik 
packing tokopedia mantops 👌🏻",bintang 5,
"Mantab..sesuai deskripsi , orderan. pengiriman sesuai waktu, packing aman. Dan dapat harga diskon.",bintang 5,
"pertama beli dsini, Alhamdulillah dpet size yg pas, model bagus, struktur kokoh jg
semoga sendal dan pengguna nya panjang umur dan sehat selalu",bintang 5,
"keren lah pokoknya, respon penjual cepat, pengiriman juga cepat
mantap pokoknya 👍👍",bintang 5,
"paket sudah sampai dengan selamat tak kurang satu apapun, sandalnya pas di kaki enak di gunakan semoga awet dan tahan lama, terimakasih untuk pelayanan yg sangat memuaska...",bintang 5,
Jangan Pesan Kalau Ga mau Kamu jadi pusat perhatian karena ini sendal outdoor bener2 ajib. untuk harga ga ngebuat kantong nyesel. silahkanbeli dan rasakan sendiri,bintang 5,
"Produk bagus kualitasnya, modelnya keren, packingan ditingkatkan lg, Trims Eiger & Tokopedia.🙏😊👍👌",bintang 5,
produk bagus kualitas ok insyaallah paten,bintang 5,11 bulan lalu
mantap bosqu.. tak pernah kecewa saya sama sendal ini.. andalan disegala medan.. ujan pun gak licin.. moga awet dan tahan lama,bintang 5,
"kereen modelnya, pas ukurannya.. pengiriman cepat.. mantap",bintang 5,
"Produknya bagus, tebal, pas ukurannya, modelnya keren, dikirim sesuai dgn yg diorder, dipacking yg aman, semoga awet. Trims Eiger & Tokopedia.🙏👌👍🤩😍",bintang 5,
"sandalnya keren 😍
sayangnya aqunya yg kurang pas perhitungan ukuran 😭",bintang 5,
model warna smua okmoga awet.ori lg dpr harga pas....harga murah tp berkualitas,bintang 5,5 bulan lalu
"Bagus, pas & nyaman dikaki, model keren. 🙏😊",bintang 5,
barang sudah sampai dan sesuai... baru pertama kali beli dan enak pakenya... semoga awet... terima kasih,bintang 5,
"barang sudah sampai, ukuran pas nyaman di paka, semoga awet",bintang 5,10 bulan lalu
Udah dari 2010 pake Eiger meskipun nggak naik gunung. Dari jaman teknologi endorphin grip yg gigit banget. Jadi udah percaya sama kualitas produknya.,bintang 5,
"mimin bilang hari minggu ga ngirim tapi ternyata dikirim ya ampuun makasih banget, sesuai pesanan, dan kualitas gausah ditanya lah yaa wkwkwkwk",bintang 5,"mimin bilang hari minggu ga ngirim tapi ternyata dikirim ya ampuun makasih banget, sesuai pesanan, dan kualitas gausah ditanya lah yaa wkwkwkwk"
Sesui ekspektasi... dapat harga akhir tahun diskon 40%. Total bayar 161.400,bintang 5,
"bahan dari dulu kalau eiger istimewa, modelnya simpel, komposisi warna menarik, sandal dengan sol nyaman, dapat di gunakan dalam berbagai aktifitas. 

salam sehat selalu.",bintang 5,
"mantap eiger, biasanya awet pake taunan (klo g ilang), lumayan hoki dpt harga flashsale, tambahan motif warna coklanya pas",bintang 5,
respon cepat sama seller'y... terima kasih tokped dan seller'y yg amanah...  🙏🙏,bintang 5,
"Kebagian diskon sampe 38%.🥳🤑
Bisa hemat banget. Pengiriman cepat, barang ori. Mantappppp",bintang 5,
