review,rating,date
"definition ada uang barang, empuk, banget terus awet, aku udah beli dintahun 2019 awet sampai sekarang.",bintang 5,
"Bahannya nyaman d kaki lentur dan pas, semoga awet dan tahan dipake jangka waktu lama.",bintang 5,12 bulan lalu
"Langsung dipake pas nyampe, semoga awet. Thanks seller",bintang 5,
mantap barang sesuai... packaging juga cepat,bintang 5,
"mantap
luar biasa
terimakasih hijack sudah memberikan product dengan build quality yang baik
first impression diluar nurul 

very happy to this",bintang 5,
Model sama warnanya si keren. Gatau buat kedepannya gimana soalnya baru pertama kali beli,bintang 5,
"Kece sekaliii 😍
Anakku juga naksir warna ini, pasti bakal diajak tukeran sama yg warna kremnya (lupa lah judul warnanya apa 😆). Dia beruntung sandal kami sama ukurannya...",bintang 5,5 bulan lalu
"Enak dipake jalan-jalan, dipakenya empuk dan nyaman",bintang 5,9 bulan lalu
"saran : mohon untuk pengikat/perekat yang warna hitam di bagian atas di panjangkan, karena terlalu pendek. alhasil untuk merekatkan kurang panjang. semoga kedepannya bisa...",bintang 4,
cakep bgt aslinya 😭😭 wishlist dari aku masih smk skrg udh kebeli akhirnya 😭,bintang 5,
"Kualitas barangnya bagus banget, sangat suka dengan modelnya, sama persis dengan gambar yang tertera, recommended seller. 🌟",bintang 5,
"Modelnya kwereen, warnanya juga bagus, nyaman juga dipake nya, mudah2an awet ya.",bintang 5,2 bulan lalu
"Kualitas top, sesuai harga lah, dipake nyaman, mantap",bintang 5,7 bulan lalu
"Beli untuk kado doi, baguss bgtt jd pengen beli lagi untuk sendiri, bahannya bagus, nyaman, tali belakang bisa diadjust ukurannya dan bisa dilepass, worth to buy 👌👌",bintang 5,
"empuk,  enak buat jalan kaki. warnanya oke",bintang 5,1 hari lalu
"Saat di official web sudah habis ternyata malah tersedia di Tokopedia. Ukuran, kualitas, juga baik secara QC.",bintang 5,8 bulan lalu
"Sesuai dengan ekspetasi, bahan bagus, kokoh",bintang 5,
"pengiriman cepet, produk bagus, harga masi ramah kantong.",bintang 5,
koleksi k 3. kualitas masih bagus. semoga awet seperti 2 lainnya.,bintang 5,5 bulan lalu
"Modelnya kreren, pengiriman cepat, kualitas asli mantap",bintang 5,6 bulan lalu
Cakep. Ukurannya pas. Kualitas udah gak usah diragukan.,bintang 5,
"insole empuk, nyaman. outsolenya sangat ngegrip. saya BB 57kg, TB 168 cm biasa pakai ukuran 41 di sepatu, untuk di sendal ini masih aman ikut sesuai ukuran size spec.",bintang 5,7 bulan lalu
"lucu , unik , dan baru x ini dapet sepatu sandal bener2 nyaman . gampang di adjust . 
semoga awet",bintang 5,11 bulan lalu
"nyaman banget, semoga awet bisa dipake lama ✨",bintang 5,
"model sama warna nya keren banged, nyaman juga dipake, semoga awet2 yak",bintang 5,
"comfortable, great colorway, fit ukuran pas 👌🏼",bintang 5,3 minggu lalu
"nyaman di pakai., sesuai dengan kebutuhan.",bintang 5,10 bulan lalu
"Bagus, keren, nyaman dipakai, next order model lain",bintang 5,2 minggu lalu
Responsive seller 👍 .. 5⭐️ quality 👏🏽👏🏽👏🏽 .. all terrain sandals 🤓👌 .. keep up the good work ☕️,bintang 5,
"So worth it to buy , harus banget beli yaaaaaaa",bintang 5,
sebelumnya ud cek ukuran di tokonya tp berhuhung ga ada size aku jadi aku beli online. puas bngt!,bintang 5,3 minggu lalu
"Cuma 1 yg ga ku suka, sizenya kurang gede 1 angka🥲",bintang 5,
Sukaa sebagus itu emang dari kualitas ataupun produknyaa,bintang 5,7 bulan lalu
Pas dan Keren. Apalagi saya yang pakai. 🫡,bintang 5,7 bulan lalu
"ukuran pas, warnanya juga bagus",bintang 5,11 bulan lalu
hebat sekali sendalnya saat dipakai,bintang 5,
Cocok untuk menendang sendi sendi kehidupan,bintang 5,11 bulan lalu
buatan lokal kyalitas internasional ni...,bintang 5,
"BAGUS, udah sering beli di hijack tp biasanya beli offline!",bintang 5,
Akhirnya kesampaian beli sendal di Hijack 🫶,bintang 5,7 bulan lalu
Premium nya ga bisa bohong !!!!,bintang 5,7 bulan lalu
"alto pickle sesuai dengan pesanan, sama dengan gambar dan deskripsi. kualitasnya bagus, model dan ukuran juga sesuai. bahan dan material terlihat kuat, warnya bagus, nyam...",bintang 5,10 bulan lalu
"kaki saya panjangnya 25,3 bagus ambil nomor 40 itu pas banget. Tapi kl mau yang longgaran/gedean ambil 41. barangnya bagus, bisa diadjust biar makin nyaman. real pict.",bintang 5,
"kualitas mantap, tidak diragukan.. dapat kartu garansi satu tahun",bintang 5,11 bulan lalu
"Sandalnya empuk, enak dipakainya",bintang 5,11 bulan lalu
"Tidak diragukan lagi kualitasnya, kualitas sangat sepadan dengan harganya👌👌👌👌",bintang 5,1 hari lalu
"Pemebelian ke-2 ini buat istri, lumayan promo dan diskonannya, saran untuk beli size kecil turunin 1 size biar fit dikaki",bintang 5,5 bulan lalu
"Nggak nyangka secepat itu pengirimannya, padahal pakai opsi reguler. Sandalnya juga melebihi ekspektasi. Literally the same as the picture. Very cool!",bintang 5,
"barang kualitas premium, terpercaya. keren dan fashionable",bintang 5,11 bulan lalu
"warna aslinya tidak sebiru di foto sih, hampir kayak agak2 tosca",bintang 5,12 bulan lalu
"design sendalnya keren, warna dan nyaman buanget di kaki , packing juga rapih dan aksesories kaya stickernya juga bagus, mantappppp sukses terus hijackkkk",bintang 5,1 bulan lalu
Bahan bagus dan pas ukurannya,bintang 5,8 bulan lalu
"untuk barang oke banget, sesuai sama expetasi...cuma pengiriman ya dari sicepat agak lama....huhuhuhu",bintang 5,
"sukaaa banget, keduakalinya beli ni sendal, sendal pertama stlh pemakaian kurang lebih 5 tahun wkwkw",bintang 5,4 bulan lalu
"mantap barang nya sesuai 👍
smoga bisa awet dalan jangka panjang 😅",bintang 5,10 bulan lalu
"Keren banget, dan sangat wort it laah 👍",bintang 5,1 hari lalu
brand lokal mantap nih cek aja review2 yutubnya,bintang 5,11 bulan lalu
"the best emang Hijack sandal, awet dan nyamann",bintang 5,10 bulan lalu
"model bagus, kualitasnya juga bagus",bintang 5,10 bulan lalu
,bintang 5,1 minggu lalu
"Kerennn, cuma ga dapet tootbag nya😭",bintang 5,
"cakepp, pas banget dikaki",bintang 5,11 bulan lalu
nyaman pas. terimakasih banyak hijack !!!!,bintang 5,1 bulan lalu
Sendalnya baguss,bintang 5,11 bulan lalu
Ah lucu banget warnanya sukak,bintang 5,10 bulan lalu
Lama sekali kirimnya lain kali jangan pake iD Express berminggu minggu dikirimnya,bintang 1,Lama sekali kirimnya lain kali jangan pake iD Express berminggu minggu dikirimnya
mantap pengiriman cepat sendalnya keren,bintang 5,1 bulan lalu
nyaman dipake nya,bintang 5,9 bulan lalu
"baguss, suka deh!",bintang 5,2 bulan lalu
"kualitas premium 
😁👍",bintang 5,8 bulan lalu
,bintang 5,
Barang OK banget,bintang 5,5 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,1 minggu lalu
,bintang 5,2 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,8 bulan lalu
,bintang 5,
,bintang 5,
Bagus barangnya,bintang 5,10 bulan lalu
mantuullll,bintang 5,7 bulan lalu
keren bgttt,bintang 5,
bagus👍,bintang 5,11 bulan lalu
Bagus,bintang 5,
bagus,bintang 5,
Mantaap sandalnya keren bagus,bintang 5,11 bulan lalu
Legit!,bintang 5,11 bulan lalu
keren bangett,bintang 5,
Mantab,bintang 5,
keren abizzzzz....worth it,bintang 5,2 bulan lalu
,bintang 4,3 minggu lalu
,bintang 5,3 minggu lalu
,bintang 5,3 minggu lalu
mantapp,bintang 5,
keren bgtt!,bintang 5,10 bulan lalu
Baguus,bintang 5,10 bulan lalu
👍,bintang 5,2 hari lalu
.,bintang 5,2 minggu lalu
