review,rating,date
"Bentuk dan ukuran: 42
bagus desain nya rapih, ukuran nya pas jadi enak di pakai best👌",bintang 5,2 bulan lalu
"Cakep banget sepatu nya, gak mengecewakan dengan harga murah tapi terlihat tidak murahan. Semoga sepatu nya bisa awet. Cocok buat acara formal, kerja atau nongkrong nih....",bintang 5,6 bulan lalu
"Bahannya bagus kuat nggak norak sama sekali kahitan rapi tali sepatu nya mewah  warnanya elegan , rekomendasi bgt barangnya gk kapok sama sekali. Cuman saran saja kalau m...",bintang 5,1 bulan lalu
Paket sesuai dan sangat cepat pengiriman barang yang dilakukan,bintang 5,1 minggu lalu
"sudah biasa beli sepatu kerja disini, biasanya beli carlos terus. kali ini mau coba model lain.. untuk model suka banget sebenernya tapi sayang talinya ada yg brudul...",bintang 3,2 bulan lalu
Bagus sesuai dan pas ukurannya,bintang 5,3 minggu lalu
"Bentuk dan ukuran: Bagus ukuran pas
Daya tahan pakai: Kuat
Warna: Bagus",bintang 5,7 bulan lalu
"Sepatu mya bagus, pas di kaki tidak nge press di kaki tebel bahan nya dan lumayan buat ngelamar kerja, kondangan, ataupun wisuda cocok nii sepatuu",bintang 4,4 bulan lalu
"Sepatunya bagus walaupun agak pegel makenya, so far so good sih saran jangan dipake buat sehari² tapi sesuai lah dengan harganya",bintang 5,1 bulan lalu
"Barangnya sudah tiba dan sesuai cuman ada sisa benang jahitan, permasalahan ini sama terjadi pada pembeli sebelumnya yang harusnya menjadi bahan koreksian penjual untuk d...",bintang 4,7 bulan lalu
"Barang sudah di terima tapi sayang ada sedikit rusak dalam pengiriman. Ntah karena oengiriman atau QC nya. 
Semoga bisa diperbaiki kualitasnya",bintang 5,7 bulan lalu
"Untuk barangnya bagus, rapih jaitan kagak nyesel, cuman di packing kurang safety, tapi barang aman sukses selalu",bintang 5,4 bulan lalu
Lumayan bahannya empuk dan nyaman di kaki,bintang 5,2 bulan lalu
"Sesuai dengan pesanan, barang bagus meskipun tergolong murah..
Mungkin packing bisa lebih baik lagi 🙏🏻
Shape and size: 43",bintang 5,3 bulan lalu
Udh sampe dan bagus bgt real pict,bintang 5,6 bulan lalu
"untuk sepatu nya oke lah,
Bentuk dan ukuran: cocok",bintang 5,2 bulan lalu
"Mantap, kata seller naikin 1 nomor dan pas
Nice seller worth it to buy",bintang 5,7 bulan lalu
"Barang sampai tujuan dengan aman dan tidak ada kerusakan, pengiriman ceoat, kurir ramah, barang sesuai dan bagus polll",bintang 5,1 bulan lalu
Sesuai ekspektasi sepatunya kelihatan mewahh dan fashionable banget ☺️👋👋,bintang 5,4 bulan lalu
"Baru sempet buat dipakai dan baru sadar kalau sepatu sebelah kiri agak mereng di bagian lubang talinyaa, yang kanan si amann, kayaknya pengecekan produknya kurang ketat d...",bintang 2,5 bulan lalu
"kualitas bagus, sesuai dengan harganya, Looks 8,5/10, jahitan rapih (ada sedikit yang benangnya keluar). overall 8/10",bintang 4,2 minggu lalu
"Penyok tekukannya berbekas, bahannya kurang bagus untuk harganya, potongan sama jahitannya juga ga rapi, tapi yaudahlah namanya juga sepatu 150rb, tau gini nambah 50 lagi...",bintang 2,1 minggu lalu
Lubang tali sepatunya tinggi sebelah tapi masih oke sihh,bintang 4,7 bulan lalu
"Awalnya saya beli ini, bagus pas datangg cuman syng size nya pas nomor 41, terus di retur la barng itu ke 43 dan akhirnya barang ny sampai dann ini sepatu memng bgs, jahi...",bintang 5,4 hari lalu
Ukurannya pas sesuai pesanan dan bahannya bagus👍,bintang 5,7 bulan lalu
"sepatu oke, untuk harga segitu ini bagus, untuk di perbaiki dalam packing plastik packing koyak, kardus penyok, tapi barang tidak terpengaruh masih oke.",bintang 4,7 bulan lalu
woww aku suka bagus sesuai yg difoto ukuran pass laahh,bintang 5,3 bulan lalu
"Barang sesuai, bagus, pengiriman cepat, dapat bonus kaos kaki 1 pasang",bintang 5,5 bulan lalu
"Bentuk dan ukuran: pas
Warna: doff
Daya tahan pakai: bagus",bintang 5,1 bulan lalu
"alhamdulillah sampe dengan aman dan rapih, semoga muat di cowoku dan semoga suka 🥰",bintang 5,2 bulan lalu
"bagus barangnya sudah mendarat sampe rumah, kualitas oke jahitan juga rapi nice pertahankan kualitas seperti ini👍",bintang 5,4 bulan lalu
"Realpict, bahan tidak kaku, size 41 sesuai, untuk harga segini worth it to buy!",bintang 4,7 bulan lalu
"keren sepatunya
Warna: hitam sesuai sm foto
Bentuk dan ukuran: pas",bintang 5,1 minggu lalu
"desain luar bagus, nyaman dipakai, stylish",bintang 5,1 minggu lalu
"Barang sudah sampai dengan selamat,dan sesuai pict. Tapi sayang nya gak ada free kaos kaki padahal saya sudah note di pesanan free kaos kaki",bintang 5,5 bulan lalu
"Bentuk dan ukuran: Pas, sesuai dengan yang dipesan, sepatu keren banget nih",bintang 5,5 bulan lalu
"Mantaplah produk nya, cocok digunakan untuk aktifitas kerja",bintang 4,7 bulan lalu
"bagus, kuat kokoh, semoga awet",bintang 5,2 minggu lalu
bagus cuma yang satunya penyok,bintang 3,2 bulan lalu
"Jahitannya msih kurang rapih, trus warna batiknya agak gelap dri yg di foto aslinya",bintang 3,3 bulan lalu
Bagus sesuai dg fto 🥰,bintang 5,7 bulan lalu
lumayan bagus bagus asal jangan di pake buat futsal aja nanti jebol guys wkwkwk,bintang 5,2 minggu lalu
"Bagus, bakalan langganan ini",bintang 5,7 bulan lalu
mantapp barangnya dan juga bonusnya minn. lanjutkan.....,bintang 5,1 bulan lalu
"Suka banget pas, real pict tinggal mix & match wkwk",bintang 5,3 bulan lalu
"jahitan ga rapi, tapi okelah buat harga segitu",bintang 3,6 bulan lalu
pesanan sampai dalam keadaan aman dan sesuai,bintang 5,3 minggu lalu
"Bagus, bahan sesuai dengan harga",bintang 4,7 bulan lalu
