review,rating,date
"Ukuran sesuai, bahan mantap. pengiriman cepat, packing aman dan rapi, top seller dan rekomended banget.",bintang 5,12 bulan lalu
"Lucuu, ternyata bahannya tipis yahh. Sampainya cepet banget, dan packagingnya lucuu. Semoga awet. Makasih yahh",bintang 5,
"suka banget dengan sepatunya, cantik dan pas di kaki 😍🥰",bintang 5,
"Sepatunya enak banget, empukk dan gak bikin kaki lecet, worth it banget dengan harganyaa! Even better menurutku dari loafers salah satu brand terkemuka haha",bintang 5,
"Pengiriman cepet. Sepatunya cakep, walo agak tipis ya.. Udah pake seharian keliling mall n kakiku gak lecet 👍🏻",bintang 5,"Pengiriman cepet. Sepatunya cakep, walo agak tipis ya.. Udah pake seharian keliling mall n kakiku gak lecet 👍🏻"
"Worth to buy, packagingnya juga lucu berasa dapet kado",bintang 5,
"aku udah punya 3 items berbeda dari Nicholas Edison karena selalu pas ukuran dan baguss, nyaman!💖 pengiriman juga cepet banget.",bintang 5,
"Bagus. Sesuai ekspektasi, bahannya juga lembut. Suka bangetttt 🫶🏻",bintang 5,
buaguss bahan nya .. empuk dan pas di kaki .,bintang 5,
sekian kali order sepatu sandal bagus dan nyaman dipakai. 👍,bintang 5,8 bulan lalu
"Bagus sepatunya, nyaman juga dipakai",bintang 5,
"packing rapi, sepatu nyaman dipakai",bintang 5,
proses pesanan cepat. barang istimewa,bintang 5,
Pembelian ke-4 kali dr Nicholas Edison. Kualitas selalu bagus. Seller ramah & responsif. Size kebesaran bisa ditukar & prosesnya cepat. Sukses selalu.,bintang 5,
"Panjang kaki saya 24,5cm. Saya beli yang ukuran 39. Tapi pas saya coba, sepatunya terlalu longgar di kaki saya. Mungkin karena karakter kaki saya tipis ya.. Kalau yang ka...",bintang 4,
packaging nya cakep deh ada kertas kadonya wkwkw. sepatunya oke nggak bikin lecet meskipun nggak pakai kaos kaki +5 jam,bintang 5,
"pengiriman cepat, produk sesuai deskripsi, sepatunya nyaman. ukuran sesuai",bintang 5,
Sepatunya keren banget bagus simpel tapi elegan empuk juga dipake nya 👍🏻👍🏻,bintang 5,
Responsif dan barang bagus,bintang 5,
Suka pas bagus mantap ga nyesel,bintang 5,
ukuran pas kulitnya juga lembut 👍,bintang 5,
"barangnya sesuai, sukaa",bintang 5,
,bintang 5,
ok sepatunya,bintang 5,
oke makasih...,bintang 5,8 bulan lalu
,bintang 5,
Ini sebenarnya random ketemu di tokped. Gak rencana beli tapi admin nya sih luar biasa helpful banget! mulai dari awal tanya2 utk pilih size aja sangat membantu. Dan akhi...,bintang 5,
Sepatunya nyaman,bintang 5,
"Baguss. Aku kalau udah suka sama satu sepatu biasanya pake itu terus, berhubung butuh buat ganti2 jadi beli lg deh tapi pilih ukuran lebih kecil... ini ke 2x beli sepatun...",bintang 5,
"bagus sepatu nya, nyaman , pas bgt

packaging nya bagus bgt",bintang 5,
cantiknya sepatunya! sesuai banget sama yg dibayangkan. dipake juga kayanya enak. suka! makasih ya! ❤,bintang 5,
sehari sampeee..  👍👍👍.. dibungkus rapi kyk kado. packing ok banget.. daaan spatunya real pict. pas bngett n empuk.. oke nya berkali kali deeh. .. tapiii sy sarankan tu...,bintang 5,
Really comfy and regal looking.,bintang 5,
selalu suka produknya nicholas edison 🥰🥰,bintang 5,
"sudah punya yg warna cream dan suka banget, jadi pas ada promo tokped langsung pengen beli yg warna hitam sama tan, dan beneran sebagus itu dan nyaman di kaki, lembut ban...",bintang 5,
sepatunya enak dan nyaman dipakai meski untuk jalan jauh. terlihat elegan juga,bintang 5,
Ok mantap,bintang 5,
