review,rating,date
"Bener bener ringan banget, udah cuma kaya pakai kaos kaki doang solnya lumayan tinggi",bintang 5,2 bulan lalu
"admin ramah fast respon, pengiriman cepat, packing aman, dan barang sesuai pesanan, sangat recomended",bintang 5,3 bulan lalu
"PENJUAL YANG RESPONSIF BANGET, AMANAH POLLL
PENGIRIMAN SUPER CEPAT
KUALITAS BARANG JEMPOLAN BAIK BUAT OLAH RAGA MAUPUN SANTAI
TERIMA KASIH BANYAK",bintang 5,2 bulan lalu
"Finishing kurang bagus, lemnya meluber ke bagian canvas depan.
seperti lem yang meluber, terus dilap kain. sehingga warnanya seperti luntur. saat di indoor tidak terlihat...",bintang 3,5 bulan lalu
"Bentuk dan ukuran: Sesuai pesanan,nyaman di pakai.",bintang 5,1 hari lalu
"Bagus bangeeet enak, ada rupa ada harga, sangat worth it, rekomend, beli ini info dari dokter Tirta",bintang 5,1 minggu lalu
"Warnanya bagus, sol enak dan tinggi, empuk dipakainya",bintang 5,5 bulan lalu
"Modelnya kerennnn, terus pas banget lgi di kaki. Semoga aja awet dan nyaman di kaki. Kalo nyaman dan awet, tentu saja akan beli sepatu di sini lagi. Terima kasih seller.",bintang 5,5 bulan lalu
Keren bangett sepatunya. Gak usah di up size. Ambil size seperti biasanya aja. Kalau biasa pakai size 40 nahh ambil size 40 aja. Kerennn bngtttt ortuseinght. Bintang 10 d...,bintang 5,1 bulan lalu
"barang ori, cuman pada saat order harus dm miminnya agar diproses kalo tidak akan batal otomatis dan harus order lagi",bintang 5,5 bulan lalu
Nyaman banget buat yg mau lari tipis2 mah,bintang 5,2 minggu lalu
Baguss enteng banget dan sangat pas di kaki,bintang 5,2 minggu lalu
"Bagus, ukuran juga pas enak di pakai. Empuk, enteng. Cocok untuk org obesitas sprt aq.",bintang 5,1 bulan lalu
"Sepatu lokal terbaek, semoga badak walau dipakai jangka panjang, sukses trus utk brand lokal andalan satu ini kedepannya ya, God bless u guys",bintang 5,5 bulan lalu
"Sepatunya ringan, sdh kucoba buat jalan sebentar nyaman. Semoga tetap nyaman dipakai jalan jauh...",bintang 5,1 bulan lalu
"Cepet sampeknya, ukuran sesuaiiii nyaman banget dipakek jalan jauh",bintang 5,5 bulan lalu
Sesuai review enak buat jalan jauh dengan bobot badan yg berat,bintang 5,2 minggu lalu
Barang bagus ini cocok buat sy yg over agak lama sampe nya butbits ok,bintang 5,5 bulan lalu
Sepatunya ringan banget ga berat pokoknya bagus banget👍👍👍👍👍,bintang 5,2 bulan lalu
"Sepatunya enteng banget, tapi kesalahan saya salah ukuran 😅😅...gpp dah ganjel kaos kaki tebel",bintang 5,1 minggu lalu
"Shape and size: Pas
Color: Bagus",bintang 5,5 bulan lalu
"bagus, empuk, enak dipakai",bintang 5,1 bulan lalu
Bentuk dan ukuran: Sesuai,bintang 5,4 bulan lalu
Okee mantap,bintang 5,1 bulan lalu
joss cuman pengirumannya lama,bintang 5,
MANTAP,bintang 5,2 bulan lalu
Keren... Sesuai yang diinginkan,bintang 5,5 bulan lalu
"Puassss... 
Next order untuk suami",bintang 5,1 bulan lalu
Bagus,bintang 5,
Bagus,bintang 5,4 minggu lalu
Y,bintang 5,2 bulan lalu
Good,bintang 5,1 minggu lalu
Good,bintang 5,1 bulan lalu
Good,bintang 5,2 bulan lalu
Mntp,bintang 5,4 bulan lalu
Keren dah pokoknya,bintang 5,1 bulan lalu
