review,rating,date
"Jujur sangat puas dengan Ortuseight Hyperblast ukuran 42 ini, ukurannya presisi dan tekstur bahannya terasa premium, memberikan sensasi lincah dan stabil di setiap langka...",bintang 5,2 minggu lalu
"sebelum di unboxing masih keadaan bagus,tapi pas setelah di buka sepatu ada noda debu seperti setelah di pakai/di pajang,untuk outsol depan ada yang tidak nempel dengan s...",bintang 4,
"Sampai juga akhirnya di rumah. 
Pas di kaki, nyaman. 
Modelnya cocok. 
Langsung tempur besok pagi. 
Gak malu-maluin dipakai di Australia. 
Pengiriman aman terbukti box-ny...",bintang 5,4 bulan lalu
"Sangat nyaman di pakai untuk kegiatan setiap hari, tidak membuat kaki vepat lelah walaupun seharian banyak aktivitas.",bintang 5,8 bulan lalu
"keren.... ukuran cocok, enak sekali dipakai, pengiriman tdk ada masalah",bintang 5,4 bulan lalu
"nyaman sekali dipakai untuk running, siluetnya juga gokil abis, cocok buat running sekaligus kegiatan sehari2",bintang 5,11 bulan lalu
"Overall bagus, panjang kaki 25.5cm enak banget pakai size 40 (pas), hanya ada kurang sedikit dipengeleman sol ujung kaki depan kurang rapi seperti kurang lemnya jadi ada...",bintang 4,2 bulan lalu
"sesuai ekpektasi.. tp sayang boxnya rusak krn pengiriman, klo bisa kasih opsi box tambahan.... atau kasih apa kek, biar tetep bagus boxnya",bintang 5,9 bulan lalu
Bahannya nyaman banget. Sangat worth the price. Semoga awet.,bintang 5,
"untuk finishing masih belepotan banget perlu diperbaiki lagi, dari jahitan, lem, insole sepertinya ga sesuai size soalnya udah dibenerin malah melengkung lagi",bintang 3,11 bulan lalu
ukuran 40 kekecilan untuk ukuran EU40 biasanya euy,bintang 4,11 bulan lalu
"Bagus sepatunya , nyaman dipake , ukuran juga pas",bintang 5,10 bulan lalu
Sepatunya nyaman Mantap modelnya 👟 Desainnya keren 👍 Ukuran sesuai Bahannya berkualitas Packaging rapi  Proses pesanan cepat Packaging aman 🙏,bintang 5,
"Kualitas bagus, cukup nyaman & empuk buat lari. Pengelemannya tolong lebih rapi lagi biar bisa lebih bersaing sama merk luar.",bintang 5,
"Barang bagus, sol nya tebal jadi bikin tinggi. Bakal dipake buat traveling utk review. Semoga awet ya.",bintang 5,3 bulan lalu
"Ukuran pas, enak di pakai buat kerja, jalan cepat dan joging, empuk dan ringan",bintang 5,1 minggu lalu
Ternyata bahan atasnya kombinasi mesh & (faux?) suede ya.. semoga gak gampang kotor. Sepatu empuk & sepertinya true to size.,bintang 5,3 bulan lalu
"Enak banget dipake, solnya empuk dan tebal tp tetap ringan",bintang 5,
