review,rating,date
Packing rapi. Karetnya halus jadi nyaman dipakai. Ukuran pas di kaki. Materialnya ringan. Dipakai dalam keadaan basah tidak licin.,bintang 5,
"Barangnya keren, karet tebel dan empuk nyaman dipakai seperti swallow biasanya, untung masih ada ukurannya👍😁",bintang 5,
"kualitas sesuai harga, mantapp",bintang 5,
"Ok pas seperti di foto, semoga awet, pengiriman juga cepat",bintang 5,8 bulan lalu
"oke barang sudah sampai dengan mulus, yg d tunggu sudah sampai, swallow nih boss gak kalah sama merek lain 😁
terima kasih seller ny gercep 😁👍",bintang 5,
"motif sandalnya keren, bahannya tebal tapi ringan dipakai jalan, harga ok, packing aman, pengiriman cepat, recommended seller",bintang 5,
modelnya keren dan nyaman dipakai. bahan juga nyaman. memang sejak dulu swallow terpercaya. tks,bintang 5,9 bulan lalu
"model bagus, nyaman, bahan oke, ukuran sesuai",bintang 5,
"barang sesuai pesanan, kualitas bagus, kualitas nya swallow, pelayanan toko juga bagus, pengiriman dr toko jg tepat waktu, terima kasih",bintang 5,
"Sandal pada foto ulasan ini pas, nyaman
2 model lagi walaupun ukuran sama tapi tidak sama besar, entah ada kesalahan produksi atau apa, drpd diretur ribet.",bintang 5,8 bulan lalu
Nyaman dipakai. Ringan dipakai. Modelnya keren 😎. Ukuran pas di kaki. pengiriman cepat. mantap dan makasih,bintang 5,
"nyaman dipake, tebal, tdk licin... mantap.. size pas..",bintang 5,
"bagus sandalnya, mana dapat diskon hampir 100% lagi

sering² diskon gede ya swallow & tokopedia",bintang 5,
"bagus sekali, beda dengan swallow yg di beli di warung... jangan tertipu dengan yang di beli di warung, itu gak ORI, yg ini ORI",bintang 5,
"Respond 👍 Delivery 👍 Packing👌
Bahan 👍 Model👌 Ukuran👌
Semoga awet",bintang 5,11 bulan lalu
Pengiriman cepat dan barang sampai dengan kondisi baik. Sendalnya keren dan ukurannya sesuai harapan. Thanks,bintang 5,
Sudah tiba dengan aman selamat. Coraknya lucu dan kekinian. Swallow pasti nyaman dan kuat,bintang 5,
Sudha kenal dan pakai Swallow sandals sejak dari masa kecil… ;),bintang 5,5 bulan lalu
barang sesuai dengan deskripsi dan gambar.. pengiriman cepat recomended seller,bintang 5,
Sandal swallow original dgn harga aslinya..... Mantap. Langsung buat ganti....,bintang 5,
"respon penjual cepat langsung di proses, puas beli di sini",bintang 5,
"Model nya keren,pas di kaki,nyaman di pakai,terima kasih SWALLOW",bintang 5,
"Pembelian yang ketiga kalinya, karena yang sebelumnya udah putus... Keseringan kena jemur matahari dan kena ujan. Dan kali ini ambil ukuran 42 biar lempang.",bintang 5,"Pembelian yang ketiga kalinya, karena yang sebelumnya udah putus... Keseringan kena jemur matahari dan kena ujan. Dan kali ini ambil ukuran 42 biar lempang."
"mantap, keren, cepet bgt
sukses selalu ka",bintang 5,7 bulan lalu
"packaging aman, barang tiba hari berikutnya dengan selamat, cukup di kaki saya yg kaki gajah",bintang 5,"packaging aman, barang tiba hari berikutnya dengan selamat, cukup di kaki saya yg kaki gajah"
"Pembelian kedua kalinya karena yang sebelumnya dicuri orang, sial... (saya lengah kala itu)",bintang 5,
Nice pair of flops here. And fitting for my foot size. EU 46 for my EU 47 feet. 10/10 will buy again :),bintang 5,
"mantap enak dipake,nyaman dipake",bintang 5,9 bulan lalu
Setelah sekian tahun akhirnya beli lagi disini. Memang nyaman dipakainya.,bintang 5,
"Keren bingitz, emg swallow tiada duanya, empuk dan ringan cakep designnya",bintang 5,
Ukuran pas di kaki Modelnya keren 😎,bintang 5,
"kanan sama kirinya dimensi ruangnya bisa beda ya ?, yg kiri nyaman yg kanan untuk jempolnya kaya ngejepit",bintang 2,
"sandal sesuai dengan pesanan, meski pengiriman agak telat",bintang 5,
yang sebelah kiri agak sempit sendalnya,bintang 3,
"bagus sandalnya, nyaman dipakai",bintang 5,
sandalnya pas dan nyaman dipakai..,bintang 5,
"modelnya keren jarang ada, keluarin model yg lain lagi donk biar bnyk pilihan",bintang 5,
"Ukuran pas, respon lumayan cepat",bintang 5,
"Bagus, aman dan nyaman 😂👍",bintang 5,
Yeayyyy nemu swallow sesuai kakiku 46 horeeee bisa couple an sma ayang 🥰🥰🥰🥰🥰🥰🥰🥰🥰,bintang 5,
Lucu modelnya dan ekonomis harganya,bintang 5,
ada wangi dikit sandalnya. motifnya sukak. mantabs,bintang 5,
"Bagus dan enak di pakai, semoga awet",bintang 5,
"tali sandal kanan agak kecil, jadi pangkal jari sedikit lecet kalau dipakai lama, beli sekalian yang kuning tidak ada masalah",bintang 4,4 bulan lalu
"enak dipakai, produk original dan berkualitas",bintang 5,
"hai kak, terima kasih buat proses pengiriman nya. maaf baru review",bintang 5,5 bulan lalu
"Sandalnya pas abis, nyaman, strapnya gak bikin sakit tp kencang, dan desainnya clear banget gak ada cacat. Recommended sandal dan beruntungnya bisa dapat dgn harga yg lag...",bintang 5,
"kualitas barang bagus bgt.. cmn ukuran swallow termasuk kecil ya.. saya pakai sepatu ukuran 41, pakai no 42 sempit... mungin perlu no 44 biar enak",bintang 5,
"Bagus, hanya saja printingnya kurang tebal, kalau bisa lebih tebal pasti kelihatan lebih preminum",bintang 5,
"sendal nya enak dipake, nyaman.. pas di ukuran",bintang 5,
Nyaman dipakai. Ukuran pas di kaki. Ringan dipakai.,bintang 5,
Nyaman dipakai. Ringan dipakai. Modelnya keren 😎. Ukuran pas di kaki.,bintang 5,
"Paking aman dan rapi. Produk sesuai deskripsi, kondisi sangat baik.",bintang 5,
"barang nya bagus, cuma pengiriman nya yg gak banget. lama, sesama medan pun seminggu, itu pun dijemput di kantornya. jadi berpikir 2x mesan di tokped kalo lewat pengirima...",bintang 5,
"ud pengen pke yg ini , kren pdhl artnya. syg pas di pke sempit di tali .  pas pke terlalu pas pdhl ukuran 44 sama kyk putih blinya. tp kerasa beda pas pke . Lebih sempit...",bintang 5,
"Puas. Admin fast respon, pengiriman cepat, produk sesuai dgn yg diperlihatkan di catalog 😍",bintang 5,
Barang sesuai deskripsi. Packing aman dan rapi. Pengiriman cepat,bintang 5,7 bulan lalu
"ukuran 38 nya ga beda jauh utk ukuran 37 

saran: ambil 1 ukuran diatas biasanya",bintang 5,
Produk sesuai dgn deskripsi. Pengiriman cepat dan rapih,bintang 5,
Produk sesuai dengan deskripsi iklan dan paket dibungkus dengan rapih.,bintang 5,
Produk sesuai dgn deskripsi. Pengiriman cepat & rapih,bintang 5,
"swallow emg sendal jepit terbaik, enak banget dipakai dan lebih bagus dari gbr nya",bintang 5,
"mantab gan...
sesuai dengan pesanan, dan memang kualitasnya bagus...",bintang 5,
"Cepat sampai, best seller barang bagus 👍🏼👍🏼👍🏼",bintang 5,
Barang sesuai deskripsi. Pengiriman cepat. Seller rekomended!!! Good job!!! ⭐️⭐️⭐️⭐️⭐️,bintang 5,
"barang bagus sekali, puas saya beli disini.recommend",bintang 5,10 bulan lalu
mantab auto borong harga segini :),bintang 5,
"Modelnya keren, sudah pembelian ke-3.",bintang 5,
"cepat, tepat dan berkualitas",bintang 5,8 bulan lalu
"modelnya keren, hitamnya pas dengan corak motif putih",bintang 5,8 bulan lalu
"model keren, pas di kaki, nyaman dipakai",bintang 5,
Bagus dan original. Nyaman banget.,bintang 5,10 bulan lalu
udah lama gak beli swallow ..beli yang model.sekarang kayaknya gak senyaman yang dulu,bintang 5,
"mantappp...
pengiriman cepat..
produk berkualitassss",bintang 5,
apotek tutup 💥👍🏿,bintang 5,
barangnya bagus dan sangat cocok,bintang 5,
"Ini juga bagus, gambarnya unik.",bintang 5,2 bulan lalu
respon toko cepat👍,bintang 5,
kualitas ok. ukuran pas. rekomen,bintang 5,
"real pict , kualitas memuaskan",bintang 5,
Nyaman dipakai. Modelnya keren 😎.,bintang 5,
Nyaman dipakai. Modelnya keren 😎.,bintang 5,
Barangnya sudah sampai dengan selamat. Modelnya keren..,bintang 5,10 bulan lalu
Produk sesuai dengan yang ditawarkan,bintang 5,
"Produk bagus, dikirim dengan cepat 👍",bintang 5,3 bulan lalu
barang oke. tapi pengiriman lama,bintang 4,
"Pengguna Swal.low profile, mantap",bintang 5,
"bagus
nyaman dipakai",bintang 5,
"barang oke, ukuran pas",bintang 5,
"nyaman,ukuran sesuai tabel",bintang 5,
cakep bener,bintang 5,
"model sama bahan nya , joss",bintang 5,8 bulan lalu
Good thanks seller,bintang 5,
bagus,bintang 5,
Kualitas nya bagus,bintang 5,
Pas di kaki,bintang 5,9 bulan lalu
bagus. semoga awet,bintang 5,
mantap,bintang 5,
"mantap,, sesuai pesanan",bintang 4,
mantep bang barang sampai,bintang 5,
sesuai deskripsi,bintang 5,
