review,rating,date
THE BEST AND RECOMMEND GUYS. SUCCESS AND HAPPY DAY. GBU. THANKS.,bintang 5,2 bulan lalu
"Alhamdulillah paketan dh DTG bagus bgt sepatu nya..tp syank yg dikirim sblah kanan no nya 37 yg kiri no 38 alhasil GK jd dipke besok utk kerja.
Daya tahan pakai: Awet dn...",bintang 5,4 bulan lalu
"Sesuai pesanan,biasa pakai no 39,pesan no 40 karena takut kekecilan..ternyata kegedean..gpp min sepatu nya bagus",bintang 5,3 minggu lalu
ukuran pas...bisa juga buat naik motor di musim hujan.bahan bagus.pengiriman cepat.terimakasih.,bintang 5,1 bulan lalu
Modelnya cantik nyaman dipake dan gk licin,bintang 5,3 bulan lalu
"Gayanya menarik, ukurannya pas, nyaman di pakai",bintang 5,5 bulan lalu
paket diterima dalam kondisi baik. sepatu bagus dan nyaman,bintang 5,1 bulan lalu
Realfick banget bagus tdk kecewa jg pengiriman cepat,bintang 5,2 bulan lalu
Bagus sih tapi kekecilan terlalu pres dikaki saya,bintang 5,6 bulan lalu
"sudah sampai,packingnya safety. size 36 ternyata kebesaran disaya 😅",bintang 4,4 bulan lalu
"Alhamdulillah Keren,sangat puas,tdk nyesal belanja disini,sesuai pesannn",bintang 5,6 bulan lalu
Keren bangt pokoknya mantul suka banget sama sepatunya buat saya pekerja di bagian per airan tidak bikin kaki basah seharian,bintang 5,6 bulan lalu
"Pas dikaki, bagus sy suka
Daya tahan pakai: Bahannya bagus",bintang 5,5 bulan lalu
Kirim sesuai pesanan,bintang 5,2 bulan lalu
Kirim sesuai pesanan,bintang 5,2 bulan lalu
Kirim sesuai pesanan,bintang 5,2 bulan lalu
Kirim sesuai pesanan,bintang 5,2 bulan lalu
Kirim sesuai pesanan,bintang 5,5 bulan lalu
Kirim sesuai pesanan,bintang 5,5 bulan lalu
Kirim sesuai pesanan,bintang 5,5 bulan lalu
Kirim sesuai pesanan,bintang 5,5 bulan lalu
Kirim sesuai  pesanan,bintang 5,5 bulan lalu
Kirim sesuai  pesanan,bintang 5,5 bulan lalu
Kirim sesuai  pesanan,bintang 5,5 bulan lalu
Kirim sesuai  pesanan,bintang 5,5 bulan lalu
Kirim sesuai  pesanan,bintang 5,5 bulan lalu
Kirim sesuai  pesanan,bintang 5,5 bulan lalu
Kirim sesuai  pesanan,bintang 5,5 bulan lalu
Kirim sesuai  pesanan,bintang 5,5 bulan lalu
Kirim sesuai  pesanan,bintang 5,5 bulan lalu
Kirim sesuai  pesanan,bintang 5,5 bulan lalu
Kirim sesuai pesanan,bintang 5,6 bulan lalu
Kirim sesuai pesanan,bintang 5,6 bulan lalu
"Bagus sekali barangnya,harga murah,pengiriman cepat,kurirnya ramah",bintang 5,5 bulan lalu
sepatu yang dikirim sama sama kiri,bintang 1,4 bulan lalu
"Bentuk dan ukuran: Bagus
Smga bsa awet ya",bintang 5,1 minggu lalu
"Sesuai pesanan
Ya kurag besaran dikit kalok di nomer 40 ambilnya harus di nomer 41 lah",bintang 5,1 bulan lalu
"Keren banget smpe tmn""pda nnyain belinya dmna,,, wkwkwkwk aku spill linknya neh ktmn"",,",bintang 5,6 bulan lalu
"Sepatunya bagus tpi salah kirim ukuran, yg dipesan ukuran 40 yg dikirim ukuran 39 jadinya gak muat.",bintang 3,1 bulan lalu
"Tidak berat, lentur",bintang 5,4 bulan lalu
"bgus sesuai sma gambar nya, sya sdh dua kali beli dsni dn sngat memuaskan 🫶🏻",bintang 5,2 minggu lalu
"Kombinasi warnanya keren, enak dipake",bintang 5,4 bulan lalu
Agak longgar tapi keren,bintang 5,4 bulan lalu
"Sesuai ekspektasi,, bagus 👍",bintang 5,4 bulan lalu
"Pesanannya udh sampai..mksh reseller,,,ini pesanan kedua krna ya sebagus itu sya pesan lg",bintang 5,4 bulan lalu
Mantap prodkx sangat memuaskn trmkasih buat tokox moga sukses slalu,bintang 5,1 bulan lalu
Keren sepatu boots ya nyaman d pakai ..saya suka.  Trima kasih ..tp syg terlambat DTG...,bintang 3,2 bulan lalu
Produk mntap sesuai pesanan pokokx,bintang 5,2 bulan lalu
"Bags sekali,, sesuai dg gambar",bintang 5,7 bulan lalu
"Bagus bnget sesuai dg pesanx , 👍",bintang 5,7 bulan lalu
Sepatu boots nya sdh sampai.bagus banget.mqkasih,bintang 5,1 bulan lalu
"Order yg ke 2x 
Krna beneran bgus bgt",bintang 5,6 bulan lalu
"Sesuai psanan mantap pokokx🙏 thank's pokok,,eee",bintang 5,3 minggu lalu
Kerennn smoga awet👍🏻👍🏻👍🏻,bintang 5,1 bulan lalu
Alhamdulillah Bagus. Pas di kaki kakak,bintang 5,3 bulan lalu
Brang sesuai pesanan walaupun lama nympe,bintang 4,1 bulan lalu
Alhamdulillah paktan udh dateng,bintang 5,5 bulan lalu
"Modelnya lucu, bahannya bagus",bintang 5,4 bulan lalu
Ringan Ndak keras,bintang 5,7 bulan lalu
Ah... Bagus nyaman di pake,bintang 5,5 bulan lalu
Lembut bagian dalam bagusss,bintang 5,4 minggu lalu
Kirim sesuai pesanan,bintang 5,5 bulan lalu
Kirim sesuai pesanan,bintang 5,5 bulan lalu
"Bagus bgt 
Nyaman",bintang 5,6 bulan lalu
"Keren 
Nyaman dipakai",bintang 5,4 bulan lalu
cantik,bintang 5,4 bulan lalu
Sangat bagus ccok uakrn pas,bintang 5,1 bulan lalu
,bintang 5,4 minggu lalu
Sepatu bootsnya sdh sampai.makasih,bintang 5,4 bulan lalu
Kebesaran skit,bintang 5,1 bulan lalu
Kebesaran,bintang 5,1 bulan lalu
Kebesaran,bintang 5,5 bulan lalu
Suka pas di pakay,bintang 5,4 bulan lalu
Sesui pesenan,bintang 5,4 bulan lalu
Bagus,bintang 5,5 bulan lalu
Bagus,bintang 5,5 bulan lalu
Bagus,bintang 5,5 bulan lalu
Bagus,bintang 5,6 bulan lalu
Bagus,bintang 5,7 bulan lalu
Mantap surantap,bintang 5,6 hari lalu
Good,bintang 5,5 bulan lalu
Baguuss,bintang 5,6 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 4,4 bulan lalu
🫰,bintang 5,6 bulan lalu
Jos gandos,bintang 5,1 bulan lalu
",👍😃👍👍👍",bintang 5,7 bulan lalu
