review,rating,date
Sesuai dengan pesanan... Proses sat set gak pake lama.... Modelnya keren sudah dicoba dan pas ukurannya... Nyaman dipakai.... Untuk ukurannya downsize... Siplah pokoknya....,bintang 5,8 bulan lalu
sesuai aplikasi..eh sesuai deskripsi maksudnya. ganteng lah klo buat santai 😁,bintang 5,
Sol bawah lebih tebal dari produk jaman dahulu. serasa memakai produk airwalk. kain masih tetap nyaman.,bintang 5,
"ukuran 43 nya sesuai deskripsi..
Mau dipakai buat olahraga atau jalan” juga cocok..",bintang 5,
"sepatu telah sampai,sesuai pesanan dan pas di kaki",bintang 5,3 minggu lalu
sepatunya keren kualitas ori di pake jg enak seller ramah pengiran pesan kemarin hari ini sampai🙏🙏🙏🙏,bintang 5,sepatunya keren kualitas ori di pake jg enak seller ramah pengiran pesan kemarin hari ini sampai🙏🙏🙏🙏
"Barang sesuai pesanan (dari Ukuran sampai bonus Kaos Kaki), Pengiriman barangnya juga relatif cepat untuk kategori pengguna yang pakai bonus “Bebas Ongkir”. Saya cukup pu...",bintang 5,
"sepatu sesuai dengan deskripsi.
respon seller baik.
pengirimannya aja yg agak lama. selebihnya ok.",bintang 5,
"barangnya bagus, pengiriman nya yang lama",bintang 4,
"Terima kasih sudah datang, tinggal di coba pakai, terima kasih semoga cocok",bintang 5,
,bintang 5,
Barang bagus,bintang 5,
sesuai pesanan 👍🏽,bintang 5,
bagus,bintang 5,
ok bgs,bintang 5,6 bulan lalu
top,bintang 5,
sepatunya keren,bintang 5,4 bulan lalu
top markotop,bintang 5,
liat itu bintang,bintang 5,3 bulan lalu
TOP,bintang 5,
"pengiriman  cepat, seller terpercaya, sukses sll ya 👍",bintang 5,
Manteeeeppp…bagusss.. top,bintang 5,
,bintang 5,
Keren… cepet sampai. Tengkyu,bintang 5,
manstab. sesuai pesanan. sukses selalu...,bintang 5,
thanks kak barang sesuai,bintang 5,
Trimakasih cepat sampai Semoga awet😊,bintang 5,
Barang sesuai pesanan dan masih mulus dan bagus kwalitas ori,bintang 5,
bagus,bintang 5,
barang sesuai cpt sampai,bintang 5,
"respon baik, cepat,gesit,rapih luar biasa pokonya....... bintang 100😁
terima kasih gan",bintang 5,
muantap,bintang 5,
