review,rating,date
Pusing beli warna putih apa hitam semuah ya bagus❤️ jadinya aku beli semuah bisa 2 kenapa harus 1 terimakasih banyak compas ❤️🥹,bintang 5,3 bulan lalu
"awal beli size 40 pas dicoba sempit banget, sempet bingung mau dikemanain. akhirnya nyoba chat admin bisa tuker size ga, alhamdulillah bisa ges. pelayanannya terbaik!

be...",bintang 5,7 bulan lalu
"Bentuk dan ukuran: pas
Aroma: wangu
Warna: bagus
bagus mantap deh pokoknya ori untuk yang mau ambil size diup ya guys takutnya nanti ngepres aku biasanya pakek size 26 in...",bintang 5,4 bulan lalu
"ok lh sesuai dengan deskripsinya, cuma agak kecewa dengan ukuran nya yg rada kekecilan dan juga itu yg di video emng gitu standard nya atau kelolosan aj si min?",bintang 5,3 bulan lalu
"Sejauh ini cuma artikel ini yang bikin ngotot mau beli, kyaknya agak berat klo mau koleksi all colour, krena barangnya mudah Ghoib dan reseller² juga gak ada adab ngasih...",bintang 5,6 bulan lalu
"outsole ada noda hitam dikit, & lubang tali sepatu ada 1 yg blom terlubang, kualitas bahan overall ok size ok. Saran lebih ditingkatkan qc nya",bintang 4,7 bulan lalu
"ori ,  saran saja kalo mau beli up size 
Bagus👌",bintang 5,5 bulan lalu
Saran up size buat yg kaki nya lebar. untung aku up size buat adikku jadi pas wktu di pake sama kaus kaki,bintang 5,5 bulan lalu
"mantap,joss gandos markotos,cepat sampainya dengan selamat,double packing kardus sepatu jadi kinclong ga tergores atau penyok ,bintang 7 pokoknya",bintang 5,7 bulan lalu
"Bentuk dan ukuran: pas
Aroma: wangi
Warna: white blue
packingan amann,",bintang 5,7 bulan lalu
Sesuai dengan yg diharapkan walaupun sepatunya agak ngepas banget sama saya overall okeee bangettt!! sepatu compass masi pilihan terbaik untuk kelas lokal,bintang 5,7 bulan lalu
"Pengiriman cepat, sepatunya oke banget, mantap Compass",bintang 5,7 bulan lalu
"emejing.... casual Scoot banget...
nyaman digunakan semoga aweet",bintang 5,6 bulan lalu
"Size 42 sangat lah “PAS” jika kaki kalian bertipe wide foot, mending upsize gaes dari ukuran yg biasanya ,semoga membantu info ny, untuk produk ny jelas ga kalah sama pro...",bintang 5,1 bulan lalu
"packing aman, pengiriman cepat, saran up 1 size apalagi yg kakinya gemuk, ovrall gud “yg ori kijangnya lompat dengan penuh keyakinan,ga keselo”.",bintang 5,1 minggu lalu
"Cantiik bgt. Nyaman dipake, ringan. Tips ut ukuran, kakiku ukurannya 25 cm tapi aku up 1 cm ambil yg uk 26 cm. Pas bgt di kaki.",bintang 5,7 bulan lalu
"modelnya keren bat cuyy, bahannya juga enak. lembut ga kaku disampingnya. cuman sizenya rada bingung ya, ambil size 40 di chart 26,5cm. barang sampai size hampir aj sempi...",bintang 5,7 bulan lalu
"sesuai deskripsi, ukuran harus upsize, material dan kualitas baik",bintang 5,4 bulan lalu
"Langsung dipake, cocok bgt pake Selvedge + Tribune Compas🔥🔥🔥",bintang 5,7 bulan lalu
"Bentuk dan ukuran: Pas
Aroma: Wangi
Daya tahan pakai: Mantap",bintang 5,8 bulan lalu
mantep pokoknya nyaman cuma agak kesempitan dikit tapi gak papa 🔥,bintang 5,2 minggu lalu
"Mantap gak ada obat kualitas sepatunya, 
Respon penjual baik",bintang 5,7 bulan lalu
"maaf ya min ya ⭐kurang 1 , minus nya cuma gaada stickeran doang ini haha",bintang 4,3 bulan lalu
"Model nya keren ternyata, ukuran juga pas, mantap",bintang 5,7 bulan lalu
Kualitas sangat baik bagus dan memuaskan,bintang 5,7 bulan lalu
pembelian ke 3 dalam waktu 1 bulan. artikel tribune pula. luar biasa hype lebaran 2025 ini. akhirnya dapet biru dan hitam. wajib upsize buat yang mau beli. ada minor kele...,bintang 5,2 bulan lalu
"Bagooooooos sesuai harapan dan sangat puas.barang bagus,pelayan ok dan pengantaran tepat.lim bintang deh.",bintang 5,7 bulan lalu
realpict baguss bgttt pengiriman juga cepett gaada lecet sama sekali wort it bgttt,bintang 5,5 bulan lalu
"keren mantap berkualitas
sesuai pesanan
compass selalu terdepan
produk lokal yg recomended gak sia2 beli 
di jamin makin kece
hahahaha",bintang 5,5 bulan lalu
"Bentuk dan ukuran: pas
Warna: bagus",bintang 5,6 bulan lalu
"pokoee pancen joss... harga ramah dikantong, kualitas terjamin. sukses selalu compas indonesia",bintang 5,5 bulan lalu
"Mantap keren pokoknya,kemaren baru beli baru sebulan ,pas di pake buat ke masjid ilang diambil orang ,ahirnya beli lagi",bintang 5,3 bulan lalu
"Model compass , bagus 
Tambahan koleksi sepatu di rumah, 
Aman jaya sentosa",bintang 5,7 bulan lalu
"KERENN!!!! 🔥, gw udah nonton dulu review & di sarankan up size, bener banget, gw biasa ukuran 41  order yg 42 pas banget, saran buat kalian juga naikin 1 size biar g...",bintang 5,3 bulan lalu
"10/10 coiii🤩🤩🤩
tapi nyampenya lama😔",bintang 5,7 bulan lalu
"Nyaman pas mantepp, compas ga salah",bintang 5,5 bulan lalu
sesuai. box aman. pengiriman lebih cepat dari estimasi.,bintang 5,5 hari lalu
"outsole nya badak banget anynk wkwkw, tapi overall keren sih, pertama kali beli compass langsung tribun mantappp",bintang 5,4 bulan lalu
"Cakep bangett😫, nyaman juga🫶🏻",bintang 5,5 bulan lalu
mantap ah pengirimanya juga satsett🤩😋,bintang 4,3 bulan lalu
"meluncur selamat sampai tujuan 
kondisi baik sekali🤗",bintang 5,7 bulan lalu
"Tuker ukuran bisa ga min?
Bentuk dan ukuran: Bagus ukuran aga kekecilan",bintang 5,3 bulan lalu
Top mantap is the best🥰🤘,bintang 5,1 bulan lalu
"Keren banget kualitasnya okee pelayanan oke. Bisa tukar size juga, tadinya kebesaran tukar size ke 38. Mantep dah",bintang 5,2 hari lalu
"Produk sesuai dengan iklan, hasil produk memuaskan",bintang 5,4 bulan lalu
"material yg d gunakan oke, jahitan rapih. pokoknya oke.",bintang 5,2 bulan lalu
"bagus, tapi saran buat yg mau beli lebihin 1 ukuran sepatunya, dari ukuran sepatu biasa",bintang 4,1 bulan lalu
