review,rating,date
"Capek puolllll aku beli ws hitam kekecilan bener bener press banget, akhirnya up size biasnaya pake uk 36 skrng beli lagi coba uk 38 alhamdulillah pas g kekecilan / kebes...",bintang 5,3 bulan lalu
"Sepatu ini emang perlu upsize karena sizing-nya kurang cocok bagi pemilik kaki lebar. Namun, dari segi kualitas dan bahan, this shoe is worth every penny.",bintang 5,2 bulan lalu
Kualitas lokal brand yang tidak perlu diragukan.,bintang 5,2 bulan lalu
"All good, diterima dengan baik. True size buat kaki yang ga lebar",bintang 5,2 bulan lalu
"Shrsnya up size sih, ngepas. Tp mantaplah.
Thanks Compass thanks kurir",bintang 5,2 minggu lalu
Sedikit Catatan buat yg pengen beli sepatu ini : WAJIB UP SIZE :< (Fitting sepatu ini mirip Adidas London),bintang 5,3 bulan lalu
"baguss produk nyaa
Bentuk dan ukuran: pass",bintang 5,2 minggu lalu
"worth the price, ga kalah sm high end!!!!",bintang 5,2 minggu lalu
alhamdulillah abis restock langsung ambil. sizenya betul sesuai reviewer lain harus upsize 1. mantap pokoknya,bintang 5,2 minggu lalu
Cakep sekali,bintang 5,2 bulan lalu
Ok mantap,bintang 5,3 bulan lalu
Bentuk dan ukuran: Pas,bintang 5,2 bulan lalu
Yang pasti pasti aja,bintang 5,2 bulan lalu
barang oke,bintang 5,2 bulan lalu
Keren banget sumpah,bintang 5,2 bulan lalu
Bagus👍,bintang 5,2 bulan lalu
Bagus,bintang 5,3 bulan lalu
baik,bintang 5,1 minggu lalu
Mntap,bintang 5,2 bulan lalu
mantap,bintang 5,2 bulan lalu
recomended👍🏻👍🏻,bintang 5,2 bulan lalu
josjis,bintang 5,2 bulan lalu
Hhh,bintang 5,1 bulan lalu
👍👍👍,bintang 5,2 minggu lalu
