review,rating,date
"Produknya bagus dan kualitas nya jga bagus,ngga nyesel belinya. Pengiriman jga cepat. Terimakasih.",bintang 4,6 bulan lalu
"Paket sudah diterima, barang sesuai yang ditawarkan. ukuran pas. Proses ok dan pengiriman cepat. Respon seller bagus, recomended seller",bintang 5,1 bulan lalu
"Gaya keren, bahan bagus, model mutakhir dan kekinian, pokoknya puas banget",bintang 5,2 bulan lalu
"penjual baik,barang aman dan sesuai,semoga awet,kurir baik",bintang 5,1 bulan lalu
"Bentuk dan ukuran: 42 .pas .bgt
Daya tahan pakai: Anti air",bintang 5,5 bulan lalu
"Barang sudah sampai,sepatu nya bagus tapi size 39 agak kebesaran ya,di kira'in ukuran nya sama seperti sepatu yg di rumah 39 juga tapi pas di pakai, soalnya cari yg u...",bintang 5,2 bulan lalu
"Sepatu nya dh nyampe,,pengiriman jg cepat,,barang nya jg ok,,👍👍👍👍",bintang 5,2 bulan lalu
bagus tp kegedean tp gpp pake kaos kaki mayan,bintang 4,1 bulan lalu
Bagus sesuai pesanan mudah2an cukup di kaki anakku.tks,bintang 5,2 bulan lalu
"The good local product!
Sepatu karet anti air cocok buat dipakai musim hujan.",bintang 5,5 bulan lalu
"Paket sdh nyampe,barang bagus sesuai pemesanan,dipakai juga nyaman, bahan karetnya lentur,pengiriman cepat..trm kasih seller dan mas kurirnya",bintang 5,7 bulan lalu
"Makasih barang sesuai pesanan dan bagus sekali, pengiriman cepat dan packing barang aman. Modelnya keren, ukurannya sesuai dan nyaman saat di pakai beraktivitas, bahannya...",bintang 5,1 bulan lalu
Pengiriman cepat kwalitas produk bagus langsung dipakai jalan sepatunya,bintang 5,6 bulan lalu
"Bagus,biasa sepatu baru KLO dipake pasti lecet dulu utk mengikuti kaki kita",bintang 5,6 bulan lalu
"Model keren, pas di kaki. Bahan karet nyaman dipakai walau tanpa kaos kaki.
Makasih banyak...🙏🏻",bintang 5,3 minggu lalu
"terimakasih pesanan sudah sampai tujuan ,,,puas  banget dengan barang pas di kaki  kondisi barang nya...real nyata sesuai dengan deskripsi,gambar,bisa jadi langganan ini....",bintang 5,1 bulan lalu
"Sesuai pesanan, barang nya ngga mengecewakan, kwalitas bagus",bintang 5,3 bulan lalu
"Bentuk dan ukuran: Sesuai dengan deskripsi
Warna: Cukup bagus
Barang sampai dengan aman dan saat dicoba sangat pas juga cocok",bintang 4,3 minggu lalu
"Pengiriman cepat aman, barang bagus, cocok buat musim hujan",bintang 5,2 bulan lalu
"ramahnyo 😊 seller & kurir, nyari sepatu att model ini rada2 langka sekarang hehe scrol2 sampai ujung dunia alhamdulillah nemu juga, terimakasih orang baik & suks...",bintang 5,2 minggu lalu
"Bagus..nyaman di kaki..mantap
Bentuk dan ukuran: Pas di kaki
Warna: Coklat sesuai warna nya",bintang 5,4 bulan lalu
