review,rating,date
"pas banget dah mantep, ukuran 42 sesuai sama yang dipesen, pengiriman cepat, ori dan bahannya oke, udah pernah pake jg sehari2 dan enteng",bintang 5,4 bulan lalu
"produk berkualitas, sesuai deskripsi, ukuran pas nyaman dipakai. makasi",bintang 5,6 bulan lalu
enakeun. size ku biasanya 42. tp ternyata 42 kodachi agak lebih gede dikit.,bintang 4,
"Worth it, Worth it, Worth it, Worth it, Worth it, Worth it, Worth it, Worth it, Worth it, Worth it, Worth it, Worth it, Worth it, Worth it, Worth it, Worth it, Worth it,...",bintang 5,3 bulan lalu
"Di kaki cukup nyaman tidak terlalu berat, gaya klasik asik buat old school, saya biasanya pakai sepatu ukuran 43, di Kodachi ukuran 43 sedikit lebih besar dari sepatu bia...",bintang 5,
"JNE LEMOD!!! barang original! bagus, pas ukurannya, turun satu ukuran, outsol nya bagus gak gampang selip, sip",bintang 5,7 bulan lalu
"Dapet diskon jadi cuman 50 rb. Buat harga segitu… ya cocok sih harganya. Memang bukan sepatu paling mewah, tapi retro & mungkin awet.",bintang 5,9 bulan lalu
"Model keren,nyaman,bahan oke,ukuran pas, tapi kalau box nya agak rusak dikit gtu,nekuk nekuk",bintang 4,7 bulan lalu
"Kereenn, tapi ukuran nya ngga true size, jdi harus turun 1 size, kegedean dikit ngga papa lah",bintang 5,10 bulan lalu
"barang cakep,lem kuat, karet rapih, bahan sepatu bakal kuat,, ini dah sangat bagus tuk di rekomended,, olga sepatunya KODACHI.. TERNYATA hanya liat gambar dn saya teliti...",bintang 5,
"overal bagus semua,cuma saran saya lebih baik di beri double box, soalnya penyok² bgt kotak nya ,dan yg sangat di sayangkan, pengiriman nyaa lama sekali",bintang 4,6 bulan lalu
Sempat ragu dg bbrp ulasan disini ttg salah nomor dan corak sepatu yg dikirim ternyata semua tdk terjadi pd orderan saya tetapi bila mau pesan memang sebaiknya kurangin 1...,bintang 5,
"Overoall barang bagus,walau ada beberapa bercak lem yang tidak seharus'y ada...it's Ok...
good job...!",bintang 5,8 bulan lalu
"seller langsung cepat, dan kualitas barang oke...",bintang 5,
"nyampe nya cepet bngt, respon seller juga gerecep...  pas dateng,langsung dipake kerja...",bintang 5,5 bulan lalu
"Barang ok, bagus, top markotop, beli ini berarti bangga akan produk dalam negeri... Seller ok fast respon",bintang 5,
"Seneng bgt akhirnya punya koleksi salah satu sepatu paling legend di 🇮🇩. Penampakannya sesuai sama di gambar, materialnya jg bagus, cm jahitan & pengeleman sedikit...",bintang 5,
"modelnya modern classic, keren ! 
sesuai pesanan, respon seller cepat, pengiriman tepat waktu",bintang 5,10 bulan lalu
"pengiriman super cepat. barang sesuai dengan foto. untuk harga segini udah mantep banget. legitttttt. btw ini down size, jadi kalau mau pesen wajib turun 1 size biar pas....",bintang 5,2 hari lalu
"Lumayan bagus, harga ekonomis dan saya sudah pernah punya sebelumnya, sangat awet",bintang 5,
"kerennn,barangnya bagus, sesuai pesanan,.
rekomendasi 👍👍",bintang 5,6 bulan lalu
"sesuai pesanan, cuma pengiriman doang agak lama",bintang 5,
"Ukuran sesuai.
Bahannya berkualitas.
Sellernya fast respon dan ramah. RECOMMENDED SELLER",bintang 5,
"Sepatu legend bagus dan berkualitas, harga cakep, size 41 besar juga, biar pas perlu ditambah insole lagi saya biasa pake 42. Karet gripnya mantep, upper masih baru jadi...",bintang 5,5 bulan lalu
"bahannya emang agak kaku, tp dr segi keseluruhan masih cukup nyaman dan enak dipake. semoga awet, ga sia2 nontonin youtube buat cari referensi.",bintang 5,
