review,rating,date
Paket tiba packing aman rapih kualitas bagus bentuk danukuran pas bahan karet berkualitas lentur harga terjangkau next order lagi warna lain terima kasih,bintang 5,1 minggu lalu
mantap dipakai nya dan pas di kaki anti slip ketika saya pakai di waktu hujan,bintang 5,1 bulan lalu
"paket sesuai pesanan, barangnya bagus, ukuran pas, semoga kuat & awet. harganya murah barang bagus.",bintang 5,1 bulan lalu
Paket telah mendarat dengan selamat terimakasih tiktok shop n toko online Nya pengiriman cepat mantappp barang nya,bintang 5,5 bulan lalu
pas mantab enak di pake' ukuran warna sesuai orderan,bintang 5,2 bulan lalu
"Respon penjual bagus, walaupun pengiriman agak lambat tapi sangat puas karena produknya bagus banget, pas di kaki, nyaman dipakai dan model serta motifnya pun bagus",bintang 5,2 bulan lalu
"sesuai dengan pesanan.
proses dan pengiriman barang cepat sampai dengan kondisi baik.
Ukuran nya pas. model bagus. harga terjangkau.",bintang 5,1 bulan lalu
"Pas di kaki , nyaman di pakai , sesui ekspektasi",bintang 5,6 bulan lalu
"respon toko ok, barang sesuai, bungkus rapi, kurir surabaya jakarta kamis ke sabtu ok aman",bintang 5,2 bulan lalu
"Paket diterima dgn aman, brg melebihi ekspektasi, tdk nyangka sebagus ini, gak nyesel deh murah meriah tp bagus sepatunya",bintang 5,4 bulan lalu
"Sesuai pesanan.

Seller recomended
Jangan pernah ragu untuk belanja disini",bintang 5,1 bulan lalu
"Sangat bagus, dan nyaman full karet semua jadi aman untuk outdoor, sengaja beli ini untuk kalau turun kelapangan biar aman tanpa rasa khawatir.",bintang 5,5 hari lalu
"Barang sesuai deskripsi, ukuran pas dan nyaman. Harga terjangkau dan cocok untuk dipakai pas musim hujan dan saat bersantai. Seller fast response, pengiriman cepat dan ma...",bintang 5,1 bulan lalu
"Sesuai pesanan.. Bagus sesuai harga, semoga bisa awet tidak mudah robek.",bintang 5,6 bulan lalu
"asli ni sepatu murah banget dan nyaman dipake
ga kaku ga keras
tanpa kaos kaki pun enak, mana full karet lagi 
jadi anti air
rekomendasi banget buat dibeli apalagi under...",bintang 5,2 minggu lalu
"Packet diterima dengan kondisi baik .. 
Nyaman dipakenya engga panas ,, 
Mantull pokonya mah ..",bintang 5,3 bulan lalu
"barang sudah sampai sepatunya bagus berkualitas ,modelnya nya keren enak dipakai cocok untuk out door .mancing kemping ,anti duri dan anti beling kaca amaaan trims",bintang 5,1 bulan lalu
"Kualitas oke, tanpa lem model karet press jd lebih kuat. Harga terjangkau 👍👍",bintang 5,2 bulan lalu
Pas sekali dengan kaki lentur dan tidak licin,bintang 5,5 bulan lalu
"Kayak sepatu mahal, enak pakekny pas dikaki, cocok buat hujan2 an",bintang 5,5 bulan lalu
"Ox siap barang sudah sampai tujuan terimakasih.
Sesuai dgan pesanan terimakasih 🙏 
Mantap....enak d pake harga Murmer kualitas ox.",bintang 5,2 bulan lalu
"baguss,
enak dan lentur di gunakan ga sakit..",bintang 5,4 minggu lalu
Sepatunya sdh diterima dalam kondisi baik & ukuran pas enak dipakai,bintang 5,5 bulan lalu
"Sepatu yg bagus banget,cocok buat kerja lapangan,harga murah tapi berkualitas",bintang 5,4 bulan lalu
Nyaman dipakai dgn ukuran sgtu pas di kaki,bintang 5,6 bulan lalu
"Beh.. tampilan dan modelnya mantul. Saya yang 114kg pas, ga tipu2, barang mantul punya. Pengiriman cepat. Next order lagi.",bintang 5,6 bulan lalu
real picture dan deskripsinya Sesuai pesanan dan packing aman 👍,bintang 5,1 bulan lalu
"Barangnya Bagus nyaman di pakek pas hujan"" , pengiriman cepat, kurirnya ramah.",bintang 5,4 bulan lalu
"Bentuk dan ukuran: ya sesuai size
Warna: yang dateng biru T_T
tapi bagus sih
thanks",bintang 5,4 bulan lalu
pruduk att...sip karetnya kuat sepertinya,bintang 5,4 bulan lalu
