review,rating,date
"sepatunya bagus banget cocok banget buat pelari pemula, rekomendasi buat yang baru belajar karena cocok buat dana pelajar",bintang 5,4 hari lalu
"Bagus banget asli ringan, tapi blm dicoba soalnya mau lari ujan wkwk
tapi sayang box sepatunya kek stock kotak lama😢",bintang 5,2 bulan lalu
"barang yang dikirim sesuai dengan pesanan, bagus juga tapi belum dicoba semoga awet dan nyaman dipakai",bintang 5,1 minggu lalu
"Pesanan sepatu running nyaa sudah sampai, walau kemasannya penyok, tp sepatunya aman",bintang 5,2 bulan lalu
"my first running shoes, nyaman banget buat pemula, rekomendasi dr tirta coba aja, karena murah juga, enak buat jogging atau jalan, empuk, betis nggak sakit dan nggak pana...",bintang 5,9 bulan lalu
"Udh kedua kalinya beli di toko ini dan sepatunya keren..👍⭐⭐⭐⭐⭐
Bentuk dan ukuran: Pas
Warna: Cerah",bintang 5,6 bulan lalu
"Barang bagus,enak di pakai,mudah mudahan awet",bintang 5,9 bulan lalu
"Bentuk dan ukuran: pas
Warna: bagus",bintang 5,6 bulan lalu
"nyaman buat lari, tapi kurang nyaman kalo di pakai buat harian karna sole bagian depannya lebih tipis dari pada bagian belakang jadi klo buat berdiri lama bagian depan ka...",bintang 5,
"Sebenernya bagus, pas juga, cuman ada minesnya dikit, ya engga ngaruh emang, cuman ya kurang puas aja",bintang 4,6 bulan lalu
"Keren banget, untuk harga segitu. Semoga awet. Dan upper nya bagian sablon nya nggak mudah rusak, lepas",bintang 5,6 bulan lalu
Model bagus.. Tp anti slip sedikit tdk full gampang tipis/gerepes,bintang 3,2 minggu lalu
"Setelah di bawa lari beberapa kilo hasilnya puas, rubber dan telapak masih sangat aman, keempukannya 7,5 lah ya, I'ts ok!!!",bintang 5,6 bulan lalu
"Pengiriman cepat, ukuran pas warna sesuai bagus mantap nyaman juga dipakai",bintang 5,3 minggu lalu
"Barang sesuai ekspetasi, brandlokal running oke..dipake lembut dan empuk.

Packingan aman..order 4 pasang aman",bintang 5,
"Pesanan ya tiba Dan sudah sesuai, tinggal dicoba dibawa lari, bisa dapat pace berapa nanti ..hehehe.

mantab juga untuk local brand ini, menyertakan kartu garansi.👍.",bintang 5,
bagus modelnya pas ukurannya cepat pengirimannya,bintang 5,3 minggu lalu
"Real pict, ringan, nyaman di pakai
Suka banget
Semoga awet",bintang 5,9 bulan lalu
"Cobain pertama kali,enteng nyaman,empuk...biasa pake Skechers rasanya ini bs jd alternatif sih
..sip²...cuman belum dicoba pake lari",bintang 5,9 bulan lalu
"sepatu ringan, nyaman dipakai. #lokaltakgentar",bintang 5,6 bulan lalu
"Oke banget pngiriman juga cepat recommend banget dah, semoga awet di pakainya",bintang 5,4 bulan lalu
"bagus sepatunya, aku suka modelnya, local pride
dipakai nyaman",bintang 5,1 bulan lalu
"Alhamdulillah paket sdh sampai
Bentuk dan ukuran: Bagus dan nyampan dan pas
Daya tahan pakai: Semoga awet soalnya saat beli sdh di jahit sepatunya
Warna: Sesuai yang di g...",bintang 5,6 bulan lalu
"Bentuk dan ukuran: Sepatu Running, 40
Warna: Biru, hijau neon
Daya tahan pakai: belom dicoba",bintang 5,1 bulan lalu
Bentuk dan ukuran: Baguss dan ukuran sesuai pemesanan,bintang 5,1 minggu lalu
"Keren sepatu nya,anak saya suka..
lembut dan ringan semoga kuat dan tahan lama",bintang 5,3 bulan lalu
"sepatu nya bagus,desain nya keren, dan empuk buat lari 👍👍",bintang 5,1 bulan lalu
Mantap barang nya bagus udah muarah tapi kulalitas ga murahan,bintang 5,6 bulan lalu
"sepatu sudah sampai dengan baik lebih cepat dari perkiraan, Terimakasih Toped dan toko Sepatu UNERD, mudah2an nyaman dipakai",bintang 4,9 bulan lalu
"sesuai ekspektasi,makasih min barangnya bagus",bintang 5,4 minggu lalu
"ukuran pas, warna bagus, model bagus, bahan dan material baguss ya",bintang 5,7 bulan lalu
"ukuran pas banget dikaki
warna manyala abangku
model terkini
bahan dan material jangan diragukan lagi
nyaman banget seperti dipeluk istri tercinta",bintang 5,10 bulan lalu
Mantap.. Barang kualitas nya bagus dan nyaman di kaki,bintang 5,9 bulan lalu
"Paketnya dtg tepat waktu, packing aman, kualitas oke untuk harga segitu, modelnya keren, semoga awet. Makasih",bintang 5,9 bulan lalu
Bahannya ringan. Pas di kaki ukurannya.,bintang 5,
"ini pembelian ke dua, yg pertama bagus, yg ini lem nya kurang rapi",bintang 5,4 minggu lalu
"mantap bahan bagus semoga awet, ukuran pas model bagus",bintang 5,1 bulan lalu
"Keren banget, kemarin ragu ragu, ternyata bagus",bintang 5,7 bulan lalu
"sip, sesuai harapan. yg paling membuat senang adalah insolnya yg nyaman 👌",bintang 5,9 bulan lalu
fast respon seller dan uenak mantab sepatunya bisa lebih kencang larinyay,bintang 5,9 bulan lalu
"Barang ok, cepat sampai sblm H-1 lebaran, markotop",bintang 5,1 bulan lalu
"Ukuran pas, warna oke keren, dipake nyaman...",bintang 5,9 bulan lalu
"harga murah kualitas mantab 
empuk mantab buat lari/jalan santai nyore",bintang 5,
"Bentuk dan ukuran: Pesen no 42 untuk anak cwok saya Pas banget
Daya tahan pakai: Smg Awet
Warna: Suka banget pas warna nya dengan di Live",bintang 5,9 bulan lalu
"Ukuran nya pas,,, warnanya sesuai... Model nya ciamik... Pokoknya mantap... semoga awet",bintang 5,
"bagus tapi kekecilan buat saya, harusnya saya lebihin beberapa cm, Yaudahlah saya kasih cewek aja.",bintang 5,1 bulan lalu
"barangnya bagus dan keren
sepatunya empuk dan pas di kaki",bintang 5,9 bulan lalu
"enak banget sepatu nya , seneng .
pas nyampe langsung gw pake buat lompat lompatan",bintang 5,8 bulan lalu
"Keren ini sepatu, Good Quality produk local. harga terbaik, nggak nyesel beli sepatu ini 👍🏼👍🏼👍🏼",bintang 5,
"kualitas bagus, barang sesuai request, warna sangat menarik",bintang 5,9 bulan lalu
"Barang ok sesuai dgn gbr, sangat recommended,",bintang 5,9 bulan lalu
"Alhamdulillah sudah sampai. suka sama warnanya, sepatu enteng sesuai ekspetasi warnanya juga cakep",bintang 5,9 bulan lalu
Barang sesuai. Ukuran pas. Warna sesuai. Semoga awet. Recomended.,bintang 5,2 minggu lalu
"sepatu nya mantull, adminnya komunikatif. mantull dh Pokonya",bintang 5,2 bulan lalu
Barang tiba dengan cepat dan sesuai pesanan. Keren. 👍,bintang 5,9 bulan lalu
Gknyangka sspatu ssbagus ini hrganya cm 300rban..moga awet nyaman dpake tuk olga jalan pagi,bintang 5,4 minggu lalu
"Kualitas bgus bnget
Perfek pokoknya",bintang 5,9 bulan lalu
"pas mantap sepatunya, sukur alhamdulillah gak salah ukuran, sempet ketar ketir sama sizenya, 
sepatu running pertamamu ku 😁😁",bintang 5,6 bulan lalu
"nice, foamnya mantap, dipakai lari Joss bgt",bintang 5,
"mantap barang seuai pesanan, warna sesuai, ukuran pas tinggal test drive",bintang 5,1 bulan lalu
